Distance_(pixels),Gray_Value
0,6.020
1,6.060
2,6.000
3,6.000
4,6.487
5,7.083
6,7.413
7,7.343
8,6.863
9,6.853
10,7.030
11,7.110
12,7.403
13,7.953
14,8.197
15,7.893
16,7.067
17,6.827
18,6.600
19,6.760
20,6.900
21,7.420
22,7.740
23,7.820
24,7.987
25,7.477
26,7.443
27,7.373
28,7.323
29,7.853
30,8.003
31,7.423
32,7.917
33,7.837
34,7.827
35,7.457
36,7.007
37,6.937
38,7.150
39,7.450
40,7.360
41,7.750
42,7.560
43,7.010
44,6.677
45,6.787
46,6.637
47,6.547
48,6.320
49,6.710
50,6.773
51,6.803
52,7.053
53,6.973
54,6.937
55,7.037
56,7.173
57,6.993
58,7.247
59,7.467
60,7.343
61,7.213
62,7.253
63,7.153
64,7.437
65,7.557
66,7.617
67,7.467
68,7.073
69,6.343
70,6.160
71,6.327
72,6.583
73,7.253
74,7.353
75,7.193
76,6.803
77,6.523
78,6.313
79,6.413
80,6.483
81,6.843
82,7.013
83,6.953
84,6.787
85,6.727
86,6.407
87,6.027
88,6.437
89,6.167
90,6.433
91,6.860
92,6.773
93,7.163
94,6.923
95,6.213
96,5.750
97,6.010
98,6.023
99,5.863
100,5.723
101,5.987
102,5.963
103,5.873
104,5.593
105,5.553
106,5.500
107,5.310
108,5.030
109,5.280
110,5.450
111,5.660
112,5.587
113,5.437
114,4.997
115,4.803
116,5.423
117,6.153
118,6.663
119,6.463
120,6.707
121,6.357
122,6.033
123,5.893
124,5.993
125,5.983
126,5.623
127,5.563
128,5.547
129,5.817
130,5.947
131,5.787
132,5.610
133,5.470
134,5.510
135,5.740
136,5.343
137,5.623
138,5.673
139,5.343
140,5.293
141,5.783
142,5.683
143,5.210
144,4.667
145,5.340
146,5.490
147,5.830
148,6.150
149,6.020
150,5.460
151,5.287
152,5.050
153,5.210
154,6.280
155,7.080
156,6.713
157,6.463
158,5.893
159,4.743
160,4.693
161,4.907
162,5.323
163,5.733
164,5.697
165,5.583
166,5.183
167,5.163
168,4.807
169,4.637
170,4.703
171,4.823
172,4.900
173,4.670
174,4.350
175,4.660
176,4.743
177,4.453
178,4.530
179,4.730
180,4.330
181,4.230
182,4.730
183,5.150
184,5.137
185,4.537
186,4.397
187,4.697
188,4.797
189,4.907
190,5.057
191,5.157
192,4.573
193,4.603
194,4.870
195,5.323
196,5.673
197,5.613
198,5.693
199,5.783
200,5.530
201,5.183
202,5.340
203,5.630
204,5.430
205,5.020
206,5.230
207,5.890
208,6.023
209,5.813
210,5.983
211,6.213
212,5.960
213,5.930
214,5.867
215,5.677
216,5.637
217,6.010
218,6.093
219,5.743
220,5.130
221,5.267
222,5.657
223,5.647
224,5.687
225,5.637
226,5.387
227,5.203
228,5.500
229,6.023
230,6.043
231,5.633
232,5.300
233,5.150
234,5.033
235,5.233
236,5.497
237,5.257
238,4.960
239,5.367
240,5.133
241,5.143
242,5.333
243,5.523
244,5.573
245,5.363
246,5.063
247,5.130
248,4.883
249,5.203
250,5.263
251,5.313
252,5.533
253,5.413
254,5.283
255,5.297
256,4.913
257,4.780
258,4.747
259,4.820
260,4.947
261,4.990
262,4.940
263,5.020
264,4.997
265,5.077
266,5.157
267,5.347
268,5.027
269,5.003
270,4.883
271,4.553
272,4.620
273,4.753
274,4.833
275,4.773
276,4.523
277,4.600
278,4.760
279,4.870
280,5.373
281,5.043
282,4.407
283,3.887
284,3.557
285,3.603
286,3.927
287,4.243
288,4.070
289,3.990
290,4.037
291,4.210
292,3.940
293,3.713
294,3.503
295,3.153
296,3.100
297,3.190
298,3.317
299,3.323
300,3.353
301,3.387
302,3.390
303,3.250
304,2.963
305,3.323
306,3.430
307,3.337
308,3.320
309,3.350
310,3.290
311,3.150
312,3.010
313,3.173
314,3.277
315,3.367
316,3.387
317,3.083
318,2.917
319,3.053
320,2.727
321,2.917
322,3.240
323,3.127
324,2.900
325,2.767
326,2.457
327,2.407
328,2.580
329,2.820
330,2.550
331,2.453
332,2.423
333,2.293
334,2.357
335,2.523
336,2.663
337,2.577
338,2.380
339,2.333
340,2.407
341,2.487
342,2.533
343,2.570
344,2.483
345,2.540
346,2.377
347,2.177
348,2.013
349,1.803
350,1.737
351,1.940
352,1.667
353,1.440
354,1.327
355,1.507
356,1.713
357,1.780
358,1.780
359,1.883
360,2.123
361,2.260
362,2.173
363,1.863
364,1.720
365,1.580
366,1.503
367,1.517
368,1.237
369,1.257
370,1.637
371,1.917
372,1.707
373,1.497
374,1.577
375,1.817
376,1.557
377,1.627
378,1.727
379,1.957
380,2.157
381,2.167
382,2.147
383,2.117
384,1.667
385,1.657
386,1.767
387,2.187
388,2.227
389,1.737
390,1.697
391,1.747
392,1.747
393,1.767
394,1.723
395,1.753
396,1.753
397,1.543
398,1.393
399,1.333
400,1.360
401,1.220
402,1.550
403,1.670
404,1.650
405,1.470
406,1.453
407,1.743
408,1.653
409,1.647
410,1.617
411,1.577
412,1.397
413,1.397
414,1.717
415,1.857
416,1.823
