Wavelength,Gray_Value
77.887,91.62
78.1182,91.207
78.3494,91.513
78.5806,92.167
78.8118,92.307
79.043,91.513
79.27420000000001,91.42
79.5054,91.82
79.7366,91.94
79.9678,91.58
80.199,91.587
80.4302,91.187
80.6614,90.693
80.8926,91.513
81.1238,91.78
81.355,90.6
81.5862,90.353
81.8174,90.727
82.0486,90.773
82.2798,90.373
82.511,90.087
82.7422,90.433
82.9734,90.373
83.2046,89.8
83.4358,90.027
83.667,89.36
83.8982,88.867
84.1294,89.04
84.3606,89.187
84.5918,88.92
84.82300000000001,88.42
85.0542,88.533
85.2854,88.473
85.5166,87.373
85.7478,86.293
85.979,86.78
86.2102,88.34
86.4414,88.093
86.6726,86.693
86.9038,85.973
87.135,85.927
87.36619999999999,85.807
87.5974,84.953
87.8286,84.373
88.0598,85.0
88.291,85.353
88.5222,84.213
88.7534,82.907
88.9846,83.527
89.2158,83.48
89.447,83.227
89.6782,82.747
89.9094,81.973
90.1406,81.853
90.37180000000001,82.133
90.603,81.513
90.8342,80.533
91.0654,81.133
91.2966,81.227
91.5278,80.487
91.759,80.173
91.9902,80.613
92.2214,80.36
92.4526,79.667
92.6838,79.12
92.91499999999999,78.787
93.1462,79.007
93.3774,79.533
93.6086,79.473
93.8398,79.3
94.071,78.407
94.3022,77.187
94.5334,77.107
94.7646,77.04
94.9958,77.353
95.227,76.827
95.4582,75.587
95.6894,75.647
95.92060000000001,76.273
96.1518,76.287
96.383,74.98
96.6142,74.847
96.8454,75.187
97.0766,74.647
97.3078,73.467
97.539,74.407
97.7702,74.76
98.0014,73.347
98.23259999999999,71.973
98.46379999999999,72.18
98.695,72.06
98.9262,72.1
99.1574,72.093
99.3886,72.14
99.6198,71.553
99.851,71.1
100.0822,71.307
100.3134,71.34
100.5446,71.18
100.7758,70.72
101.007,69.713
101.2382,69.533
101.46940000000001,69.72
101.7006,69.42
101.9318,68.773
102.163,69.173
102.3942,68.64
102.6254,68.32
102.8566,67.527
103.0878,67.18
103.319,67.553
103.5502,66.747
103.78139999999999,67.053
104.01259999999999,68.573
104.2438,68.887
104.475,67.207
104.7062,65.66
104.9374,66.42
105.1686,67.353
105.3998,66.993
105.631,67.087
105.8622,67.087
106.0934,66.647
106.3246,66.087
106.5558,66.427
106.787,67.407
107.01820000000001,67.667
107.2494,67.087
107.4806,65.987
107.7118,65.447
107.943,65.293
108.1742,66.267
108.4054,67.52
108.6366,66.793
108.8678,65.687
109.099,65.607
109.33019999999999,66.06
109.56139999999999,66.38
109.7926,66.633
110.0238,65.813
110.255,65.327
110.4862,65.433
110.7174,66.093
110.9486,65.873
111.1798,65.82
111.411,66.393
111.6422,66.053
111.8734,66.08
112.1046,66.993
112.3358,66.78
112.56700000000001,65.72
112.79820000000001,65.187
113.0294,66.02
113.2606,66.987
113.4918,66.92
113.723,66.027
113.9542,65.313
114.1854,65.467
114.41659999999999,65.473
114.64779999999999,65.227
114.87899999999999,65.7
115.11019999999999,65.547
115.3414,66.14
115.5726,65.853
115.8038,64.533
116.035,65.233
116.2662,65.98
116.4974,64.68
116.7286,63.86
116.9598,63.92
117.191,63.827
117.4222,63.887
117.6534,64.14
117.8846,64.32
118.11580000000001,63.967
118.34700000000001,64.0
118.5782,64.253
118.8094,64.06
119.0406,63.747
119.2718,63.513
119.503,63.607
119.7342,64.373
119.96539999999999,64.38
120.19659999999999,63.867
120.42779999999999,62.687
120.65899999999999,63.507
120.8902,63.413
121.1214,62.447
121.3526,61.787
121.5838,61.947
121.815,61.86
122.0462,61.687
122.2774,61.213
122.5086,62.153
122.7398,62.34
122.971,61.2
123.2022,59.967
123.4334,60.507
123.66460000000001,60.86
123.89580000000001,60.32
124.127,60.1
124.3582,60.427
124.5894,59.887
124.8206,59.093
125.0518,58.433
125.283,58.327
125.51419999999999,58.927
125.74539999999999,58.787
125.97659999999999,58.513
126.20779999999999,57.607
126.439,57.153
126.6702,57.113
126.9014,56.853
127.1326,55.973
127.3638,55.467
127.595,55.267
127.8262,55.32
128.0574,54.893
128.2886,54.44
128.5198,54.347
128.751,54.367
128.9822,54.513
129.2134,54.38
129.4446,53.453
129.67579999999998,53.7
129.90699999999998,54.087
130.13819999999998,53.06
130.36939999999998,51.753
130.6006,51.633
130.8318,52.473
131.063,52.187
131.2942,51.633
131.5254,51.193
131.7566,51.667
131.9878,51.48
132.219,51.107
132.4502,50.4
132.6814,49.787
132.9126,50.433
133.1438,50.0
133.375,49.38
133.6062,49.067
133.8374,49.273
134.0686,49.04
134.2998,48.573
134.531,48.127
134.7622,47.72
134.9934,46.92
135.2246,47.747
135.4558,47.367
135.687,46.82
135.9182,47.08
136.1494,47.007
136.38060000000002,46.2
136.6118,45.593
136.843,46.027
137.0742,46.153
137.3054,45.413
137.5366,44.813
137.7678,44.52
137.999,44.247
138.2302,44.213
138.4614,43.833
138.6926,43.513
138.9238,44.347
139.155,43.967
139.3862,43.187
139.6174,42.387
139.8486,42.58
140.0798,43.167
140.311,42.82
140.54219999999998,41.987
140.77339999999998,41.573
141.00459999999998,41.707
141.23579999999998,41.94
141.46699999999998,41.613
141.69819999999999,40.833
141.9294,40.807
142.1606,40.627
142.3918,39.927
142.623,39.747
142.8542,40.093
143.0854,40.08
143.3166,39.413
143.5478,39.233
143.779,39.4
144.0102,38.9
144.2414,37.86
144.4726,38.207
144.7038,37.933
144.935,37.8
145.1662,38.307
145.3974,37.907
145.6286,37.533
145.8598,36.98
146.091,36.46
146.3222,35.973
146.5534,35.38
146.7846,35.653
147.0158,35.647
147.247,35.433
147.47820000000002,35.193
147.70940000000002,35.7
147.94060000000002,35.853
148.1718,35.173
148.403,35.247
148.6342,35.493
148.8654,35.327
149.0966,34.907
149.3278,35.4
149.559,35.707
149.7902,35.44
150.0214,34.987
150.2526,34.84
150.4838,34.607
150.715,34.207
150.94619999999998,33.753
151.17739999999998,33.913
151.40859999999998,33.827
151.63979999999998,33.373
151.87099999999998,32.993
152.10219999999998,32.993
152.33339999999998,33.087
152.56459999999998,33.253
152.79579999999999,33.48
153.027,33.873
153.2582,33.713
153.4894,32.993
153.7206,33.467
153.9518,32.453
154.183,32.207
154.4142,31.813
154.6454,31.927
154.8766,32.833
155.1078,33.08
155.339,32.207
155.5702,31.853
155.8014,31.5
156.0326,31.793
156.2638,31.567
