Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.8912691003783225,0.049991149874976305
1 mcg,375.23370000000006,0.8934704538034608,0.04891980461584406
1 mcg,375.46700000000004,0.9221939834886463,0.035177715500047314
1 mcg,375.7003,0.898476996465871,0.046493037570951044
1 mcg,375.9336,0.8810461859780699,0.05500132451682615
1 mcg,376.16690000000006,0.8963979819312448,0.04749912986690842
1 mcg,376.40020000000004,0.8532778864970645,0.06890950937350772
1 mcg,376.6335,0.851489228436269,0.06982084160658146
1 mcg,376.8668,0.882462311557789,0.05430383351181212
1 mcg,377.10010000000005,0.8946316342260847,0.048355749213969124
1 mcg,377.33340000000004,0.8890549828178695,0.05107137964170371
1 mcg,377.5667,0.9104249567655602,0.04075584581168772
1 mcg,377.8,0.9231527093596058,0.03472645136145351
1 mcg,378.03330000000005,0.9212518929833418,0.03562160674605355
1 mcg,378.26660000000004,0.9068484258357677,0.04246529653877747
1 mcg,378.4999,0.900612629594722,0.0454619670723559
1 mcg,378.7332,0.9016432712116129,0.044965254018867945
1 mcg,378.96650000000005,0.8718550767173767,0.05955569925627715
1 mcg,379.19980000000004,0.821767231211964,0.08525118065453521
1 mcg,379.4331,0.8585530445699938,0.06623286736110275
1 mcg,379.6664,0.8650922391857505,0.06293758405692394
1 mcg,379.89970000000005,0.8245094762973219,0.08380434853373118
1 mcg,380.13300000000004,0.8087211031287661,0.09220122406782387
1 mcg,380.3663,0.8743706310798259,0.05830443817429161
1 mcg,380.5996,0.9038427079769992,0.043907141428660874
1 mcg,380.83290000000005,0.8971419396274887,0.047138840433821445
1 mcg,381.06620000000004,0.8961549074028989,0.04761691264210797
1 mcg,381.2995,0.8718460419857367,0.059560199722618196
1 mcg,381.5328,0.8599771378462597,0.06551309415084007
1 mcg,381.76610000000005,0.8711456166167689,0.05990924429503544
1 mcg,381.99940000000004,0.8803814760135077,0.055329103953482145
1 mcg,382.2327,0.8708144416456759,0.06007437720211998
1 mcg,382.466,0.8568406552860726,0.06709993532802598
1 mcg,382.69930000000005,0.8767543859649123,0.05712205288233685
1 mcg,382.93260000000004,0.8745968324267076,0.05819209989545297
1 mcg,383.1659,0.8038290993756582,0.09483627598732298
1 mcg,383.3992,0.805105105105105,0.09414741952344034
1 mcg,383.63250000000005,0.8995841650033266,0.04595819786980111
1 mcg,383.86580000000004,0.9230011190726728,0.034797772422850655
1 mcg,384.0991,0.8613314222009876,0.06482970901327938
1 mcg,384.3324,0.876309564041906,0.05734244839128158
1 mcg,384.56570000000005,0.9290420679168777,0.03196462028997458
1 mcg,384.79900000000004,0.9352123804125658,0.029089752584804854
1 mcg,385.0323,0.9371564028849547,0.028187923262115836
1 mcg,385.2656,0.9019090005053718,0.0448372790567841
1 mcg,385.49890000000005,0.8311305490139537,0.08033075447900052
1 mcg,385.73220000000003,0.8847242218140298,0.053192082532795844
1 mcg,385.9655,0.8680639984438068,0.061448255069589834
1 mcg,386.1988,0.8850211491301702,0.053046350951006384
1 mcg,386.43210000000005,0.9090970022956149,0.04138977429828118
1 mcg,386.66540000000003,0.8847787893307778,0.053165297191066455
1 mcg,386.8987,0.9138398144092406,0.03912992441387181
1 mcg,387.132,0.928779534852389,0.03208736260475185
1 mcg,387.36530000000005,0.9088707864196892,0.041497855759075275
1 mcg,387.59860000000003,0.9177691437564551,0.03726654777621799
1 mcg,387.8319,0.9522623284189119,0.021243396057779976
1 mcg,388.0652,0.9366987992558768,0.028400036487012763
1 mcg,388.29850000000005,0.9094106416118173,0.0412399681359133
1 mcg,388.53180000000003,0.9094571134819907,0.04121777578385484
1 mcg,388.7651,0.9147079142024295,0.03871756331183608
