Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.8800668206161254,0.05548435202807885
1 mcg,375.23370000000006,0.8872020894547828,0.051977444048240555
1 mcg,375.46700000000004,0.8856497400375408,0.05273800051097395
1 mcg,375.7003,0.8322477376820551,0.07974737672225347
1 mcg,375.9336,0.8166010031486843,0.08799009090620005
1 mcg,376.16690000000006,0.854259901778381,0.06840997856632065
1 mcg,376.40020000000004,0.8348988910632745,0.07836611578833616
1 mcg,376.6335,0.8148148148148149,0.08894108333678104
1 mcg,376.8668,0.8333835845896148,0.07915505822522538
1 mcg,377.10010000000005,0.8696617031729093,0.06064965429797896
1 mcg,377.33340000000004,0.8958247422680413,0.047776946711506424
1 mcg,377.5667,0.8997800500344196,0.04586364026137893
1 mcg,377.8,0.8789819376026272,0.05602004924944375
1 mcg,378.03330000000005,0.866565707555107,0.06219850121701843
1 mcg,378.26660000000004,0.8549010061668291,0.06808417178008902
1 mcg,378.4999,0.8211278667923343,0.08558920887523641
1 mcg,378.7332,0.8258835177821426,0.08308120104730786
1 mcg,378.96650000000005,0.8330479870860441,0.07932998067435428
1 mcg,379.19980000000004,0.7904734946769197,0.10211268779191378
1 mcg,379.4331,0.8002354048964219,0.09678223799701283
1 mcg,379.6664,0.810591603053435,0.09119789944264348
1 mcg,379.89970000000005,0.7884979551566652,0.10319942860689593
1 mcg,380.13300000000004,0.7617661329451721,0.1181783393699792
1 mcg,380.3663,0.8083622557885646,0.09239397284777258
1 mcg,380.5996,0.8217595986251608,0.08525521440715932
1 mcg,380.83290000000005,0.8173731535003211,0.08757963072785159
1 mcg,381.06620000000004,0.8375614744120367,0.07698330725454794
1 mcg,381.2995,0.8301851765907088,0.08082502545320205
1 mcg,381.5328,0.8314933997275332,0.08014119379658237
1 mcg,381.76610000000005,0.86196106290489,0.06451235197978909
1 mcg,381.99940000000004,0.8550459026964652,0.06801056977163795
1 mcg,382.2327,0.8395298068849705,0.07596387994777641
1 mcg,382.466,0.8012167724373166,0.09624996788977976
1 mcg,382.69930000000005,0.8043047433398312,0.09457937006378889
1 mcg,382.93260000000004,0.8248527736324395,0.08362356091057198
1 mcg,383.1659,0.7910753214396941,0.10178216362207868
1 mcg,383.3992,0.8053153153153153,0.09403404150898532
1 mcg,383.63250000000005,0.8807884231536927,0.055128402248737364
1 mcg,383.86580000000004,0.8942058759666618,0.04856248064164773
1 mcg,384.0991,0.8358655836916706,0.0778635562386195
1 mcg,384.3324,0.8441719371087401,0.07356908923609339
1 mcg,384.56570000000005,0.8932083122149012,0.049047244028424565
1 mcg,384.79900000000004,0.8942477800106491,0.04854212932304843
1 mcg,385.0323,0.8859972091928514,0.05256764609720836
1 mcg,385.2656,0.8535400466246068,0.06877609772431818
1 mcg,385.49890000000005,0.8092949488153027,0.09189317023204567
1 mcg,385.73220000000003,0.8404408479372486,0.0754928477432056
1 mcg,385.9655,0.840765776718702,0.07532497453061615
1 mcg,386.1988,0.8750966934939679,0.0579439571139666
1 mcg,386.43210000000005,0.8796561604584526,0.05568705148199346
1 mcg,386.66540000000003,0.8142469254112762,0.08924387265186774
1 mcg,386.8987,0.8374783017796595,0.07702643627850289
1 mcg,387.132,0.873372741204803,0.05880036694762862
1 mcg,387.36530000000005,0.8737612203600893,0.05860723424004323
1 mcg,387.59860000000003,0.8395875342218725,0.07593401823023276
1 mcg,387.8319,0.8717844433146923,0.05959088508074173
1 mcg,388.0652,0.8708608151530525,0.060051250320933273
1 mcg,388.29850000000005,0.8662513188966487,0.06235609115173776
1 mcg,388.53180000000003,0.8683487552881292,0.06130581390516482
1 mcg,388.7651,0.8770156194712633,0.05699267186796907
1 mcg,388.9984,0.8723964805885569,0.05928609511540557
1 mcg,389.23170000000005,0.8973502673345815,0.047038003468719676
1 mcg,389.46500000000003,0.9071964816437321,0.04229864276077568
1 mcg,389.6983,0.87623770642355,0.057378062115006005
1 mcg,389.9316,0.8895863919404647,0.050811869141477554
1 mcg,390.16490000000005,0.8601990049751245,0.06540106414656627
1 mcg,390.39820000000003,0.793690037474149,0.10034907099480199
1 mcg,390.6315,0.8024957562967381,0.09555725552344238
1 mcg,390.86480000000006,0.8608984051114471,0.06504809674938476
1 mcg,391.09810000000004,0.8579479108493681,0.06653907895479762
1 mcg,391.33140000000003,0.8718755284965332,0.059545511794054956
1 mcg,391.5647,0.8949462861437038,0.048203029858868734
1 mcg,391.79800000000006,0.9018527024957894,0.044864388973655085
1 mcg,392.03130000000004,0.9087879258837139,0.041537451612051364
1 mcg,392.26460000000003,0.9076939325130694,0.04206056758962909
1 mcg,392.4979,0.8005923000987168,0.09658859114912431
1 mcg,392.73120000000006,0.7904036887465379,0.10215104160042787
1 mcg,392.96450000000004,0.8423038270811711,0.07453122604898392
1 mcg,393.19780000000003,0.9041648007165249,0.043752404127798634
1 mcg,393.4311,0.8503670152106523,0.07039359395727193
1 mcg,393.66440000000006,0.7811397557666215,0.10727125840391745
1 mcg,393.89770000000004,0.7984698862184546,0.09774145835551731
1 mcg,394.13100000000003,0.839334880123743,0.07606472859604668
1 mcg,394.3643,0.8496496964035497,0.07076009343465932
1 mcg,394.59760000000006,0.831065919753958,0.08036452681762249
1 mcg,394.83090000000004,0.8321463414634147,0.07980029185677312
1 mcg,395.0642,0.8188156684258945,0.08681385549927305
1 mcg,395.2975,0.8049860022834264,0.09421167141339999
1 mcg,395.53080000000006,0.8316650469711695,0.08005155056246024
1 mcg,395.76410000000004,0.826929534225548,0.08253149673628578
1 mcg,395.9974,0.8410449805798643,0.0751807767404467
1 mcg,396.2307,0.8572265911200116,0.06690436563117506
1 mcg,396.46400000000006,0.8477146483377014,0.0717503122570261
1 mcg,396.69730000000004,0.8355535746710906,0.07802569844793657
1 mcg,396.9306,0.7787784163762804,0.10858609333404716
1 mcg,397.1639,0.8447198088274858,0.07328732141626601
1 mcg,397.39720000000005,0.8530978150525543,0.06900117035405073
1 mcg,397.63050000000004,0.8556189927873468,0.06771958364797166
1 mcg,397.8638,0.8122372723026623,0.09031708529172587
1 mcg,398.0971,0.796098467254993,0.09903321223630784
1 mcg,398.33040000000005,0.8283490566037738,0.08178661803085682
1 mcg,398.56370000000004,0.8599905078310395,0.06550634226730588
1 mcg,398.797,0.84207261278866,0.07465045722513743
1 mcg,399.0303,0.8066446748350613,0.09331772889787637
1 mcg,399.26360000000005,0.7929708431836092,0.10074278100176881
1 mcg,399.49690000000004,0.8268791627021884,0.08255795212340226
1 mcg,399.7302,0.8613528855250709,0.06481888706154813
1 mcg,399.9635,0.8283967391304349,0.08176161931557877
1 mcg,400.19680000000005,0.8054914036438287,0.09393909009264785
1 mcg,400.43010000000004,0.8360384658607457,0.07777374035195248
1 mcg,400.6634,0.8794305399095523,0.05579845674690529
1 mcg,400.8967,0.883905098304866,0.05359436111250241
1 mcg,401.13000000000005,0.8558711852657119,0.06759159482988941
1 mcg,401.36330000000004,0.8343543936772201,0.07864944273544824
1 mcg,401.5966,0.8334498454272888,0.07912052962066891
1 mcg,401.8299,0.8285323623849686,0.08169052341758357
1 mcg,402.06320000000005,0.8277975942310959,0.08207584009239585
1 mcg,402.29650000000004,0.8481469125800251,0.07152891449254192
1 mcg,402.5298,0.8678397060956156,0.061560483564108176
1 mcg,402.7631,0.8858092584445421,0.052659784798197926
1 mcg,402.99640000000005,0.8981449813520952,0.046653552509811874
1 mcg,403.22970000000004,0.8783485558723562,0.056333108407442246
1 mcg,403.463,0.8396857956081349,0.07588319341556013
1 mcg,403.6963,0.8114096909622759,0.0907598096631106
1 mcg,403.92960000000005,0.8127627627627628,0.09003620207923971
1 mcg,404.16290000000004,0.83220927856121,0.07976744643123587
1 mcg,404.3962,0.8627266895116492,0.06412676632013567
1 mcg,404.6295,0.880532212885154,0.05525475142598694
1 mcg,404.86280000000005,0.9288230468561502,0.032067017000886294
1 mcg,405.09610000000004,0.9265155559869921,0.033147284577575736
1 mcg,405.3294,0.8733967599318867,0.05878842352792882
1 mcg,405.5627,0.8286855581084532,0.08161022974379775
1 mcg,405.79600000000005,0.8544695684080171,0.06830339989212326
