Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.8682759378261108,0.061342234234882234
1 mcg,375.23370000000006,0.8783953381654531,0.05630997778286283
1 mcg,375.46700000000004,0.8552656720003057,0.06789895900096084
1 mcg,375.7003,0.843628251169877,0.07384888516566306
1 mcg,375.9336,0.8544099488934294,0.06833370328794208
1 mcg,376.16690000000006,0.8114497324310476,0.0907383786153098
1 mcg,376.40020000000004,0.8139322690041825,0.08941173322085949
1 mcg,376.6335,0.8649648290619779,0.06300155132691594
1 mcg,376.8668,0.8480484888019135,0.07157931541184057
1 mcg,377.10010000000005,0.8441818171828557,0.07356400634199213
1 mcg,377.33340000000004,0.8412171970965939,0.07509185756463446
1 mcg,377.5667,0.8369952510827644,0.0772770060860725
1 mcg,377.8,0.8445589919816724,0.07337000980247126
1 mcg,378.03330000000005,0.8319369588699159,0.079909581704733
1 mcg,378.26660000000004,0.8325725232621783,0.07957792589281831
1 mcg,378.4999,0.8725727746929162,0.059198341641533106
1 mcg,378.7332,0.8497782105377044,0.07069440900145872
1 mcg,378.96650000000005,0.8203686249869098,0.08599095758647803
1 mcg,379.19980000000004,0.8265915031114092,0.0827090633306167
1 mcg,379.4331,0.8356677373944896,0.07796636430645522
1 mcg,379.6664,0.7888642522788863,0.10299772373400452
1 mcg,379.89970000000005,0.7697426239799122,0.113654464009916
1 mcg,380.13300000000004,0.7691687871077183,0.11397834775898874
1 mcg,380.3663,0.7820796401500082,0.10674901993683511
1 mcg,380.5996,0.7944050544416792,0.09995800128363812
1 mcg,380.83290000000005,0.8493316604476597,0.07092268646341288
1 mcg,381.06620000000004,0.8498210862966764,0.07067249712426792
1 mcg,381.2995,0.834719546135731,0.07845941676172472
1 mcg,381.5328,0.8384108898302792,0.07654308942227037
1 mcg,381.76610000000005,0.7873382734384267,0.10383863647986594
1 mcg,381.99940000000004,0.7757473262241432,0.11027971262823316
1 mcg,382.2327,0.8284535105969114,0.08173185738068571
1 mcg,382.466,0.8392472297171172,0.07611008364629487
1 mcg,382.69930000000005,0.8333277357962497,0.07918416323278345
1 mcg,382.93260000000004,0.8054038689646502,0.09398628847832345
1 mcg,383.1659,0.8050086636343947,0.0941994456590084
