Wavelength,Gray_Value
72.177,30.77
72.4103,30.24
72.6436,29.657
72.8769,29.3
73.1102,28.943
73.3435,29.05
73.5768,28.793
73.8101,28.893
74.0434,28.98
74.2767,29.007
74.51,29.083
74.7433,29.083
74.9766,29.033
75.2099,29.017
75.4432,29.143
75.6765,28.837
75.9098,27.94
76.1431,27.813
76.3764,27.96
76.6097,27.853
76.843,28.74
77.0763,29.21
77.3096,28.9
77.5429,28.067
77.7762,27.547
78.0095,27.31
78.2428,26.95
78.4761,27.353
78.7094,27.72
78.9427,27.94
79.176,27.593
79.4093,27.267
79.6426,26.8
79.8759,27.12
80.1092,27.15
80.3425,26.74
80.5758,27.087
80.8091,27.737
81.04240000000001,27.6
81.2757,26.83
81.50900000000001,26.11
81.7423,26.65
81.97560000000001,26.437
82.2089,25.813
82.44220000000001,25.34
82.6755,25.54
82.90880000000001,25.397
83.1421,25.147
83.37540000000001,24.963
83.60870000000001,25.153
83.84200000000001,25.443
84.07530000000001,24.953
84.30860000000001,24.38
84.54190000000001,24.517
84.77520000000001,25.407
85.00850000000001,25.9
85.24180000000001,25.427
85.47510000000001,25.753
85.70840000000001,25.137
85.94170000000001,23.86
86.17500000000001,23.05
86.40830000000001,23.02
86.64160000000001,22.98
86.87490000000001,22.8
87.10820000000001,23.603
87.34150000000001,24.12
87.57480000000001,24.223
87.80810000000001,23.64
88.04140000000001,23.02
88.27470000000001,22.723
88.50800000000001,22.253
88.74130000000001,21.74
88.97460000000001,22.417
89.20790000000001,22.607
89.44120000000001,22.107
89.67450000000001,22.027
89.90780000000001,22.863
90.14110000000001,23.703
90.37440000000001,23.117
90.60770000000001,22.49
90.84100000000001,22.303
91.07430000000001,22.347
91.30760000000001,22.2
91.54090000000001,22.147
91.77420000000001,22.203
92.00750000000001,22.29
92.24080000000001,21.94
92.4741,22.43
92.7074,23.163
92.9407,22.477
93.174,22.337
93.4073,22.063
93.6406,21.637
93.8739,21.77
94.1072,21.783
94.3405,22.057
94.5738,22.237
94.8071,21.773
95.0404,22.197
95.2737,21.943
95.507,22.57
95.7403,22.46
95.9736,22.23
96.2069,22.15
96.4402,22.183
96.6735,22.227
96.9068,22.497
97.1401,22.153
97.3734,21.753
97.6067,21.417
97.84,21.29
98.0733,21.363
98.3066,22.12
98.5399,21.727
98.7732,22.323
99.0065,22.35
99.2398,21.36
99.4731,21.03
99.7064,21.037
99.93970000000002,20.487
100.173,20.59
100.40630000000002,20.43
100.6396,20.68
100.87290000000002,20.92
101.1062,20.84
101.33950000000002,20.623
101.5728,20.577
101.80610000000001,20.72
102.0394,20.497
102.27270000000001,20.427
102.506,20.757
102.73930000000001,21.167
102.9726,21.22
103.20590000000001,21.09
103.4392,20.503
103.67250000000001,20.117
103.9058,20.017
104.13910000000001,19.457
104.3724,19.457
104.60570000000001,19.43
104.839,19.477
105.07230000000001,19.92
105.3056,19.283
105.53890000000001,18.46
105.7722,19.203
106.00550000000001,19.65
106.2388,20.677
106.47210000000001,20.273
106.7054,20.12
106.93870000000001,20.57
107.17200000000001,20.383
107.40530000000001,19.78
107.63860000000001,20.143
107.87190000000001,20.763
108.10520000000001,20.69
108.33850000000001,19.48
108.57180000000001,18.55
108.80510000000001,18.72
109.03840000000001,19.253
109.27170000000001,18.983
109.50500000000001,19.15
109.73830000000001,19.557
109.97160000000001,19.84
110.20490000000001,20.05
110.43820000000001,19.903
110.67150000000001,19.417
110.90480000000001,19.19
111.13810000000001,19.103
111.37140000000001,19.793
111.60470000000001,19.747
111.83800000000001,19.413
112.07130000000001,18.547
112.30460000000001,18.31
112.53790000000001,19.11
112.77120000000001,19.723
113.00450000000001,19.44
113.23780000000001,18.403
113.4711,18.587
113.7044,19.037
113.9377,18.683
114.171,17.653
114.4043,18.803
114.6376,19.723
114.8709,18.427
115.1042,17.817
115.3375,18.42
115.5708,18.903
115.8041,18.993
116.0374,18.93
116.2707,19.037
116.504,18.94
116.7373,18.82
116.9706,17.8
117.2039,17.89
117.43720000000002,17.513
117.6705,17.11
117.90380000000002,17.5
118.1371,18.367
118.37040000000002,18.337
118.6037,17.903
118.83700000000002,17.84
119.0703,18.287
119.30360000000002,18.08
119.5369,17.66
119.77020000000002,17.243
120.0035,17.513
120.23680000000002,17.29
120.4701,17.12
120.70340000000002,17.103
120.9367,17.143
121.17000000000002,17.48
121.4033,17.153
121.63660000000002,16.777
121.8699,17.56
122.10320000000002,17.947
122.3365,17.197
122.56980000000001,17.3
122.8031,17.357
123.03640000000001,17.237
123.2697,17.03
123.50300000000001,16.53
123.7363,17.307
123.96960000000001,17.333
124.2029,16.563
124.43620000000001,17.44
124.6695,16.743
124.90280000000001,16.413
125.1361,16.693
125.36940000000001,17.033
125.6027,16.637
125.83600000000001,17.147
126.0693,16.68
126.30260000000001,16.377
126.5359,16.02
126.76920000000001,16.83
127.00250000000001,17.867
127.23580000000001,17.963
127.46910000000001,17.72
127.70240000000001,16.71
127.93570000000001,15.337
128.169,15.353
128.40230000000003,15.833
