Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.9152207768148161,0.038474129336010604
1 mcg,375.23370000000006,0.8940849413896533,0.048621219655499835
1 mcg,375.46700000000004,0.8652704367084763,0.06284813436853164
1 mcg,375.7003,0.856391646091217,0.06732757780237995
1 mcg,375.9336,0.8627362182712738,0.06412196959259582
1 mcg,376.16690000000006,0.8422712068870977,0.07454804544853671
1 mcg,376.40020000000004,0.8605971381090999,0.06520010248480462
1 mcg,376.6335,0.9156257392950082,0.03828200730737964
1 mcg,376.8668,0.9023013435589564,0.04464839595184978
1 mcg,377.10010000000005,0.8821617835345723,0.0544517603861704
1 mcg,377.33340000000004,0.8569056028574514,0.06706701753550875
1 mcg,377.5667,0.843338397027782,0.0739981258822379
1 mcg,377.8,0.8560315801695113,0.06751021331306992
1 mcg,378.03330000000005,0.8468089712257675,0.07221454964505782
1 mcg,378.26660000000004,0.8526496933822127,0.06922935978087459
1 mcg,378.4999,0.9114669385172425,0.04025907981200239
1 mcg,378.7332,0.8906843567500143,0.05027617520961865
1 mcg,378.96650000000005,0.864832938656775,0.06306777788400318
1 mcg,379.19980000000004,0.8629167152915548,0.06403111834589462
1 mcg,379.4331,0.8806410410616811,0.05520107870923915
1 mcg,379.6664,0.8659531618620173,0.06250559769972122
1 mcg,379.89970000000005,0.8251265918611107,0.08347941638448265
1 mcg,380.13300000000004,0.8007505518763794,0.09650275334876916
1 mcg,380.3663,0.8341253677302557,0.07876867067923835
1 mcg,380.5996,0.844880203304813,0.0732048658810624
1 mcg,380.83290000000005,0.8727535552430066,0.05910837337110272
1 mcg,381.06620000000004,0.870422895533013,0.060269693848938294
1 mcg,381.2995,0.8659626094536893,0.06250085955136735
1 mcg,381.5328,0.8732791217956304,0.05884692275385758
1 mcg,381.76610000000005,0.8483378616394137,0.07143114983891517
1 mcg,381.99940000000004,0.8388932163782301,0.0762933174658923
1 mcg,382.2327,0.852846944105868,0.06912890235476903
1 mcg,382.466,0.862113446989506,0.06443558085780902
1 mcg,382.69930000000005,0.8476039193582364,0.0718070437595922
1 mcg,382.93260000000004,0.8262425068272687,0.08289246609429175
1 mcg,383.1659,0.827373002092516,0.08229865461954985
1 mcg,383.3992,0.8468840075539211,0.07217606821579167
1 mcg,383.63250000000005,0.843846899224806,0.07373634111516995
