Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.9350959400759312,0.029143828584128315
1 mcg,375.23370000000006,0.9759095989072398,0.010590410319065127
1 mcg,375.46700000000004,0.9589766747138615,0.018191956089247553
1 mcg,375.7003,0.9340772879982444,0.029617187621665136
1 mcg,375.9336,0.9180885788610341,0.03711541525332611
1 mcg,376.16690000000006,0.9150645433907237,0.038548272217874865
1 mcg,376.40020000000004,0.9181348540758136,0.037093525683602295
1 mcg,376.6335,0.8877710149695673,0.05169903845490457
1 mcg,376.8668,0.8894435707832835,0.05088159977209732
1 mcg,377.10010000000005,0.9331298793470547,0.030057903994035812
1 mcg,377.33340000000004,0.9064910728228618,0.042636468504887996
1 mcg,377.5667,0.9064195531977195,0.04267073448371496
1 mcg,377.8,0.913477912194789,0.039301949381934646
1 mcg,378.03330000000005,0.9208459214501511,0.035813031108155834
1 mcg,378.26660000000004,0.9502507836990597,0.022161763549602895
1 mcg,378.4999,0.9516073351221097,0.02154221901940907
1 mcg,378.7332,0.9438771735109138,0.025084516652182882
1 mcg,378.96650000000005,0.9768798115794283,0.010158865532708483
1 mcg,379.19980000000004,0.9368940295968703,0.02830952860419563
1 mcg,379.4331,0.9082319042177952,0.041803246343472676
1 mcg,379.6664,0.9045596252271477,0.043562800773581
1 mcg,379.89970000000005,0.9163496400158082,0.03793878642307888
1 mcg,380.13300000000004,0.9143587087864665,0.038883394326562355
1 mcg,380.3663,0.8958094308833674,0.04778436971110533
1 mcg,380.5996,0.8841953642384105,0.053451766393451144
1 mcg,380.83290000000005,0.9114188730482009,0.04028198258281474
1 mcg,381.06620000000004,0.905230216066851,0.04324095797395715
1 mcg,381.2995,0.9262306610407876,0.0332808466411728
1 mcg,381.5328,0.9271522957821674,0.03284892196631793
1 mcg,381.76610000000005,0.9123848549964187,0.039821932345491716
1 mcg,381.99940000000004,0.912484996027117,0.0397742679084212
1 mcg,382.2327,0.8884903238711184,0.05134729752920524
1 mcg,382.466,0.8887120262810309,0.051238942806693354
1 mcg,382.69930000000005,0.9105484938185618,0.04069691968017901
1 mcg,382.93260000000004,0.9220269846250391,0.03525636842331514
1 mcg,383.1659,0.9113635199070832,0.040308359361352575
1 mcg,383.3992,0.9035580303820465,0.04404394994821925
1 mcg,383.63250000000005,0.902841592092961,0.04438844206172198
1 mcg,383.86580000000004,0.9000795149587514,0.04571912235799299
1 mcg,384.0991,0.8761304909560723,0.05743120515426908
1 mcg,384.3324,0.887791638735837,0.05168894949761693
1 mcg,384.56570000000005,0.9376975945017183,0.02793719809667004
1 mcg,384.79900000000004,0.9418196232528477,0.026032265070143425
1 mcg,385.0323,0.9174853771766639,0.037400848778425935
1 mcg,385.2656,0.9185814986803863,0.036882306035374936
1 mcg,385.49890000000005,0.9340603192565541,0.029625077223429518
1 mcg,385.73220000000003,0.9500990932528895,0.02223109638632738
1 mcg,385.9655,0.9376866967697118,0.02794224540873056
1 mcg,386.1988,0.9270283826556204,0.03290696893854742
1 mcg,386.43210000000005,0.9316091653142069,0.03076624746045182
1 mcg,386.66540000000003,0.9263092995375919,0.03324397589508952
1 mcg,386.8987,0.9453089601023813,0.024426225630531827
1 mcg,387.132,0.9622591315609851,0.01670795888473041
1 mcg,387.36530000000005,0.9426352317150878,0.0256563321835283
1 mcg,387.59860000000003,0.924858538878721,0.03392468940428684
1 mcg,387.8319,0.9187419961082376,0.03680643137568601
1 mcg,388.0652,0.9475979826841319,0.02337587250613444
1 mcg,388.29850000000005,0.9889291313043949,0.004834829723566669
1 mcg,388.53180000000003,0.9680852183984696,0.01408641102712774
1 mcg,388.7651,0.9628591499824375,0.01643723817066996
1 mcg,388.9984,0.9405869795372893,0.026601037448588858
1 mcg,389.23170000000005,0.91990503389189,0.036257004595220896
1 mcg,389.46500000000003,0.9195336895427104,0.03643235461027814
1 mcg,389.6983,0.8948628801112563,0.04824350655365671
1 mcg,389.9316,0.8854768300873067,0.052822798332606904
1 mcg,390.16490000000005,0.9071933117215493,0.04230016027340402
1 mcg,390.39820000000003,0.9508356423062669,0.021894547004008214
1 mcg,390.6315,0.9599354193355911,0.017757983595448095
1 mcg,390.86480000000006,0.9503861600247142,0.02209989671963764
1 mcg,391.09810000000004,0.9292617698013557,0.03186192953015326
1 mcg,391.33140000000003,0.9163800723852092,0.037924363554268606
1 mcg,391.5647,0.8801743837414713,0.05543127512959871
1 mcg,391.79800000000006,0.8757866116325161,0.05760169826077329
1 mcg,392.03130000000004,0.9164230916096783,0.037903976191159344
1 mcg,392.26460000000003,0.9157010769816807,0.03824627502701455
1 mcg,392.4979,0.9334508640251351,0.029908537965981676
1 mcg,392.73120000000006,0.9358463211308444,0.028795462548783998
1 mcg,392.96450000000004,0.9532774817722939,0.020780665718576622
1 mcg,393.19780000000003,0.9814221675945339,0.008144136741025682
1 mcg,393.4311,0.9204846674699205,0.03598344115091161
1 mcg,393.66440000000006,0.8904337862170568,0.050398369687215325
1 mcg,393.89770000000004,0.9404205006939802,0.026677912042604484
1 mcg,394.13100000000003,0.9514289134784766,0.02162365470994413
1 mcg,394.3643,0.9431058542095818,0.025439559310319666
1 mcg,394.59760000000006,0.9322432476144267,0.03047075361901724
1 mcg,394.83090000000004,0.9205645748692963,0.035945741624102814
1 mcg,395.0642,0.9100213429650305,0.0409484219390782
1 mcg,395.2975,0.8981139489194498,0.04666855838010387
1 mcg,395.53080000000006,0.8914680687271714,0.04989420809596955
1 mcg,395.76410000000004,0.9011949128465664,0.04518126848937467
1 mcg,395.9974,0.8785290667361834,0.05624386500044478
