Wavelength,Gray_Value
72.177,29.297
72.4103,29.107
72.6436,28.737
72.8769,28.747
73.1102,28.717
73.3435,28.597
73.5768,28.723
73.8101,28.807
74.0434,28.42
74.2767,28.493
74.51,28.68
74.7433,28.373
74.9766,27.983
75.2099,28.537
75.4432,28.507
75.6765,27.73
75.9098,27.423
76.1431,27.79
76.3764,27.96
76.6097,27.67
76.843,27.27
77.0763,27.163
77.3096,27.137
77.5429,27.207
77.7762,27.547
78.0095,27.31
78.2428,26.95
78.4761,26.2
78.7094,25.807
78.9427,26.653
79.176,27.267
79.4093,27.267
79.6426,26.297
79.8759,27.12
80.1092,27.15
80.3425,26.357
80.5758,25.973
80.8091,26.317
81.04240000000001,25.88
81.2757,25.09
81.50900000000001,25.457
81.7423,25.347
81.97560000000001,25.127
82.2089,25.09
82.44220000000001,24.87
82.6755,24.55
82.90880000000001,24.177
83.1421,24.067
83.37540000000001,24.637
83.60870000000001,24.473
83.84200000000001,24.643
84.07530000000001,24.503
84.30860000000001,23.32
84.54190000000001,23.15
84.77520000000001,23.41
85.00850000000001,23.01
85.24180000000001,23.32
85.47510000000001,23.31
85.70840000000001,23.163
85.94170000000001,22.933
86.17500000000001,22.633
86.40830000000001,22.273
86.64160000000001,22.247
86.87490000000001,22.657
87.10820000000001,23.603
87.34150000000001,23.123
87.57480000000001,22.48
87.80810000000001,21.52
88.04140000000001,20.357
88.27470000000001,19.74
88.50800000000001,20.087
88.74130000000001,20.68
88.97460000000001,21.917
89.20790000000001,21.79
89.44120000000001,21.413
89.67450000000001,20.75
89.90780000000001,20.097
90.14110000000001,20.083
90.37440000000001,20.323
90.60770000000001,20.547
90.84100000000001,21.327
91.07430000000001,21.197
91.30760000000001,20.77
91.54090000000001,20.35
91.77420000000001,20.247
92.00750000000001,20.38
92.24080000000001,20.753
92.4741,20.91
92.7074,20.917
92.9407,19.877
93.174,19.727
93.4073,20.397
93.6406,20.71
93.8739,20.877
94.1072,20.75
94.3405,20.213
94.5738,21.017
94.8071,20.733
95.0404,20.85
95.2737,20.7
95.507,19.607
95.7403,19.863
95.9736,20.297
96.2069,20.123
96.4402,19.35
96.6735,19.787
96.9068,20.557
97.1401,20.787
97.3734,19.86
97.6067,19.507
97.84,19.567
98.0733,19.547
98.3066,20.287
98.5399,20.447
98.7732,20.527
99.0065,20.413
99.2398,19.993
99.4731,19.393
99.7064,19.313
99.93970000000002,19.36
100.173,19.46
100.40630000000002,18.85
100.6396,18.95
100.87290000000002,20.17
101.1062,20.84
101.33950000000002,20.603
101.5728,19.94
101.80610000000001,19.677
102.0394,19.997
102.27270000000001,19.717
102.506,19.06
102.73930000000001,19.263
102.9726,19.77
103.20590000000001,19.557
103.4392,19.187
103.67250000000001,19.493
103.9058,19.767
104.13910000000001,19.183
104.3724,19.023
104.60570000000001,19.39
104.839,19.037
105.07230000000001,19.023
105.3056,18.69
105.53890000000001,18.457
105.7722,19.07
106.00550000000001,18.907
106.2388,18.737
106.47210000000001,18.95
106.7054,19.023
106.93870000000001,19.307
107.17200000000001,18.883
107.40530000000001,18.797
107.63860000000001,18.72
107.87190000000001,18.72
108.10520000000001,18.057
108.33850000000001,17.223
108.57180000000001,17.22
108.80510000000001,18.45
109.03840000000001,19.253
109.27170000000001,18.983
109.50500000000001,18.777
109.73830000000001,18.527
109.97160000000001,18.36
110.20490000000001,17.487
110.43820000000001,16.98
110.67150000000001,17.703
110.90480000000001,18.66
111.13810000000001,18.587
111.37140000000001,19.053
111.60470000000001,19.747
111.83800000000001,19.413
112.07130000000001,18.547
112.30460000000001,17.57
112.53790000000001,17.123
112.77120000000001,16.857
113.00450000000001,17.333
113.23780000000001,17.503
113.4711,17.483
113.7044,17.093
113.9377,17.183
114.171,17.597
114.4043,17.673
114.6376,17.413
114.8709,17.333
115.1042,17.64
115.3375,17.69
115.5708,17.417
115.8041,16.95
116.0374,16.94
116.2707,17.413
116.504,17.367
116.7373,17.11
116.9706,17.467
117.2039,17.89
117.43720000000002,17.513
117.6705,17.11
117.90380000000002,17.13
118.1371,17.06
118.37040000000002,16.803
118.6037,16.997
118.83700000000002,16.437
119.0703,16.607
119.30360000000002,16.443
119.5369,16.233
119.77020000000002,15.893
120.0035,16.643
120.23680000000002,17.29
120.4701,17.047
120.70340000000002,17.103
120.9367,16.887
121.17000000000002,16.997
121.4033,17.153
121.63660000000002,16.777
121.8699,16.02
122.10320000000002,15.477
122.3365,15.52
122.56980000000001,17.3
122.8031,17.357
123.03640000000001,17.237
123.2697,17.03
123.50300000000001,16.53
123.7363,15.84
123.96960000000001,15.497
124.2029,15.893
124.43620000000001,17.44
124.6695,16.743
124.90280000000001,16.413
125.1361,16.11
125.36940000000001,15.787
125.6027,16.583
125.83600000000001,17.147
126.0693,16.68
126.30260000000001,15.547
126.5359,15.387
126.76920000000001,15.887
127.00250000000001,16.337
127.23580000000001,16.32
127.46910000000001,16.813
127.70240000000001,16.483
127.93570000000001,15.337
128.169,15.183
128.40230000000003,15.833
128.6356,17.12
128.8689,17.623
129.1022,16.59
129.33550000000002,16.447
129.5688,16.153
129.8021,14.723
130.0354,15.43
130.26870000000002,16.163
130.502,16.607
130.7353,16.053
130.9686,15.273
131.20190000000002,15.29
131.4352,15.357
131.6685,15.613
131.9018,16.31
132.13510000000002,16.583
132.3684,16.243
132.6017,15.583
132.835,15.157
133.06830000000002,15.177
133.3016,15.537
133.5349,15.607
133.7682,15.57
134.00150000000002,16.507
134.2348,16.717
134.4681,15.87
134.7014,14.513
134.93470000000002,13.91
135.168,13.953
135.4013,14.27
135.6346,14.757
135.86790000000002,15.42
136.1012,15.583
136.3345,15.023
136.5678,14.553
136.80110000000002,14.63
137.0344,14.713
137.2677,14.553
137.501,14.627
137.73430000000002,14.587
137.9676,13.983
138.2009,13.583
138.4342,14.15
138.66750000000002,14.95
138.9008,14.703
139.1341,13.837
139.3674,13.203
139.60070000000002,13.233
139.834,13.697
140.0673,14.387
140.3006,14.597
140.53390000000002,14.783
140.7672,14.667
141.0005,14.543
141.2338,14.24
141.46710000000002,14.283
141.7004,14.187
141.93370000000002,14.233
142.16700000000003,14.563
142.40030000000002,15.253
142.6336,15.837
142.86690000000002,16.247
143.10020000000003,16.017
143.33350000000002,15.323
143.5668,14.493
143.80010000000001,13.683
144.03340000000003,12.753
144.26670000000001,13.01
144.5,13.75
144.7333,14.11
144.96660000000003,14.897
145.1999,15.203
145.4332,15.06
145.6665,14.807
145.89980000000003,14.723
146.1331,14.523
146.3664,14.307
146.5997,14.427
146.83300000000003,14.803
147.0663,14.583
147.2996,13.987
147.5329,13.53
147.76620000000003,13.853
147.9995,15.0
148.2328,15.303
148.4661,14.88
148.69940000000003,15.737
148.9327,15.977
149.166,15.34
149.3993,14.42
149.63260000000002,14.117
