Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.9530052256878061,0.020904717954374433
1 mcg,375.23370000000006,0.919765406162465,0.03632292895993983
1 mcg,375.46700000000004,0.9507385617387237,0.021938890847893976
1 mcg,375.7003,0.9651251360174103,0.015416373331324321
1 mcg,375.9336,0.9623861615562862,0.01665063047593439
1 mcg,376.16690000000006,0.969439483321607,0.01347929631172555
1 mcg,376.40020000000004,0.9154304939593209,0.038374624858591645
1 mcg,376.6335,0.9476267239835213,0.023362700255176953
1 mcg,376.8668,0.9636886244974441,0.01606326745291462
1 mcg,377.10010000000005,0.9911064074713605,0.0038797161536416
1 mcg,377.33340000000004,1.0010403071743363,-0.00045156482294006576
1 mcg,377.5667,0.9587318645889308,0.0183028380974047
1 mcg,377.8,0.9732865574010123,0.011759274864505363
1 mcg,378.03330000000005,0.9478087722182643,0.023279276108915416
1 mcg,378.26660000000004,0.9755612235668673,0.010745470274684038
1 mcg,378.4999,0.981662437690079,0.008037826521994125
1 mcg,378.7332,0.971005927756586,0.012778118821019513
1 mcg,378.96650000000005,0.9476266383280199,0.023362739510837827
1 mcg,379.19980000000004,0.9580716253443526,0.01860202189324202
1 mcg,379.4331,0.9827789308352498,0.007544162651939885
1 mcg,379.6664,0.986532935143968,0.0058884113620959605
1 mcg,379.89970000000005,0.9858372142049482,0.006194791761730138
1 mcg,380.13300000000004,0.9201956447465429,0.03611982656678861
1 mcg,380.3663,0.9517555960197908,0.021474560992848155
1 mcg,380.5996,0.9464762950759655,0.02389025866439094
1 mcg,380.83290000000005,0.9266713179126639,0.0330742789396426
1 mcg,381.06620000000004,0.9433082167204881,0.025346382606941397
1 mcg,381.2995,0.9463458110516936,0.023950135915004354
1 mcg,381.5328,0.9241154310640063,0.03427377775924739
1 mcg,381.76610000000005,0.9127979464613127,0.039625345629197
1 mcg,381.99940000000004,0.9399841821626296,0.026879454546349546
1 mcg,382.2327,0.9678270912390694,0.01420222536547678
1 mcg,382.466,0.9468478067838749,0.02371982246002448
1 mcg,382.69930000000005,0.9510605332051076,0.021791840160059993
1 mcg,382.93260000000004,0.9590411176377204,0.01816277262040617
1 mcg,383.1659,0.9538429515533123,0.020523125178939235
1 mcg,383.3992,0.9547154428315698,0.02012605252434654
1 mcg,383.63250000000005,0.9436149908135778,0.025205168278280222
1 mcg,383.86580000000004,0.9309003940191675,0.031096785873726912
1 mcg,384.0991,0.9171384546131339,0.03756509667946584
1 mcg,384.3324,0.9166045107440953,0.03781800985967031
1 mcg,384.56570000000005,0.9366607504616432,0.02841767792843655
1 mcg,384.79900000000004,0.9733542602514837,0.011729065928050232
1 mcg,385.0323,0.9482825096389766,0.023062259603501143
1 mcg,385.2656,0.9563919083774878,0.01936410692041225
1 mcg,385.49890000000005,0.9760075329566856,0.010546830377472189
1 mcg,385.73220000000003,1.0104692465881473,-0.0045231003943121
1 mcg,385.9655,1.038341158059468,-0.016340069042054154
1 mcg,386.1988,1.0482141799443228,-0.020450030418968392
1 mcg,386.43210000000005,0.9661685005748071,0.014947125667076079
1 mcg,386.66540000000003,0.8997220774709048,0.04589162262834604
1 mcg,386.8987,0.9170912951167728,0.03758742878813053
1 mcg,387.132,0.8945349626612357,0.048402680480498235
1 mcg,387.36530000000005,0.9157187176835573,0.03823790855690817
1 mcg,387.59860000000003,0.9309923130677847,0.03105390484682696
1 mcg,387.8319,0.8808147106318696,0.0551154407519084
1 mcg,388.0652,0.8718188105117566,0.05957376480522873
1 mcg,388.29850000000005,0.9074483965614865,0.042178062408436065
