Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.8858399734395751,0.05264472611432777
1 mcg,375.23370000000006,0.8588916459884204,0.06606162140447777
1 mcg,375.46700000000004,0.9372851769871692,0.028128251216113117
1 mcg,375.7003,0.951128290474401,0.02176090042599254
1 mcg,375.9336,0.9141180592047644,0.03899771110415404
1 mcg,376.16690000000006,0.9214522540345479,0.03552716326264261
1 mcg,376.40020000000004,0.902838389214121,0.04438998274735934
1 mcg,376.6335,0.94325794546186,0.025369527864884996
1 mcg,376.8668,0.9517436511656167,0.02148001156947716
1 mcg,377.10010000000005,0.9137171581074779,0.03918821967460211
1 mcg,377.33340000000004,0.8929021782315039,0.04919611757429483
1 mcg,377.5667,0.924973600844773,0.03387066204047943
1 mcg,377.8,0.9630794701986755,0.016337874822764022
1 mcg,378.03330000000005,0.9170036483887781,0.03762893644343346
1 mcg,378.26660000000004,0.9144329896907216,0.03884811443451847
1 mcg,378.4999,0.9872065537090167,0.005591970176499728
1 mcg,378.7332,1.093020534721816,-0.03862832117440424
1 mcg,378.96650000000005,1.023137749045819,-0.009934108417105958
1 mcg,379.19980000000004,0.9403231292517006,0.026722881361592423
1 mcg,379.4331,0.9589974046785459,0.018182568152914566
1 mcg,379.6664,0.9587892049598833,0.018276864347131133
1 mcg,379.89970000000005,0.8877634373468387,0.05170274541731548
1 mcg,380.13300000000004,0.8385814889336018,0.07645472855625277
1 mcg,380.3663,0.8526865997747863,0.06921056203088419
1 mcg,380.5996,0.8913567493112948,0.04994844271018131
1 mcg,380.83290000000005,0.9483876811594203,0.023014095814930566
1 mcg,381.06620000000004,0.9784885579436262,0.009444248443382892
1 mcg,381.2995,0.9523256028486561,0.021214539699674947
1 mcg,381.5328,0.9116472279916918,0.04017318423223871
1 mcg,381.76610000000005,0.9008076242532541,0.04536794669665404
1 mcg,381.99940000000004,0.9716956223266621,0.012469753844882123
1 mcg,382.2327,0.9214505621608748,0.03552796066920559
1 mcg,382.466,0.9282176081741141,0.032350197325821936
1 mcg,382.69930000000005,0.9614672633489694,0.017065498309470652
1 mcg,382.93260000000004,0.9397635679742075,0.026981395378670506
1 mcg,383.1659,0.9821650237312886,0.00781553576230976
1 mcg,383.3992,0.9500254613777238,0.02226475514518584
1 mcg,383.63250000000005,0.836432124402376,0.07756929581757718
1 mcg,383.86580000000004,0.8121663563004345,0.09035500496627401
1 mcg,384.0991,0.9123165110306,0.03985446523859191
1 mcg,384.3324,0.97784981091302,0.009727843883719589
1 mcg,384.56570000000005,0.965224358974359,0.015371726511843526
1 mcg,384.79900000000004,0.9500883628768811,0.022236001316179657
1 mcg,385.0323,0.9382522522522523,0.027680384400037453
1 mcg,385.2656,0.9295968428103331,0.031705359945546435
1 mcg,385.49890000000005,0.9408850069621513,0.026463451911217434
1 mcg,385.73220000000003,0.9616169275487914,0.01699790029523911
1 mcg,385.9655,0.9988449859349093,0.0005019061451479045
1 mcg,386.1988,1.0130667712008363,-0.0056380706400549745
1 mcg,386.43210000000005,0.9525592341017275,0.02110800857238616
1 mcg,386.66540000000003,0.8969631049187687,0.04722542056764713
1 mcg,386.8987,0.9344543288596355,0.029441919762883066
1 mcg,387.132,1.006930568306601,-0.002999525329290151
1 mcg,387.36530000000005,1.022528735632184,-0.00967552161936374
1 mcg,387.59860000000003,1.018387580591753,-0.007913094383463826
1 mcg,387.8319,0.9931439764936337,0.0029877870895930604
1 mcg,388.0652,0.9598173515981735,0.017811403147894932
1 mcg,388.29850000000005,0.9486775543069196,0.022881374697030065
1 mcg,388.53180000000003,0.928801086638813,0.03207728517197585
1 mcg,388.7651,0.9518345001842394,0.021438557818312626
1 mcg,388.9984,0.9785593173986764,0.00941284354903017
1 mcg,389.23170000000005,0.98023531166676,0.008669656663427935
1 mcg,389.46500000000003,0.9208385199617544,0.03581652185336311
1 mcg,389.6983,0.9509526190079431,0.021841121144624498
1 mcg,389.9316,0.9883727307629024,0.005079245304122922
1 mcg,390.16490000000005,1.0091220887428398,-0.003943712579550824
1 mcg,390.39820000000003,0.9644724726811553,0.01571016318160983
1 mcg,390.6315,0.9549040324000705,0.020040272702478434
1 mcg,390.86480000000006,0.9695158076156623,0.01344510550813621
1 mcg,391.09810000000004,0.9753161077515119,0.010854603170830077
1 mcg,391.33140000000003,0.9540205567602827,0.020442267233670892
1 mcg,391.5647,0.9338533541341655,0.02972131701464478
1 mcg,391.79800000000006,0.9517109605697412,0.021494929020424176
1 mcg,392.03130000000004,0.9349085365853659,0.029230874688167287
1 mcg,392.26460000000003,0.8799102683761524,0.055561614140812524
1 mcg,392.4979,0.8499471700493605,0.07060806777874468
1 mcg,392.73120000000006,0.8948533480907583,0.04824813265453062
1 mcg,392.96450000000004,0.9611576400521123,0.017205377586201415
1 mcg,393.19780000000003,0.8995043370508057,0.04599673831877252
1 mcg,393.4311,0.9481304270777956,0.023131915969978562
1 mcg,393.66440000000006,0.9926784732932687,0.003191395901600881
1 mcg,393.89770000000004,0.9855903699769872,0.006303548570768934
