Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,1.0552472779745503,-0.023354240559061625
1 mcg,375.23370000000006,1.035662871351917,-0.015218407012357656
1 mcg,375.46700000000004,1.0508151612666812,-0.021526330203638196
1 mcg,375.7003,1.0291356005892007,-0.012472601883620725
1 mcg,375.9336,1.01050785873893,-0.004539695380942268
1 mcg,376.16690000000006,1.0756062098400636,-0.03165330088808815
1 mcg,376.40020000000004,1.081508319914117,-0.03402986476345288
1 mcg,376.6335,0.9862977504961687,0.005991957394702692
1 mcg,376.8668,0.9048444376476181,0.04342607900297454
1 mcg,377.10010000000005,0.9573902745465799,0.018910988523390425
1 mcg,377.33340000000004,0.9754420131425033,0.010798542897606329
1 mcg,377.5667,0.9891878175730456,0.004721240868546373
1 mcg,377.8,1.0394384896229911,-0.01679879438157272
1 mcg,378.03330000000005,1.0128556200251495,-0.005547542206016866
1 mcg,378.26660000000004,0.9825273299981468,0.00765536044128257
1 mcg,378.4999,1.0305507358138934,-0.01306937771795534
1 mcg,378.7332,1.0217474581912491,-0.009343565987362284
1 mcg,378.96650000000005,0.997639203969088,0.0010264928365459115
1 mcg,379.19980000000004,0.9544702925673213,0.02023758426859893
1 mcg,379.4331,0.9341716849687092,0.029573300448157407
1 mcg,379.6664,0.9626629935720843,0.016525722893825395
1 mcg,379.89970000000005,0.9755738798202473,0.010739836076421622
1 mcg,380.13300000000004,0.9712877919898821,0.012652069829786927
1 mcg,380.3663,0.9860863565802331,0.006085050024298419
1 mcg,380.5996,0.960344078007577,0.017573137369520864
1 mcg,380.83290000000005,0.9838716832385912,0.007061538657315408
1 mcg,381.06620000000004,0.9741554170021278,0.01137175014201313
1 mcg,381.2995,0.9603000365898281,0.01759305458850125
1 mcg,381.5328,0.9565368440299868,0.019298297094350905
1 mcg,381.76610000000005,0.9158823529411763,0.03816030881015374
1 mcg,381.99940000000004,0.9142137865979318,0.038952233715841805
1 mcg,382.2327,0.9392739273927391,0.027207732754039576
1 mcg,382.466,0.9638887356152706,0.015973095036128544
1 mcg,382.69930000000005,0.9747444193905171,0.0111092425568445
1 mcg,382.93260000000004,1.0108306194035,-0.004678388804438841
1 mcg,383.1659,1.0034215539403353,-0.0014834256301556102
1 mcg,383.3992,0.9597349373504317,0.017848695232359137
1 mcg,383.63250000000005,0.9352598682879163,0.029067700696848987
1 mcg,383.86580000000004,0.9504085358288579,0.02208967185075581
1 mcg,384.0991,0.9512019645267353,0.021727261435790755
1 mcg,384.3324,0.9890740013587379,0.004771213782552461
1 mcg,384.56570000000005,0.9706393855561124,0.012942090331006354
1 mcg,384.79900000000004,0.9659499195113143,0.015045389364726892
1 mcg,385.0323,0.9919313421568807,0.003518387073965366
1 mcg,385.2656,1.0138194444444442,-0.005960616473044777
1 mcg,385.49890000000005,0.9626450397910211,0.016533822613880728
1 mcg,385.73220000000003,0.9613930312023936,0.01709903024285661
1 mcg,385.9655,0.9978405524168233,0.0009388502334995319
1 mcg,386.1988,1.0178578235182005,-0.007687119087441564
1 mcg,386.43210000000005,1.047194087412058,-0.020027181469011418
1 mcg,386.66540000000003,1.0446906667196174,-0.018987714730235895
1 mcg,386.8987,1.0318834849083955,-0.013630661711649384
1 mcg,387.132,1.032315788778616,-0.013812569718769018
1 mcg,387.36530000000005,0.952268787785448,0.02124045017023909
1 mcg,387.59860000000003,0.9002376103190766,0.045642846970933466
1 mcg,387.8319,0.9028323566586229,0.04439288461146781
1 mcg,388.0652,0.8993885394828789,0.046052650758578034
1 mcg,388.29850000000005,0.8915744936998254,0.04984236437738516
1 mcg,388.53180000000003,0.9066735822959887,0.04254903810289112
1 mcg,388.7651,0.918406799242749,0.036964909721061964
1 mcg,388.9984,0.9067065527065525,0.04253324564206159
1 mcg,389.23170000000005,0.8745012571441539,0.05823956186240406
1 mcg,389.46500000000003,0.8771267746068181,0.05693763179569871
1 mcg,389.6983,0.8877946618191227,0.05168747065269804
1 mcg,389.9316,0.9661803217358769,0.01494181206638133
1 mcg,390.16490000000005,1.0447870922851716,-0.01902779851756874
1 mcg,390.39820000000003,1.0281925597885397,-0.012074456898772025
1 mcg,390.6315,0.9923741953388472,0.0033245371927043865
1 mcg,390.86480000000006,0.9905925480842178,0.004104943401893755
1 mcg,391.09810000000004,0.9605322830886737,0.01748803410092598
1 mcg,391.33140000000003,0.9307927554650276,0.03114700556773828
1 mcg,391.5647,0.9528872767790992,0.02095847183629274
1 mcg,391.79800000000006,0.9116827725580174,0.040156251686825475
1 mcg,392.03130000000004,0.9139813880479871,0.03906264797552993
1 mcg,392.26460000000003,0.9054882001161103,0.04311720482849933
1 mcg,392.4979,0.9281376694332791,0.03238760067686705
1 mcg,392.73120000000006,0.9830527924238853,0.007423158828355332
1 mcg,392.96450000000004,1.01446282261683,-0.0062361359152380055
1 mcg,393.19780000000003,1.0036349293039624,-0.0015757675688305732
1 mcg,393.4311,0.9758436015858577,0.010619781115024714
1 mcg,393.66440000000006,0.9486532420044289,0.022892504752827576
1 mcg,393.89770000000004,0.9727363534872788,0.01200485319627743
1 mcg,394.13100000000003,0.9780162136385308,0.009653945380723809
1 mcg,394.3643,0.9622680400228498,0.01670393826513381
1 mcg,394.59760000000006,0.967609024503658,0.014300089799757233
1 mcg,394.83090000000004,0.9925604911520403,0.0032430158767037805
1 mcg,395.0642,1.0001639971573821,-7.121722094758689e-05
1 mcg,395.2975,0.9808731436750757,0.008387156294204978
1 mcg,395.53080000000006,0.9340207347306736,0.02964348257166056
1 mcg,395.76410000000004,0.9301862229014545,0.03143009716398261
1 mcg,395.9974,0.9307986634117624,0.03114424901370574
1 mcg,396.2307,0.9652399527824215,0.015364710267355296
1 mcg,396.46400000000006,1.0218861770537981,-0.009402524536090844
1 mcg,396.69730000000004,1.0348124196976058,-0.014861632427351848
1 mcg,396.9306,1.0485537821806392,-0.02059071110584271
1 mcg,397.1639,1.0489186341947072,-0.020741800785766134
1 mcg,397.39720000000005,1.0477583394273495,-0.02026112620153141
1 mcg,397.63050000000004,1.0548878810783568,-0.023206303030349675
1 mcg,397.8638,1.0520094562647753,-0.02201964360588919
1 mcg,398.0971,1.0141350323927822,-0.00609578529186219
1 mcg,398.33040000000005,0.9776220953698898,0.009828991441968176
1 mcg,398.56370000000004,0.9194873228014222,0.03645425410979926
1 mcg,398.797,0.8995458231954581,0.04597670863410969
1 mcg,399.0303,0.9302825621974556,0.0313851196561456
1 mcg,399.26360000000005,1.0111560305944753,-0.004818176360217656
1 mcg,399.49690000000004,1.0861061419200952,-0.035872269633738484
1 mcg,399.7302,1.045499936796865,-0.019324010899483463
1 mcg,399.9635,0.9859642353986539,0.00613883825424232
1 mcg,400.19680000000005,1.002057721732707,-0.0008927390042623323
1 mcg,400.43010000000004,1.0007511869340422,-0.0003261138694227391
1 mcg,400.6634,0.9753410253333101,0.010843507865464114
1 mcg,400.8967,0.9919257212694107,0.0035208480581326645
1 mcg,401.13000000000005,0.9520504453168567,0.021340039491232702
1 mcg,401.36330000000004,0.9809446432378547,0.008355500076390772
1 mcg,401.5966,0.9846417483875889,0.006721754273219006
1 mcg,401.8299,0.9725687225687225,0.012079701284632989
1 mcg,402.06320000000005,0.998176978677057,0.0007924506478302245
1 mcg,402.29650000000004,0.9988865812853348,0.00048382100151635936
1 mcg,402.5298,0.977382588774341,0.009935401819590524
1 mcg,402.7631,0.9714659685863871,0.012572408562925783
1 mcg,402.99640000000005,1.0041105109037662,-0.0017815132417791722
1 mcg,403.22970000000004,1.0286996336996335,-0.012288585190632443
1 mcg,403.463,1.0280878965089488,-0.012030246310003089
1 mcg,403.6963,1.0083684130445807,-0.0036192330225617805
1 mcg,403.92960000000005,0.9862846107846847,0.005997743215668586
1 mcg,404.16290000000004,0.9444842349870279,0.024805286778973062
1 mcg,404.3962,0.932402464504614,0.030396587232820904
1 mcg,404.6295,0.9463131841663757,0.02396510921583928
1 mcg,404.86280000000005,0.938612645794966,0.027513598896189397
1 mcg,405.09610000000004,0.9738504708292446,0.011507721436627597
1 mcg,405.3294,0.9271224522548545,0.03286290142566977
1 mcg,405.5627,0.9137551296036568,0.03917017200145995
1 mcg,405.79600000000005,0.9936669493921402,0.002759155118334347
1 mcg,406.02930000000003,0.9895929143246464,0.0045434229997154095
1 mcg,406.2626,0.916392211244005,0.037918610696219865
1 mcg,406.4959,0.9092486119551045,0.041317353259996546
1 mcg,406.72920000000005,0.9243513255351464,0.03416293165685679
1 mcg,406.96250000000003,0.9409528650010852,0.026432131070762865
1 mcg,407.1958,0.9437195767195764,0.025157035760932325
1 mcg,407.4291,0.945247293365765,0.024454557528500825
1 mcg,407.66240000000005,0.9458988612787251,0.024155297357957566
1 mcg,407.89570000000003,0.9309093716226646,0.031092597557894095
1 mcg,408.129,0.9441421945879495,0.02496259291130889
1 mcg,408.3623,0.9858174825901672,0.0062034842893138285
1 mcg,408.59560000000005,0.9467289719626165,0.023774332324929353
1 mcg,408.82890000000003,0.9254347185381665,0.033654211571902945
1 mcg,409.0622,0.9203187846708233,0.03606171347748925
1 mcg,409.2955,0.9031427864390001,0.04424358251007475
1 mcg,409.52880000000005,0.8960914877041348,0.04764764817635584
1 mcg,409.76210000000003,0.911788176631822,0.040106043694540475
1 mcg,409.9954,0.9430204600099803,0.02547888459772935
1 mcg,410.2287,0.9369973190348524,0.028261651726987462
1 mcg,410.46200000000005,0.9142911712744112,0.038915473916144014
1 mcg,410.69530000000003,0.9453973867766969,0.02438560248796955
1 mcg,410.9286,0.9372239137789375,0.028156638673308417
1 mcg,411.16190000000006,0.9332332722383375,0.030009785853512154
1 mcg,411.39520000000005,0.955117996953957,0.01994297159910221
1 mcg,411.62850000000003,0.917333294758109,0.03747284341891486
1 mcg,411.8618,0.9132320726523623,0.03941884451935633
1 mcg,412.09510000000006,0.9945534281517718,0.0023718812894444746
1 mcg,412.32840000000004,0.9909317846044117,0.003956241165146839
1 mcg,412.56170000000003,1.006685055649532,-0.002893621509849796
1 mcg,412.795,0.9555507309306698,0.019746250965442406
1 mcg,413.02830000000006,0.9023770038695409,0.044611980758580576
1 mcg,413.26160000000004,0.8815797831314365,0.054738377856097406
1 mcg,413.49490000000003,0.8743027349038718,0.058338163094162454
1 mcg,413.7282,0.9010948735792159,0.04522948104892619
1 mcg,413.96150000000006,0.9911324737878946,0.0038682942634325106
1 mcg,414.19480000000004,0.9995564924030634,0.0001926556273075047
1 mcg,414.42810000000003,0.9889526331273902,0.004824508872011651
1 mcg,414.6614,0.9607610045569424,0.017384632425950196
1 mcg,414.89470000000006,0.9482854476980568,0.023060914033107976
1 mcg,415.12800000000004,0.9390883362783548,0.027293553469977666
1 mcg,415.3613,0.9248355032899339,0.03393550657606778
