Wavelength,Gray_Value
72.177,35.29
72.4103,36.03
72.6436,35.91
72.8769,35.64
73.1102,36.023
73.3435,36.033
73.5768,35.723
73.8101,35.483
74.0434,35.323
74.2767,34.027
74.51,33.917
74.7433,34.563
74.9766,34.45
75.2099,33.767
75.4432,33.09
75.6765,32.637
75.9098,34.077
76.1431,34.077
76.3764,34.043
76.6097,33.677
76.843,33.197
77.0763,33.313
77.3096,33.443
77.5429,33.037
77.7762,33.077
78.0095,33.453
78.2428,33.147
78.4761,32.107
78.7094,31.713
78.9427,31.907
79.176,32.007
79.4093,31.66
79.6426,31.733
79.8759,31.76
80.1092,31.543
80.3425,31.08
80.5758,31.223
80.8091,31.57
81.04240000000001,31.443
81.2757,30.83
81.50900000000001,30.773
81.7423,31.197
81.97560000000001,31.193
82.2089,30.637
82.44220000000001,30.433
82.6755,31.03
82.90880000000001,31.41
83.1421,31.173
83.37540000000001,29.45
83.60870000000001,29.72
83.84200000000001,29.643
84.07530000000001,29.42
84.30860000000001,29.52
84.54190000000001,29.71
84.77520000000001,29.577
85.00850000000001,29.607
85.24180000000001,29.943
85.47510000000001,29.71
85.70840000000001,29.423
85.94170000000001,29.37
86.17500000000001,29.59
86.40830000000001,29.917
86.64160000000001,29.55
86.87490000000001,29.047
87.10820000000001,29.253
87.34150000000001,29.477
87.57480000000001,29.5
87.80810000000001,29.37
88.04140000000001,29.523
88.27470000000001,29.253
88.50800000000001,28.69
88.74130000000001,28.577
88.97460000000001,29.26
89.20790000000001,29.49
89.44120000000001,29.603
89.67450000000001,29.493
89.90780000000001,29.17
90.14110000000001,28.927
90.37440000000001,28.673
90.60770000000001,28.47
90.84100000000001,28.41
91.07430000000001,28.4
91.30760000000001,28.867
91.54090000000001,28.857
91.77420000000001,28.227
92.00750000000001,27.957
92.24080000000001,28.047
92.4741,27.87
92.7074,27.793
92.9407,27.74
93.174,26.997
93.4073,26.267
93.6406,26.357
93.8739,27.397
94.1072,28.093
94.3405,28.057
94.5738,26.987
94.8071,27.287
95.0404,27.537
95.2737,27.37
95.507,27.433
95.7403,27.933
95.9736,27.52
96.2069,26.167
96.4402,26.687
96.6735,27.463
96.9068,27.777
97.1401,26.913
97.3734,25.8
97.6067,25.71
97.84,25.493
98.0733,24.99
98.3066,25.32
98.5399,25.177
98.7732,25.25
99.0065,25.87
99.2398,25.713
99.4731,24.96
99.7064,24.28
99.93970000000002,24.19
100.173,24.81
100.40630000000002,24.23
100.6396,23.78
100.87290000000002,24.34
101.1062,24.943
101.33950000000002,25.193
101.5728,24.547
101.80610000000001,24.04
102.0394,24.137
102.27270000000001,22.683
102.506,21.69
102.73930000000001,22.407
102.9726,23.947
103.20590000000001,24.52
103.4392,24.023
103.67250000000001,23.443
103.9058,23.733
104.13910000000001,24.29
104.3724,24.39
104.60570000000001,24.683
104.839,24.693
105.07230000000001,24.883
105.3056,24.66
105.53890000000001,24.207
105.7722,23.497
106.00550000000001,23.87
106.2388,24.277
106.47210000000001,24.46
106.7054,23.943
106.93870000000001,24.283
107.17200000000001,24.447
107.40530000000001,24.19
