Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.6978169701671632,0.15625847317919583
1 mcg,375.23370000000006,0.6783363212118313,0.16855492821058118
1 mcg,375.46700000000004,0.6628577181116834,0.17857968256102474
1 mcg,375.7003,0.6380819746047808,0.19512352373719072
1 mcg,375.9336,0.6363892776413642,0.19627714627941228
1 mcg,376.16690000000006,0.658245722751903,0.1816119542367541
1 mcg,376.40020000000004,0.6773905979369926,0.1691608355809958
1 mcg,376.6335,0.6831413291410837,0.16548943963231866
1 mcg,376.8668,0.6797450443243317,0.16765394994927757
1 mcg,377.10010000000005,0.6698924533579952,0.1739949147054522
1 mcg,377.33340000000004,0.6668300643620739,0.17598482802188112
1 mcg,377.5667,0.6367484580315286,0.1960320980631447
1 mcg,377.8,0.6271411299967152,0.20263471581712458
1 mcg,378.03330000000005,0.6695588129864222,0.17421126923652294
1 mcg,378.26660000000004,0.6685965442377755,0.17483587246726645
1 mcg,378.4999,0.648379426857723,0.18817077381105488
1 mcg,378.7332,0.6485563820378569,0.1880522626893384
1 mcg,378.96650000000005,0.6655454541335183,0.17682227857359933
1 mcg,379.19980000000004,0.6251435750872867,0.20402022792428579
1 mcg,379.4331,0.6061450787548216,0.2174234164907843
1 mcg,379.6664,0.5851595455876374,0.23272570601794287
1 mcg,379.89970000000005,0.5768532999831273,0.23893461857448445
1 mcg,380.13300000000004,0.5683418632984429,0.24539035322872102
1 mcg,380.3663,0.6484306397374949,0.18813647199358474
1 mcg,380.5996,0.6838401900960217,0.16504537878947778
1 mcg,380.83290000000005,0.6629686516179768,0.17850700666491376
1 mcg,381.06620000000004,0.6472957602833455,0.1888972375542587
1 mcg,381.2995,0.6264538946659273,0.2031108864080378
1 mcg,381.5328,0.6226764761750052,0.20573754099188737
1 mcg,381.76610000000005,0.6432023771304205,0.19165235920252077
1 mcg,381.99940000000004,0.6370538392047763,0.19582386267018415
1 mcg,382.2327,0.6560187994645192,0.1830837149128799
1 mcg,382.466,0.6413144995811976,0.19292894093896304
1 mcg,382.69930000000005,0.6073904584409036,0.21653203474078986
1 mcg,382.93260000000004,0.5877078612795787,0.23083850005043396
1 mcg,383.1659,0.5759205586068841,0.23963741820535403
1 mcg,383.3992,0.6190772568930851,0.20825515041652848
1 mcg,383.63250000000005,0.6813365740847128,0.1666382975469666
1 mcg,383.86580000000004,0.6886733054838935,0.1619867509129374
1 mcg,384.0991,0.6550404190693493,0.18373190117280375
1 mcg,384.3324,0.6788639221997619,0.16821727102202766
1 mcg,384.56570000000005,0.7376577810126944,0.1321450721711624
1 mcg,384.79900000000004,0.7478126225572662,0.12620720853095327
1 mcg,385.0323,0.7476630683711675,0.12629407127085435
1 mcg,385.2656,0.6874717789177618,0.16274512515129821
1 mcg,385.49890000000005,0.6238766426991216,0.2049012736047237
1 mcg,385.73220000000003,0.6496368446025076,0.18732935175674725
1 mcg,385.9655,0.6151318890820973,0.21103175811134944
1 mcg,386.1988,0.6284214264185197,0.2017490158397473
1 mcg,386.43210000000005,0.7011544791584754,0.15418628723314126
1 mcg,386.66540000000003,0.6876113667119342,0.16265695272456018
1 mcg,386.8987,0.6850921867071087,0.16425098546461572
1 mcg,387.132,0.694267295903462,0.15847329210076253
1 mcg,387.36530000000005,0.7308000763921861,0.13620141592171223
1 mcg,387.59860000000003,0.7156884577804404,0.1452759867858965
1 mcg,387.8319,0.7404682817003813,0.1304935399483454
1 mcg,388.0652,0.7442175859812402,0.1283000717447815
1 mcg,388.29850000000005,0.7387758536804435,0.13148730758035226
1 mcg,388.53180000000003,0.7125545123056322,0.1471819053714776
1 mcg,388.7651,0.6998989502295331,0.15496465787944527
1 mcg,388.9984,0.6825901423403236,0.16583998789757168
1 mcg,389.23170000000005,0.7033803829243116,0.15280974819781643
1 mcg,389.46500000000003,0.729987596726735,0.13668451894652897
1 mcg,389.6983,0.7063020238003004,0.151009549342711
1 mcg,389.9316,0.7072891471249337,0.1504030058224241
1 mcg,390.16490000000005,0.6667016492847532,0.17606847051658184
1 mcg,390.39820000000003,0.5862100024401676,0.2319467755128861
1 mcg,390.6315,0.580429718233813,0.2362503596137932
1 mcg,390.86480000000006,0.6528450136603089,0.18518990861953097
1 mcg,391.09810000000004,0.6948285933233199,0.1581223179350357
1 mcg,391.33140000000003,0.7076060258089472,0.15020847739539542
1 mcg,391.5647,0.7069931860901857,0.150584771857546
1 mcg,391.79800000000006,0.7082293021923327,0.1498261087595278
1 mcg,392.03130000000004,0.7182802392363437,0.14370608137216334
1 mcg,392.26460000000003,0.7334235123215008,0.1346451714032253
1 mcg,392.4979,0.6420879350475531,0.19240549048141797
1 mcg,392.73120000000006,0.6264491364092656,0.2031141851224002
1 mcg,392.96450000000004,0.6702595360167959,0.17375699844166947
1 mcg,393.19780000000003,0.6540530585541787,0.1843870191029261
1 mcg,393.4311,0.6330780356121917,0.19854275388951884
1 mcg,393.66440000000006,0.5819026695894901,0.23514965039324492
1 mcg,393.89770000000004,0.586213218147592,0.23194439315817783
1 mcg,394.13100000000003,0.6259355870706044,0.20347035627697418
1 mcg,394.3643,0.6618630819318558,0.17923184275290582
1 mcg,394.59760000000006,0.6539813699246272,0.1844346233182017
1 mcg,394.83090000000004,0.6343993958838008,0.19763723925359364
1 mcg,395.0642,0.6545355742503042,0.18406674440619886
1 mcg,395.2975,0.6244078378763173,0.20453165409605456
1 mcg,395.53080000000006,0.6746562707070184,0.17091743866063838
1 mcg,395.76410000000004,0.6810795998710149,0.16680212778688497
1 mcg,395.9974,0.6703810280487841,0.17367828484662187
1 mcg,396.2307,0.692127647318008,0.15981380234451595
1 mcg,396.46400000000006,0.7147763359505159,0.1458298340850157
1 mcg,396.69730000000004,0.6859995952135393,0.16367614055648172
1 mcg,396.9306,0.5874098416488432,0.2310587814462117
1 mcg,397.1639,0.6378918376044502,0.1952529549996042
1 mcg,397.39720000000005,0.6396156001900943,0.19408095237756642
1 mcg,397.63050000000004,0.6659770015450194,0.17654076823893317
1 mcg,397.8638,0.6416610348075626,0.19269433266121902
1 mcg,398.0971,0.658331867935366,0.18155512146345068
1 mcg,398.33040000000005,0.6785182593242621,0.1684384607277962
1 mcg,398.56370000000004,0.6647685100073459,0.17732956120642615
1 mcg,398.797,0.6433396741845208,0.19155966522000736
1 mcg,399.0303,0.655312751743988,0.18355138101659732
1 mcg,399.26360000000005,0.6714675790692937,0.1729749518280599
1 mcg,399.49690000000004,0.6820776485857185,0.16616618189376361
1 mcg,399.7302,0.6734651962569155,0.17168484309485962
1 mcg,399.9635,0.6499597828319098,0.187113515102587
1 mcg,400.19680000000005,0.6423876760638637,0.19220279940558813
1 mcg,400.43010000000004,0.667273689722383,0.17569599883220838
1 mcg,400.6634,0.7020622272858046,0.1536243924725674
1 mcg,400.8967,0.6962656824530093,0.15722500980585996
1 mcg,401.13000000000005,0.6802712702191118,0.16731787013714794
1 mcg,401.36330000000004,0.6563141494678546,0.18288823269329738
1 mcg,401.5966,0.6473978115323507,0.1888287730227728
1 mcg,401.8299,0.6865374966499697,0.1633357378977934
1 mcg,402.06320000000005,0.7203291389933568,0.14246901664346928
1 mcg,402.29650000000004,0.7204133717868105,0.14241823472073123
1 mcg,402.5298,0.6940840289130081,0.15858794873227755
1 mcg,402.7631,0.7189078731101163,0.1433267601921151
1 mcg,402.99640000000005,0.7210191331845902,0.14205321055624792
1 mcg,403.22970000000004,0.7000947724457319,0.15484316517971897
1 mcg,403.463,0.6785621010406907,0.16841040017061062
1 mcg,403.6963,0.6545536610447225,0.18405474370403144
1 mcg,403.92960000000005,0.6581099864764325,0.1817015189573332
1 mcg,404.16290000000004,0.7107307650919901,0.14829488503526475
1 mcg,404.3962,0.7127056280174797,0.14708981169934932
1 mcg,404.6295,0.6977507603328892,0.15629968159218227
1 mcg,404.86280000000005,0.7314841738656476,0.1357950656797116
1 mcg,405.09610000000004,0.7186490780710656,0.14348312722651393
1 mcg,405.3294,0.6648776038993107,0.17725829581498034
1 mcg,405.5627,0.6543149783199742,0.18421313789014798
1 mcg,405.79600000000005,0.7009989520232955,0.15428263129274236
1 mcg,406.02930000000003,0.6982951290206072,0.15596098738308473
1 mcg,406.2626,0.6753053105877961,0.17049983498305038
1 mcg,406.4959,0.6953831801788389,0.15777581817369693
1 mcg,406.72920000000005,0.6813861582753672,0.16660669296609484
1 mcg,406.96250000000003,0.6636346782756436,0.178070927966768
1 mcg,407.1958,0.6597311821803261,0.18063298851495835
1 mcg,407.4291,0.6975612619384283,0.15641764532536348
1 mcg,407.66240000000005,0.6869297217585353,0.16308769236359874
1 mcg,407.89570000000003,0.6630641628637918,0.17844444409989144
1 mcg,408.129,0.6446699577786307,0.19066256784530072
1 mcg,408.3623,0.697907541138054,0.15620210894310899
1 mcg,408.59560000000005,0.7005788358908631,0.15454298662244517
1 mcg,408.82890000000003,0.6521769089884873,0.18563458191216956
1 mcg,409.0622,0.645478547242287,0.1901181871219897
1 mcg,409.2955,0.6996135671192505,0.1551417771409104
1 mcg,409.52880000000005,0.7220114778723414,0.1414558983624939
1 mcg,409.76210000000003,0.6930503322410002,0.15923522394409217
1 mcg,409.9954,0.6863529685194328,0.16345248362713427
1 mcg,410.2287,0.7100930535993015,0.14868473576450372
1 mcg,410.46200000000005,0.7032874765395329,0.1528671160121589
1 mcg,410.69530000000003,0.6793253348459766,0.16792218847325752
1 mcg,410.9286,0.6513172793770327,0.18620739988740917
1 mcg,411.16190000000006,0.643680244164183,0.1913298200339106
1 mcg,411.39520000000005,0.6485072272223493,0.18808517960257493
1 mcg,411.62850000000003,0.6611721401996845,0.17968545457496335
1 mcg,411.8618,0.6445804386144659,0.1907228783624704
1 mcg,412.09510000000006,0.6310107754694164,0.19996322445325
1 mcg,412.32840000000004,0.626808348208587,0.2028652279711897
1 mcg,412.56170000000003,0.6240357135361229,0.20479055495245557
1 mcg,412.795,0.6290120928837644,0.2013410050758683
1 mcg,413.02830000000006,0.6613937589592364,0.17953990749058493
1 mcg,413.26160000000004,0.6865667087885673,0.16331725908089195
1 mcg,413.49490000000003,0.6862166783585195,0.16353873071142835
1 mcg,413.7282,0.6960314681231863,0.1573711251547885
1 mcg,413.96150000000006,0.7410751347499768,0.13013775834575622
1 mcg,414.19480000000004,0.7556746125617689,0.12166516797613518
1 mcg,414.42810000000003,0.6897041750569907,0.16133714504379065
1 mcg,414.6614,0.656392676402959,0.1828362731636215
1 mcg,414.89470000000006,0.6922667333568313,0.15972653776121923
1 mcg,415.12800000000004,0.7339461146360974,0.13433582424640034
1 mcg,415.3613,0.7199791839420061,0.14268005972124148
1 mcg,415.5946,0.724335612786923,0.14006016169059013
1 mcg,415.82790000000006,0.7728080215964385,0.11192837867720468
1 mcg,416.06120000000004,0.7744521225620232,0.11100542561275109
1 mcg,416.2945,0.7222048579141258,0.14133959461564094
1 mcg,416.5278,0.670546919143696,0.1735708285323053
1 mcg,416.76110000000006,0.6552818922109863,0.1835718329922879
1 mcg,416.99440000000004,0.6646285441276071,0.1774210107989476
1 mcg,417.2277,0.6875397934220433,0.16270216067810084
1 mcg,417.461,0.6978789371335583,0.15621990903145763
1 mcg,417.69430000000006,0.7098151704579098,0.14885472297130542
1 mcg,417.92760000000004,0.7022432414461811,0.1535124318583226
1 mcg,418.1609,0.7109251293524816,0.1481761343211623
1 mcg,418.3942,0.7131038992391342,0.146847188831347
1 mcg,418.62750000000005,0.7503027856412113,0.1247634411463153
1 mcg,418.86080000000004,0.7141374869420429,0.14621816907511842
1 mcg,419.0941,0.6812299799600794,0.16670624760795794
1 mcg,419.3274,0.7089018918984626,0.1494138646128913
1 mcg,419.56070000000005,0.7048672945942005,0.15189263995955496
1 mcg,419.79400000000004,0.7123792586945373,0.1472887337422621
1 mcg,420.0273,0.7139716517898831,0.14631903152303508
1 mcg,420.2606,0.7328739913724446,0.13497069051027852
1 mcg,420.49390000000005,0.7486484505908785,0.1257220698967738
1 mcg,420.72720000000004,0.7542006298331604,0.12251310925080187
1 mcg,420.9605,0.7673400991323566,0.11501210614322993
1 mcg,421.1938,0.7740547557697629,0.11122831672337267
1 mcg,421.42710000000005,0.781075713610729,0.10730686572630553
1 mcg,421.66040000000004,0.8019414083529354,0.0958573610905937
1 mcg,421.8937,0.7646961911052087,0.11651107299416104
1 mcg,422.127,0.7751410795402959,0.11061924653911817
1 mcg,422.36030000000005,0.7809038608342503,0.10740242998853619
1 mcg,422.59360000000004,0.780065856060766,0.10786873100636783
1 mcg,422.8269,0.7662410639118268,0.11563457729103367
1 mcg,423.0602,0.7324963875779157,0.13519451276067349
1 mcg,423.29350000000005,0.8005315063046187,0.09662157099642643
1 mcg,423.52680000000004,0.7938462250266795,0.10026361607446153
1 mcg,423.7601,0.7539931382583706,0.12263260642476938
1 mcg,423.9934,0.7270474508231585,0.13843724394403598
1 mcg,424.22670000000005,0.7085741844325829,0.14961467441705267
1 mcg,424.46000000000004,0.7122527668098415,0.14736585502928895
1 mcg,424.6933,0.7460848008141533,0.127211807336201
1 mcg,424.9266,0.7411852516955427,0.13007323097614068
1 mcg,425.15990000000005,0.7438871905067649,0.12849291963564954
1 mcg,425.39320000000004,0.7700443685937789,0.11348425082711104
1 mcg,425.6265,0.7561097134485343,0.12141518268900169
1 mcg,425.8598,0.773884460309571,0.11132387393671107
1 mcg,426.09310000000005,0.7565177589788857,0.12118087261632911
1 mcg,426.32640000000004,0.7543378499154462,0.12243410042801425
1 mcg,426.5597,0.7540007008195763,0.1226282504671844
1 mcg,426.793,0.7532468464301195,0.1230626778834328
1 mcg,427.02630000000005,0.7470198995420619,0.12666782904644844
1 mcg,427.25960000000003,0.7372833744072279,0.1323655592402733
1 mcg,427.4929,0.7457622935114009,0.127399578783655
1 mcg,427.7262,0.7411328827276319,0.13010391744386707
1 mcg,427.95950000000005,0.735657953921366,0.13332406508262923
1 mcg,428.19280000000003,0.7362915856998934,0.13295016258860567
1 mcg,428.4261,0.742563972330411,0.12926612566959997
1 mcg,428.6594,0.7316822788341754,0.1356774633453549
1 mcg,428.89270000000005,0.7421836273169481,0.12948863048350748
1 mcg,429.12600000000003,0.7457982875379056,0.127378618177302
1 mcg,429.3593,0.7386468089579409,0.1315631740367989
1 mcg,429.5926,0.7495134095012964,0.1252205928086006
1 mcg,429.82590000000005,0.7534640235076956,0.12293747960030864
1 mcg,430.05920000000003,0.7451245836432553,0.1277711078351548
1 mcg,430.2925,0.7442531400624303,0.12827932435485606
1 mcg,430.5258,0.7555882509151554,0.12171480379730118
1 mcg,430.75910000000005,0.7596332532180409,0.11939603212222254
1 mcg,430.99240000000003,0.7496772032058446,0.12512569533294154
1 mcg,431.2257,0.7422768213008654,0.12943410072752412
1 mcg,431.45900000000006,0.7448787855419999,0.12791439443733774
1 mcg,431.69230000000005,0.7436499619549429,0.1286314399431378
1 mcg,431.92560000000003,0.739226661159455,0.1312223781169163
1 mcg,432.1589,0.7534394546999824,0.12295164122083978
1 mcg,432.39220000000006,0.7614351513637799,0.11836707801949761
1 mcg,432.62550000000005,0.7630647031985539,0.11743863497998738
1 mcg,432.85880000000003,0.7591988995430404,0.11964443008910343
1 mcg,433.0921,0.7539313054572622,0.1226682231222093
1 mcg,433.32540000000006,0.743792494270547,0.12854820849026358
1 mcg,433.55870000000004,0.7347930916273663,0.1338349354939071
1 mcg,433.79200000000003,0.7339857255434746,0.1343123861029792
1 mcg,434.0253,0.7359215031557073,0.13316850708152028
1 mcg,434.25860000000006,0.7396679465243924,0.13096320102122733
1 mcg,434.49190000000004,0.7446378619460089,0.12805488536691292
1 mcg,434.72520000000003,0.7457988261257983,0.12737830454603027
1 mcg,434.9585,0.7379677458360147,0.13196261935792122
1 mcg,435.19180000000006,0.7360787319667875,0.13307573045869267
1 mcg,435.42510000000004,0.7432857703045069,0.1288441813869957
1 mcg,435.65840000000003,0.7517304871564,0.12393783616430648
1 mcg,435.8917,0.7412653182938326,0.13002631881251137
1 mcg,436.12500000000006,0.7442993486055046,0.12825236109298493
1 mcg,436.35830000000004,0.7437646601093569,0.12856446093821705
1 mcg,436.5916,0.7493886894344223,0.12529286602376188
1 mcg,436.8249,0.7520329566343823,0.12376312673438145
1 mcg,437.05820000000006,0.7514886394773482,0.12407758041252495
1 mcg,437.29150000000004,0.7597148847175516,0.11934936459562227
1 mcg,437.5248,0.7639459901418418,0.11693734432026003
1 mcg,437.7581,0.760705559058236,0.11878341001092663
1 mcg,437.99140000000006,0.770530472934888,0.11321018113015342
1 mcg,438.22470000000004,0.770219786643583,0.11338532871543754
1 mcg,438.458,0.7658385953712764,0.11586275063601903
1 mcg,438.6913,0.7704019238074445,0.11328264138467166
1 mcg,438.92460000000005,0.7696605511593538,0.11370077257117162
1 mcg,439.15790000000004,0.7682219880913806,0.11451326659274774
