Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.7695342165972507,0.11377206491762132
1 mcg,375.23370000000006,0.8493850969749626,0.07089536326330205
1 mcg,375.46700000000004,0.7914357169120181,0.10158435423706214
1 mcg,375.7003,0.8081349957123498,0.09251608601266118
1 mcg,375.9336,0.797088013762796,0.0984937215385027
1 mcg,376.16690000000006,0.7813513902250511,0.10715361078937015
1 mcg,376.40020000000004,0.779148474186218,0.10837977547813589
1 mcg,376.6335,0.7131509407558521,0.14681854055536514
1 mcg,376.8668,0.6989633961405763,0.1555455671304362
1 mcg,377.10010000000005,0.7540515144106086,0.1225989834935657
1 mcg,377.33340000000004,0.7317958361350769,0.13561006594630137
1 mcg,377.5667,0.7643567201068706,0.11670391181966622
1 mcg,377.8,0.7995941899601942,0.09713037022850124
1 mcg,378.03330000000005,0.8125113843828027,0.09017054525371124
1 mcg,378.26660000000004,0.8303058364640723,0.08076190928229939
1 mcg,378.4999,0.8043457618433845,0.09455722217063794
1 mcg,378.7332,0.7744406315111234,0.11101186957084183
1 mcg,378.96650000000005,0.7986236214524278,0.09765784851842986
1 mcg,379.19980000000004,0.7613379292741329,0.11842253344834258
1 mcg,379.4331,0.7201473272436707,0.14257864681363017
1 mcg,379.6664,0.726313324959488,0.1388759881898465
1 mcg,379.89970000000005,0.7325867339502405,0.13514095002360574
1 mcg,380.13300000000004,0.6869483045680502,0.16307594399660189
1 mcg,380.3663,0.6825507929251065,0.1658650244831112
1 mcg,380.5996,0.696190706653824,0.15727177834546907
1 mcg,380.83290000000005,0.696837950626233,0.15686820516063749
1 mcg,381.06620000000004,0.680145104724335,0.16739842338445435
1 mcg,381.2995,0.7233010735602063,0.14068089030046776
1 mcg,381.5328,0.7300673254898742,0.13663708818020934
1 mcg,381.76610000000005,0.7147007557645393,0.1458757586513228
1 mcg,381.99940000000004,0.7257857264792889,0.13919157701757393
1 mcg,382.2327,0.6805829660646276,0.16711892482104038
1 mcg,382.466,0.6920296801772523,0.1598752788658101
1 mcg,382.69930000000005,0.770128997025542,0.11343652417271707
1 mcg,382.93260000000004,0.7757513521075099,0.11027745878302483
1 mcg,383.1659,0.7718965734107486,0.1124408869778893
1 mcg,383.3992,0.7561983544613331,0.12136427202656486
1 mcg,383.63250000000005,0.7556776781639254,0.12166340614455105
1 mcg,383.86580000000004,0.7452956602035445,0.12767140762409065
1 mcg,384.0991,0.6629923122381103,0.17849150745031608
1 mcg,384.3324,0.671568312287693,0.17290980408143786
1 mcg,384.56570000000005,0.7757584592210425,0.11027347997455461
1 mcg,384.79900000000004,0.776728240137468,0.10973090456232917
1 mcg,385.0323,0.7273599079072439,0.13825064094216996
1 mcg,385.2656,0.7411766936722124,0.13007824554403352
1 mcg,385.49890000000005,0.789161958628644,0.10283385798124638
1 mcg,385.73220000000003,0.8012713641360061,0.09622037781299024
1 mcg,385.9655,0.768259500487878,0.11449206044490134
1 mcg,386.1988,0.7275425205797945,0.13814161964303956
1 mcg,386.43210000000005,0.7058781801984702,0.15127024262034056
1 mcg,386.66540000000003,0.739225759248807,0.13122290798830374
1 mcg,386.8987,0.7186306084449248,0.1434942889465208
1 mcg,387.132,0.7415886474842663,0.12983692715465475
1 mcg,387.36530000000005,0.7621970449289508,0.11793273933915749
1 mcg,387.59860000000003,0.7126159965891341,0.14714443296393256
1 mcg,387.8319,0.7225133850077858,0.14115410292272768
1 mcg,388.0652,0.7460221286480455,0.12724829021204334
1 mcg,388.29850000000005,0.7590463174873143,0.11973172237142922
1 mcg,388.53180000000003,0.6942261097787732,0.1584990565827765
1 mcg,388.7651,0.7246066390012234,0.13989769118419246
1 mcg,388.9984,0.730103829467899,0.13661537363507104
1 mcg,389.23170000000005,0.7271092856148609,0.13840030912377999
1 mcg,389.46500000000003,0.7458154178888545,0.12736864291780492
1 mcg,389.6983,0.7536546646945264,0.1228276084713076
1 mcg,389.9316,0.7372095054285799,0.13240907371264032
1 mcg,390.16490000000005,0.7603268407538097,0.11899967795265788
1 mcg,390.39820000000003,0.7918299080911388,0.10136809860093782
1 mcg,390.6315,0.7615340523346625,0.11831067222236756
1 mcg,390.86480000000006,0.7707644416492614,0.11307832924196592
1 mcg,391.09810000000004,0.7482784057839433,0.1259367876971768
1 mcg,391.33140000000003,0.6782052666706015,0.16863884198774795
1 mcg,391.5647,0.6591316741851618,0.1810278180923218
1 mcg,391.79800000000006,0.728231889936342,0.13773030683556395
1 mcg,392.03130000000004,0.7863334955393457,0.10439322424716298
1 mcg,392.26460000000003,0.7954396439807032,0.09939276797285818
1 mcg,392.4979,0.8099321181489241,0.09155137858891155
1 mcg,392.73120000000006,0.8032559770895393,0.09514603414576034
1 mcg,392.96450000000004,0.8073830224000009,0.09292038714705374
1 mcg,393.19780000000003,0.8150802788837994,0.08879961462291261
1 mcg,393.4311,0.6868873820095649,0.16311446145724068
1 mcg,393.66440000000006,0.6772477146694484,0.1692524517922064
1 mcg,393.89770000000004,0.7515847415380299,0.12402204540640004
1 mcg,394.13100000000003,0.7671315948047053,0.11513013019002986
1 mcg,394.3643,0.7425604885020554,0.12926816321927434
1 mcg,394.59760000000006,0.6835476433552334,0.16523120966211463
1 mcg,394.83090000000004,0.6784514409026559,0.16848123083800823
1 mcg,395.0642,0.7044685875353578,0.1521383674434946
1 mcg,395.2975,0.7135183173083652,0.14659487327976944
1 mcg,395.53080000000006,0.7199198374771272,0.14271585923474706
1 mcg,395.76410000000004,0.7505229847079025,0.12463600298239284
1 mcg,395.9974,0.7390889323099279,0.13130330113468844
1 mcg,396.2307,0.7054972216549142,0.1515046922176638
1 mcg,396.46400000000006,0.7426736324159788,0.12920199482618278
1 mcg,396.69730000000004,0.7293036010443086,0.1370916420385221
1 mcg,396.9306,0.7496976190770559,0.12511386840337188
1 mcg,397.1639,0.7729536948028668,0.11184652250334673
1 mcg,397.39720000000005,0.7927013120017248,0.10089042300423175
1 mcg,397.63050000000004,0.7970001860722846,0.09854157721096794
1 mcg,397.8638,0.7008110901579467,0.15439903418545173
1 mcg,398.0971,0.7465396935756143,0.1269470958524767
1 mcg,398.33040000000005,0.7309610432178226,0.13610576827656948
1 mcg,398.56370000000004,0.7542033009034286,0.12251157116003639
1 mcg,398.797,0.7427062464945215,0.12918292345656637
1 mcg,399.0303,0.7505840365949734,0.12460067639034705
1 mcg,399.26360000000005,0.7695639261196905,0.1137552983693434
1 mcg,399.49690000000004,0.7765066955882101,0.10985479512605256
1 mcg,399.7302,0.7661743935514642,0.1156723667423071
1 mcg,399.9635,0.7732731233253005,0.11166708434459469
1 mcg,400.19680000000005,0.7671343739541163,0.11512855683928341
1 mcg,400.43010000000004,0.7728250275607387,0.11191882195032263
1 mcg,400.6634,0.7687527036815287,0.11421334381242416
1 mcg,400.8967,0.712679721969601,0.14710559810215326
1 mcg,401.13000000000005,0.7056280779681003,0.1514241463229555
1 mcg,401.36330000000004,0.7744398624963886,0.11101230082277781
1 mcg,401.5966,0.7992522972423288,0.09731610678823162
1 mcg,401.8299,0.7942412195763027,0.10004757764735396
1 mcg,402.06320000000005,0.7825969934010213,0.10646182491457964
1 mcg,402.29650000000004,0.7768077139443093,0.1096864703981807
1 mcg,402.5298,0.7814598035748608,0.10709335614076088
1 mcg,402.7631,0.7773911933326674,0.10936038357700656
1 mcg,402.99640000000005,0.7903839110313182,0.10216190878155482
1 mcg,403.22970000000004,0.8310941012542212,0.08034980011272941
1 mcg,403.463,0.8609615734065867,0.06501623162403782
1 mcg,403.6963,0.8806007544768009,0.0552209467836348
1 mcg,403.92960000000005,0.8802794022965541,0.0553794601039664
1 mcg,404.16290000000004,0.8578767228547621,0.06657511591643758
1 mcg,404.3962,0.8349839712712117,0.07832186134906774
1 mcg,404.6295,0.7704416289008975,0.11326025922528424
1 mcg,404.86280000000005,0.7533716985046723,0.12299069872541847
1 mcg,405.09610000000004,0.8066214676563488,0.09333022373600706
1 mcg,405.3294,0.8056114926995703,0.09387434684817782
1 mcg,405.5627,0.7949298181587112,0.09967121213829086
1 mcg,405.79600000000005,0.8317031007151277,0.08003167939798873
1 mcg,406.02930000000003,0.8371270649628637,0.07720861676907337
1 mcg,406.2626,0.801328169770249,0.09618958986755398
1 mcg,406.4959,0.7615947852551814,0.11827603828777941
1 mcg,406.72920000000005,0.7847097867705308,0.10529093090812403
1 mcg,406.96250000000003,0.8093751381282968,0.09185014012177142
1 mcg,407.1958,0.782182588077005,0.10669185597049255
1 mcg,407.4291,0.7950410042467424,0.09961047202420246
1 mcg,407.66240000000005,0.7822295024054233,0.10666580831452731
1 mcg,407.89570000000003,0.7805578420788086,0.10759490866195202
1 mcg,408.129,0.8057363846261689,0.09380702448355638
1 mcg,408.3623,0.8103860237564051,0.09130805760065339
1 mcg,408.59560000000005,0.7640244185879677,0.11689276094192756
1 mcg,408.82890000000003,0.7307511084645943,0.13623051719571708
1 mcg,409.0622,0.7062602905842064,0.15103521122719202
1 mcg,409.2955,0.7267330286326339,0.1386251015007876
1 mcg,409.52880000000005,0.7593099405519292,0.11958091449243648
1 mcg,409.76210000000003,0.7610734552749208,0.1185734251203123
1 mcg,409.9954,0.7453698974838856,0.12762815064929303
1 mcg,410.2287,0.7667783399149843,0.11533016364512502
1 mcg,410.46200000000005,0.7767738439010716,0.10970540673635745
1 mcg,410.69530000000003,0.7656236884448946,0.11598463792485318
1 mcg,410.9286,0.7470815004640725,0.1266320176342854
1 mcg,411.16190000000006,0.7673115553243366,0.11502826149455153
1 mcg,411.39520000000005,0.7528231668037142,0.12330702472930274
1 mcg,411.62850000000003,0.7198620770211741,0.14275070485553654
1 mcg,411.8618,0.6894447554651582,0.161500527686616
1 mcg,412.09510000000006,0.6948334517068595,0.15811928126986988
1 mcg,412.32840000000004,0.7349894173337219,0.13371891401329583
1 mcg,412.56170000000003,0.7860778848146837,0.10453442181110947
1 mcg,412.795,0.7690247266295434,0.11405969600334928
1 mcg,413.02830000000006,0.7731137271253887,0.11175661548653763
1 mcg,413.26160000000004,0.7566599677003216,0.12109924246530186
1 mcg,413.49490000000003,0.7366861723216254,0.13271748182256288
1 mcg,413.7282,0.7352882953589959,0.13354234726293845
1 mcg,413.96150000000006,0.7369902031209787,0.13253828521934466
1 mcg,414.19480000000004,0.7500692844501939,0.12489861865543705
1 mcg,414.42810000000003,0.7929852243026898,0.10073490481807305
1 mcg,414.6614,0.8113164142968639,0.09080973742478538
1 mcg,414.89470000000006,0.8514723497286907,0.06982945052607457
1 mcg,415.12800000000004,0.8435009196693792,0.07391443956315612
1 mcg,415.3613,0.7549965782642851,0.12205501664141699
1 mcg,415.5946,0.7229495057146653,0.1408920348704732
1 mcg,415.82790000000006,0.7876197154147071,0.10368342129388554
1 mcg,416.06120000000004,0.8710849838526118,0.0599394727560664
1 mcg,416.2945,0.8777653957092346,0.056621544416951525
1 mcg,416.5278,0.8462366878655203,0.07250815013193379
1 mcg,416.76110000000006,0.8410128487572908,0.07519736912270074
1 mcg,416.99440000000004,0.8250041144464286,0.08354388553865154
1 mcg,417.2277,0.8018118582067462,0.0959275251425277
1 mcg,417.461,0.7750772397470742,0.11065501604279741
1 mcg,417.69430000000006,0.760849935039078,0.11870099212708275
1 mcg,417.92760000000004,0.7680705945143742,0.1145988614801367
1 mcg,418.1609,0.7886064188387241,0.10313969232126254
1 mcg,418.3942,0.7735574031901713,0.11150745318151219
1 mcg,418.62750000000005,0.7742781303683974,0.11110300729266062
1 mcg,418.86080000000004,0.7453196044809196,0.1276574551740059
1 mcg,419.0941,0.7507175055921287,0.12452345692777599
1 mcg,419.3274,0.7621229214720526,0.11797497641410946
1 mcg,419.56070000000005,0.7886226769137421,0.1031307389076006
1 mcg,419.79400000000004,0.7595200861292355,0.11946073637691385
1 mcg,420.0273,0.7607129358330909,0.11877919855612376
1 mcg,420.2606,0.772421243005315,0.11214579083111513
1 mcg,420.49390000000005,0.7603362757701837,0.11899428875697948
1 mcg,420.72720000000004,0.7594277559893559,0.11951353406910654
1 mcg,420.9605,0.767045219443192,0.11517903243202551
1 mcg,421.1938,0.813457550445944,0.08966510540456582
1 mcg,421.42710000000005,0.7998350624558286,0.09699956157118911
1 mcg,421.66040000000004,0.7822417377478335,0.10665901529519063
1 mcg,421.8937,0.8138762618294042,0.08944161831668257
1 mcg,422.127,0.8204426703026471,0.08595176054761118
1 mcg,422.36030000000005,0.813956777440993,0.0893986563113601
1 mcg,422.59360000000004,0.8263678103449306,0.08282660831061169
1 mcg,422.8269,0.8000160460289714,0.09690130221811621
1 mcg,423.0602,0.8310687170191471,0.08036306503852332
1 mcg,423.29350000000005,0.8280832124318722,0.08192601963519949
1 mcg,423.52680000000004,0.8327195732009929,0.07950122706347422
1 mcg,423.7601,0.8266974454845879,0.08265340435077133
1 mcg,423.9934,0.7873087861986958,0.10385490189683641
1 mcg,424.22670000000005,0.8405429524454393,0.07544008884745763
1 mcg,424.46000000000004,0.8242509294126958,0.08394055448074188
1 mcg,424.6933,0.7980201270131442,0.09798615508972802
1 mcg,424.9266,0.8000251210401612,0.09689637581076604
1 mcg,425.15990000000005,0.7726172328762375,0.11203560934212851
1 mcg,425.39320000000004,0.7776659707078482,0.10920690459013153
1 mcg,425.6265,0.8157681538312995,0.08843325278859133
1 mcg,425.8598,0.8058383227708763,0.09375208297374277
1 mcg,426.09310000000005,0.7876432625706311,0.10367043755716857
1 mcg,426.32640000000004,0.8010889868097388,0.09631923880479824
1 mcg,426.5597,0.7791581817366684,0.10837436455907522
1 mcg,426.793,0.7990604937508057,0.09742034070145256
1 mcg,427.02630000000005,0.7878042496103723,0.10358168082903853
1 mcg,427.25960000000003,0.7830048682534503,0.10623553775171514
1 mcg,427.4929,0.7824745318343571,0.10652978907072007
1 mcg,427.7262,0.7842474916018292,0.10554686170924342
1 mcg,427.95950000000005,0.7816471294069844,0.10698926271774276
1 mcg,428.19280000000003,0.774203734888961,0.11114473790242438
1 mcg,428.4261,0.7851851845205402,0.10502790359785825
1 mcg,428.6594,0.797018016827816,0.09853186113781182
1 mcg,428.89270000000005,0.7975824116176089,0.09822443170447542
1 mcg,429.12600000000003,0.8075731243800144,0.09281814258584423
1 mcg,429.3593,0.8095975223656959,0.09173082958598673
1 mcg,429.5926,0.7917141913713253,0.10143157031983152
1 mcg,429.82590000000005,0.800576475144307,0.09659717574118365
1 mcg,430.05920000000003,0.7999319002696719,0.0969469837530156
