Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.6443807148397618,0.19085746571402962
1 mcg,375.23370000000006,0.6679169161169614,0.1752775571592834
1 mcg,375.46700000000004,0.6992178095842281,0.15538751843765305
1 mcg,375.7003,0.7070824595419609,0.1505299360817405
1 mcg,375.9336,0.7265290644008449,0.13874700730343376
1 mcg,376.16690000000006,0.7518800328454149,0.1238514482774411
1 mcg,376.40020000000004,0.7184359219204233,0.14361196099861112
1 mcg,376.6335,0.6686084217481432,0.17482815736398344
1 mcg,376.8668,0.6784445645521435,0.16848563259182156
1 mcg,377.10010000000005,0.7393197062347845,0.13116771772380545
1 mcg,377.33340000000004,0.8016142553734138,0.09603456820467109
1 mcg,377.5667,0.7989328107201181,0.09748974278921244
1 mcg,377.8,0.7543762580562221,0.12241198829488761
1 mcg,378.03330000000005,0.7583813977990634,0.1201123282705958
1 mcg,378.26660000000004,0.7075308406117033,0.15025462489828267
1 mcg,378.4999,0.6700490397599836,0.173893410854749
1 mcg,378.7332,0.6835920352026623,0.1652030060561642
1 mcg,378.96650000000005,0.7190228973364523,0.14325727925754414
1 mcg,379.19980000000004,0.7144734724897626,0.14601389138691953
1 mcg,379.4331,0.7041410669301766,0.15234032601115335
1 mcg,379.6664,0.7024393998490575,0.15339113682697894
1 mcg,379.89970000000005,0.7050215744154167,0.15179759292887982
1 mcg,380.13300000000004,0.6625374829670003,0.17878954654550344
1 mcg,380.3663,0.6742422234390337,0.17118405390286856
1 mcg,380.5996,0.676526659955599,0.16971508444186692
1 mcg,380.83290000000005,0.6529468027128291,0.1851222003932074
1 mcg,381.06620000000004,0.6212865686164117,0.20670803515049188
1 mcg,381.2995,0.6162406419120454,0.21024966276026072
1 mcg,381.5328,0.6584931174845698,0.18144875988836817
1 mcg,381.76610000000005,0.6913423742985567,0.1603068231840458
1 mcg,381.99940000000004,0.7574295742317698,0.12065774163014895
1 mcg,382.2327,0.7338940725659293,0.13436661994760452
1 mcg,382.466,0.7168209686845177,0.14458929903401282
1 mcg,382.69930000000005,0.6780654791867731,0.16872836531229984
1 mcg,382.93260000000004,0.6296050152253914,0.20093182118895692
1 mcg,383.1659,0.6235435798275644,0.2051331880278977
1 mcg,383.3992,0.662596463708353,0.17875088628690963
1 mcg,383.63250000000005,0.6923234539232439,0.15969095549399892
1 mcg,383.86580000000004,0.6979192649179329,0.15619481352094558
1 mcg,384.0991,0.7038877311588287,0.15249660453173708
1 mcg,384.3324,0.7056328178974036,0.15142122903792754
1 mcg,384.56570000000005,0.674914907595938,0.17075097900759398
1 mcg,384.79900000000004,0.6362509408558679,0.19637156244188886
1 mcg,385.0323,0.6568011276430652,0.1825661102602046
1 mcg,385.2656,0.689451550156589,0.16149624760118442
1 mcg,385.49890000000005,0.6782983853642892,0.1685792167374459
1 mcg,385.73220000000003,0.6717801413114297,0.17277283861036913
1 mcg,385.9655,0.7267810930357927,0.13859637924103893
1 mcg,386.1988,0.766652384762992,0.11540150906258698
1 mcg,386.43210000000005,0.7060946586776102,0.15113707375605442
1 mcg,386.66540000000003,0.6263698702730411,0.20316914093872546
1 mcg,386.8987,0.6382301307514648,0.19502269667931998
1 mcg,387.132,0.6980497423265117,0.15611362888370825
1 mcg,387.36530000000005,0.7199883965817124,0.1426745026536486
1 mcg,387.59860000000003,0.6799077434686589,0.1675500126182717
1 mcg,387.8319,0.6775536585196285,0.169056305359536
1 mcg,388.0652,0.693589557514255,0.15889745409596942
1 mcg,388.29850000000005,0.7158319860847606,0.14518889958984676
1 mcg,388.53180000000003,0.7111167829997636,0.14805907149589376
1 mcg,388.7651,0.6877635123894541,0.16256086833409203
1 mcg,388.9984,0.6752655871523812,0.17052538220731941
1 mcg,389.23170000000005,0.6740987594811902,0.17127647207641336
1 mcg,389.46500000000003,0.7095281707846817,0.149030356833061
1 mcg,389.6983,0.695585987764082,0.15764917522888808
1 mcg,389.9316,0.6911393687701948,0.16043436798793076
1 mcg,390.16490000000005,0.6761280938333694,0.1699710182965072
1 mcg,390.39820000000003,0.653186651294466,0.18496269920847247
1 mcg,390.6315,0.6227384756528116,0.20569430073517628
1 mcg,390.86480000000006,0.6234500392814131,0.20519834336226575
1 mcg,391.09810000000004,0.6502411531632124,0.18692554787262952
1 mcg,391.33140000000003,0.6797834703324981,0.16762939996281864
1 mcg,391.5647,0.6867358209602747,0.16321029869630735
1 mcg,391.79800000000006,0.6888060883968781,0.16190302278337695
1 mcg,392.03130000000004,0.7138656677428681,0.1463835042556682
1 mcg,392.26460000000003,0.747806697653508,0.1262106494506756
1 mcg,392.4979,0.7114606489754514,0.1478491158262657
1 mcg,392.73120000000006,0.6691263166739094,0.17449188902431512
1 mcg,392.96450000000004,0.6812513429269629,0.16669262860492357
1 mcg,393.19780000000003,0.6794977222563368,0.16781199472716327
1 mcg,393.4311,0.6445698629761427,0.19073000389525085
1 mcg,393.66440000000006,0.614746643401147,0.21130383388869958
1 mcg,393.89770000000004,0.6183130286986256,0.20879160222778637
1 mcg,394.13100000000003,0.6428848322278149,0.1918668205559299
1 mcg,394.3643,0.6450309074377627,0.1904194751196516
1 mcg,394.59760000000006,0.636703324565554,0.19606288244854192
1 mcg,394.83090000000004,0.6432194095110031,0.1916408589792224
1 mcg,395.0642,0.6729055813979179,0.17204586943809766
1 mcg,395.2975,0.6455626546599196,0.1900616011859827
1 mcg,395.53080000000006,0.6601564441950516,0.18035313294383465
1 mcg,395.76410000000004,0.6799143072966001,0.16754581996048473
1 mcg,395.9974,0.6585712885724198,0.18139720694686992
1 mcg,396.2307,0.6642119520924341,0.17769331380073347
1 mcg,396.46400000000006,0.6867375943973675,0.16320917716903968
1 mcg,396.69730000000004,0.6629531303589438,0.17851717437954395
1 mcg,396.9306,0.6449935016916744,0.19044466085878528
1 mcg,397.1639,0.6562354573081186,0.18294030778532727
1 mcg,397.39720000000005,0.6673413325070183,0.1756519758178656
1 mcg,397.63050000000004,0.6647845777680697,0.17731906423585256
1 mcg,397.8638,0.660812474412148,0.17992176726572237
1 mcg,398.0971,0.6686444054715128,0.1748047847717803
1 mcg,398.33040000000005,0.6801612761678058,0.16738809752145356
1 mcg,398.56370000000004,0.675296950773226,0.1705052112828559
1 mcg,398.797,0.6950561618343014,0.15798010218788025
1 mcg,399.0303,0.7408430270099271,0.1302738024460798
1 mcg,399.26360000000005,0.7430587816926084,0.12897682883033082
1 mcg,399.49690000000004,0.6838386277964643,0.1650463709786789
1 mcg,399.7302,0.6542982235944068,0.1842242588002068
1 mcg,399.9635,0.6393939104245392,0.19423150425703278
1 mcg,400.19680000000005,0.6421359411979679,0.19237302136661966
1 mcg,400.43010000000004,0.7039247991731556,0.15247373439280287
1 mcg,400.6634,0.7199538084976946,0.1426953665660729
1 mcg,400.8967,0.7058048843792424,0.15131534051896176
1 mcg,401.13000000000005,0.6639600165906212,0.17785807288634137
1 mcg,401.36330000000004,0.631983345223398,0.1992943666114157
1 mcg,401.5966,0.638256392150542,0.19500482703400335
1 mcg,401.8299,0.6547450541759678,0.18392777347118872
1 mcg,402.06320000000005,0.6793737922020706,0.16789121066227752
1 mcg,402.29650000000004,0.7085375261528215,0.14963714334240424
1 mcg,402.5298,0.7284889059569013,0.13757705764606584
1 mcg,402.7631,0.718293016250189,0.14369835606252498
1 mcg,402.99640000000005,0.69675397797508,0.15692054309159448
1 mcg,403.22970000000004,0.7191471404332102,0.14318224210608962
1 mcg,403.463,0.7214479196946735,0.14179501454358062
1 mcg,403.6963,0.6847132779292646,0.16449125023185138
1 mcg,403.92960000000005,0.68023211620085,0.16734286731723563
1 mcg,404.16290000000004,0.7047808490330825,0.15194590549307888
1 mcg,404.3962,0.7246304000060126,0.13988345021051093
1 mcg,404.6295,0.7048993792257061,0.1518728718962606
1 mcg,404.86280000000005,0.6726281396632823,0.17222496776053062
1 mcg,405.09610000000004,0.7013152068552371,0.15408674404472966
1 mcg,405.3294,0.7452966150056981,0.12767085124752342
1 mcg,405.5627,0.7396799312106899,0.1309561642948362
1 mcg,405.79600000000005,0.6986085864147407,0.1557660808661006
1 mcg,406.02930000000003,0.6908381909942143,0.16062366172476
1 mcg,406.2626,0.6616152490117777,0.17939449365298551
1 mcg,406.4959,0.6620965324417576,0.17907868661702694
1 mcg,406.72920000000005,0.679808440260355,0.16761344767331396
1 mcg,406.96250000000003,0.7119671949549746,0.1475400167258628
1 mcg,407.1958,0.715382161119178,0.14546189368676662
1 mcg,407.4291,0.6930099251165973,0.1592605454855902
1 mcg,407.66240000000005,0.6588710690762873,0.18119956183533537
1 mcg,407.89570000000003,0.6244655042595901,0.20449154723938695
1 mcg,408.129,0.6496067188482553,0.1873494918585809
1 mcg,408.3623,0.6832327516768926,0.16543132333248536
1 mcg,408.59560000000005,0.6870386878985075,0.16301880665549826
1 mcg,408.82890000000003,0.6666650192557471,0.17609233224921494
1 mcg,409.0622,0.6776737096376506,0.16897936249450132
1 mcg,409.2955,0.6941247293015358,0.15856248288782246
1 mcg,409.52880000000005,0.6621694842132744,0.17903083739119408
1 mcg,409.76210000000003,0.6148346818413555,0.21124164262398484
1 mcg,409.9954,0.6244907816054328,0.2044739680623695
1 mcg,410.2287,0.6537292373905561,0.1846020912105621
1 mcg,410.46200000000005,0.6766220819534878,0.1696538328648296
1 mcg,410.69530000000003,0.6948574750895684,0.15810426610016992
1 mcg,410.9286,0.6847971126706607,0.16443807945508987
1 mcg,411.16190000000006,0.6612481612159908,0.1796355226314027
1 mcg,411.39520000000005,0.6636570496373471,0.17805628799164108
1 mcg,411.62850000000003,0.6960577824465817,0.1573547064295633
1 mcg,411.8618,0.7163696644405289,0.14486281317061422
1 mcg,412.09510000000006,0.7183071858681092,0.143689788909514
1 mcg,412.32840000000004,0.6853270859367302,0.16410210337828865
1 mcg,412.56170000000003,0.6564616366013982,0.18279064885727767
1 mcg,412.795,0.6430939653751881,0.19172556570342805
1 mcg,413.02830000000006,0.634751962679156,0.19739594759577714
1 mcg,413.26160000000004,0.6386907735566747,0.1947093575579472
1 mcg,413.49490000000003,0.6675198737644286,0.17553579971958147
1 mcg,413.7282,0.6922840072470167,0.15971570109778915
1 mcg,413.96150000000006,0.6807241221054983,0.16702885948546717
1 mcg,414.19480000000004,0.6730686185598489,0.17194065770354833
1 mcg,414.42810000000003,0.659472022362499,0.180803624365256
1 mcg,414.6614,0.6510517889362915,0.1863844634215707
1 mcg,414.89470000000006,0.6705868547732927,0.17354496411235312
1 mcg,415.12800000000004,0.7086184743731347,0.1495875293755197
1 mcg,415.3613,0.7075367476012557,0.15025099910261236
1 mcg,415.5946,0.7167480742743826,0.1446334652222631
1 mcg,415.82790000000006,0.7637632421684397,0.11704124686287422
1 mcg,416.06120000000004,0.7462328961518083,0.12712560988872573
1 mcg,416.2945,0.6702446918009886,0.17376661685372635
1 mcg,416.5278,0.6286289453757667,0.2016056256608593
1 mcg,416.76110000000006,0.6217759002330376,0.20636611503428853
1 mcg,416.99440000000004,0.6324573880336464,0.19896872986007216
1 mcg,417.2277,0.6532440109065238,0.18492456329550347
1 mcg,417.461,0.6402211243156719,0.19367000026002748
1 mcg,417.69430000000006,0.6520630772285649,0.18571039082133906
1 mcg,417.92760000000004,0.6468558543309946,0.18919248694059512
1 mcg,418.1609,0.648555810672,0.18805264529469853
1 mcg,418.3942,0.6713076943258973,0.17307837503446155
1 mcg,418.62750000000005,0.6865467506680796,0.16332988396857023
1 mcg,418.86080000000004,0.6727400367862133,0.17215272537514867
1 mcg,419.0941,0.642755528289741,0.1919541793363599
1 mcg,419.3274,0.6777792161677068,0.1689117527634242
1 mcg,419.56070000000005,0.6729393201569414,0.17202409492774168
1 mcg,419.79400000000004,0.6698223549898361,0.17404036219072294
1 mcg,420.0273,0.6806646190776668,0.167066823420203
1 mcg,420.2606,0.7066161478632385,0.15081644212369338
1 mcg,420.49390000000005,0.6996480744258677,0.15512035679691283
1 mcg,420.72720000000004,0.6956942305125284,0.15758159829099497
1 mcg,420.9605,0.7125977223317272,0.14715557011346703
1 mcg,421.1938,0.7219264346084282,0.14150705543782796
1 mcg,421.42710000000005,0.7240708234023712,0.1402189521612554
1 mcg,421.66040000000004,0.7029224300468757,0.15309259825377575
1 mcg,421.8937,0.6835012361454937,0.16526069565258716
1 mcg,422.127,0.6892948648073567,0.1615949569535658
1 mcg,422.36030000000005,0.7005832187508585,0.15454026966061388
1 mcg,422.59360000000004,0.6896476244530494,0.16137275541565152
1 mcg,422.8269,0.6752602642846768,0.1705288056028353
1 mcg,423.0602,0.6940301617051532,0.1586216552260182
1 mcg,423.29350000000005,0.6997735135444965,0.15504249960555683
1 mcg,423.52680000000004,0.6916667463901547,0.16010310361352356
1 mcg,423.7601,0.6755453804912896,0.17034547146065004
1 mcg,423.9934,0.6761944650588363,0.16992838844194913
1 mcg,424.22670000000005,0.6602928227003766,0.18026342342752327
1 mcg,424.46000000000004,0.6549078621649924,0.18381979583722916
1 mcg,424.6933,0.6785146915930165,0.16844074430682332
1 mcg,424.9266,0.6629438197693001,0.17852327370378662
1 mcg,425.15990000000005,0.6627638764548742,0.1786411705662896
1 mcg,425.39320000000004,0.6702335699978823,0.17377382344238299
1 mcg,425.6265,0.673372834738055,0.17174440793802723
1 mcg,425.8598,0.6749130466838573,0.17075217646960442
1 mcg,426.09310000000005,0.6659200144911299,0.17657793201775576
1 mcg,426.32640000000004,0.6486772509302874,0.1879713324824209
1 mcg,426.5597,0.6508361114548569,0.186528358361967
1 mcg,426.793,0.6654037885818327,0.1769147307357564
1 mcg,427.02630000000005,0.6482707579557578,0.1882435680081964
1 mcg,427.25960000000003,0.6378121054643353,0.19530724224817073
1 mcg,427.4929,0.6524235816723474,0.18547034989251263
1 mcg,427.7262,0.66372895987313,0.17800923277424438
1 mcg,427.95950000000005,0.6626445900990292,0.17871934330708159
1 mcg,428.19280000000003,0.6548802621147527,0.18383809887311556
1 mcg,428.4261,0.6483879823497909,0.18816504324909175
1 mcg,428.6594,0.6468746150959337,0.18917989127730597
1 mcg,428.89270000000005,0.6434159109948381,0.19150820365813997
1 mcg,429.12600000000003,0.6482357322700858,0.18826703331613062
1 mcg,429.3593,0.6503170378970107,0.18687486760101504
1 mcg,429.5926,0.6606111087949251,0.18005412751446198
1 mcg,429.82590000000005,0.6627980907132243,0.17861875129963112
1 mcg,430.05920000000003,0.6618601017792827,0.17923379824304708
1 mcg,430.2925,0.6668235821020498,0.17598904982229566
1 mcg,430.5258,0.6692934933893699,0.17438339701775799
1 mcg,430.75910000000005,0.6701771616167138,0.17381037619164294
1 mcg,430.99240000000003,0.6640029127043363,0.17783001555872013
1 mcg,431.2257,0.6597574152428367,0.18061571989389483
1 mcg,431.45900000000006,0.666135851872073,0.17643719169789468
1 mcg,431.69230000000005,0.6678246070700435,0.17533758270924807
1 mcg,431.92560000000003,0.6677370091333952,0.17539455245157293
1 mcg,432.1589,0.673135145795213,0.17189773342714462
1 mcg,432.39220000000006,0.6725548823424252,0.17227227024609315
1 mcg,432.62550000000005,0.6680773618242071,0.17517324430886572
1 mcg,432.85880000000003,0.6651063369259447,0.17710891432363104
1 mcg,433.0921,0.6589922542391617,0.18111969005084586
1 mcg,433.32540000000006,0.654916572185603,0.18381401992743657
1 mcg,433.55870000000004,0.6572330097576826,0.18228063209700282
1 mcg,433.79200000000003,0.6545096984392136,0.18408391374664465
1 mcg,434.0253,0.6484100495135359,0.18815026277100474
1 mcg,434.25860000000006,0.6551787565870746,0.1836401925153092
1 mcg,434.49190000000004,0.6538940976495557,0.1844925827623271
1 mcg,434.72520000000003,0.6565104829007542,0.18275833487594267
1 mcg,434.9585,0.6496489972946287,0.18732122752887007
1 mcg,435.19180000000006,0.6456321154047466,0.19001487482228333
1 mcg,435.42510000000004,0.6548980951685619,0.18382627275486854
1 mcg,435.65840000000003,0.6609689938597987,0.17981891284632756
1 mcg,435.8917,0.6525748832629172,0.1853696456419749
1 mcg,436.12500000000006,0.6472460572137659,0.18893058644816216
1 mcg,436.35830000000004,0.6470748358889509,0.18904548913942112
1 mcg,436.5916,0.6471574862351788,0.1889900205983727
1 mcg,436.8249,0.6477709101104161,0.188578559046116
1 mcg,437.05820000000006,0.6409970623027494,0.19314396085345867
1 mcg,437.29150000000004,0.6399066274049137,0.19388339189298331
1 mcg,437.5248,0.639999961497939,0.19382005214303957
1 mcg,437.7581,0.6409677563504796,0.19316381695742457
1 mcg,437.99140000000006,0.6441850265189168,0.19098937416982886
