Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.7392177756475324,0.13122759837234266
1 mcg,375.23370000000006,0.7383472829071006,0.1317393189700331
1 mcg,375.46700000000004,0.7321328199166733,0.13541012423627588
1 mcg,375.7003,0.7260182561121652,0.1390524585986804
1 mcg,375.9336,0.733919591108017,0.13435151917249896
1 mcg,376.16690000000006,0.7496138950938797,0.12516237181789316
1 mcg,376.40020000000004,0.7054844164910213,0.15151257497370876
1 mcg,376.6335,0.7367459643401738,0.1326822343984222
1 mcg,376.8668,0.7599895935202687,0.11919235443982129
1 mcg,377.10010000000005,0.7630930975724747,0.11742247476391263
1 mcg,377.33340000000004,0.7702005812296675,0.11339615797407442
1 mcg,377.5667,0.7892779705290277,0.10277001858218943
1 mcg,377.8,0.7801302289297279,0.10783289348304714
1 mcg,378.03330000000005,0.7812752923545064,0.10719590993305775
1 mcg,378.26660000000004,0.7375023179157335,0.13223661039192733
1 mcg,378.4999,0.7100279496772082,0.14872455529265657
1 mcg,378.7332,0.7319972526307713,0.13549054895463394
1 mcg,378.96650000000005,0.7564253042223967,0.12123395140243215
1 mcg,379.19980000000004,0.7476171092192674,0.12632076834925954
1 mcg,379.4331,0.7699615391363847,0.1135309680197393
1 mcg,379.6664,0.7722878828930692,0.11222077913801023
1 mcg,379.89970000000005,0.7452693086364818,0.12768676333203402
1 mcg,380.13300000000004,0.7187323904199235,0.14343278277138205
1 mcg,380.3663,0.7206043905729894,0.1423030960910347
1 mcg,380.5996,0.7221518411298139,0.14137147717886164
1 mcg,380.83290000000005,0.7347777815413689,0.13384398451085183
1 mcg,381.06620000000004,0.7411106129412327,0.13011696745268858
1 mcg,381.2995,0.7373714050521298,0.13231370815770505
1 mcg,381.5328,0.7504875615647243,0.12465650127356742
1 mcg,381.76610000000005,0.7560250304374801,0.12146382566159247
1 mcg,381.99940000000004,0.7679369411058274,0.11467444045565583
1 mcg,382.2327,0.7551966370613876,0.12193995264660581
1 mcg,382.466,0.7626629107747784,0.1176673733667766
1 mcg,382.69930000000005,0.75705004874108,0.12087540824949243
1 mcg,382.93260000000004,0.739184409775168,0.13124720144706362
1 mcg,383.1659,0.7359288752613257,0.13316415655128017
1 mcg,383.3992,0.758938049766618,0.11979367304069918
1 mcg,383.63250000000005,0.7786671952895884,0.10864812144461736
1 mcg,383.86580000000004,0.7360490967003538,0.13309321594118
1 mcg,384.0991,0.7259804732731193,0.13907506037949452
1 mcg,384.3324,0.7505860665060652,0.12459950186764095
1 mcg,384.56570000000005,0.7838298198476087,0.10577821834079483
1 mcg,384.79900000000004,0.7927546668241979,0.10086119266885665
1 mcg,385.0323,0.811367767700304,0.0907822490200842
1 mcg,385.2656,0.7917526286729973,0.10141048606620852
1 mcg,385.49890000000005,0.7426194059357685,0.12923370609194754
1 mcg,385.73220000000003,0.7384930138282799,0.13165360877475174
1 mcg,385.9655,0.7900106860944335,0.1023670341773336
1 mcg,386.1988,0.8116674999855588,0.09062184328940677
1 mcg,386.43210000000005,0.7590862151751805,0.11970889518696123
1 mcg,386.66540000000003,0.7096571930497255,0.14895139088635173
1 mcg,386.8987,0.719223495834023,0.1431361333655028
1 mcg,387.132,0.7617524371678376,0.1181861476115571
1 mcg,387.36530000000005,0.7966878376926255,0.0987118127620061
1 mcg,387.59860000000003,0.8031430358658617,0.09520710209949766
1 mcg,387.8319,0.8092664254813736,0.09190847706776893
1 mcg,388.0652,0.799079031199,0.09741026559682739
1 mcg,388.29850000000005,0.7862519928016821,0.10443824080050323
1 mcg,388.53180000000003,0.7759882320385683,0.11014486482359705
1 mcg,388.7651,0.7323224947602657,0.13529762542861262
1 mcg,388.9984,0.7095581614965728,0.14901200023221395
1 mcg,389.23170000000005,0.7350165784092976,0.13370286522807923
1 mcg,389.46500000000003,0.7907944079746912,0.10193641041845761
1 mcg,389.6983,0.7764311265830784,0.1098970623713845
1 mcg,389.9316,0.773326379824909,0.11163717485106711
1 mcg,390.16490000000005,0.7519984363788731,0.12378306243060934
1 mcg,390.39820000000003,0.7158018674174516,0.14520717293674273
1 mcg,390.6315,0.7065820829718041,0.15083737930583332
1 mcg,390.86480000000006,0.7429718769834237,0.12902762486939368
1 mcg,391.09810000000004,0.7953576953302225,0.09943751263750553
1 mcg,391.33140000000003,0.8002379309771598,0.0967808670739231
1 mcg,391.5647,0.8259392522402952,0.08305189382612653
1 mcg,391.79800000000006,0.8213965819847385,0.0854471086752756
1 mcg,392.03130000000004,0.8279150322245484,0.0820142319705602
1 mcg,392.26460000000003,0.8434841678717878,0.07392306466993373
1 mcg,392.4979,0.803772934743575,0.09486662179341687
1 mcg,392.73120000000006,0.7622660182238504,0.11789344062196576
1 mcg,392.96450000000004,0.7718032308412511,0.11249340776307974
1 mcg,393.19780000000003,0.7751245889256546,0.11062848596573754
1 mcg,393.4311,0.7149193860282044,0.1457429262785109
1 mcg,393.66440000000006,0.6581267018561996,0.1816904884226877
1 mcg,393.89770000000004,0.6780180144415597,0.16875876709365972
1 mcg,394.13100000000003,0.7279372324958171,0.13790606678026676
1 mcg,394.3643,0.7503323172213037,0.12474634784728054
1 mcg,394.59760000000006,0.7357293881216979,0.13328189606545582
1 mcg,394.83090000000004,0.7387094443578937,0.13152634851346756
1 mcg,395.0642,0.7240417081615456,0.1402364157052217
1 mcg,395.2975,0.7071059045007775,0.15051553627970238
1 mcg,395.53080000000006,0.7471921253457249,0.12656771378133536
1 mcg,395.76410000000004,0.7978488290660187,0.09807938799986173
1 mcg,395.9974,0.7885569435625625,0.10316693977063514
1 mcg,396.2307,0.7711872245954473,0.11284017352127496
1 mcg,396.46400000000006,0.7587392064851859,0.11990747396909542
1 mcg,396.69730000000004,0.7314329404656489,0.1358254848780376
1 mcg,396.9306,0.6999044017337755,0.1549612751782862
1 mcg,397.1639,0.71540341303307,0.14544899225820795
1 mcg,397.39720000000005,0.7407501629812381,0.13032824429361556
1 mcg,397.63050000000004,0.7563866283312725,0.12125615736966466
1 mcg,397.8638,0.7574092286946936,0.12066940749778715
1 mcg,398.0971,0.7508725053959311,0.12443379788738018
1 mcg,398.33040000000005,0.7437850776448309,0.12855253902022545
1 mcg,398.56370000000004,0.7157938657352837,0.14521202777995162
1 mcg,398.797,0.7541839944304841,0.12252268858948065
1 mcg,399.0303,0.7856220814771807,0.10478631833602597
1 mcg,399.26360000000005,0.772723425331594,0.11197592179400284
1 mcg,399.49690000000004,0.7427330638259559,0.12916724241327948
1 mcg,399.7302,0.7490611309262584,0.1254827380540815
1 mcg,399.9635,0.7407542311047006,0.13032585919968193
1 mcg,400.19680000000005,0.7268782833279785,0.1385383062036547
1 mcg,400.43010000000004,0.7788105057095496,0.1085681987276191
1 mcg,400.6634,0.7656943976227506,0.11594453050881205
1 mcg,400.8967,0.7274184593152004,0.1382156822790913
1 mcg,401.13000000000005,0.7192314441065333,0.14313133392299535
1 mcg,401.36330000000004,0.719624885641547,0.1428938265522677
1 mcg,401.5966,0.7107856723519889,0.14826133506086045
1 mcg,401.8299,0.7103858025474489,0.1485057267577688
1 mcg,402.06320000000005,0.731497315670166,0.13578726323897597
1 mcg,402.29650000000004,0.7392635064800953,0.13120073208937877
1 mcg,402.5298,0.7619561352738076,0.11807002965366944
1 mcg,402.7631,0.7549584805206321,0.12207693204843356
1 mcg,402.99640000000005,0.7535460657383687,0.12289019327043757
1 mcg,403.22970000000004,0.7638415878267317,0.11699669988784633
1 mcg,403.463,0.7680522132752128,0.11460925501208383
1 mcg,403.6963,0.7445825549958252,0.12808714318854023
1 mcg,403.92960000000005,0.7461783776861106,0.12715733984043534
1 mcg,404.16290000000004,0.7662509691802931,0.11562896316274607
1 mcg,404.3962,0.7879488376095934,0.10350198081652175
1 mcg,404.6295,0.7724582551817835,0.11212498120288793
1 mcg,404.86280000000005,0.7450880418931564,0.12779240664870434
1 mcg,405.09610000000004,0.7633847851891479,0.11725650010377103
1 mcg,405.3294,0.8063128804769225,0.09349640249089712
1 mcg,405.5627,0.8130616764805579,0.08987650884726109
1 mcg,405.79600000000005,0.7793394077983784,0.10827336282578934
1 mcg,406.02930000000003,0.7645230174577117,0.11660943477175234
1 mcg,406.2626,0.7590841224132052,0.11971009251634555
1 mcg,406.4959,0.7774779306815977,0.10931192991428651
1 mcg,406.72920000000005,0.8098809787581062,0.09157880095670187
1 mcg,406.96250000000003,0.8162665866506361,0.08816798070289593
1 mcg,407.1958,0.7989052456471347,0.09750472723528121
1 mcg,407.4291,0.8103741316245062,0.09131443076727487
1 mcg,407.66240000000005,0.7968003091371102,0.09865050608973536
1 mcg,407.89570000000003,0.7494870541019715,0.12523586432421954
1 mcg,408.129,0.7191369245824796,0.1431884115238121
1 mcg,408.3623,0.7509989919581024,0.124360645935016
1 mcg,408.59560000000005,0.7931870906513047,0.10062436267718182
1 mcg,408.82890000000003,0.8062891735456706,0.09350917165412695
1 mcg,409.0622,0.7966772463881787,0.09871758638554465
1 mcg,409.2955,0.7908357868015913,0.10191368627440198
1 mcg,409.52880000000005,0.784041777484327,0.10566079541822714
1 mcg,409.76210000000003,0.7711410454442272,0.11286618011267242
1 mcg,409.9954,0.7860165584072308,0.10456830491588101
1 mcg,410.2287,0.7898903437072616,0.10243319532768798
1 mcg,410.46200000000005,0.8016654491222267,0.09600683360220266
1 mcg,410.69530000000003,0.7901126180797721,0.10231100247562215
1 mcg,410.9286,0.7461849516244764,0.1271535136607101
1 mcg,411.16190000000006,0.7588312787786874,0.11985477593702214
1 mcg,411.39520000000005,0.7998131345927036,0.09701146812660955
1 mcg,411.62850000000003,0.8077067600819426,0.09274628228643307
1 mcg,411.8618,0.8056093809132819,0.09387548528567827
1 mcg,412.09510000000006,0.7991302165767954,0.0973824475533901
1 mcg,412.32840000000004,0.7702351989706346,0.11337663844061024
1 mcg,412.56170000000003,0.7415441473155493,0.1298629884457153
1 mcg,412.795,0.7406266465431309,0.13040066679580906
1 mcg,413.02830000000006,0.7600543237847005,0.11915536603922075
1 mcg,413.26160000000004,0.7811658571071988,0.10725674694330357
1 mcg,413.49490000000003,0.7879749271492723,0.10348760125911886
1 mcg,413.7282,0.7768600791394471,0.10965719526561761
1 mcg,413.96150000000006,0.7751370308908482,0.11062151491419547
1 mcg,414.19480000000004,0.7687145247530309,0.11423491291993855
1 mcg,414.42810000000003,0.746425075021012,0.12701377955048804
1 mcg,414.6614,0.7326754145894062,0.1350883812565401
1 mcg,414.89470000000006,0.7516776280348213,0.1239683753433855
1 mcg,415.12800000000004,0.7815827743965782,0.10702502076695873
1 mcg,415.3613,0.7876403375862747,0.10367205035192566
1 mcg,415.5946,0.8002502110377866,0.09677420265395302
1 mcg,415.82790000000006,0.8183545664001729,0.08705848988902737
1 mcg,416.06120000000004,0.810556908913025,0.09121648808350584
1 mcg,416.2945,0.7597115171640296,0.11935128967723238
1 mcg,416.5278,0.7265083581857619,0.1387593849542946
1 mcg,416.76110000000006,0.7200434964428863,0.14264126788185075
1 mcg,416.99440000000004,0.745185613036393,0.12773553842316598
1 mcg,417.2277,0.7514504269888284,0.12409966443878767
1 mcg,417.461,0.7384922405906852,0.1316540635021359
1 mcg,417.69430000000006,0.7620301491701231,0.11802784577431648
1 mcg,417.92760000000004,0.743301809796035,0.12883480977276093
1 mcg,418.1609,0.7099194900991548,0.14879090056013658
1 mcg,418.3942,0.7227693319917255,0.14100028337913337
1 mcg,418.62750000000005,0.7566946017788465,0.12107936425632805
1 mcg,418.86080000000004,0.7704067852957084,0.11327990085300883
1 mcg,419.0941,0.7543240495021527,0.12244204580443532
1 mcg,419.3274,0.7677873327691467,0.1147590573056699
1 mcg,419.56070000000005,0.7702249491256287,0.11338241781910573
1 mcg,419.79400000000004,0.7513680316919727,0.12414728672155687
1 mcg,420.0273,0.7454482588874599,0.12758249528206744
1 mcg,420.2606,0.7550620627452784,0.12201734982770372
1 mcg,420.49390000000005,0.7455572447569381,0.1275190052926765
1 mcg,420.72720000000004,0.7476319998472166,0.1263121183958686
1 mcg,420.9605,0.7721243398054032,0.11231275699178316
1 mcg,421.1938,0.7992400075597698,0.0973227847575954
