Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.7324270479095143,0.13523562594741992
1 mcg,375.23370000000006,0.7369497769366997,0.13256210826370024
1 mcg,375.46700000000004,0.7127412376366946,0.14706811315483875
1 mcg,375.7003,0.6813048483129445,0.16665852051595775
1 mcg,375.9336,0.6723555258213008,0.17240102148062053
1 mcg,376.16690000000006,0.6858498250013065,0.1637709678400394
1 mcg,376.40020000000004,0.6406828946051186,0.19335687094769963
1 mcg,376.6335,0.6853995988565933,0.16405615408534502
1 mcg,376.8668,0.7615313624074183,0.11831220626095527
1 mcg,377.10010000000005,0.7554346254359252,0.12180311311304151
1 mcg,377.33340000000004,0.7506912931101952,0.12453862126712405
1 mcg,377.5667,0.810306003251543,0.09135094355696075
1 mcg,377.8,0.7809983772916684,0.10734986847097913
1 mcg,378.03330000000005,0.7275134193891628,0.138158991465198
1 mcg,378.26660000000004,0.6834247322731144,0.16530930868711996
1 mcg,378.4999,0.6527702713873569,0.1852396325422135
1 mcg,378.7332,0.6818373359304477,0.1663192214341755
1 mcg,378.96650000000005,0.6962113241020556,0.1572589170542604
1 mcg,379.19980000000004,0.6521974578585048,0.18562089832395212
1 mcg,379.4331,0.6932890693245009,0.15908564700947167
1 mcg,379.6664,0.7222141865286138,0.141333984933587
1 mcg,379.89970000000005,0.6751754482752603,0.17058335855129844
1 mcg,380.13300000000004,0.6532322233550067,0.1849324000527975
1 mcg,380.3663,0.6851472731586881,0.16421606639731082
1 mcg,380.5996,0.6895339006506584,0.16144437705363376
1 mcg,380.83290000000005,0.6900503787146466,0.1611192014379818
1 mcg,381.06620000000004,0.6924212694495553,0.1596296001514941
1 mcg,381.2995,0.6590407476078282,0.18108773272898712
1 mcg,381.5328,0.667776267072949,0.1753690199363553
1 mcg,381.76610000000005,0.7172317354180733,0.14434050241712265
1 mcg,381.99940000000004,0.7793117883121865,0.10828875432643725
1 mcg,382.2327,0.7680895438978814,0.11458814695567109
1 mcg,382.466,0.7743297389199335,0.11107406089557208
1 mcg,382.69930000000005,0.7562052025104304,0.1213603391213279
1 mcg,382.93260000000004,0.6986466575305961,0.15574241435905167
1 mcg,383.1659,0.6485691014671704,0.18804374542861962
1 mcg,383.3992,0.6693532455265383,0.17434462648522392
1 mcg,383.63250000000005,0.7355284600954597,0.1334005182820893
1 mcg,383.86580000000004,0.6961122344581598,0.1573207332684094
1 mcg,384.0991,0.6691404278457107,0.17448273030603745
1 mcg,384.3324,0.7045032134972711,0.15211702157385898
1 mcg,384.56570000000005,0.7573568834028301,0.12069942305099687
1 mcg,384.79900000000004,0.7625102515625326,0.11775431307349143
1 mcg,385.0323,0.7665139712949094,0.11547992482658438
1 mcg,385.2656,0.7227506454634365,0.14101151180385096
1 mcg,385.49890000000005,0.6543396930316452,0.18419673407768808
1 mcg,385.73220000000003,0.6957434573402812,0.15755086901026585
1 mcg,385.9655,0.7159982293158349,0.14508805171353129
1 mcg,386.1988,0.7389601000385102,0.13137901059152637
1 mcg,386.43210000000005,0.7347405220685108,0.13386600748725788
1 mcg,386.66540000000003,0.7094570119587928,0.1490739145612515
1 mcg,386.8987,0.7045634415321482,0.15207989529154212
1 mcg,387.132,0.7505059860026877,0.12464583949323792
1 mcg,387.36530000000005,0.8345564022667913,0.07854430683916247
1 mcg,387.59860000000003,0.8926603773445883,0.04931374189523587
1 mcg,387.8319,0.86603583706146,0.062464136255153374
1 mcg,388.0652,0.7963476409670214,0.0988973021185416
1 mcg,388.29850000000005,0.7480464965417439,0.12607140672923256
1 mcg,388.53180000000003,0.7363915372770322,0.13289121111724253
1 mcg,388.7651,0.715206653104399,0.14556845423298767
1 mcg,388.9984,0.7036933126421987,0.15261657615235677
1 mcg,389.23170000000005,0.7195998907645258,0.14290891125251082
1 mcg,389.46500000000003,0.7523312194879617,0.12359091588913597
1 mcg,389.6983,0.7172824308123322,0.14430980668680218
1 mcg,389.9316,0.7458022215826441,0.12737632730396017
1 mcg,390.16490000000005,0.727202924205983,0.13834438341099412
1 mcg,390.39820000000003,0.6432673439339944,0.19160849540400138
1 mcg,390.6315,0.6450627114146925,0.19039806226792652
1 mcg,390.86480000000006,0.7312651263336329,0.13592513736749384
1 mcg,391.09810000000004,0.794722887522195,0.09978427939349971
1 mcg,391.33140000000003,0.7646099927560424,0.11656003044666703
1 mcg,391.5647,0.790970059613125,0.10183995542887377
1 mcg,391.79800000000006,0.8111401968952441,0.09090407615151841
1 mcg,392.03130000000004,0.8094679287013542,0.09180035341332346
1 mcg,392.26460000000003,0.8029729414467695,0.0952990893145356
1 mcg,392.4979,0.8059642888815028,0.09368420073249585
1 mcg,392.73120000000006,0.7765031340882791,0.10985678705132923
1 mcg,392.96450000000004,0.7428201819460956,0.1291163052704992
1 mcg,393.19780000000003,0.7554339576940381,0.1218034969937048
1 mcg,393.4311,0.6739836535210626,0.17135063650873136
1 mcg,393.66440000000006,0.6330667897156195,0.19855046869548382
1 mcg,393.89770000000004,0.6674872534532037,0.17555702330839523
1 mcg,394.13100000000003,0.6935732796035212,0.1589076467087179
1 mcg,394.3643,0.6924658115524853,0.15960166373734608
1 mcg,394.59760000000006,0.6854377081645175,0.16403200729263642
1 mcg,394.83090000000004,0.7072593113259888,0.15042132618857268
1 mcg,395.0642,0.7044722273538027,0.15213612355496636
1 mcg,395.2975,0.6831258461144218,0.16549928279208198
1 mcg,395.53080000000006,0.7458741214678188,0.12733446068383103
1 mcg,395.76410000000004,0.8254159152382603,0.08332716153866296
1 mcg,395.9974,0.8062724476475902,0.09351818087913392
1 mcg,396.2307,0.7732695398705016,0.11166909693006336
1 mcg,396.46400000000006,0.7572668087025578,0.1207510780535396
1 mcg,396.69730000000004,0.7173284584549362,0.14428193912863108
1 mcg,396.9306,0.6463988595281547,0.18949941847893148
1 mcg,397.1639,0.6847462426971347,0.16447034210485625
1 mcg,397.39720000000005,0.7412099820209441,0.13005874058435554
1 mcg,397.63050000000004,0.7395946384113883,0.1310062458589819
1 mcg,397.8638,0.6878643174121728,0.1624972187564304
1 mcg,398.0971,0.6812474061296896,0.1666951383016603
1 mcg,398.33040000000005,0.6871371496101295,0.16295657098384378
1 mcg,398.56370000000004,0.6578805107734573,0.18185297906703968
1 mcg,398.797,0.6727093833494644,0.17217251447793394
1 mcg,399.0303,0.6876705309352962,0.16261958628239004
1 mcg,399.26360000000005,0.6737686358470991,0.1714892094361794
1 mcg,399.49690000000004,0.675551648178131,0.1703414421100531
1 mcg,399.7302,0.6919267613678883,0.15993987204191223
1 mcg,399.9635,0.676689417284978,0.16961061537507371
1 mcg,400.19680000000005,0.6740617326197791,0.17130032763617992
1 mcg,400.43010000000004,0.7271107201308418,0.13839945230380468
1 mcg,400.6634,0.72310288365992,0.1407999065409479
1 mcg,400.8967,0.7431411777260473,0.12892867361075477
1 mcg,401.13000000000005,0.7524688994709938,0.12351144532515487
1 mcg,401.36330000000004,0.7227083096107849,0.14103695178903208
1 mcg,401.5966,0.6725083192183361,0.1723023388820304
1 mcg,401.8299,0.6702871477474124,0.17373910779692062
1 mcg,402.06320000000005,0.7072326080786975,0.15043772369892933
1 mcg,402.29650000000004,0.7372668984007436,0.1323752644891647
