Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.6256254963706305,0.20368556060767062
1 mcg,375.23370000000006,0.6235603032557016,0.20512154041352101
1 mcg,375.46700000000004,0.6476462562675545,0.1886621405790384
1 mcg,375.7003,0.6761221104595645,0.1699748615885524
1 mcg,375.9336,0.6941378948762902,0.15855424563304443
1 mcg,376.16690000000006,0.7172172004283854,0.14434930365871224
1 mcg,376.40020000000004,0.7123501477207435,0.14730648130222165
1 mcg,376.6335,0.6416410664416583,0.19270784803085356
1 mcg,376.8668,0.6417004567361315,0.19266765159565544
1 mcg,377.10010000000005,0.6418900140970882,0.1925393805959297
1 mcg,377.33340000000004,0.644349332954602,0.1908786167372135
1 mcg,377.5667,0.636434650995225,0.19624618300668903
1 mcg,377.8,0.5949684996124536,0.22550602722377963
1 mcg,378.03330000000005,0.5919075316465368,0.22774613387217396
1 mcg,378.26660000000004,0.6443967508878701,0.19084665800301584
1 mcg,378.4999,0.6221295846747634,0.206119145779181
1 mcg,378.7332,0.6325041587690083,0.1989366146193475
1 mcg,378.96650000000005,0.6796960863284411,0.16768523072634114
1 mcg,379.19980000000004,0.672055412947915,0.1725949166108459
1 mcg,379.4331,0.6788783368536226,0.16820804953011526
1 mcg,379.6664,0.6979442150514636,0.15617928806953604
1 mcg,379.89970000000005,0.656618453726385,0.18268691594277356
1 mcg,380.13300000000004,0.6366161671835004,0.19612233645107213
1 mcg,380.3663,0.6015003129463459,0.22076414237095976
1 mcg,380.5996,0.5701879983074973,0.24398192824662662
1 mcg,380.83290000000005,0.5817226879280974,0.23528399783162784
1 mcg,381.06620000000004,0.5992579541596508,0.22238619271405263
1 mcg,381.2995,0.5728907337297635,0.2419282022268702
1 mcg,381.5328,0.57585602411984,0.23968608558072063
1 mcg,381.76610000000005,0.5869852029378029,0.23137284656066257
1 mcg,381.99940000000004,0.5865404640383682,0.23170202156653477
1 mcg,382.2327,0.5733374452807569,0.24158969306268543
1 mcg,382.466,0.6079234676856073,0.21615109121065523
1 mcg,382.69930000000005,0.6075032680480847,0.21645138144745718
1 mcg,382.93260000000004,0.5966850300408604,0.22425485783581306
1 mcg,383.1659,0.6101395389092583,0.21457083048423028
1 mcg,383.3992,0.5725893050054156,0.24215676812110892
1 mcg,383.63250000000005,0.5816067108273573,0.23537059104434876
1 mcg,383.86580000000004,0.6499444696911476,0.18712374726010325
1 mcg,384.0991,0.7032405956691985,0.15289606687876856
1 mcg,384.3324,0.6890927970352532,0.16172228966475152
1 mcg,384.56570000000005,0.6787555885721288,0.1682865816004514
1 mcg,384.79900000000004,0.6653776549778201,0.17693178790178665
1 mcg,385.0323,0.6247921976233317,0.20426440254671413
1 mcg,385.2656,0.5591108843606631,0.25250205313255647
1 mcg,385.49890000000005,0.564903656257151,0.24802561434640175
1 mcg,385.73220000000003,0.6489778298538029,0.18777013915743507
1 mcg,385.9655,0.6508624319374643,0.18651079540099263
1 mcg,386.1988,0.6078548129866956,0.21620014021473727
1 mcg,386.43210000000005,0.6169803832196408,0.209728644062218
1 mcg,386.66540000000003,0.6581187521146554,0.1816957344486091
