Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.4546215418100109,0.3423499894919016
1 mcg,375.23370000000006,0.45338705480927666,0.34353088408854443
1 mcg,375.46700000000004,0.4755285034740051,0.32282344606522434
1 mcg,375.7003,0.5030480970556307,0.29839048952211067
1 mcg,375.9336,0.5216543588696142,0.2826171593638417
1 mcg,376.16690000000006,0.5426758900550226,0.26545947277957554
1 mcg,376.40020000000004,0.5429851510811663,0.26521204682310157
1 mcg,376.6335,0.4885351366617813,0.31110419528286487
1 mcg,376.8668,0.4903968352741258,0.30945234115566655
1 mcg,377.10010000000005,0.48858601679110125,0.3110589665835494
1 mcg,377.33340000000004,0.4892673777231201,0.3104537401917189
1 mcg,377.5667,0.4787389926177156,0.3199011984026273
1 mcg,377.8,0.43857393818291146,0.357957179406418
1 mcg,378.03330000000005,0.43761979652218475,0.3589030401346791
1 mcg,378.26660000000004,0.4843932132368596,0.314801950323432
1 mcg,378.4999,0.46490542289566905,0.3326353879534386
1 mcg,378.7332,0.4719891925434211,0.32606794558729296
1 mcg,378.96650000000005,0.5089309138274505,0.29334116811489286
1 mcg,379.19980000000004,0.49818440970089795,0.3026098674996595
1 mcg,379.4331,0.5035264445559917,0.2979777159283237
1 mcg,379.6664,0.52487903036302,0.2799407775453363
1 mcg,379.89970000000005,0.4993096278953787,0.3016300596177886
1 mcg,380.13300000000004,0.4928106557155775,0.30731991028266376
1 mcg,380.3663,0.46211993522374484,0.33524529620554677
1 mcg,380.5996,0.4348711224344649,0.3616394306509608
1 mcg,380.83290000000005,0.44726135760873476,0.349438622288431
1 mcg,381.06620000000004,0.4599987227713871,0.3372433741751842
1 mcg,381.2995,0.4317067866171873,0.36481112399319265
1 mcg,381.5328,0.4331209870976592,0.3633907718003466
1 mcg,381.76610000000005,0.4447417319615926,0.3518921169862152
1 mcg,381.99940000000004,0.4424235852779961,0.3541617291647941
1 mcg,382.2327,0.4269696775996564,0.36960296647087054
1 mcg,382.466,0.45376401552843704,0.3431699475808297
1 mcg,382.69930000000005,0.4533067776067674,0.34360778754794175
1 mcg,382.93260000000004,0.44214065049594686,0.3544395541407619
1 mcg,383.1659,0.4513712722383588,0.3454660852790374
1 mcg,383.3992,0.41937677152752295,0.37739562794027925
1 mcg,383.63250000000005,0.42969035703168024,0.3668443924992983
1 mcg,383.86580000000004,0.4927152385064928,0.30740400582547295
1 mcg,384.0991,0.54051990468037,0.267188308493872
1 mcg,384.3324,0.5308467030281119,0.27503087560574796
1 mcg,384.56570000000005,0.5236702710473389,0.2809420804551516
1 mcg,384.79900000000004,0.5107630856385689,0.2917804980233207
1 mcg,385.0323,0.4733374040386191,0.32482917538468803
1 mcg,385.2656,0.416712216383301,0.38016376752907366
1 mcg,385.49890000000005,0.42331382687085106,0.37333754575788025
1 mcg,385.73220000000003,0.4997130459238316,0.30127931235694677
1 mcg,385.9655,0.5026942698360292,0.2986960652250308
1 mcg,386.1988,0.4628449975801344,0.33456442575577067
1 mcg,386.43210000000005,0.4716116466292656,0.32641547837684914
1 mcg,386.66540000000003,0.5116514061779974,0.2910258279582923
1 mcg,386.8987,0.5260013820489393,0.2790131147522694
1 mcg,387.132,0.5022381626266378,0.2990902904513202
1 mcg,387.36530000000005,0.47309601840182736,0.3250507069786847
1 mcg,387.59860000000003,0.45843256242966424,0.33872454204139224
1 mcg,387.8319,0.4854205397268059,0.3138818511987984
1 mcg,388.0652,0.4702630884776935,0.3276591082187631
1 mcg,388.29850000000005,0.48420110642559244,0.3149742225068832
1 mcg,388.53180000000003,0.5097333178050737,0.2926569786028006
1 mcg,388.7651,0.5071074714715925,0.2948999907241039
1 mcg,388.9984,0.4837958003022791,0.315337905948224
1 mcg,389.23170000000005,0.5123186693596544,0.2904598177482044
1 mcg,389.46500000000003,0.5972735753221791,0.22382669895730362
1 mcg,389.6983,0.6237296673005218,0.20500359851983688
1 mcg,389.9316,0.5989935770543521,0.2225778344801509
1 mcg,390.16490000000005,0.5382722699589066,0.26899799305080424
1 mcg,390.39820000000003,0.4979090469866587,0.30284998254018997
