Wavelength,Gray_Value
72.177,38.98
72.4103,38.56
72.6436,38.493
72.8769,38.107
73.1102,38.653
73.3435,38.697
73.5768,38.7
73.8101,38.173
74.0434,38.377
74.2767,38.23
74.51,37.86
74.7433,38.083
74.9766,37.807
75.2099,37.683
75.4432,37.39
75.6765,37.0
75.9098,37.393
76.1431,37.603
76.3764,37.603
76.6097,37.433
76.843,37.093
77.0763,37.56
77.3096,37.377
77.5429,36.68
77.7762,36.28
78.0095,37.1
78.2428,37.557
78.4761,36.817
78.7094,36.017
78.9427,35.81
79.176,36.303
79.4093,35.603
79.6426,36.287
79.8759,36.64
80.1092,36.313
80.3425,36.34
80.5758,36.417
80.8091,36.22
81.04240000000001,35.177
81.2757,34.693
81.50900000000001,35.083
81.7423,34.957
81.97560000000001,34.983
82.2089,35.907
82.44220000000001,35.85
82.6755,35.547
82.90880000000001,35.007
83.1421,34.34
83.37540000000001,34.88
83.60870000000001,34.443
83.84200000000001,33.957
84.07530000000001,34.167
84.30860000000001,34.063
84.54190000000001,35.077
84.77520000000001,35.07
85.00850000000001,33.73
85.24180000000001,32.683
85.47510000000001,33.537
85.70840000000001,34.35
85.94170000000001,34.57
86.17500000000001,34.657
86.40830000000001,34.593
86.64160000000001,33.883
86.87490000000001,33.387
87.10820000000001,33.163
87.34150000000001,32.87
87.57480000000001,33.753
87.80810000000001,34.743
88.04140000000001,34.63
88.27470000000001,33.87
88.50800000000001,33.203
88.74130000000001,32.723
88.97460000000001,33.07
89.20790000000001,33.257
89.44120000000001,33.36
89.67450000000001,33.22
89.90780000000001,33.243
90.14110000000001,33.523
90.37440000000001,33.68
90.60770000000001,33.683
90.84100000000001,33.623
91.07430000000001,32.863
91.30760000000001,32.387
91.54090000000001,32.153
91.77420000000001,32.88
92.00750000000001,33.433
92.24080000000001,33.027
92.4741,32.593
92.7074,31.87
92.9407,31.797
93.174,32.0
93.4073,32.1
93.6406,31.63
93.8739,31.303
94.1072,31.127
94.3405,30.72
94.5738,31.557
94.8071,31.92
95.0404,32.257
95.2737,31.963
95.507,31.363
95.7403,31.4
95.9736,31.903
96.2069,31.733
96.4402,31.243
96.6735,30.5
96.9068,29.717
97.1401,30.357
97.3734,30.897
97.6067,30.29
97.84,29.62
98.0733,29.723
98.3066,30.557
98.5399,30.843
98.7732,30.45
99.0065,29.853
99.2398,30.133
99.4731,30.573
99.7064,30.007
99.93970000000002,28.817
100.173,29.297
100.40630000000002,30.177
100.6396,30.137
100.87290000000002,29.063
101.1062,29.367
101.33950000000002,29.52
101.5728,29.223
101.80610000000001,28.777
102.0394,28.457
102.27270000000001,28.737
102.506,29.397
102.73930000000001,29.19
102.9726,28.177
103.20590000000001,28.177
103.4392,28.67
103.67250000000001,28.667
103.9058,28.71
104.13910000000001,28.2
104.3724,28.37
104.60570000000001,28.26
104.839,27.797
105.07230000000001,27.64
105.3056,27.693
105.53890000000001,27.723
105.7722,28.72
106.00550000000001,27.983
106.2388,27.523
106.47210000000001,27.73
106.7054,27.62
106.93870000000001,27.347
107.17200000000001,27.523
107.40530000000001,27.56
107.63860000000001,28.107
107.87190000000001,28.317
108.10520000000001,28.283
108.33850000000001,27.907
108.57180000000001,27.503
108.80510000000001,27.233
109.03840000000001,26.85
109.27170000000001,26.7
109.50500000000001,26.71
109.73830000000001,26.32
109.97160000000001,26.087
110.20490000000001,26.127
110.43820000000001,26.7
110.67150000000001,27.483
110.90480000000001,27.31
111.13810000000001,26.313
111.37140000000001,26.337
111.60470000000001,26.317
111.83800000000001,26.34
112.07130000000001,25.863
112.30460000000001,25.54
112.53790000000001,25.58
112.77120000000001,26.157
113.00450000000001,25.777
113.23780000000001,25.303
113.4711,25.893
113.7044,25.583
113.9377,24.917
114.171,24.937
114.4043,24.887
114.6376,24.47
114.8709,24.55
115.1042,25.343
115.3375,25.923
115.5708,26.097
115.8041,25.56
116.0374,24.857
116.2707,24.4
116.504,23.677
116.7373,23.76
116.9706,23.51
117.2039,23.673
117.43720000000002,23.74
117.6705,23.15
117.90380000000002,23.297
118.1371,22.873
118.37040000000002,22.573
118.6037,22.553
118.83700000000002,23.173
119.0703,23.153
119.30360000000002,22.673
119.5369,22.467
119.77020000000002,22.783
120.0035,22.727
120.23680000000002,21.817
120.4701,21.117
120.70340000000002,21.557
120.9367,21.67
121.17000000000002,21.42
121.4033,20.567
121.63660000000002,20.163
121.8699,21.203
122.10320000000002,21.933
122.3365,21.497
122.56980000000001,22.19
122.8031,21.967
123.03640000000001,21.4
123.2697,20.197
123.50300000000001,20.067
123.7363,20.487
123.96960000000001,21.087
124.2029,21.14
124.43620000000001,21.193
124.6695,21.407
124.90280000000001,21.57
125.1361,20.743
125.36940000000001,19.483
125.6027,19.937
125.83600000000001,20.107
126.0693,19.913
126.30260000000001,20.963
126.5359,20.143
126.76920000000001,20.513
127.00250000000001,20.17
127.23580000000001,19.357
127.46910000000001,19.64
127.70240000000001,19.77
127.93570000000001,19.097
128.169,19.73
128.40230000000003,19.663
128.6356,19.43
128.8689,18.963
129.1022,18.987
129.33550000000002,18.9
129.5688,19.283
129.8021,19.45
130.0354,20.0
130.26870000000002,19.527
130.502,19.173
130.7353,19.397
130.9686,19.1
131.20190000000002,19.317
131.4352,19.08
131.6685,18.727
131.9018,18.49
132.13510000000002,18.01
132.3684,18.523
132.6017,18.607
132.835,18.153
133.06830000000002,18.77
133.3016,18.473
133.5349,17.393
133.7682,17.92
134.00150000000002,17.883
134.2348,17.89
134.4681,18.303
134.7014,18.557
134.93470000000002,18.95
135.168,18.253
135.4013,17.35
135.6346,18.26
135.86790000000002,18.557
136.1012,17.897
136.3345,17.61
136.5678,17.53
136.80110000000002,18.097
137.0344,18.49
137.2677,17.693
137.501,18.03
137.73430000000002,17.213
137.9676,16.727
138.2009,16.96
138.4342,16.743
138.66750000000002,16.873
138.9008,16.827
139.1341,16.813
139.3674,17.993
139.60070000000002,18.26
139.834,17.99
140.0673,17.78
140.3006,17.513
140.53390000000002,17.617
140.7672,17.07
141.0005,16.507
141.2338,16.747
141.46710000000002,16.067
141.7004,15.397
141.93370000000002,15.783
142.16700000000003,16.37
142.40030000000002,16.763
142.6336,16.04
142.86690000000002,15.457
143.10020000000003,16.803
143.33350000000002,17.137
143.5668,17.053
143.80010000000001,16.84
144.03340000000003,16.223
144.26670000000001,15.873
144.5,15.687
144.7333,15.943
144.96660000000003,16.37
145.1999,16.207
145.4332,15.27
145.6665,15.04
145.89980000000003,15.35
146.1331,16.56
146.3664,16.573
146.5997,15.393
146.83300000000003,14.933
147.0663,15.49
147.2996,15.207
147.5329,15.187
147.76620000000003,15.98
147.9995,15.817
148.2328,15.11
148.4661,14.527
148.69940000000003,15.047
148.9327,15.087
149.166,14.953
149.3993,14.617
149.63260000000002,14.4
149.8659,14.947
150.0992,14.907
150.3325,14.847
150.56580000000002,16.12
150.7991,16.167
151.0324,16.89
151.2657,16.57
151.49900000000002,15.313
151.7323,14.69
151.9656,14.303
152.1989,14.467
152.43220000000002,14.45
152.6655,15.123
152.8988,15.257
153.1321,15.103
153.36540000000002,15.42
153.5987,16.21
153.832,16.27
154.0653,15.823
154.29860000000002,16.363
154.5319,16.253
154.7652,15.227
154.9985,15.467
155.23180000000002,15.743
155.4651,15.9
155.6984,16.213
155.9317,16.11
156.16500000000002,16.19
156.3983,16.71
156.6316,17.31
156.8649,16.833
157.09820000000002,15.647
157.3315,15.357
157.5648,15.493
157.7981,15.9
158.03140000000002,17.9
