Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.6626794468055051,0.1786964989688492
1 mcg,375.23370000000006,0.6783469452457354,0.16854812638820413
1 mcg,375.46700000000004,0.641106026658036,0.19307014055188312
1 mcg,375.7003,0.6328370552852856,0.19870809898768418
1 mcg,375.9336,0.6833962512298561,0.16532740785310732
1 mcg,376.16690000000006,0.7202650265883079,0.14250767244871673
1 mcg,376.40020000000004,0.6595157270112162,0.18077484367675098
1 mcg,376.6335,0.616023499647723,0.21040272034747565
1 mcg,376.8668,0.6002702091632077,0.22165320972937527
1 mcg,377.10010000000005,0.5697472400367414,0.2443177699470018
1 mcg,377.33340000000004,0.5326542953430304,0.2735545664625578
1 mcg,377.5667,0.6408546379434501,0.19324046829433497
1 mcg,377.8,0.7194427861404531,0.1430037377266416
1 mcg,378.03330000000005,0.7444129179102086,0.12818609909790157
1 mcg,378.26660000000004,0.7535587889162916,0.12288286052786528
1 mcg,378.4999,0.7235374517097404,0.14053898403365842
1 mcg,378.7332,0.6719856031079345,0.17264003134760045
1 mcg,378.96650000000005,0.6750207803347459,0.1706828573233484
1 mcg,379.19980000000004,0.6352661921371217,0.19704425651579693
1 mcg,379.4331,0.6676481478450622,0.17545235145739999
1 mcg,379.6664,0.6836316776513951,0.16517782144800278
1 mcg,379.89970000000005,0.670858149107852,0.17336930035612583
1 mcg,380.13300000000004,0.6959495960112454,0.1574222129280274
1 mcg,380.3663,0.713577784151455,0.14655867933067435
1 mcg,380.5996,0.7020255553527486,0.1536470782595495
1 mcg,380.83290000000005,0.6947931330283041,0.15814448254309174
1 mcg,381.06620000000004,0.6889358711832971,0.16182120202185826
1 mcg,381.2995,0.677874462422372,0.1688507269667264
1 mcg,381.5328,0.6823902388834686,0.16596719407582947
1 mcg,381.76610000000005,0.6814732446903071,0.16655119032301027
1 mcg,381.99940000000004,0.6739578301317162,0.17136727663092446
1 mcg,382.2327,0.6673982544381207,0.17561493356507887
1 mcg,382.466,0.7241243626520475,0.14018684074294083
1 mcg,382.69930000000005,0.7868997209533439,0.10408060869741113
1 mcg,382.93260000000004,0.6971193501542055,0.15669286225192672
1 mcg,383.1659,0.6515831592377372,0.1860301489562807
1 mcg,383.3992,0.6879856899437138,0.1624205949666891
1 mcg,383.63250000000005,0.7372139282238614,0.1324064682255848
1 mcg,383.86580000000004,0.7364811952322823,0.13283833763481262
1 mcg,384.0991,0.6856466802065855,0.16389962243549028
1 mcg,384.3324,0.6769474367856303,0.16944505184689868
1 mcg,384.56570000000005,0.6971388902251379,0.156680689263112
1 mcg,384.79900000000004,0.7423175424426027,0.12941027608209954
1 mcg,385.0323,0.8018875003744719,0.09588655614682279
1 mcg,385.2656,0.755390023738373,0.12182875509756518
1 mcg,385.49890000000005,0.6869408066637146,0.16308068426050268
1 mcg,385.73220000000003,0.6756976689726542,0.17024757930509699
1 mcg,385.9655,0.6619638605468559,0.17916571991604777
1 mcg,386.1988,0.6696496278591719,0.1741523681768111
1 mcg,386.43210000000005,0.7448088506770889,0.12795517120853106
1 mcg,386.66540000000003,0.7654488883102026,0.1160838033536056
1 mcg,386.8987,0.8347822406523078,0.07842679878811945
1 mcg,387.132,0.7892632891101485,0.10277809700163773
1 mcg,387.36530000000005,0.6878365423939723,0.16251475532632478
1 mcg,387.59860000000003,0.7047454202507157,0.15196773768595243
1 mcg,387.8319,0.7177723282728732,0.144013288702761
1 mcg,388.0652,0.7127147041076207,0.1470842811259785
1 mcg,388.29850000000005,0.7509110707786255,0.12441149276543575
1 mcg,388.53180000000003,0.7394040845877077,0.1311181546433521
1 mcg,388.7651,0.6819700773666053,0.16623468035768166
1 mcg,388.9984,0.6346381941796131,0.1974737944759207
1 mcg,389.23170000000005,0.6626675862742422,0.1787042719719216
1 mcg,389.46500000000003,0.7069146903713763,0.15063299318530643
1 mcg,389.6983,0.6293179536724385,0.2011298781847457
1 mcg,389.9316,0.6178712771237018,0.20910199328941734
1 mcg,390.16490000000005,0.715970894172,0.14510463238127927
1 mcg,390.39820000000003,0.7132583739094256,0.14675312086779163
1 mcg,390.6315,0.694907431521508,0.15807304383713378
1 mcg,390.86480000000006,0.6819637140912016,0.1662387326590646
1 mcg,391.09810000000004,0.6345615803672355,0.19752622586877283
1 mcg,391.33140000000003,0.6353129810586582,0.1970122708341875
1 mcg,391.5647,0.6844287932647648,0.1646717283931114
1 mcg,391.79800000000006,0.7516011369931916,0.12401257158708465
1 mcg,392.03130000000004,0.7966257242434178,0.09874567367789985
1 mcg,392.26460000000003,0.7676273494479049,0.11484956037909756
1 mcg,392.4979,0.7319861026161569,0.13549716431648612
1 mcg,392.73120000000006,0.704006617212044,0.15242325874827095
1 mcg,392.96450000000004,0.7112323246341579,0.14798851343938205
1 mcg,393.19780000000003,0.7425231863871251,0.12928998031006167
1 mcg,393.4311,0.7340238841652156,0.1342898084866567
1 mcg,393.66440000000006,0.724798722903256,0.13978258055828172
1 mcg,393.89770000000004,0.7118467672598019,0.14761348290191464
1 mcg,394.13100000000003,0.602626589265852,0.21995171017231818
1 mcg,394.3643,0.6173335685275672,0.20948010691445135
1 mcg,394.59760000000006,0.6442041329297525,0.19097649326543029
1 mcg,394.83090000000004,0.6472339155781166,0.18893873341910766
1 mcg,395.0642,0.6533072431227025,0.1848825268235294
1 mcg,395.2975,0.6613884516122204,0.1795433924959081
1 mcg,395.53080000000006,0.6918369270847085,0.1599962610537806
1 mcg,395.76410000000004,0.7878633187924229,0.10354911885931656
1 mcg,395.9974,0.7160130873087922,0.1450790395719667
1 mcg,396.2307,0.7238386558027712,0.14035822759206823
1 mcg,396.46400000000006,0.7421508580565259,0.12950780609267096
1 mcg,396.69730000000004,0.7164075832831429,0.14483982572558401
1 mcg,396.9306,0.6786515962153079,0.16835312509207565
