Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.20618496026793698,0.6857430166027355
1 mcg,375.23370000000006,0.21989812039025092,0.6577784828157939
1 mcg,375.46700000000004,0.20611075180435767,0.6858993525802748
1 mcg,375.7003,0.18033870193049206,0.7439110606810229
1 mcg,375.9336,0.161576557755978,0.7916216483617234
1 mcg,376.16690000000006,0.15993008994904723,0.796069818496236
1 mcg,376.40020000000004,0.15726492482828203,0.8033681283120192
1 mcg,376.6335,0.15804788115918778,0.8012113220771127
1 mcg,376.8668,0.14550056672887024,0.8371353150853471
1 mcg,377.10010000000005,0.13782399178892824,0.8606751757912406
1 mcg,377.33340000000004,0.15723953753266717,0.8034382421815469
1 mcg,377.5667,0.21457648056748668,0.6684178821814775
1 mcg,377.8,0.23250969111645525,0.6335589407925803
1 mcg,378.03330000000005,0.1884326258352863,0.7248438998790799
1 mcg,378.26660000000004,0.19881209298830538,0.7015572026431304
1 mcg,378.4999,0.17996434774562264,0.7448135232908452
1 mcg,378.7332,0.15932839245704422,0.7977068256509267
1 mcg,378.96650000000005,0.1539471187140059,0.8126284349733061
1 mcg,379.19980000000004,0.16345775623567438,0.7865944668827354
1 mcg,379.4331,0.15506593073111496,0.809483609799371
1 mcg,379.6664,0.14248512408435132,0.8462304750612109
1 mcg,379.89970000000005,0.1454211506048363,0.837372423442983
1 mcg,380.13300000000004,0.14680129738554037,0.8332701062394899
1 mcg,380.3663,0.15242484653292665,0.8169442335698551
1 mcg,380.5996,0.1655319507466788,0.7811181668808737
1 mcg,380.83290000000005,0.19384382608586737,0.71254802668947
1 mcg,381.06620000000004,0.24216283807273598,0.6158925022261372
1 mcg,381.2995,0.28053112545175884,0.5520189459514356
1 mcg,381.5328,0.23596417889766463,0.6271539211309392
1 mcg,381.76610000000005,0.1665562582723985,0.7784390442570689
1 mcg,381.99940000000004,0.12409441795477572,0.9062477536016889
1 mcg,382.2327,0.13519676923420598,0.8690336865047479
1 mcg,382.466,0.14950749964112997,0.8253370215799061
1 mcg,382.69930000000005,0.19327987024252602,0.7138133746202922
1 mcg,382.93260000000004,0.2166964741119275,0.6641481550677749
1 mcg,383.1659,0.19205532808364612,0.7165736399425493
1 mcg,383.3992,0.18178473715887067,0.7404425834129714
1 mcg,383.63250000000005,0.21272598956751632,0.672179447397529
1 mcg,383.86580000000004,0.2097687598284098,0.6782591893758348
1 mcg,384.0991,0.1934524117579247,0.7134258515895218
1 mcg,384.3324,0.18557127091733405,0.7314892579006799
1 mcg,384.56570000000005,0.1892678982013568,0.7229230406387702
1 mcg,384.79900000000004,0.17937566382810588,0.746236478694895
