Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.185867672478417,0.7307961394648362
1 mcg,375.23370000000006,0.19190384475732097,0.7169163241693642
1 mcg,375.46700000000004,0.2266044871741278,0.644731494579998
1 mcg,375.7003,0.23054370600510993,0.6372467298078874
1 mcg,375.9336,0.2136247706887054,0.6703483904557982
1 mcg,376.16690000000006,0.21836061669792134,0.6608256878221762
1 mcg,376.40020000000004,0.22905155908921887,0.6400667477580564
1 mcg,376.6335,0.2323459799396615,0.6338648373022876
1 mcg,376.8668,0.23835422865309547,0.6227771388306476
1 mcg,377.10010000000005,0.22665356500592143,0.6446374455873214
1 mcg,377.33340000000004,0.19554581647870456,0.7087514709399182
1 mcg,377.5667,0.18339876355536483,0.7366035965988895
1 mcg,377.8,0.1937845187669323,0.7126809212101777
1 mcg,378.03330000000005,0.21112073645495605,0.6754691078307988
1 mcg,378.26660000000004,0.22737017913233065,0.6432664960578606
1 mcg,378.4999,0.2575525933280996,0.5891340727979115
1 mcg,378.7332,0.2613739611992963,0.582737680224238
1 mcg,378.96650000000005,0.1990073089723417,0.7011309728964986
1 mcg,379.19980000000004,0.1380509253674977,0.8599606779008422
1 mcg,379.4331,0.1265726269739414,0.8976602061633893
1 mcg,379.6664,0.162079201587014,0.7902727113421866
1 mcg,379.89970000000005,0.22461249361817054,0.6485660906456874
1 mcg,380.13300000000004,0.22956440148886087,0.6390954570214414
1 mcg,380.3663,0.2000833458009958,0.6987890589286891
1 mcg,380.5996,0.19631681322531808,0.707042504382212
1 mcg,380.83290000000005,0.20439889990347287,0.6895214459499325
1 mcg,381.06620000000004,0.1762894424518811,0.7537736957675103
1 mcg,381.2995,0.1461612891644108,0.8351676350964001
1 mcg,381.5328,0.15190020739325832,0.8184416331833876
1 mcg,381.76610000000005,0.17938101480408236,0.7462235233996881
1 mcg,381.99940000000004,0.2128339421401501,0.671959110828625
1 mcg,382.2327,0.19033206774372285,0.7204880342518085
1 mcg,382.466,0.19309817591530404,0.714221828725316
1 mcg,382.69930000000005,0.20801527347014864,0.681904775901281
1 mcg,382.93260000000004,0.20727104978867855,0.6834613529714346
1 mcg,383.1659,0.22192116357240005,0.653801279181083
1 mcg,383.3992,0.23698446609134188,0.6252801202848811
1 mcg,383.63250000000005,0.2355137884867154,0.6279836614081415
1 mcg,383.86580000000004,0.22475737240058652,0.6482860538088356
1 mcg,384.0991,0.223872569228955,0.6499991166144151
1 mcg,384.3324,0.2109155594942354,0.6758913806529714
1 mcg,384.56570000000005,0.19076776878129192,0.71949499977274
1 mcg,384.79900000000004,0.19653239732464595,0.7065658482423578
1 mcg,385.0323,0.21125678108940077,0.6751893418223306
1 mcg,385.2656,0.22364517067814554,0.6504404754053742
1 mcg,385.49890000000005,0.21984531319942652,0.6578827885083331
1 mcg,385.73220000000003,0.2233932287143054,0.6509299949472694
1 mcg,385.9655,0.21779460469206596,0.6619528829892728
1 mcg,386.1988,0.1932338265099866,0.71391684592923
1 mcg,386.43210000000005,0.18760013087290944,0.7267668629859385
1 mcg,386.66540000000003,0.19427954074876447,0.7115729318127194
1 mcg,386.8987,0.17617722361956384,0.7540502383514146
1 mcg,387.132,0.16278604987879336,0.788382815173154
1 mcg,387.36530000000005,0.18709633288003252,0.7279347246623309
1 mcg,387.59860000000003,0.2312390343126654,0.6359388529691086
1 mcg,387.8319,0.2846971089146056,0.545616943070146
1 mcg,388.0652,0.28759344235066236,0.5412210208739622
1 mcg,388.29850000000005,0.2408934958372249,0.6181749258635755
1 mcg,388.53180000000003,0.1887685655761126,0.7240703243040849
1 mcg,388.7651,0.1589346985946391,0.7987812773484002
1 mcg,388.9984,0.16465418813168103,0.7834272181294443
1 mcg,389.23170000000005,0.18742925776198466,0.7271626146606835
1 mcg,389.46500000000003,0.19607472754940763,0.7075783797801748
1 mcg,389.6983,0.2073859030468242,0.6832207678941761
1 mcg,389.9316,0.2015432897248826,0.6956316568707362
1 mcg,390.16490000000005,0.1988625548537301,0.7014469853590412
1 mcg,390.39820000000003,0.20160591590590743,0.6954967281412204
1 mcg,390.6315,0.19644125823544673,0.7067672928108399
1 mcg,390.86480000000006,0.20797502938053863,0.6819888056778484
1 mcg,391.09810000000004,0.23363151103808283,0.631468582163104
1 mcg,391.33140000000003,0.21144683619118193,0.6747988086726304
1 mcg,391.5647,0.193384286271106,0.7135788180658615
1 mcg,391.79800000000006,0.18456291462889957,0.7338555600276382
1 mcg,392.03130000000004,0.17930725794727326,0.7464021308357244
1 mcg,392.26460000000003,0.16343330852447574,0.7866594273985348
1 mcg,392.4979,0.20106453380652417,0.6966645287593216
1 mcg,392.73120000000006,0.24053063420696236,0.6188296036153748
1 mcg,392.96450000000004,0.21655843840962025,0.6644248888986606
1 mcg,393.19780000000003,0.16886591619923935,0.772457999335722
1 mcg,393.4311,0.2346534705524957,0.6295730181373939
1 mcg,393.66440000000006,0.273227005193135,0.5634763780990472
1 mcg,393.89770000000004,0.26507498356216325,0.5766312568522012
1 mcg,394.13100000000003,0.23310759082610127,0.6324435840503679
1 mcg,394.3643,0.19374074106431632,0.7127790434062156
1 mcg,394.59760000000006,0.18871434721865926,0.7241950808576858
1 mcg,394.83090000000004,0.21074019651529213,0.6762526193050742
1 mcg,395.0642,0.22711278461389345,0.6437584178234624
1 mcg,395.2975,0.19955877711828768,0.6999291660497878
1 mcg,395.53080000000006,0.199874286245106,0.6992430741168302
1 mcg,395.76410000000004,0.2331559934447714,0.6323534162097613
1 mcg,395.9974,0.2824155316388492,0.5491114226359479
1 mcg,396.2307,0.3107117106044463,0.5076423780451617
1 mcg,396.46400000000006,0.28109420120192957,0.5511481135244691
1 mcg,396.69730000000004,0.21555033145061514,0.6664513049972306
1 mcg,396.9306,0.185376604447605,0.7319450770978789
1 mcg,397.1639,0.2162586001318892,0.6650266125773403
1 mcg,397.39720000000005,0.22147785187463792,0.6546696973847538
1 mcg,397.63050000000004,0.23103247024385215,0.6363269783038162
1 mcg,397.8638,0.2556915662744818,0.5922835964979482
1 mcg,398.0971,0.2738326193136687,0.5625148193717272
1 mcg,398.33040000000005,0.26496753038714255,0.5768073420543713
1 mcg,398.56370000000004,0.2654754182219638,0.5759756863520131
1 mcg,398.797,0.2294101122818885,0.6393874425313942
1 mcg,399.0303,0.2062623491063333,0.6855800404110769
1 mcg,399.26360000000005,0.23236490193417875,0.6338294702896761
1 mcg,399.49690000000004,0.2848118358735466,0.5454419667635451
1 mcg,399.7302,0.2916710730099021,0.5351066406593008
1 mcg,399.9635,0.28240930877942455,0.5491209921637608
1 mcg,400.19680000000005,0.28974174496785915,0.5379889286723145
1 mcg,400.43010000000004,0.2934751363347176,0.5324286869548238
1 mcg,400.6634,0.24658114299004147,0.6080401386425716
1 mcg,400.8967,0.22954458044035414,0.6391329564925308
1 mcg,401.13000000000005,0.2224584719559199,0.6527510502277118
1 mcg,401.36330000000004,0.23454603285926262,0.6297719083655197
1 mcg,401.5966,0.26143332370661626,0.5826390557015272
1 mcg,401.8299,0.2785803372177575,0.5550495402422254
1 mcg,402.06320000000005,0.2858138415481735,0.5439167427863678
1 mcg,402.29650000000004,0.2982030448305361,0.5254879264552941
1 mcg,402.5298,0.26858914011658125,0.5709115511713637
1 mcg,402.7631,0.24901856768501757,0.6037682691994308
1 mcg,402.99640000000005,0.25083532365154654,0.6006113044174178
1 mcg,403.22970000000004,0.2655649017665899,0.5758293237932495
1 mcg,403.463,0.2652218671881737,0.576390671791968
1 mcg,403.6963,0.29403782544508866,0.5315967977327022
1 mcg,403.92960000000005,0.30551281268142766,0.5149705714765547
1 mcg,404.16290000000004,0.2564793882043757,0.5909475309372969
1 mcg,404.3962,0.1966899951716607,0.7062177303310225
1 mcg,404.6295,0.21271005129733983,0.6722119876721042
1 mcg,404.86280000000005,0.2873875897557467,0.5415319899142782
1 mcg,405.09610000000004,0.32706018689472033,0.4853723194160841
1 mcg,405.3294,0.2816569432376372,0.5502795383301925
1 mcg,405.5627,0.26671424670607174,0.573953785582786
1 mcg,405.79600000000005,0.2576205704264038,0.5890194624845734
1 mcg,406.02930000000003,0.20699589238498323,0.6840382725732049
1 mcg,406.2626,0.1721391917006045,0.7641202406453166
1 mcg,406.4959,0.18273240949024133,0.7381844191800166
1 mcg,406.72920000000005,0.22098524185940888,0.655636728998315
1 mcg,406.96250000000003,0.24693958330715066,0.6074092890312416
1 mcg,407.1958,0.24632836762941784,0.6084855711267835
1 mcg,407.4291,0.2348272269571124,0.6292515503898756
1 mcg,407.66240000000005,0.24496209119652584,0.6109011191375059
1 mcg,407.89570000000003,0.2417394740163072,0.6166524271773617
1 mcg,408.129,0.20156482454444352,0.6955852551587294
1 mcg,408.3623,0.23076339655552053,0.6368330773821909
1 mcg,408.59560000000005,0.2421220020952462,0.6159657435843545
