Wavelength,Gray_Value
181.18,16.46
181.4162,17.57
181.6524,16.68
181.8886,16.257
182.1248,16.577
182.36100000000002,16.79
182.59720000000002,16.733
182.8334,16.047
183.0696,16.337
183.3058,16.837
183.542,17.627
183.7782,17.157
184.0144,16.257
184.25060000000002,16.267
184.48680000000002,15.58
184.723,16.097
184.9592,16.207
185.1954,16.757
185.4316,17.927
185.6678,17.837
185.904,16.81
186.1402,16.337
186.37640000000002,16.067
186.61260000000001,15.457
186.8488,15.343
187.085,16.37
187.3212,16.567
187.5574,15.697
187.7936,15.737
188.0298,16.177
188.26600000000002,16.347
188.50220000000002,16.237
188.7384,15.333
188.9746,15.81
189.2108,17.0
189.447,15.913
189.6832,15.913
189.9194,16.153
190.1556,15.877
190.39180000000002,15.53
190.62800000000001,16.367
190.8642,16.597
191.1004,18.313
191.3366,17.903
191.5728,16.467
191.809,16.897
192.0452,16.837
192.28140000000002,16.717
192.51760000000002,15.47
192.7538,16.78
192.99,17.403
193.2262,16.483
193.4624,16.1
193.6986,16.487
193.9348,16.363
194.171,17.127
194.40720000000002,16.633
194.6434,17.303
194.8796,17.277
195.1158,16.707
195.352,16.94
195.5882,16.213
195.8244,16.047
196.0606,17.25
196.29680000000002,17.047
196.53300000000002,17.367
196.7692,17.33
197.0054,16.837
197.2416,16.497
197.4778,16.2
197.714,16.363
197.9502,16.393
198.1864,15.217
198.42260000000002,15.997
198.6588,16.123
198.895,16.697
199.1312,16.457
199.3674,15.917
199.6036,15.527
199.8398,15.827
200.07600000000002,15.36
200.31220000000002,15.867
200.54840000000002,15.623
200.7846,16.057
201.0208,16.477
201.257,15.817
201.4932,15.587
201.7294,14.993
201.9656,15.26
202.2018,15.44
202.43800000000002,15.43
202.6742,15.7
202.9104,16.123
203.1466,15.743
203.3828,14.69
203.619,14.78
203.8552,14.877
204.09140000000002,15.607
204.32760000000002,15.353
204.56380000000001,16.197
204.8,17.02
205.0362,16.48
205.2724,15.89
205.5086,16.167
205.7448,15.953
205.981,15.94
206.2172,15.62
206.45340000000002,15.54
206.6896,15.59
206.9258,15.04
207.162,15.427
207.3982,15.567
207.6344,15.223
207.8706,15.643
208.10680000000002,16.187
208.34300000000002,17.847
208.57920000000001,16.163
208.8154,14.47
209.0516,15.167
209.2878,15.643
209.524,15.587
209.7602,15.99
209.9964,15.63
210.2326,15.18
210.46880000000002,14.833
210.705,14.307
210.9412,14.297
211.1774,14.937
211.4136,14.607
211.6498,15.303
211.886,16.117
212.12220000000002,16.28
212.35840000000002,15.863
212.5946,16.55
212.8308,16.63
213.067,16.79
213.3032,15.787
213.5394,15.767
213.7756,15.147
214.0118,15.293
214.248,16.107
214.48420000000002,15.617
214.7204,15.267
214.9566,15.533
215.1928,15.967
215.429,16.683
215.6652,17.053
215.9014,16.493
216.13760000000002,15.993
216.37380000000002,16.843
216.61,17.1
216.8462,16.01
217.0824,15.42
217.3186,15.947
217.5548,15.737
217.791,15.217
218.0272,15.81
218.2634,15.293
218.49960000000002,15.423
218.7358,15.603
218.972,15.707
219.2082,16.63
219.4444,16.913
219.6806,16.823
219.91680000000002,16.827
220.15300000000002,16.197
220.38920000000002,15.037
220.6254,15.007
220.8616,15.0
221.0978,15.51
221.334,15.77
221.5702,16.15
221.8064,17.66
222.0426,17.88
222.2788,16.513
222.51500000000001,15.773
222.7512,15.097
222.9874,15.187
223.2236,14.947
223.4598,15.327
223.696,16.457
223.93220000000002,16.807
224.16840000000002,15.617
224.40460000000002,14.333
224.6408,15.347
224.877,16.077
225.1132,16.377
225.3494,16.887
225.5856,16.667
225.8218,16.367
226.058,15.317
226.2942,15.287
226.53040000000001,15.26
226.7666,16.25
227.0028,15.797
227.239,15.063
227.4752,15.04
227.7114,15.41
227.94760000000002,15.93
228.18380000000002,16.27
228.42000000000002,17.25
228.6562,17.18
228.8924,16.5
229.1286,15.94
229.3648,15.293
229.601,14.773
229.8372,15.237
230.0734,15.69
230.3096,16.367
230.5458,15.97
230.782,15.957
231.0182,16.367
231.2544,15.777
231.4906,15.31
231.7268,15.983
231.96300000000002,16.1
232.19920000000002,16.103
232.43540000000002,15.64
232.6716,16.06
232.9078,16.157
233.144,16.617
233.3802,16.647
233.6164,16.347
233.8526,16.183
234.0888,15.61
