Concentration,Wavelength,Transmittance,Absorbance
1 mcg,182.1248,0.16498606458890924,0.7825527365601798
1 mcg,182.36100000000002,0.16436429503077357,0.7841925186404352
1 mcg,182.59720000000002,0.16659837413233838,0.7783292412773659
1 mcg,182.8334,0.16991675877763976,0.7697637848406874
1 mcg,183.0696,0.17084308303634133,0.7674025998910274
1 mcg,183.3058,0.17064559050531913,0.7679049294418896
1 mcg,183.542,0.16931189120381115,0.7713125392162642
1 mcg,183.7782,0.16910929155529983,0.7718325298337435
1 mcg,184.0144,0.16802046669688084,0.7746378133209567
1 mcg,184.25060000000002,0.16734940892941713,0.7763758172120653
1 mcg,184.48680000000002,0.16919421047076943,0.771614501838459
1 mcg,184.723,0.17198131593607657,0.7645187323169818
1 mcg,184.9592,0.1727166251443152,0.762665856636775
1 mcg,185.1954,0.17093906908440681,0.7671586654909903
1 mcg,185.4316,0.16705278430641007,0.7771462814815058
1 mcg,185.6678,0.16147393465451246,0.7918975720902336
1 mcg,185.904,0.1587699548466601,0.7992316787278769
1 mcg,186.1402,0.15697960701825817,0.804156762461379
1 mcg,186.37640000000002,0.1562926460826453,0.8060614560234443
1 mcg,186.61260000000001,0.1605158666142462,0.794482032153604
1 mcg,186.8488,0.16572318070190464,0.7806167399403047
1 mcg,187.085,0.16734221628155876,0.7763944835128649
1 mcg,187.3212,0.1688422534558479,0.7725188601606698
1 mcg,187.5574,0.1713798190349343,0.7660403200894921
1 mcg,187.7936,0.17080336723234998,0.7675035718436523
1 mcg,188.0298,0.16867236860411322,0.772956056389075
1 mcg,188.26600000000002,0.16782240889059938,0.7751500494205738
1 mcg,188.50220000000002,0.16702561326876103,0.7772169249701613
1 mcg,188.7384,0.16643668852301044,0.778750933653486
1 mcg,188.9746,0.16598250199304793,0.7799376932154328
1 mcg,189.2108,0.16436528557566663,0.7841899013634603
1 mcg,189.447,0.1660157669383338,0.7798506639530616
1 mcg,189.6832,0.16738166026777127,0.7762921286655666
1 mcg,189.9194,0.16606127276930346,0.7797316377691035
1 mcg,190.1556,0.16575677434829217,0.7805287132884315
1 mcg,190.39180000000002,0.1690971549246979,0.7718636993856929
1 mcg,190.62800000000001,0.16696373604545894,0.777377845891731
1 mcg,190.8642,0.1649792456961424,0.7825706863713232
1 mcg,191.1004,0.15976469016373443,0.7965191984983311
1 mcg,191.3366,0.15476552079080663,0.8103257865353227
1 mcg,191.5728,0.15212230613865335,0.8178070994075756
1 mcg,191.809,0.1515655106443458,0.8193996129581184
1 mcg,192.0452,0.15152243529299717,0.8195230582338112
1 mcg,192.28140000000002,0.15537209207041397,0.8086269864892597
1 mcg,192.51760000000002,0.16043950964871417,0.7946886740226213
