Concentration,Wavelength,Transmittance,Absorbance
1 mcg,181.6524,0.15806981858540792,0.8011510451411641
1 mcg,181.8886,0.16170519540313588,0.7912760264840376
1 mcg,182.1248,0.16556135999403898,0.7810410147701864
1 mcg,182.36100000000002,0.16750779622108602,0.7759649750330874
1 mcg,182.59720000000002,0.16944848322865635,0.7709623142764291
1 mcg,182.8334,0.1720642087872346,0.7643094582183129
1 mcg,183.0696,0.17159543405680838,0.7654942723749281
1 mcg,183.3058,0.16605699107235783,0.7797428356920075
1 mcg,183.542,0.16012442262983578,0.7955424232059046
1 mcg,183.7782,0.15641448553660942,0.8057230294264021
1 mcg,184.0144,0.15748978453751455,0.8027476111624456
1 mcg,184.25060000000002,0.16225789778662086,0.7897941550411722
1 mcg,184.48680000000002,0.1680182563067807,0.774643526711454
1 mcg,184.723,0.1724640430892489,0.7633014369135204
1 mcg,184.9592,0.1728829229351827,0.7622479034368828
1 mcg,185.1954,0.16759399672314973,0.7757415420106593
1 mcg,185.4316,0.15920603834910407,0.7980404644126486
1 mcg,185.6678,0.1525860986516056,0.8164850309545547
1 mcg,185.904,0.15492483219444675,0.8098789655805122
1 mcg,186.1402,0.163780373028256,0.7857381440667086
1 mcg,186.37640000000002,0.1733430651859038,0.7610935281739457
1 mcg,186.61260000000001,0.17783744123044337,0.7499767990016738
1 mcg,186.8488,0.17651901831661088,0.7532084964801384
1 mcg,187.085,0.16863044705671487,0.7730640086263905
1 mcg,187.3212,0.16296799381922006,0.7878976807038305
1 mcg,187.5574,0.1640318833901641,0.7850717285705677
1 mcg,187.7936,0.17157509680998206,0.7655457473897658
1 mcg,188.0298,0.17624425636138036,0.7538850273646699
1 mcg,188.26600000000002,0.17458032228951503,0.7580047090994414
1 mcg,188.50220000000002,0.17266921079197717,0.762785095989234
1 mcg,188.7384,0.17383943887590847,0.759851688513866
1 mcg,188.9746,0.17181022404801533,0.7649509958277191
1 mcg,189.2108,0.16744869217698244,0.7761182400771622
1 mcg,189.447,0.16432685174241068,0.7842914651058346
1 mcg,189.6832,0.1670396862076543,0.7771803345208168
1 mcg,189.9194,0.1726298233923131,0.7628841737665306
1 mcg,190.1556,0.1782117379135003,0.7490636945574032
1 mcg,190.39180000000002,0.18194034081557364,0.7400709960923002
1 mcg,190.62800000000001,0.18162092138547337,0.7408341254243921
1 mcg,190.8642,0.17493902982422077,0.7571132863115926
1 mcg,191.1004,0.1666042710174936,0.7783138693424737
1 mcg,191.3366,0.16024846448838392,0.7952061232282821
1 mcg,191.5728,0.1588305618827877,0.7990659277275619
1 mcg,191.809,0.16191906530303496,0.7907020118493476
1 mcg,192.0452,0.1661567053727535,0.779482127767003
1 mcg,192.28140000000002,0.16982628542244066,0.7699950895312282
1 mcg,192.51760000000002,0.1690431498590303,0.7720024234708248
1 mcg,192.7538,0.16534067286737453,0.7816202993077803
1 mcg,192.99,0.1612226781984687,0.7925738687113139
1 mcg,193.2262,0.160080169533188,0.7956624644312588
1 mcg,193.4624,0.16110490281258177,0.7928912427462047
1 mcg,193.6986,0.16228538802570497,0.7897205817479267
1 mcg,193.9348,0.1628873391095631,0.7881126711767131
1 mcg,194.171,0.16320812435571802,0.7872582262498261
1 mcg,194.40720000000002,0.16318371696641193,0.7873231788201485
1 mcg,194.6434,0.1623792911987167,0.7894693586638092
1 mcg,194.8796,0.16295557809524747,0.7879307687089788
1 mcg,195.1158,0.16413138625875484,0.7848083624227777
1 mcg,195.352,0.16531455220194763,0.7816889149534563
1 mcg,195.5882,0.1668685696976851,0.7776254565639734
1 mcg,195.8244,0.167654209117026,0.77558553872576
1 mcg,196.0606,0.16648007085218025,0.7786377479651923
1 mcg,196.29680000000002,0.1664301828504705,0.7787679096756048
1 mcg,196.53300000000002,0.17153355642637502,0.7656509080104301
1 mcg,196.7692,0.18014689298966974,0.7443732237944121
1 mcg,197.0054,0.1849827418725482,0.7328687875923421
1 mcg,197.2416,0.1838089269715532,0.7356334002385941
1 mcg,197.4778,0.17898867960091674,0.7471744357369982
1 mcg,197.714,0.17557857907374275,0.7555284699648769
1 mcg,197.9502,0.17632004886000702,0.7536983024810512
1 mcg,198.1864,0.17570439921152864,0.7552173646892605
1 mcg,198.42260000000002,0.17152862631032667,0.7656633904250059
1 mcg,198.6588,0.1639524131545116,0.78528218672883
1 mcg,198.895,0.16126650940736387,0.7924558141965758
1 mcg,199.1312,0.16162767210413437,0.7914842820930637
1 mcg,199.3674,0.16427927793163688,0.7844172146995322
1 mcg,199.6036,0.16868369302818842,0.7729268994510633
1 mcg,199.8398,0.17501443481760587,0.7569261301531278
1 mcg,200.07600000000002,0.18064879300245074,0.743164935807149
1 mcg,200.31220000000002,0.18238565075938712,0.7390093328999018
1 mcg,200.54840000000002,0.18148711993849082,0.7411541912236149
1 mcg,200.7846,0.18010156584445614,0.7444825113078926
1 mcg,201.0208,0.18055466997509817,0.7433912742369498
1 mcg,201.257,0.18075393637506365,0.7429122360674351
1 mcg,201.4932,0.18144077917131513,0.7412650977680294
1 mcg,201.7294,0.18544669914328993,0.7317808924869635
1 mcg,201.9656,0.1866811877600587,0.72889944457712
1 mcg,202.2018,0.1867152379540416,0.7288202375447163
1 mcg,202.43800000000002,0.18329315673439966,0.7368537491565369
1 mcg,202.6742,0.18284500653199098,0.7379168956771217
1 mcg,202.9104,0.18103454283462406,0.7422385503730944
1 mcg,203.1466,0.18095713117659767,0.7424242974984677
1 mcg,203.3828,0.18562779699072762,0.7313569894546054
1 mcg,203.619,0.19289157854946976,0.714686732798483
1 mcg,203.8552,0.19678273982276784,0.7060129970045907
1 mcg,204.09140000000002,0.19482221938525446,0.710361513545128
1 mcg,204.32760000000002,0.19168449991144065,0.7174130038412391
1 mcg,204.56380000000001,0.18647793117118244,0.7293725576230622
1 mcg,204.8,0.17955768990914261,0.7457959906292939
1 mcg,205.0362,0.17689491629875637,0.7522846478993344
1 mcg,205.2724,0.18171920480155046,0.7405991723144568
1 mcg,205.5086,0.1920866740872677,0.7165027630462149
1 mcg,205.7448,0.19738101247447148,0.7046946276247379
1 mcg,205.981,0.19479003819227397,0.7104332572559198
1 mcg,206.2172,0.18963810034115847,0.7220744037827611
1 mcg,206.45340000000002,0.18632087809394599,0.7297384777233934
1 mcg,206.6896,0.18723518952871038,0.7276125253526158
1 mcg,206.9258,0.1920913619746401,0.7164921641913787
1 mcg,207.162,0.1956427993981814,0.7085361316078357
1 mcg,207.3982,0.19471774628447935,0.7105944657259591
1 mcg,207.6344,0.19163682349745398,0.7175210364621952
1 mcg,207.8706,0.18929837948933242,0.7228531038484228
1 mcg,208.10680000000002,0.18676457464152096,0.7287054969320796
1 mcg,208.34300000000002,0.18054378796614678,0.743417449903653
1 mcg,208.57920000000001,0.18092014281144608,0.7425130781105181
1 mcg,208.8154,0.188584040207656,0.7244950642128659
1 mcg,209.0516,0.19596220305586265,0.7078276867415985
1 mcg,209.2878,0.19447667836114757,0.7111324718001787
1 mcg,209.524,0.1875726494127518,0.7268304872526743
1 mcg,209.7602,0.18287344621042512,0.7378493508467019
1 mcg,209.9964,0.18136698004874247,0.7414417784002935
1 mcg,210.2326,0.1814935979737734,0.7411386897116157
1 mcg,210.46880000000002,0.18542549787682677,0.7318305462119843
1 mcg,210.705,0.19558415022495979,0.7086663425379042
1 mcg,210.9412,0.20927090548274652,0.6792911465614877
1 mcg,211.1774,0.2189356122229661,0.6596835900356162
1 mcg,211.4136,0.22025195619335858,0.6570802256618468
1 mcg,211.6498,0.2121991963349183,0.6732562652413285
1 mcg,211.886,0.2028409996683877,0.6928442577702171
1 mcg,212.12220000000002,0.1930021933976221,0.7144377553700967
