Concentration,Wavelength,Transmittance,Absorbance
1 mcg,182.1248,0.16785821903859208,0.7750573890259344
1 mcg,182.36100000000002,0.16837972729055642,0.7737101982035798
1 mcg,182.59720000000002,0.1708349396855705,0.7674233013237767
1 mcg,182.8334,0.17472871314003724,0.7576357216133651
1 mcg,183.0696,0.1762819020954299,0.75379227206561
1 mcg,183.3058,0.1756047207131462,0.7554638133039897
1 mcg,183.542,0.17521714494691956,0.7564234004993565
1 mcg,183.7782,0.17400517852645242,0.7594378265909848
1 mcg,184.0144,0.17201005237471947,0.7644461719104665
1 mcg,184.25060000000002,0.17287798178238475,0.7622603161496289
1 mcg,184.48680000000002,0.17532570061433253,0.7561544169531746
1 mcg,184.723,0.17741887081853847,0.7510001891463676
1 mcg,184.9592,0.17898361193083825,0.7471867320023986
1 mcg,185.1954,0.17737610397657882,0.7511048885072995
1 mcg,185.4316,0.17336978594766794,0.7610265870186268
1 mcg,185.6678,0.17070817691899284,0.767745675688165
1 mcg,185.904,0.1684452518196505,0.7735412265207252
1 mcg,186.1402,0.1666480493381434,0.778199765511633
1 mcg,186.37640000000002,0.16757528700635518,0.7757900281170225
1 mcg,186.61260000000001,0.16959371918030727,0.7705902356632893
1 mcg,186.8488,0.17130809121745708,0.7662221239690703
1 mcg,187.085,0.17039674484999312,0.7685387059730089
1 mcg,187.3212,0.17075114911998984,0.7676363649243721
1 mcg,187.5574,0.17241183471298788,0.7634329265963418
1 mcg,187.7936,0.17355740143076095,0.7605568609208495
1 mcg,188.0298,0.173091538284181,0.7617241624325829
1 mcg,188.26600000000002,0.17410740576818998,0.7591827555003894
1 mcg,188.50220000000002,0.17437506849974277,0.7585156087784307
1 mcg,188.7384,0.17345339507186544,0.7608171951211625
1 mcg,188.9746,0.17102609751325415,0.766937613928288
1 mcg,189.2108,0.16991362179868502,0.7697718027974553
1 mcg,189.447,0.17086199746959393,0.7673545208048976
1 mcg,189.6832,0.17211536654592305,0.7641803539131139
1 mcg,189.9194,0.17281354254210124,0.7624222270142472
1 mcg,190.1556,0.17534325574234683,0.7561109338042168
1 mcg,190.39180000000002,0.17823195867274003,0.7490144202161749
1 mcg,190.62800000000001,0.1791343880714601,0.7468210355015614
1 mcg,190.8642,0.1769008014513902,0.7522701995090003
1 mcg,191.1004,0.17332149544754616,0.761147572454329
1 mcg,191.3366,0.1689065216279901,0.7723535816168569
1 mcg,191.5728,0.16535503579500493,0.7815825743536645
1 mcg,191.809,0.16409147659096007,0.784913976933801
1 mcg,192.0452,0.16482395280848708,0.7829796748194503
1 mcg,192.28140000000002,0.16642679615373016,0.778776747247289
1 mcg,192.51760000000002,0.16802683421144732,0.7746213550638452
1 mcg,192.7538,0.16713068130903708,0.7769438164137136
1 mcg,192.99,0.16523107560529,0.7819082700016999
1 mcg,193.2262,0.16429072423763938,0.7843869558962072
1 mcg,193.4624,0.16266870154612456,0.7886959999419986
1 mcg,193.6986,0.16152356304086266,0.7917641138767115
1 mcg,193.9348,0.1618457465668934,0.7908987097109021
1 mcg,194.171,0.1606543954469001,0.7941073878079482
1 mcg,194.40720000000002,0.15878617887395724,0.7991873022867547
1 mcg,194.6434,0.15952719224410764,0.7971652785314471
1 mcg,194.8796,0.1613814991039525,0.7921462546053113
1 mcg,195.1158,0.16199457739252554,0.7904995227902025
1 mcg,195.352,0.16332747990897215,0.7869407389082053
1 mcg,195.5882,0.16500544239960252,0.7825017311489076
1 mcg,195.8244,0.16387771444387997,0.7854801016589292
1 mcg,196.0606,0.16100640023477622,0.793156859797969
1 mcg,196.29680000000002,0.1614166903910848,0.7920515614975395
1 mcg,196.53300000000002,0.16327590664797867,0.7870778959847776
1 mcg,196.7692,0.16512217322365413,0.7821946041321586
1 mcg,197.0054,0.16757806056650257,0.7757828401126299
1 mcg,197.2416,0.17035207777099332,0.7686525650079089
1 mcg,197.4778,0.16986944940143944,0.7698847208920295
1 mcg,197.714,0.1679656665916385,0.774779482164802
1 mcg,197.9502,0.1652875175451293,0.7817599429558612
1 mcg,198.1864,0.16469513618666912,0.7833192263219345
1 mcg,198.42260000000002,0.16573316263817142,0.7805905820469484
1 mcg,198.6588,0.16734235196034947,0.7763941313929543
1 mcg,198.895,0.16728295210709151,0.7765483159597111
1 mcg,199.1312,0.16717514288786836,0.7768282969279052
1 mcg,199.3674,0.1669727374644658,0.77735443265649
1 mcg,199.6036,0.16695585777224456,0.7773983387927043
1 mcg,199.8398,0.16821451747713714,0.774136525850005
1 mcg,200.07600000000002,0.17165268086191568,0.765349409398471
1 mcg,200.31220000000002,0.1738870245841788,0.7597328237576859
1 mcg,200.54840000000002,0.1744589166857774,0.7583068286322281
1 mcg,200.7846,0.17467888106685056,0.7577595986836538
1 mcg,201.0208,0.17318877642163372,0.761480256060532
1 mcg,201.257,0.17037933544145825,0.768583080038583
1 mcg,201.4932,0.17018950894910245,0.7690672147916258
