Concentration,Wavelength,Transmittance,Absorbance
1 mcg,181.6524,0.16478566321734428,0.7830805757483913
1 mcg,181.8886,0.16447421335144838,0.7839021820728482
1 mcg,182.1248,0.1675443026985091,0.7758703356512573
1 mcg,182.36100000000002,0.17425062798908947,0.7588256480551765
1 mcg,182.59720000000002,0.18142283146093627,0.7413080593180901
1 mcg,182.8334,0.18208187186694563,0.7397332905590416
1 mcg,183.0696,0.17362839999965635,0.7603792367956862
1 mcg,183.3058,0.1642559638825129,0.7844788529143335
1 mcg,183.542,0.15382594924498222,0.8129703962426266
1 mcg,183.7782,0.14961004547169443,0.825039245064762
1 mcg,184.0144,0.15165797966035582,0.8191347338446652
1 mcg,184.25060000000002,0.1622682889937387,0.7897663431474209
1 mcg,184.48680000000002,0.17238803847251166,0.7634928719544987
1 mcg,184.723,0.17255162409307212,0.7630809486799999
1 mcg,184.9592,0.16667704753846402,0.778124201093987
1 mcg,185.1954,0.16021263600253133,0.7953032340086028
1 mcg,185.4316,0.15606982011047382,0.806681070202659
1 mcg,185.6678,0.15410373793416882,0.8121868269240534
1 mcg,185.904,0.15584492240592357,0.8073073429348588
1 mcg,186.1402,0.1594683783051724,0.7973254222562268
1 mcg,186.37640000000002,0.16356299555044496,0.7863149442224009
1 mcg,186.61260000000001,0.16843206071986105,0.7735752378455517
1 mcg,186.8488,0.1727401129562876,0.7626068007491789
1 mcg,187.085,0.16953457090279764,0.7707417286029712
1 mcg,187.3212,0.16185540196587214,0.7908728013289438
1 mcg,187.5574,0.15914896668800224,0.7981961767926202
1 mcg,187.7936,0.16304595467483302,0.7876899719833972
1 mcg,188.0298,0.1667988172862813,0.7778070331219177
1 mcg,188.26600000000002,0.16512194215793208,0.7821952118678509
1 mcg,188.50220000000002,0.16252135994851188,0.7890895522349732
1 mcg,188.7384,0.16429488734924635,0.7843759510540302
1 mcg,188.9746,0.16546966139278677,0.7812816218128368
1 mcg,189.2108,0.1687200865310706,0.7728332105329321
1 mcg,189.447,0.17063668191889728,0.7679276024620729
1 mcg,189.6832,0.172063852275037,0.7643103580651878
1 mcg,189.9194,0.1682029419265159,0.7741664125138583
1 mcg,190.1556,0.16591952914285096,0.7801024934221976
1 mcg,190.39180000000002,0.16895927819611578,0.7722179544736583
1 mcg,190.62800000000001,0.17594417886209246,0.7546250972851252
1 mcg,190.8642,0.1708381939823918,0.7674150283692319
1 mcg,191.1004,0.15535589300989677,0.8086722682980365
1 mcg,191.3366,0.1429257327605144,0.844889572540087
1 mcg,191.5728,0.14298768687572183,0.844701359403249
1 mcg,191.809,0.15308180933330606,0.8150764133221987
1 mcg,192.0452,0.1631370859583913,0.7874472995591592
1 mcg,192.28140000000002,0.16963389670510987,0.7704873615069248
1 mcg,192.51760000000002,0.1706482877140813,0.7678980650768557
1 mcg,192.7538,0.1651348412129355,0.7821612868210711
1 mcg,192.99,0.15540367661497037,0.8085387106657003
1 mcg,193.2262,0.15057079462836045,0.822259257629087
1 mcg,193.4624,0.15427563155409316,0.8117026670500448
1 mcg,193.6986,0.16164897588686708,0.7914270424789105
1 mcg,193.9348,0.1637188051782611,0.7859014335013682
1 mcg,194.171,0.15910082751625002,0.7983275614922843
1 mcg,194.40720000000002,0.15476988141603895,0.8103135501613076
1 mcg,194.6434,0.15133390998503254,0.8200637469979739
1 mcg,194.8796,0.1511493402070223,0.8205937442524547
1 mcg,195.1158,0.15360557039057515,0.8135930346559179
1 mcg,195.352,0.1600871756340851,0.7956434574275422
1 mcg,195.5882,0.16789007355530733,0.7749749806195192
1 mcg,195.8244,0.17222335226171745,0.7639079616466056
1 mcg,196.0606,0.16995355820432978,0.7696697384517409
1 mcg,196.29680000000002,0.1605684141637555,0.7943398818687138
1 mcg,196.53300000000002,0.15509653419227445,0.8093979068800631
1 mcg,196.7692,0.15486288165170098,0.8100526637487838
1 mcg,197.0054,0.16094392371493063,0.7933254150447858
1 mcg,197.2416,0.1662396199993666,0.779265462522502
1 mcg,197.4778,0.17089010451401487,0.7672830846132762
1 mcg,197.714,0.1777738263460128,0.7501321798688668
1 mcg,197.9502,0.18675602021302282,0.7287253894956727
1 mcg,198.1864,0.1854221815935786,0.7318383135169717
1 mcg,198.42260000000002,0.17734146466296805,0.7511897090188044
1 mcg,198.6588,0.16568367340081455,0.7807202851912685
1 mcg,198.895,0.16276176116957583,0.7884476194940391
1 mcg,199.1312,0.1612392654220486,0.7925291890843394
1 mcg,199.3674,0.16204799103904474,0.7903563486864792
1 mcg,199.6036,0.16547626607781013,0.7812642873903669
1 mcg,199.8398,0.16955347539914514,0.7706933039029858
1 mcg,200.07600000000002,0.17531975167855815,0.7561691531487441
1 mcg,200.31220000000002,0.17577090220713215,0.7550530180950689
1 mcg,200.54840000000002,0.17771897672933654,0.7502661960055648
1 mcg,200.7846,0.18121053854197894,0.7418165489465108
1 mcg,201.0208,0.1901025448638378,0.7210120692843505
1 mcg,201.257,0.1951248836822249,0.7096873428209185
1 mcg,201.4932,0.19291343314330206,0.7146375300705344
1 mcg,201.7294,0.19101793797918054,0.7189258474141726
1 mcg,201.9656,0.18606787925092153,0.7303285923076372
1 mcg,202.2018,0.18332394878043864,0.7367807966646236
1 mcg,202.43800000000002,0.18045240440808485,0.743637326881245
1 mcg,202.6742,0.18241294419093138,0.7389443469767207
1 mcg,202.9104,0.18212500242475604,0.7396304294398908
1 mcg,203.1466,0.1846280329278481,0.733702357364438
1 mcg,203.3828,0.1919160072660497,0.7168888002651111
1 mcg,203.619,0.1985277533607468,0.7021787720802196
1 mcg,203.8552,0.20060695866714984,0.6976540062192478
1 mcg,204.09140000000002,0.2023399237948675,0.6939184179057017
1 mcg,204.32760000000002,0.20171012714959524,0.695272296855273
1 mcg,204.56380000000001,0.19098046471951494,0.7190110542099547
1 mcg,204.8,0.1737183095194766,0.7601544054779826
1 mcg,205.0362,0.1649385904563826,0.7826777211808589
1 mcg,205.2724,0.16967258323278345,0.7703883280574692
1 mcg,205.5086,0.18486867667101708,0.733136667539202
1 mcg,205.7448,0.19525829922417687,0.7093904978825976
1 mcg,205.981,0.1910221790624313,0.7189162050809673
1 mcg,206.2172,0.18063169272484736,0.7432060482198096
1 mcg,206.45340000000002,0.17468846029799237,0.7577357830218319
1 mcg,206.6896,0.1792775661251722,0.7464740524211343
1 mcg,206.9258,0.19184311649740596,0.717053779060528
1 mcg,207.162,0.20112074645010974,0.6965431277917586
1 mcg,207.3982,0.20017964982071562,0.6985800748076788
1 mcg,207.6344,0.19108451923167843,0.7187744960145415
1 mcg,207.8706,0.19092610801938786,0.719134680336155
1 mcg,208.10680000000002,0.1935677828232706,0.7131669244366923
1 mcg,208.34300000000002,0.19389263697557996,0.7124386828325442
1 mcg,208.57920000000001,0.19513550165081572,0.709663710777583
1 mcg,208.8154,0.19967099245422198,0.6996850234222638
1 mcg,209.0516,0.2012082905198362,0.6963541287212867
1 mcg,209.2878,0.19618886889532516,0.7073256366832505
1 mcg,209.524,0.18707453539250365,0.7279853246922453
1 mcg,209.7602,0.18320665457258445,0.7370587556044947
1 mcg,209.9964,0.17919858761900825,0.7466654176185828
1 mcg,210.2326,0.1790159815686317,0.7471081958511376
1 mcg,210.46880000000002,0.1815573907124506,0.7409860674324235
1 mcg,210.705,0.19165082953635387,0.7174892966168749
1 mcg,210.9412,0.20996829110902035,0.6778462863906439
1 mcg,211.1774,0.22952435514591332,0.6391712240950423
1 mcg,211.4136,0.24178996686914941,0.6165617242517881
1 mcg,211.6498,0.24013701158709008,0.6195408982967284
1 mcg,211.886,0.23015168225150848,0.6379858463625456
1 mcg,212.12220000000002,0.21577011535455023,0.6660087062488591
1 mcg,212.35840000000002,0.1984162372992803,0.7024227904432744
1 mcg,212.5946,0.18307222090204853,0.7373775498775288
1 mcg,212.8308,0.17149098665047452,0.7657587009904807
1 mcg,213.067,0.16611438409043985,0.7795927597181906
1 mcg,213.3032,0.17131251796611208,0.766210901570521
1 mcg,213.5394,0.17927405222474188,0.7464825648220762
1 mcg,213.7756,0.19235596157081808,0.7158943493249925
1 mcg,214.0118,0.19804325193856978,0.7032399510166742
1 mcg,214.248,0.20058122898314515,0.6977097120458082
1 mcg,214.48420000000002,0.19867321911335184,0.7018606712654449
1 mcg,214.7204,0.19518525850174878,0.7095529858143208
1 mcg,214.9566,0.19138761801801113,0.7180861626950038
1 mcg,215.1928,0.18680725412538374,0.7286062631944935
1 mcg,215.429,0.1862266123840975,0.7299582568363384
1 mcg,215.6652,0.18531717402709144,0.7320843311420853
1 mcg,215.9014,0.18366526949548687,0.7359729596031311
1 mcg,216.13760000000002,0.17912736114266237,0.746838071963917
1 mcg,216.37380000000002,0.17399896285383917,0.7594533403851991
1 mcg,216.61,0.16865440165318327,0.7730023198246567
1 mcg,216.8462,0.1667843874769766,0.777844605676353
1 mcg,217.0824,0.17165524587523937,0.7653429197660113
1 mcg,217.3186,0.18426550503026384,0.7345559582001372
1 mcg,217.5548,0.19704187037308427,0.7054414787123234
1 mcg,217.791,0.20226218670845977,0.6940853018007933
1 mcg,218.0272,0.20530561303964145,0.6875991768894215
1 mcg,218.2634,0.20573628635141755,0.6866891036753361
1 mcg,218.49960000000002,0.20170852724860117,0.6952757415555404
1 mcg,218.7358,0.1939300406845764,0.7123549114318194
1 mcg,218.972,0.18249365049886976,0.7387522413514787
1 mcg,219.2082,0.17580196065025672,0.7549762857193618
1 mcg,219.4444,0.1710881310930869,0.7667801177503647
1 mcg,219.6806,0.17368594212044378,0.760235331274186
1 mcg,219.91680000000002,0.18268136015890485,0.7383057635019331
1 mcg,220.15300000000002,0.19324283196905068,0.7138966065637032
1 mcg,220.38920000000002,0.1980171872340392,0.7032971127841563
1 mcg,220.6254,0.195918259133796,0.7079250868663206
1 mcg,220.8616,0.19074059387463108,0.719556869514975
1 mcg,221.0978,0.18722426187290597,0.7276378729335063
1 mcg,221.334,0.18404140079340084,0.735084469851226
1 mcg,221.5702,0.17733069483393002,0.7512160842343293
1 mcg,221.8064,0.16317355379890858,0.7873502277506438
1 mcg,222.0426,0.15131585998637626,0.8201155495473353
1 mcg,222.2788,0.14949750333998132,0.8253660601470647
1 mcg,222.51500000000001,0.15898755751346302,0.7986368625643762
1 mcg,222.7512,0.17100032823705355,0.767003055973903
1 mcg,222.9874,0.17799476315589582,0.7495927750279243
1 mcg,223.2236,0.1807256420631258,0.7429802236623196
1 mcg,223.4598,0.18089785386565524,0.7425665854886229
1 mcg,223.696,0.17541476060870761,0.7559338648970371
1 mcg,223.93220000000002,0.16639967140730888,0.7788475356542699
1 mcg,224.16840000000002,0.16534839073879537,0.7816000275217456
1 mcg,224.40460000000002,0.17661853369733627,0.7529637251064281
1 mcg,224.6408,0.18954601063325932,0.7222853517186555
1 mcg,224.877,0.19516090044319565,0.7096071867853863
1 mcg,225.1132,0.18262200219775235,0.7384469000906912
1 mcg,225.3494,0.17040969187882776,0.7685057088075997
1 mcg,225.5856,0.16179830043719665,0.7910260446188254
1 mcg,225.8218,0.16293604975834103,0.7879828169866546
1 mcg,226.058,0.17110565931340677,0.7667356259472836
1 mcg,226.2942,0.17755874133754254,0.7506579422234748
1 mcg,226.53040000000001,0.17974811783466152,0.7453356484738706
1 mcg,226.7666,0.1776543226174289,0.750424220957891
1 mcg,227.0028,0.17605030523979529,0.7543632176040564
1 mcg,227.239,0.17747510403789474,0.7508625605654352
1 mcg,227.4752,0.18036972081571434,0.7438363669402032
1 mcg,227.7114,0.18231791964977653,0.7391706433442292
1 mcg,227.94760000000002,0.17968813426365093,0.7454806006537606
1 mcg,228.18380000000002,0.1721426184750068,0.7641115952323454
1 mcg,228.42000000000002,0.161627947800734,0.7914835412953511
1 mcg,228.6562,0.1570122329572938,0.8040665100182443
1 mcg,228.8924,0.15732152846302241,0.803211842837985
1 mcg,229.1286,0.16230073666376849,0.789679508958219
1 mcg,229.3648,0.16947327583757832,0.7708987757577122
1 mcg,229.601,0.18198416227314002,0.7399664061724653
1 mcg,229.8372,0.19382607887493478,0.7125877899813012
1 mcg,230.0734,0.18888823792555484,0.7237950847624859
1 mcg,230.3096,0.1736157936844575,0.760410769954368
1 mcg,230.5458,0.16422056363500506,0.7845724616255944
1 mcg,230.782,0.16503529925893756,0.7824231549753942
1 mcg,231.0182,0.16547039720808698,0.7812796905838043
1 mcg,231.2544,0.1664197280777037,0.7787951919429247
1 mcg,231.4906,0.17604002044758946,0.7543885896644507
1 mcg,231.7268,0.19024984475901918,0.7206756889349393
1 mcg,231.96300000000002,0.19389227199585515,0.7124395003407908
1 mcg,232.19920000000002,0.18920904251807508,0.7230581120047317
1 mcg,232.43540000000002,0.18219527093632165,0.7394628997719896
1 mcg,232.6716,0.17709409365029538,0.7517959229310957
1 mcg,232.9078,0.16779673193692082,0.7752165018838566
1 mcg,233.144,0.15995061562653548,0.7960140840406884
1 mcg,233.3802,0.15827312930028925,0.800592810893605
1 mcg,233.6164,0.1618743411173415,0.7908219862947358
1 mcg,233.8526,0.1670462795491503,0.7771631925147292
1 mcg,234.0888,0.17061400523406678,0.767985321666605
1 mcg,234.325,0.17367560629333667,0.7602611763494417
1 mcg,234.5612,0.1776240746111614,0.7504981716531473
1 mcg,234.7974,0.18030719868864714,0.7439869339079561
1 mcg,235.0336,0.17572291013786293,0.7551716130191116
1 mcg,235.2698,0.16479446242271448,0.7830573859621085
1 mcg,235.506,0.1557145366128944,0.8076708423061522
1 mcg,235.7422,0.15369762715167062,0.8133328372685734
1 mcg,235.97840000000002,0.15499751148320734,0.8096752744605921
1 mcg,236.21460000000002,0.15769967174459482,0.802169210663865
1 mcg,236.45080000000002,0.1617046253120501,0.7912775575903731
1 mcg,236.687,0.1661696168106543,0.7794483816213487
1 mcg,236.9232,0.16466108143359803,0.7834090366282401
1 mcg,237.1594,0.16158004144038374,0.7916122848214588
1 mcg,237.3956,0.16600716764072707,0.7798731601550448
1 mcg,237.6318,0.17936756342191987,0.7462560913952395
1 mcg,237.868,0.18910808928471118,0.7232898933835552
1 mcg,238.1042,0.1857278173343021,0.7311230450483962
1 mcg,238.3404,0.18397444527661536,0.735242497893248
1 mcg,238.5766,0.19060947213406987,0.7198555213611559
1 mcg,238.8128,0.19849825521796544,0.7022433062940148
1 mcg,239.049,0.19908162047210437,0.7009688328706065
1 mcg,239.2852,0.19493622147298278,0.7101074562940329
1 mcg,239.5214,0.19116616093598296,0.7185889814082824
1 mcg,239.7576,0.1848438545370608,0.7331949837438881
1 mcg,239.99380000000002,0.17718684754518266,0.7515685186258626
1 mcg,240.23000000000002,0.17627525613113995,0.7538086456127131
1 mcg,240.46620000000001,0.18362592873627087,0.7360659946379426
1 mcg,240.7024,0.19490950149764452,0.7101669892691583
1 mcg,240.9386,0.20273787543805336,0.6930651089431886
1 mcg,241.1748,0.1989886867970764,0.7011716140489254
1 mcg,241.411,0.18457212312454885,0.7338338920826375
1 mcg,241.6472,0.16827412214872575,0.7739826663897503
1 mcg,241.8834,0.15970737790302583,0.7966750205643337
1 mcg,242.1196,0.16209362274082276,0.7902340712893756
1 mcg,242.3558,0.17215153115254403,0.7640891102341051
1 mcg,242.592,0.1834594511682355,0.7364599100487607
1 mcg,242.8282,0.19552132418565527,0.7088058701293581
1 mcg,243.0644,0.20555964238783042,0.6870621465284438
