Concentration,Wavelength,Transmittance,Absorbance
1 mcg,183.3058,0.28425997168767997,0.546284291555002
1 mcg,183.542,0.28785968800698286,0.5408191496475444
1 mcg,183.7782,0.2906793475785397,0.5365858232391947
1 mcg,184.0144,0.29736206798498,0.5267144316293654
1 mcg,184.25060000000002,0.3061711676444486,0.5140357095309255
1 mcg,184.48680000000002,0.3109112370439022,0.5073635812763063
1 mcg,184.723,0.31598071800285543,0.5003394183957063
1 mcg,184.9592,0.31480442804656594,0.5019591674735063
1 mcg,185.1954,0.3123463894955383,0.5053635098275391
1 mcg,185.4316,0.3105521680718296,0.5078654344482317
1 mcg,185.6678,0.31012051108619865,0.5084695089739962
1 mcg,185.904,0.30979056776409164,0.5089318093991747
1 mcg,186.1402,0.31048759471551257,0.5079557470308003
1 mcg,186.37640000000002,0.31195410413834146,0.505909296320171
1 mcg,186.61260000000001,0.30925594748107355,0.5096819394486425
1 mcg,186.8488,0.30448859335999356,0.5164289721069685
1 mcg,187.085,0.30063239685771814,0.5219642206273056
1 mcg,187.3212,0.30634472469894336,0.5137895938822643
1 mcg,187.5574,0.3068320182699623,0.5130993232353789
1 mcg,187.7936,0.3083673647059245,0.5109315906668177
1 mcg,188.0298,0.3086950731897824,0.510470301854366
1 mcg,188.26600000000002,0.3065019061947736,0.5135668201755912
1 mcg,188.50220000000002,0.3028694944812522,0.5187444673262288
1 mcg,188.7384,0.30160649820981733,0.5205593056860044
1 mcg,188.9746,0.30344068920026646,0.517926183897631
1 mcg,189.2108,0.3046802108547566,0.5161557525238887
1 mcg,189.447,0.3032432522513321,0.5182088542457793
1 mcg,189.6832,0.29685294356800074,0.5274586402902159
1 mcg,189.9194,0.2941820189005045,0.5313838759012816
1 mcg,190.1556,0.29026752037508086,0.5372015570413216
1 mcg,190.39180000000002,0.2873923476931756,0.5415247998721906
1 mcg,190.62800000000001,0.290444547037811,0.5369367727894719
1 mcg,190.8642,0.29009896378051214,0.5374538224734798
1 mcg,191.1004,0.2860626458331799,0.5435388488276056
1 mcg,191.3366,0.2835135205782333,0.5474262250514881
1 mcg,191.5728,0.2853548871409104,0.5446146850910021
1 mcg,191.809,0.2898696925437859,0.5377971901264397
1 mcg,192.0452,0.29503947918225704,0.5301198672630952
1 mcg,192.28140000000002,0.29797866859491784,0.5258148246589984
1 mcg,192.51760000000002,0.29886574355136153,0.5245238616058017
1 mcg,192.7538,0.2964308253937733,0.5280766367172316
1 mcg,192.99,0.29360066121779543,0.5322429706806383
1 mcg,193.2262,0.2968576443111651,0.5274517631791829
1 mcg,193.4624,0.2978195363146465,0.5260468168747802
1 mcg,193.6986,0.2980680909323066,0.5256845139833427
1 mcg,193.9348,0.2969225946374989,0.5273567530505635
1 mcg,194.171,0.2923453438378995,0.5341038187468625
1 mcg,194.40720000000002,0.2889410428551349,0.5391907640765852
1 mcg,194.6434,0.28597990296133574,0.5436644855411161
1 mcg,194.8796,0.28530671988180567,0.5446879992044095
1 mcg,195.1158,0.2891457282946527,0.5388832193789388
1 mcg,195.352,0.2881783033747233,0.540338719841731
1 mcg,195.5882,0.2861670637843066,0.5433803525463846
