Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.1002,0.28680466050455045,0.5424137957693559
1 mcg,375.3364,0.301305572059019,0.5209928368227967
1 mcg,375.57259999999997,0.3147791833994431,0.5019939956067347
1 mcg,375.8088,0.3196661654013019,0.49530332856136355
1 mcg,376.04499999999996,0.3188865840194193,0.4963637517162688
1 mcg,376.2812,0.30537213236702754,0.515170598292837
1 mcg,376.5174,0.284427632934954,0.5460282129767531
1 mcg,376.7536,0.26950158182137085,0.5694386814075704
1 mcg,376.9898,0.26961445466676537,0.5692568279611504
1 mcg,377.226,0.2749656640196715,0.5607215347435643
1 mcg,377.4622,0.2858642258940082,0.5438401904584996
1 mcg,377.6984,0.30498295144849163,0.5157244370426735
1 mcg,377.9346,0.31210901934421087,0.5056936808866601
1 mcg,378.1708,0.31167430682319064,0.5062989977386406
1 mcg,378.40700000000004,0.3121209850400437,0.5056770311401357
1 mcg,378.6432,0.305299168708172,0.5152743782298193
1 mcg,378.87940000000003,0.3003496111293251,0.5223729260089436
1 mcg,379.1156,0.3111209905157537,0.5070706871952544
1 mcg,379.3518,0.3165213234581733,0.4995970270422787
1 mcg,379.58799999999997,0.3056069372580592,0.5148367915273062
1 mcg,379.8242,0.3008055010648878,0.521714225725742
1 mcg,380.06039999999996,0.2953532376831276,0.5296582640132108
1 mcg,380.2966,0.2886691134576419,0.5395996815591908
1 mcg,380.5328,0.28711419879505995,0.5419453296007936
1 mcg,380.769,0.29410319674434815,0.5315002549186864
1 mcg,381.0052,0.29808536526998475,0.5256593454652163
1 mcg,381.2414,0.3019166980738367,0.5201128668351914
1 mcg,381.4776,0.300416365857463,0.5222764118543439
1 mcg,381.7138,0.29750010564341345,0.5265128757157901
1 mcg,381.95,0.29993893270415206,0.5229671582445823
1 mcg,382.1862,0.3065616526173919,0.5134821713936966
1 mcg,382.42240000000004,0.3067315412922188,0.5132415630953
1 mcg,382.6586,0.3032245062092114,0.5182357025078331
1 mcg,382.89480000000003,0.2998723882221733,0.5230635215522919
1 mcg,383.131,0.29626959007333453,0.528312923414033
1 mcg,383.3672,0.2924988858758413,0.5338757838002479
1 mcg,383.60339999999997,0.29621257219656283,0.5283965125949575
1 mcg,383.8396,0.30177471438295456,0.5203171524464656
1 mcg,384.0758,0.3019327218786283,0.5200898178770513
1 mcg,384.312,0.3084512623593644,0.510813448034415
1 mcg,384.5482,0.3243667559739567,0.48896366258940865
1 mcg,384.7844,0.3297626595050067,0.4817985230063608
1 mcg,385.0206,0.32594257169407814,0.48685891218180294
1 mcg,385.2568,0.3308492842538303,0.4803698005547613
1 mcg,385.493,0.3269303882349631,0.48554470979776504
1 mcg,385.7292,0.31595340910902703,0.5003769542760935
1 mcg,385.9654,0.31488877580255603,0.5018428194964832
1 mcg,386.2016,0.3269129042197373,0.4855679361929075
1 mcg,386.43780000000004,0.333847534670059,0.47645182650895507
1 mcg,386.674,0.33662156269792554,0.4728580682152499
1 mcg,386.91020000000003,0.3317034510512177,0.4792500100460771
1 mcg,387.14639999999997,0.3196569744853277,0.4953158154051596
1 mcg,387.3826,0.31360382473529524,0.5036186492678791
1 mcg,387.61879999999996,0.3160735726901469,0.5002118145515636
1 mcg,387.855,0.3222950027336321,0.49174642828237075
1 mcg,388.0912,0.3315569012500308,0.47944192795823454
1 mcg,388.3274,0.34429049774892284,0.46307496344739285
1 mcg,388.5636,0.3440414203439892,0.46338926805657193
1 mcg,388.7998,0.32927567459682594,0.48244035182250966
1 mcg,389.036,0.32005383208425875,0.4947769685210436
1 mcg,389.2722,0.3182360077891371,0.497250682328059
1 mcg,389.5084,0.3178050439008916,0.4978392143629334
1 mcg,389.7446,0.3218810297631841,0.49230461794607344
1 mcg,389.9808,0.33432159673482165,0.4758355676497077
1 mcg,390.217,0.3432869020714683,0.46434276653231116
1 mcg,390.45320000000004,0.346342661427558,0.46049401009234164
1 mcg,390.6894,0.3481536560472296,0.4582290398312119
1 mcg,390.92560000000003,0.34800401355626387,0.45841574727385953
1 mcg,391.16179999999997,0.3437077556717403,0.463810668015704
1 mcg,391.398,0.33854071612796877,0.4703890914505994
1 mcg,391.63419999999996,0.3353721392804586,0.47447301882991105
1 mcg,391.8704,0.33294943267040933,0.47762172078741666
1 mcg,392.1066,0.33116595550817707,0.4799543158934744
1 mcg,392.3428,0.33195228882890915,0.47892433252289507
1 mcg,392.579,0.3317038673882886,0.47924946494237536
1 mcg,392.8152,0.3322125274065211,0.4785839947595676
1 mcg,393.0514,0.33111946921760516,0.48001528277801986
1 mcg,393.2876,0.3335909383382091,0.4767857550461789
1 mcg,393.5238,0.33608463353152174,0.47355134389776066
1 mcg,393.76,0.3369602226989624,0.4724213634667747
1 mcg,393.9962,0.3360397379353298,0.47360936265305253
1 mcg,394.2324,0.33623623183941265,0.47335549006340916
1 mcg,394.46860000000004,0.33458551216010635,0.4754928682903691
1 mcg,394.7048,0.3263701363779684,0.4862895870493479
1 mcg,394.94100000000003,0.3286923394133723,0.48321041757724276
1 mcg,395.17719999999997,0.33234592649206474,0.4784096399313931
1 mcg,395.4134,0.33031074388745274,0.4810772999533047
1 mcg,395.64959999999996,0.3265652862988091,0.48602998239827483
1 mcg,395.8858,0.3315146347326976,0.4794972948810349
1 mcg,396.122,0.33145778788135727,0.4795717724100212
1 mcg,396.3582,0.32757160698543264,0.48469374874294224
1 mcg,396.5944,0.32938079342826243,0.4823017286371594
1 mcg,396.8306,0.334341008952699,0.47581035128786453
1 mcg,397.0668,0.3423120230685981,0.4655778468140715
1 mcg,397.303,0.34831454170248144,0.45802839390434297
1 mcg,397.5392,0.35221257546812434,0.45319514195501637
1 mcg,397.7754,0.35560254545496706,0.4490351389473539
1 mcg,398.0116,0.3587890691758443,0.44516079658927915
1 mcg,398.2478,0.35244492746830425,0.452908735595121
1 mcg,398.48400000000004,0.3411929400530008,0.4669999638109208
1 mcg,398.7202,0.33682304956194664,0.47259819640326023
1 mcg,398.95640000000003,0.33568688514958545,0.4740656257416405
