Concentration,Wavelength,Transmittance,Absorbance
1 mcg,182.1248,0.35849226836373227,0.4455202063648728
1 mcg,182.36100000000002,0.3550782888687503,0.4496758816627857
1 mcg,182.59720000000002,0.3481723619563295,0.45820570629808804
1 mcg,182.8334,0.3453109204092411,0.4617896869315201
1 mcg,183.0696,0.34965114032383027,0.4563650510486827
1 mcg,183.3058,0.354905315154157,0.44988749649677007
1 mcg,183.542,0.3599467017795429,0.4437618015568288
1 mcg,183.7782,0.363526811223597,0.4394635530661223
1 mcg,184.0144,0.36606886232857677,0.43643721046288075
1 mcg,184.25060000000002,0.36414369706245453,0.43872720281718236
1 mcg,184.48680000000002,0.35995742911753564,0.4437488586565282
1 mcg,184.723,0.35717894537732336,0.44711414938020055
1 mcg,184.9592,0.3554117081617424,0.4492682695349826
1 mcg,185.1954,0.3515847870992937,0.4539699249002186
1 mcg,185.4316,0.34861902536530703,0.4576489156032343
1 mcg,185.6678,0.34860620057854674,0.45766489246096964
1 mcg,185.904,0.34740788676638024,0.4591603265330194
1 mcg,186.1402,0.34939309733591023,0.45668567925731457
1 mcg,186.37640000000002,0.3565403622055351,0.4478912986566805
1 mcg,186.61260000000001,0.36189021271036265,0.4414231621898384
1 mcg,186.8488,0.3616381352363445,0.4417257788342819
1 mcg,187.085,0.36552073243361477,0.4370879847084289
1 mcg,187.3212,0.369547213442461,0.4323300681550978
1 mcg,187.5574,0.3630125163973863,0.4400784005600144
1 mcg,187.7936,0.35618388357501346,0.44832573516134083
1 mcg,188.0298,0.35212190929124243,0.4533069519583162
1 mcg,188.26600000000002,0.347448696105287,0.45910931378836217
1 mcg,188.50220000000002,0.3434399857892917,0.46414914249866285
1 mcg,188.7384,0.3480890725135049,0.4583096102163615
1 mcg,188.9746,0.3525871217933427,0.4527335543062019
1 mcg,189.2108,0.35282038345889705,0.4524463323610766
1 mcg,189.447,0.3497627576224916,0.4562264356238322
1 mcg,189.6832,0.3457113963016157,0.46128630379769225
1 mcg,189.9194,0.336149049683402,0.47346811218804075
1 mcg,190.1556,0.32677666569105657,0.4857489629212165
1 mcg,190.39180000000002,0.32241315523456093,0.49158724624281774
1 mcg,190.62800000000001,0.32486194994110745,0.4883011532235981
1 mcg,190.8642,0.32220230344627454,0.491871359104788
1 mcg,191.1004,0.3194453541405394,0.49560342365580246
1 mcg,191.3366,0.3199371942954575,0.4949352680800394
1 mcg,191.5728,0.3260736134608141,0.48668434376385783
1 mcg,191.809,0.3303231395533184,0.4810610023657285
1 mcg,192.0452,0.33358211093617035,0.47679724739287777
1 mcg,192.28140000000002,0.33105535507790623,0.48009938267474983
1 mcg,192.51760000000002,0.33019566843575376,0.4812286281864562
1 mcg,192.7538,0.3220578396208565,0.4920661246632052
1 mcg,192.99,0.3110431344760655,0.5071793802144681
1 mcg,193.2262,0.3052932173906868,0.5152828441864961
1 mcg,193.4624,0.30586308884561675,0.5144729299387891
1 mcg,193.6986,0.2999068838753035,0.5230135656017696
1 mcg,193.9348,0.2942861745597992,0.5312301403924954
1 mcg,194.171,0.2903495722969143,0.5370788093731292
1 mcg,194.40720000000002,0.2868817928387533,0.5422970136939652
1 mcg,194.6434,0.28725554963961414,0.5417315721972783
1 mcg,194.8796,0.2932558716893213,0.5327532835031662
1 mcg,195.1158,0.29970569833084004,0.5233049996966196
1 mcg,195.352,0.3013462507435204,0.5209342075195459
1 mcg,195.5882,0.3011000834214358,0.5212891241635468
1 mcg,195.8244,0.29799377418976436,0.5257928092904406
1 mcg,196.0606,0.29358032598872646,0.5322730516197997
1 mcg,196.29680000000002,0.29483852546312556,0.5304157694463455
1 mcg,196.53300000000002,0.3005288724289762,0.522113798089748
1 mcg,196.7692,0.30686774153556406,0.5130487629511485
1 mcg,197.0054,0.30976407867146855,0.5089689459676114
1 mcg,197.2416,0.30891580578775163,0.5101598702974784
1 mcg,197.4778,0.30235840573028927,0.5194779532643015
1 mcg,197.714,0.29571679973858755,0.5291240024048347
1 mcg,197.9502,0.2926605490405256,0.5336358169879698
1 mcg,198.1864,0.29438061963272055,0.5310907849038922
1 mcg,198.42260000000002,0.2943047535573845,0.5312027231974698
1 mcg,198.6588,0.2929864802644746,0.5331524195162093
1 mcg,198.895,0.2946252211484849,0.530730078481941
1 mcg,199.1312,0.298430308631556,0.5251570719399704
1 mcg,199.3674,0.3028935273227117,0.5187100072153931
1 mcg,199.6036,0.30944582023844186,0.5094153790549928
1 mcg,199.8398,0.31192735519145864,0.5059465371128291
1 mcg,200.07600000000002,0.31126978405217925,0.5068630356178722
1 mcg,200.31220000000002,0.3058936050993662,0.5144296021231595
1 mcg,200.54840000000002,0.2973972489784641,0.5266630531610671
1 mcg,200.7846,0.2911023766385303,0.5359542488491118
1 mcg,201.0208,0.2911522788594998,0.535879806303912
1 mcg,201.257,0.2888556771277308,0.539319092477709
1 mcg,201.4932,0.28555060063406523,0.5443169219926929
1 mcg,201.7294,0.28374140164397194,0.5470772902398986
1 mcg,201.9656,0.2852666622233012,0.5447489793363983
1 mcg,202.2018,0.28216116410632036,0.5495027615773531
1 mcg,202.43800000000002,0.27996519676261844,0.552895953634183
1 mcg,202.6742,0.2809245728864008,0.551410270758505
1 mcg,202.9104,0.28346524505285275,0.5475001812403449
1 mcg,203.1466,0.28429462133783073,0.5462313567900258
1 mcg,203.3828,0.28992722324137254,0.5377110038639615
1 mcg,203.619,0.2960122803085999,0.5286902715098724
1 mcg,203.8552,0.29556827962013604,0.5293421762485636
1 mcg,204.09140000000002,0.2947295758214301,0.5305762809415542
1 mcg,204.32760000000002,0.29507011020774054,0.530074781110985
1 mcg,204.56380000000001,0.29132324809015275,0.5356248565518803
1 mcg,204.8,0.28849777715686886,0.5398575286858062
1 mcg,205.0362,0.29337757439027173,0.5325730864395075
1 mcg,205.2724,0.2955416169226659,0.5293813549612176
1 mcg,205.5086,0.2928640344289753,0.5333339591756616
