Wavelength,Gray_Value
181.18,13.643
181.4162,13.823
181.6524,13.353
181.8886,13.57
182.1248,14.793
182.36100000000002,15.283
182.59720000000002,15.21
182.8334,15.5
183.0696,13.833
183.3058,14.027
183.542,14.413
183.7782,15.123
184.0144,15.307
184.25060000000002,14.977
184.48680000000002,14.54
184.723,14.46
184.9592,15.203
185.1954,15.397
185.4316,15.407
185.6678,14.907
185.904,15.127
186.1402,15.157
186.37640000000002,14.62
186.61260000000001,15.31
186.8488,15.137
187.085,13.857
187.3212,13.203
187.5574,13.657
187.7936,13.993
188.0298,14.573
188.26600000000002,13.79
188.50220000000002,12.213
188.7384,10.92
188.9746,12.993
189.2108,14.78
189.447,15.44
189.6832,15.733
189.9194,15.967
190.1556,16.07
190.39180000000002,16.02
190.62800000000001,14.43
190.8642,15.66
191.1004,15.95
191.3366,15.22
191.5728,14.48
191.809,13.87
192.0452,14.283
192.28140000000002,15.723
192.51760000000002,15.287
192.7538,16.257
192.99,15.627
193.2262,13.667
193.4624,13.0
193.6986,13.55
193.9348,14.633
194.171,15.353
194.40720000000002,15.133
194.6434,14.547
194.8796,14.353
195.1158,15.377
195.352,16.15
195.5882,14.86
195.8244,14.44
196.0606,16.307
196.29680000000002,15.577
196.53300000000002,15.463
196.7692,14.947
197.0054,14.967
197.2416,14.343
197.4778,13.723
197.714,14.293
197.9502,14.173
198.1864,14.603
198.42260000000002,16.163
198.6588,15.767
198.895,13.747
199.1312,12.573
199.3674,12.423
199.6036,12.943
199.8398,13.913
200.07600000000002,15.733
200.31220000000002,15.983
200.54840000000002,14.863
200.7846,13.683
201.0208,14.123
201.257,15.703
201.4932,16.703
201.7294,17.073
201.9656,14.893
202.2018,16.163
202.43800000000002,16.003
202.6742,15.003
202.9104,14.713
203.1466,14.003
203.3828,13.423
203.619,13.923
203.8552,14.01
204.09140000000002,15.11
204.32760000000002,16.0
204.56380000000001,16.29
204.8,14.497
205.0362,14.167
205.2724,16.367
205.5086,15.833
205.7448,15.607
205.981,15.687
206.2172,14.897
206.45340000000002,14.017
206.6896,13.887
206.9258,14.067
207.162,14.517
207.3982,15.307
207.6344,14.843
207.8706,17.11
208.10680000000002,15.813
208.34300000000002,13.803
208.57920000000001,14.39
208.8154,14.8
209.0516,14.7
209.2878,14.85
209.524,13.763
209.7602,13.443
209.9964,13.343
210.2326,13.953
210.46880000000002,15.003
210.705,15.713
210.9412,15.473
211.1774,14.813
211.4136,12.517
211.6498,13.317
211.886,14.043
212.12220000000002,15.223
212.35840000000002,16.323
212.5946,16.073
212.8308,15.86
213.067,16.59
213.3032,15.627
213.5394,14.687
213.7756,14.303
214.0118,14.373
214.248,14.087
214.48420000000002,14.347
214.7204,14.82
214.9566,14.99
215.1928,14.677
215.429,14.967
215.6652,15.003
215.9014,15.03
216.13760000000002,15.637
216.37380000000002,15.887
216.61,15.67
216.8462,16.213
217.0824,15.51
217.3186,14.2
217.5548,15.74
217.791,17.7
218.0272,16.587
218.2634,14.827
218.49960000000002,14.173
218.7358,13.75
218.972,13.423
219.2082,15.27
219.4444,15.323
219.6806,14.773
219.91680000000002,15.387
220.15300000000002,15.137
220.38920000000002,14.257
220.6254,14.477
220.8616,13.447
221.0978,14.117
221.334,14.317
221.5702,14.337
221.8064,15.083
222.0426,16.12
222.2788,16.52
222.51500000000001,16.45
222.7512,14.713
222.9874,16.06
223.2236,15.483
223.4598,14.063
223.696,14.067
223.93220000000002,14.087
224.16840000000002,14.363
224.40460000000002,16.013
224.6408,15.923
224.877,15.763
225.1132,16.537
225.3494,17.38
225.5856,16.69
225.8218,15.86
226.058,15.577
226.2942,15.4
226.53040000000001,15.65
226.7666,16.803
227.0028,16.647
227.239,15.603
227.4752,15.567
227.7114,15.777
227.94760000000002,15.823
228.18380000000002,16.153
228.42000000000002,15.7
228.6562,15.11
228.8924,14.87
229.1286,15.37
229.3648,15.437
229.601,15.867
229.8372,16.833
230.0734,16.613
230.3096,16.77
230.5458,17.68
230.782,16.703
