Concentration,Wavelength,Transmittance,Absorbance
1 mcg,183.3058,0.3107910116092808,0.5075315499256219
1 mcg,183.542,0.3102073556248697,0.5083479084262903
1 mcg,183.7782,0.30666589154608104,0.5133345250839504
1 mcg,184.0144,0.30212472964525217,0.5198137252102847
1 mcg,184.25060000000002,0.29995441326082506,0.5229447438591367
1 mcg,184.48680000000002,0.3023912478315076,0.5194307828582888
1 mcg,184.723,0.30602070397806513,0.5142491901221652
1 mcg,184.9592,0.3022479834994749,0.519636587929464
1 mcg,185.1954,0.29980545028813854,0.5231604761957193
1 mcg,185.4316,0.2949751739830936,0.5302145340416748
1 mcg,185.6678,0.2898778045036321,0.5377850366305926
1 mcg,185.904,0.285773326761223,0.5439783094184166
1 mcg,186.1402,0.28611977778908104,0.5434521209162043
1 mcg,186.37640000000002,0.28755203814593167,0.5412835498106676
1 mcg,186.61260000000001,0.284711800499189,0.5455945322015736
1 mcg,186.8488,0.2795411648283994,0.553554229489763
1 mcg,187.085,0.2801622143000554,0.5525904387417291
1 mcg,187.3212,0.28941824701178964,0.5384740913002052
1 mcg,187.5574,0.2957926486933182,0.5290126236846282
1 mcg,187.7936,0.30063091259900365,0.5219663647972868
1 mcg,188.0298,0.3034167672042939,0.5179604232094915
1 mcg,188.26600000000002,0.3087463213428082,0.5103982082425187
1 mcg,188.50220000000002,0.3178930651855356,0.497718946084929
1 mcg,188.7384,0.3317649679634559,0.4791694743194633
1 mcg,188.9746,0.34142092046290495,0.46670987114386037
1 mcg,189.2108,0.3454251332478552,0.4616460662076212
1 mcg,189.447,0.3382093793778561,0.47081435251721493
1 mcg,189.6832,0.32637673766163733,0.486280802936593
1 mcg,189.9194,0.31670713800460115,0.49934214830767226
1 mcg,190.1556,0.30873821823614334,0.5104096065344125
1 mcg,190.39180000000002,0.3029337514565318,0.5186523369189406
1 mcg,190.62800000000001,0.2989033267893717,0.5244692512430003
1 mcg,190.8642,0.2863992844123695,0.5430280714764288
1 mcg,191.1004,0.26940028881746336,0.5696019430162872
1 mcg,191.3366,0.2621616130342799,0.5814308994799233
1 mcg,191.5728,0.2631094375259879,0.579863573837708
1 mcg,191.809,0.26845353133738525,0.5711308787923691
1 mcg,192.0452,0.2746877063536104,0.5611607769910236
1 mcg,192.28140000000002,0.2775797303269636,0.5566122504958295
1 mcg,192.51760000000002,0.2784731857680147,0.5552166167690041
1 mcg,192.7538,0.2760761439639119,0.5589711195920051
1 mcg,192.99,0.27326385532974784,0.5634178087352437
1 mcg,193.2262,0.2798037030870273,0.5531465420971584
