Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.1002,0.2876991380978335,0.5410614391868918
1 mcg,375.3364,0.2947194996458566,0.5305911287974007
1 mcg,375.57259999999997,0.29705721155913634,0.5271598999366058
1 mcg,375.8088,0.29863769400663154,0.5248553765644126
1 mcg,376.04499999999996,0.2974654623647651,0.5265634513644596
1 mcg,376.2812,0.2947882951328548,0.5304897645719114
1 mcg,376.5174,0.2928143172887658,0.5334076920689383
1 mcg,376.7536,0.28930048569528444,0.5386508372313643
1 mcg,376.9898,0.28423192461990987,0.5463271441861658
1 mcg,377.226,0.28066291647173197,0.5518149661885902
1 mcg,377.4622,0.2781910818386486,0.5556567965953901
1 mcg,377.6984,0.2789771843814869,0.5544313132224326
1 mcg,377.9346,0.2783006542418121,0.5554857727055731
1 mcg,378.1708,0.2777998661743374,0.556267967812805
1 mcg,378.40700000000004,0.27841999535671663,0.5552995781087013
1 mcg,378.6432,0.27796615340136427,0.5560080828082524
1 mcg,378.87940000000003,0.2782451644970647,0.5555723743445198
1 mcg,379.1156,0.28186925874777696,0.5499522866122981
1 mcg,379.3518,0.28430413634867246,0.5462168217012718
1 mcg,379.58799999999997,0.2809206587455414,0.5514163218547179
1 mcg,379.8242,0.27761115293327293,0.5565630902341855
1 mcg,380.06039999999996,0.2728561247550146,0.5640662932370678
1 mcg,380.2966,0.2700982063982465,0.5684782997589786
1 mcg,380.5328,0.26848916701648934,0.5710732324965393
1 mcg,380.769,0.2692683273650047,0.5698147273889107
1 mcg,381.0052,0.27138093343678826,0.566420668076683
1 mcg,381.2414,0.2744016810061937,0.5616132324351191
1 mcg,381.4776,0.2729330702167249,0.5639438394033989
1 mcg,381.7138,0.2681154393530323,0.5716781765700369
1 mcg,381.95,0.2684116728110784,0.5711986012928852
1 mcg,382.1862,0.2697287291625562,0.5690727938056263
1 mcg,382.42240000000004,0.26577206358384187,0.575490671508468
1 mcg,382.6586,0.262542872183645,0.5807997679437941
1 mcg,382.89480000000003,0.2618601245291467,0.5819306299269554
1 mcg,383.131,0.2586167807122916,0.5873432987351803
