Concentration,Wavelength,Transmittance,Absorbance
1 mcg,181.6524,0.26154971158150847,0.5824457545454667
1 mcg,181.8886,0.2581816222275349,0.588074674731208
1 mcg,182.1248,0.25729360580106536,0.5895710066377663
1 mcg,182.36100000000002,0.25842919971790307,0.5876584173026982
1 mcg,182.59720000000002,0.2611381717382288,0.5831296407638251
1 mcg,182.8334,0.2628266903673819,0.5803305337443359
1 mcg,183.0696,0.26375339874217546,0.5788019353133527
1 mcg,183.3058,0.2636176531746203,0.5790255105438085
1 mcg,183.542,0.26431062387328746,0.577885380202315
1 mcg,183.7782,0.26415413287996375,0.5781425900767148
1 mcg,184.0144,0.26436055103127015,0.5778033515603056
1 mcg,184.25060000000002,0.26273019116999136,0.5804900181726746
1 mcg,184.48680000000002,0.2620594330642429,0.581600202860779
1 mcg,184.723,0.2625173636450813,0.5808419658357401
1 mcg,184.9592,0.26277082722865724,0.580422851733554
1 mcg,185.1954,0.26237432060886695,0.5810786729686748
1 mcg,185.4316,0.2630544471508886,0.5799543517008259
1 mcg,185.6678,0.26445826294910807,0.5776428589829077
1 mcg,185.904,0.2626847882538133,0.5805650759337958
1 mcg,186.1402,0.26143659599289276,0.5826336197955032
1 mcg,186.37640000000002,0.25949436102318774,0.5858720752071297
1 mcg,186.61260000000001,0.2623232680190149,0.5811631858713834
1 mcg,186.8488,0.261756935051143,0.5821018031943183
1 mcg,187.085,0.2616525216067193,0.5822750755063655
1 mcg,187.3212,0.2610189132142067,0.5833280229032076
1 mcg,187.5574,0.2609101568888296,0.5835090140584143
1 mcg,187.7936,0.2613800396491058,0.582727580493938
1 mcg,188.0298,0.2611853498339655,0.5830511867564726
1 mcg,188.26600000000002,0.26210717337077344,0.581521093083493
1 mcg,188.50220000000002,0.26335908925736545,0.579451688332893
1 mcg,188.7384,0.2641485699256583,0.5781517361982287
1 mcg,188.9746,0.2625652761373601,0.5807627092407125
1 mcg,189.2108,0.260768143967347,0.5837454641065806
1 mcg,189.447,0.26007635630002984,0.5848991279854601
1 mcg,189.6832,0.2606777265619425,0.5838960752547285
1 mcg,189.9194,0.26162501097879826,0.5823207404285791
1 mcg,190.1556,0.2607635598425417,0.5837530987722885
1 mcg,190.39180000000002,0.2591071446906616,0.5865206114952685
1 mcg,190.62800000000001,0.258238267469489,0.5879794006467034
1 mcg,190.8642,0.2590268826109737,0.5866551611552275
1 mcg,191.1004,0.2605295375758608,0.5841430313702568
1 mcg,191.3366,0.26036504824118495,0.5844173164740043
1 mcg,191.5728,0.2579082389239064,0.5885347840270996
1 mcg,191.809,0.2561275328278187,0.5915437338608067
1 mcg,192.0452,0.2560157912440513,0.5917332462559445
1 mcg,192.28140000000002,0.25799110647658546,0.5883952648690013
1 mcg,192.51760000000002,0.25910234837428353,0.5865286507680505
1 mcg,192.7538,0.25818203592330186,0.5880739788426188
1 mcg,192.99,0.2568454852380994,0.5903280637859086
1 mcg,193.2262,0.2565464277552511,0.5908340282390917
1 mcg,193.4624,0.25686057155796777,0.5903025554027146
1 mcg,193.6986,0.2559077304081124,0.5919165948362314
1 mcg,193.9348,0.2543447690716421,0.5945771897671724
1 mcg,194.171,0.2539979954922636,0.5951697107425972
1 mcg,194.40720000000002,0.25486181402962055,0.5936952300409237
1 mcg,194.6434,0.25484410663902096,0.593725405174143
1 mcg,194.8796,0.25463531015609936,0.594081373099288
1 mcg,195.1158,0.2538148488384611,0.5954829741248142
1 mcg,195.352,0.25395639393195796,0.5952408483427277
1 mcg,195.5882,0.25399762768827144,0.5951703396269297
1 mcg,195.8244,0.2546197218206046,0.594107960673939
1 mcg,196.0606,0.2540212004633005,0.5951300358997514
1 mcg,196.29680000000002,0.2527783771796445,0.5972600786222241
