Wavelength,Gray_Value
181.18,81.1267
181.4162,81.08
181.6524,82.18
181.8886,82.84
182.1248,82.52
182.36100000000002,81.0333
182.59720000000002,80.2533
182.8334,81.72
183.0696,81.26
183.3058,81.9
183.542,81.56
183.7782,81.18
184.0144,81.78
184.25060000000002,82.22
184.48680000000002,81.8
184.723,80.9467
184.9592,81.9933
185.1954,81.8933
185.4316,80.9267
185.6678,80.9067
185.904,81.2667
186.1402,81.5467
186.37640000000002,82.1467
186.61260000000001,81.4667
186.8488,80.72
187.085,81.5
187.3212,81.5667
187.5574,81.5667
187.7936,81.9067
188.0298,82.0067
188.26600000000002,81.5867
188.50220000000002,81.2267
188.7384,81.1733
188.9746,81.8333
189.2108,81.9067
189.447,81.4467
189.6832,81.3067
189.9194,81.4867
190.1556,81.6667
190.39180000000002,82.0267
190.62800000000001,81.52
190.8642,80.86
191.1004,80.7667
191.3366,81.4667
191.5728,81.8467
191.809,81.8267
192.0452,81.5
192.28140000000002,81.12
192.51760000000002,81.0267
192.7538,81.24
192.99,81.12
193.2262,81.16
193.4624,81.52
193.6986,81.74
193.9348,81.64
194.171,81.66
194.40720000000002,80.74
194.6434,81.22
194.8796,81.4867
195.1158,81.6467
195.352,81.12
195.5882,80.64
195.8244,80.76
196.0606,81.1267
196.29680000000002,80.6467
196.53300000000002,80.7867
196.7692,80.9467
197.0054,81.1067
197.2416,81.1333
197.4778,81.0933
197.714,80.6467
197.9502,80.2867
198.1864,80.2467
198.42260000000002,81.2
198.6588,80.8333
198.895,79.8667
199.1312,79.1867
199.3674,79.8467
199.6036,80.0733
199.8398,79.8733
200.07600000000002,79.6933
200.31220000000002,79.28
200.54840000000002,79.24
200.7846,79.4333
201.0208,79.3533
201.257,79.02
201.4932,79.3533
201.7294,79.8867
201.9656,78.9333
202.2018,78.74
202.43800000000002,78.3133
202.6742,78.6733
202.9104,78.9267
203.1466,78.9467
203.3828,78.8133
203.619,78.9933
203.8552,78.3867
204.09140000000002,78.5867
204.32760000000002,78.5067
204.56380000000001,78.06
204.8,77.8
205.0362,78.0667
205.2724,77.9067
205.5086,77.7467
205.7448,77.32
205.981,77.42
206.2172,77.1267
206.45340000000002,77.24
206.6896,77.2133
206.9258,77.1133
207.162,76.8267
207.3982,76.7467
207.6344,76.1333
207.8706,75.8533
208.10680000000002,75.3733
208.34300000000002,75.1533
208.57920000000001,74.9133
208.8154,75.2667
209.0516,74.9533
209.2878,74.8333
209.524,73.82
209.7602,73.74
209.9964,72.9933
210.2326,73.6
210.46880000000002,73.5667
210.705,73.6133
210.9412,73.1933
211.1774,73.1333
211.4136,72.6267
211.6498,73.0733
211.886,71.9733
212.12220000000002,71.8933
212.35840000000002,72.8267
212.5946,72.5667
212.8308,70.8
213.067,70.86
213.3032,70.4267
213.5394,71.8667
213.7756,70.9467
214.0118,69.9467
214.248,70.0
214.48420000000002,70.3467
214.7204,69.64
214.9566,69.3333
215.1928,69.24
215.429,69.8333
215.6652,69.2133
215.9014,68.5333
216.13760000000002,68.5667
216.37380000000002,68.6533
216.61,68.54
216.8462,68.78
217.0824,68.1533
217.3186,67.5733
217.5548,67.2267
217.791,67.2267
218.0272,66.8533
218.2634,66.9533
218.49960000000002,67.1
218.7358,66.8933
218.972,66.8933
219.2082,67.3
219.4444,66.82
219.6806,66.2133
219.91680000000002,65.9267
220.15300000000002,66.1333
220.38920000000002,65.9
220.6254,65.8533
220.8616,65.3067
221.0978,64.92
221.334,64.1667
221.5702,64.4267
221.8064,65.0467
222.0426,65.2267
222.2788,64.3
222.51500000000001,63.4467
222.7512,63.16
222.9874,63.9267
223.2236,63.7667
223.4598,63.6133
223.696,63.7667
223.93220000000002,63.0867
224.16840000000002,62.24
224.40460000000002,63.0867
224.6408,62.68
224.877,62.9333
225.1132,62.7133
225.3494,62.4267
225.5856,61.66
225.8218,61.3933
226.058,61.0467
226.2942,60.5867
226.53040000000001,61.1867
226.7666,60.9467
227.0028,61.12
227.239,61.12
227.4752,60.4333
227.7114,60.2933
227.94760000000002,60.4533
