Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.1002,0.343398067756481,0.4642021528706728
1 mcg,375.3364,0.3469785715316092,0.4596973452464083
1 mcg,375.57259999999997,0.3449158435588973,0.4622868560467357
1 mcg,375.8088,0.3419109304956876,0.4660870150908523
1 mcg,376.04499999999996,0.3429653421486066,0.4647497647213794
1 mcg,376.2812,0.34565198056948215,0.46136095028760077
1 mcg,376.5174,0.34121821863097074,0.4669677886426575
1 mcg,376.7536,0.3335350997587006,0.4768584561120335
1 mcg,376.9898,0.33259533038828043,0.47808385253333285
1 mcg,377.226,0.33866622558913145,0.47022811239478673
1 mcg,377.4622,0.3418946723354401,0.46610766665981723
1 mcg,377.6984,0.3389251715319436,0.4698961754781523
1 mcg,377.9346,0.3361647423972462,0.4734478381460379
1 mcg,378.1708,0.33606092312647035,0.47358198398153356
1 mcg,378.40700000000004,0.33745956115179615,0.4717782625984809
1 mcg,378.6432,0.3385205293292694,0.4704149887098026
1 mcg,378.87940000000003,0.3382613195290675,0.47074766131790324
1 mcg,379.1156,0.33661553224794055,0.47286584850891344
1 mcg,379.3518,0.33475770882682304,0.4752694132333454
1 mcg,379.58799999999997,0.33829253165360246,0.4707075898485297
1 mcg,379.8242,0.3391999098566368,0.46954427183033093
1 mcg,380.06039999999996,0.3388258666075787,0.4700234422134554
1 mcg,380.2966,0.33833892821456074,0.4706480307779568
1 mcg,380.5328,0.34128217419336576,0.46688639514249686
1 mcg,380.769,0.3401358949897269,0.46834753397914564
1 mcg,381.0052,0.33495662383788033,0.4750114295229879
1 mcg,381.2414,0.3361358294692565,0.47348519264375744
1 mcg,381.4776,0.3397436763979221,0.4688486179833896
1 mcg,381.7138,0.3399198903779201,0.4686234219758263
1 mcg,381.95,0.33259622062418465,0.47808269008759763
1 mcg,382.1862,0.33008348357328704,0.4813762059709219
1 mcg,382.42240000000004,0.3354042617777901,0.4744314233792522
1 mcg,382.6586,0.3414276778887004,0.4667012756433585
1 mcg,382.89480000000003,0.34190208093312874,0.46609825593044607
1 mcg,383.131,0.3362559580898951,0.4733300116954402
1 mcg,383.3672,0.3343197002729353,0.47583803122153934
1 mcg,383.60339999999997,0.33704017794916535,0.4723183245840327
1 mcg,383.8396,0.34121061127496893,0.4669774712134658
1 mcg,384.0758,0.3407064481033227,0.46761964703326114
1 mcg,384.312,0.3391846064854415,0.4695638659381139
1 mcg,384.5482,0.3382343422954806,0.47078229883104983
1 mcg,384.7844,0.3398060824820249,0.4687688515860506
1 mcg,385.0206,0.3429702656243399,0.4647435302051403
1 mcg,385.2568,0.34401245979939615,0.46342582741647115
1 mcg,385.493,0.34371846945281087,0.4637971307492175
1 mcg,385.7292,0.34166476545509866,0.4663998059756655
1 mcg,385.9654,0.34287607325002084,0.4648628199828724
1 mcg,386.2016,0.3441060373612252,0.4633077075892887
1 mcg,386.43780000000004,0.34343988001796627,0.464149276251027
1 mcg,386.674,0.34203852616428904,0.46592497359819046
1 mcg,386.91020000000003,0.342971033033357,0.46474255845580215
1 mcg,387.14639999999997,0.34522610280401583,0.46189637438451553
1 mcg,387.3826,0.3422572106556699,0.4656473934058629
1 mcg,387.61879999999996,0.34093450857068325,0.4673290383037212
1 mcg,387.855,0.3442886497235916,0.46307729458741276
1 mcg,388.0912,0.34904765968023826,0.4571152695365912
1 mcg,388.3274,0.3487004465639481,0.4575474964435408
1 mcg,388.5636,0.3432412371877655,0.4644005413150302
1 mcg,388.7998,0.3394337996567958,0.4692449143059981
1 mcg,389.036,0.3375794290123428,0.4716240257271338
1 mcg,389.2722,0.3406172647353161,0.46773334289939394
1 mcg,389.5084,0.34744025560571884,0.4591198641428559
1 mcg,389.7446,0.3449563391860651,0.46223586971077296
1 mcg,389.9808,0.33801318230311966,0.4710663621783617
1 mcg,390.217,0.3348306056286601,0.475174851610247
1 mcg,390.45320000000004,0.3368030286196822,0.4726240118668598
1 mcg,390.6894,0.33844426353745555,0.47051284258058546
1 mcg,390.92560000000003,0.33628345070852234,0.4732945048019755
1 mcg,391.16179999999997,0.3383583240738118,0.4706231348156389
1 mcg,391.398,0.3411765470814702,0.46702083044465326
1 mcg,391.63419999999996,0.34214374224258076,0.46579139877557424
1 mcg,391.8704,0.34089508366742965,0.4673792620492042
1 mcg,392.1066,0.3375175869307357,0.4717035925871027
1 mcg,392.3428,0.33451541677413427,0.4755838621543125
1 mcg,392.579,0.3335010113202333,0.47690284477552575
1 mcg,392.8152,0.33303389816966994,0.47751155917003657
1 mcg,393.0514,0.3374023727001651,0.47185186766578596
1 mcg,393.2876,0.3433702780434799,0.4642372998575438
1 mcg,393.5238,0.34742989725102885,0.45913281210519186
1 mcg,393.76,0.3442620661521924,0.46311082907690637
1 mcg,393.9962,0.34085611667757715,0.46742890816256405
1 mcg,394.2324,0.34170393715106234,0.46635001718271213
1 mcg,394.46860000000004,0.3418622706910071,0.4661488270620212
