Concentration,Wavelength,Transmittance,Absorbance
1 mcg,182.1248,0.16312480165955254,0.7874800033679993
1 mcg,182.36100000000002,0.16331455576388973,0.7869751061009272
1 mcg,182.59720000000002,0.16405560838896813,0.78500891827551
1 mcg,182.8334,0.16418518599874507,0.7846660307076647
1 mcg,183.0696,0.16506396193997083,0.7823477349687248
1 mcg,183.3058,0.1657808033863987,0.7804657600706112
1 mcg,183.542,0.16555097672035032,0.7810682526466927
1 mcg,183.7782,0.16431562338996616,0.7843211411938537
1 mcg,184.0144,0.16376987279701685,0.7857659882985206
1 mcg,184.25060000000002,0.1625768156312796,0.788941387163257
1 mcg,184.48680000000002,0.16199635679994276,0.790494752367695
1 mcg,184.723,0.16213360541399527,0.7901269596533949
1 mcg,184.9592,0.16108088295494857,0.7929559984996013
1 mcg,185.1954,0.16092842004161204,0.7933672524993376
1 mcg,185.4316,0.16185908827825554,0.7908629102355574
1 mcg,185.6678,0.16214899226740145,0.7900857460601836
1 mcg,185.904,0.1613670260857301,0.7921852047566775
1 mcg,186.1402,0.16190841033004913,0.7907305912400568
1 mcg,186.37640000000002,0.1616946440234396,0.7913043654342876
1 mcg,186.61260000000001,0.1610579368666368,0.7930178684695567
1 mcg,186.8488,0.16098136307445912,0.7932243996353741
1 mcg,187.085,0.16078592742679268,0.7937519649677847
1 mcg,187.3212,0.16034741614916007,0.7949380339344994
1 mcg,187.5574,0.1603218660590253,0.7950072408326765
1 mcg,187.7936,0.1600499330364518,0.7957445032249758
1 mcg,188.0298,0.1591958918579345,0.7980681436740417
1 mcg,188.26600000000002,0.15884331845736652,0.7990310484989354
1 mcg,188.50220000000002,0.15950531391006204,0.7972248438709085
1 mcg,188.7384,0.15980334667932575,0.7964141297207483
1 mcg,188.9746,0.15977416801175068,0.7964934352649109
1 mcg,189.2108,0.15985179858824386,0.7962824728576977
1 mcg,189.447,0.15990863720337747,0.7961280779144307
1 mcg,189.6832,0.15924870912286773,0.7979240793887662
1 mcg,189.9194,0.15888267834950984,0.7989234477094161
1 mcg,190.1556,0.15868477267469297,0.7994647459650138
1 mcg,190.39180000000002,0.1583696122819658,0.800328146511108
1 mcg,190.62800000000001,0.15819210548834597,0.8008151935842162
1 mcg,190.8642,0.1589153591143603,0.7988341263529835
1 mcg,191.1004,0.1598119632083064,0.7963907133769463
1 mcg,191.3366,0.15984637013018058,0.7962972214525477
1 mcg,191.5728,0.16007156827093563,0.7956858001205173
1 mcg,191.809,0.16007299294158825,0.7956819348254105
1 mcg,192.0452,0.15902221442095568,0.7985422031855028
1 mcg,192.28140000000002,0.1581461505846312,0.8009413747264396
1 mcg,192.51760000000002,0.1581223162427177,0.8010068325527999
1 mcg,192.7538,0.15854972364261335,0.7998345106258086
1 mcg,192.99,0.15894888585027658,0.7987425119189014
1 mcg,193.2262,0.1591559273895786,0.7981771824614522
1 mcg,193.4624,0.1591427164409073,0.7982132331467011
1 mcg,193.6986,0.15909773234988908,0.7983360103908069
1 mcg,193.9348,0.15853926073059912,0.7998631712553353
1 mcg,194.171,0.15793079470157165,0.8015331792697675
1 mcg,194.40720000000002,0.15744448212650344,0.8028725552497509
1 mcg,194.6434,0.15740822970540772,0.8029725653555269
1 mcg,194.8796,0.15720011109018042,0.8035471513892617
1 mcg,195.1158,0.15643150701130956,0.8056757708217243
1 mcg,195.352,0.15630441255834646,0.8060287614389647
1 mcg,195.5882,0.1573025496547942,0.8032642380122254
1 mcg,195.8244,0.15764890063562417,0.8023090534574452
