Concentration,Wavelength,Transmittance,Absorbance
1 mcg,182.1248,0.8563385722821717,0.06735449349775575
1 mcg,182.36100000000002,0.8521233707550997,0.06949752335610587
1 mcg,182.59720000000002,0.8502275763660838,0.07046481318987999
1 mcg,182.8334,0.8516416432194525,0.06974311076325591
1 mcg,183.0696,0.8511582952717556,0.0699896639224578
1 mcg,183.3058,0.8502986271979163,0.07042852208874582
1 mcg,183.542,0.853481239739496,0.06880602061504681
1 mcg,183.7782,0.8585940868533062,0.06621210683703992
1 mcg,184.0144,0.8617464152257459,0.06462051453552459
1 mcg,184.25060000000002,0.8622267400127057,0.06437851261193103
1 mcg,184.48680000000002,0.8628172480849088,0.06408118175073137
1 mcg,184.723,0.863398702996808,0.06378860807927907
1 mcg,184.9592,0.8612781709231638,0.06485655982870828
1 mcg,185.1954,0.8572291107313508,0.06690308912890097
1 mcg,185.4316,0.8557838129973305,0.0676359323793382
1 mcg,185.6678,0.8558290254672563,0.06761298849183599
1 mcg,185.904,0.8559858927045227,0.06753339276568156
1 mcg,186.1402,0.8590572292250827,0.065977903096863
1 mcg,186.37640000000002,0.8640856079910926,0.06344322831237212
1 mcg,186.61260000000001,0.8680271708735374,0.06146668038138791
1 mcg,186.8488,0.8706929934000394,0.06013495036068464
1 mcg,187.085,0.8710863622836316,0.05993878551598878
1 mcg,187.3212,0.8668238206830265,0.06206916259328195
1 mcg,187.5574,0.8621598702334914,0.06441219551802746
1 mcg,187.7936,0.8623812636556196,0.06430068766217092
1 mcg,188.0298,0.8616030401691475,0.06469277729787033
1 mcg,188.26600000000002,0.8612576883746259,0.06486688815686206
1 mcg,188.50220000000002,0.8668129264875375,0.06207462081743814
1 mcg,188.7384,0.8717007134464574,0.05963259856437174
1 mcg,188.9746,0.8684864275562856,0.06123696418691033
1 mcg,189.2108,0.8702651336138894,0.06034841574507386
1 mcg,189.447,0.8753788552346096,0.057803947974032925
1 mcg,189.6832,0.8719135695422764,0.05952656338306498
1 mcg,189.9194,0.8659462853786271,0.06250904642048392
1 mcg,190.1556,0.8678889210182723,0.06153585555600948
1 mcg,190.39180000000002,0.869914311632678,0.060523524183517696
1 mcg,190.62800000000001,0.8713715542674931,0.05979662161658711
1 mcg,190.8642,0.8764999611131505,0.057248098838120674
1 mcg,191.1004,0.8820967600641243,0.0544837730801432
1 mcg,191.3366,0.8836239277765483,0.053732532320047335
1 mcg,191.5728,0.8824281891285473,0.05432062682870617
1 mcg,191.809,0.8797393173879184,0.05564599806781722
1 mcg,192.0452,0.8778330967803327,0.05658804905712158
1 mcg,192.28140000000002,0.8787075784998157,0.056155627967171856
1 mcg,192.51760000000002,0.8799143454426737,0.055559601840860985
1 mcg,192.7538,0.8803361070151616,0.05535148517557643
1 mcg,192.99,0.8788946186952717,0.05606319462222392
1 mcg,193.2262,0.8759110712708751,0.05753998426208794
1 mcg,193.4624,0.8717505548648328,0.059607767525649884
1 mcg,193.6986,0.8690071979445437,0.06097662629627026
1 mcg,193.9348,0.867667545295705,0.06164664682915534
1 mcg,194.171,0.8694243664846415,0.06076819243879459
1 mcg,194.40720000000002,0.8748097592217492,0.0580863806955437
1 mcg,194.6434,0.8771516470458951,0.05692531680292446
1 mcg,194.8796,0.8759907647120344,0.05750047243436749
1 mcg,195.1158,0.8757164180763439,0.05763650799117056
1 mcg,195.352,0.8769077062186952,0.057046113349118494
1 mcg,195.5882,0.8760331192367188,0.057479474619753015
1 mcg,195.8244,0.8766338135181548,0.057181781752867984
1 mcg,196.0606,0.8780516766194688,0.056479923489976706
1 mcg,196.29680000000002,0.8812554873826144,0.054898165736635814
1 mcg,196.53300000000002,0.8815604878901087,0.05474788341498427
