Concentration,Wavelength,Transmittance,Absorbance
1 mcg,182.1248,0.860240120619417,0.06538030630960022
1 mcg,182.36100000000002,0.8570592988725492,0.06698912873935078
1 mcg,182.59720000000002,0.854568685492151,0.06825302535819844
1 mcg,182.8334,0.8527286433639532,0.06918914871368567
1 mcg,183.0696,0.8523155428592051,0.0693995916742184
1 mcg,183.3058,0.8537051343187909,0.06869210665421524
1 mcg,183.542,0.8560377295609338,0.06750709352493202
1 mcg,183.7782,0.8582034040578921,0.06640976717385888
1 mcg,184.0144,0.8614021270589429,0.06479406016940076
1 mcg,184.25060000000002,0.8612798949895093,0.06485569047920407
1 mcg,184.48680000000002,0.8585770720301449,0.06622071336851061
1 mcg,184.723,0.8571944847278905,0.06692063191386383
1 mcg,184.9592,0.8572608064972245,0.06688703152939934
1 mcg,185.1954,0.8547695134765785,0.0681509759382504
1 mcg,185.4316,0.8535953946747279,0.06874793668661888
1 mcg,185.6678,0.8554225647247988,0.06781929791108321
1 mcg,185.904,0.857875099542639,0.06657593770836377
1 mcg,186.1402,0.8598469832314457,0.06557882811796278
1 mcg,186.37640000000002,0.8629409288779943,0.0640189321415295
1 mcg,186.61260000000001,0.8658469727723339,0.06255885712016279
1 mcg,186.8488,0.866053365540749,0.062455346266947036
1 mcg,187.085,0.8643480485166253,0.06331134419577511
1 mcg,187.3212,0.8611144318129313,0.06493913216691614
1 mcg,187.5574,0.8585734344600624,0.066222553366354
1 mcg,187.7936,0.8589794920054767,0.06601720475452746
1 mcg,188.0298,0.8608863029891156,0.0650542019086689
1 mcg,188.26600000000002,0.8644292847799679,0.06327052868964067
1 mcg,188.50220000000002,0.871093561086498,0.05993519644884445
1 mcg,188.7384,0.874276236316204,0.05835132600026237
1 mcg,188.9746,0.8699629648854228,0.0604992352989114
1 mcg,189.2108,0.867002260265938,0.06197977032108503
1 mcg,189.447,0.8664454436196991,0.062258777763500014
1 mcg,189.6832,0.8620938794941337,0.06444543820516473
1 mcg,189.9194,0.8587463315030919,0.06613510520036067
1 mcg,190.1556,0.8628816405811792,0.0640487713389233
1 mcg,190.39180000000002,0.8682517490108446,0.06135433317125302
1 mcg,190.62800000000001,0.8712402258353249,0.05986208107711283
1 mcg,190.8642,0.8748492349766899,0.05806678361679926
1 mcg,191.1004,0.8797977080613009,0.055617173727224065
1 mcg,191.3366,0.8817437838260351,0.05465759336681532
1 mcg,191.5728,0.879254197814191,0.05588554955843269
1 mcg,191.809,0.8752780460439797,0.05785396448524318
1 mcg,192.0452,0.8731093373528063,0.05893136725012939
1 mcg,192.28140000000002,0.8726915220470686,0.05913924306165049
1 mcg,192.51760000000002,0.8731384791079764,0.05891687205266059
1 mcg,192.7538,0.874900420202612,0.05804137488348302
1 mcg,192.99,0.8774767283198672,0.05676439269266424
1 mcg,193.2262,0.8795498372674104,0.05573954740945606
1 mcg,193.4624,0.8789118247360046,0.0560546925615177
1 mcg,193.6986,0.875389587677859,0.057798623408240685
1 mcg,193.9348,0.8723056806453928,0.05933129929430222
1 mcg,194.171,0.8710335504317503,0.05996511653452628
1 mcg,194.40720000000002,0.8709335105474196,0.060014998958546874
1 mcg,194.6434,0.8715572008208785,0.05970410461175929
1 mcg,194.8796,0.8747088599253483,0.05813647448388506
1 mcg,195.1158,0.8791342961293214,0.05594477724374779
1 mcg,195.352,0.8819082026625336,0.0545766179882643
1 mcg,195.5882,0.8816005248361547,0.05472815994716989
1 mcg,195.8244,0.8805235896782153,0.05525900456911208
1 mcg,196.0606,0.8788723197814174,0.05607421348374406
1 mcg,196.29680000000002,0.8784020720919352,0.05630664842104153
1 mcg,196.53300000000002,0.8771451271996673,0.05692854491493056
1 mcg,196.7692,0.8783541589358153,0.05633033801320134
1 mcg,197.0054,0.8811218820383035,0.054964013227536364
1 mcg,197.2416,0.882301027952312,0.0543832147846513
1 mcg,197.4778,0.8807002341744663,0.055171888179703026
1 mcg,197.714,0.8800910448553254,0.055472398039610085
1 mcg,197.9502,0.8774021320856942,0.05680131459493634
1 mcg,198.1864,0.8764391313602127,0.057278240245954515
1 mcg,198.42260000000002,0.8761101657464683,0.057441280398604036
1 mcg,198.6588,0.8758969884755907,0.05754696685387118
1 mcg,198.895,0.8749512075554324,0.058016165126568014
1 mcg,199.1312,0.8746359856991182,0.05817265817222094
1 mcg,199.3674,0.8732946452705839,0.05883920277129565
1 mcg,199.6036,0.8744254972524421,0.05827718734083865
1 mcg,199.8398,0.8747089214003261,0.05813644396145193
1 mcg,200.07600000000002,0.8744480244615602,0.05826599906165009
1 mcg,200.31220000000002,0.8730825735990193,0.058944680048697184
1 mcg,200.54840000000002,0.8686001566054244,0.06118009667207943
1 mcg,200.7846,0.8638785592323925,0.06354730469951524
1 mcg,201.0208,0.8643160697562129,0.06332741232496225
1 mcg,201.257,0.8676190217106265,0.06167093506563214
1 mcg,201.4932,0.8717422543669981,0.05961190274248308
1 mcg,201.7294,0.8772625182801592,0.056870425812805415
1 mcg,201.9656,0.8771880465779727,0.05690729507545073
1 mcg,202.2018,0.8732913407447638,0.05884084613422248
1 mcg,202.43800000000002,0.8692740598902702,0.06084328001430686
1 mcg,202.6742,0.8677416474676334,0.06160955798057796
1 mcg,202.9104,0.865537552683902,0.06271408484277537
1 mcg,203.1466,0.8657958358635454,0.0625845073029882
1 mcg,203.3828,0.8666321269156294,0.0621652152744597
1 mcg,203.619,0.8675079330130768,0.06172654506959437
1 mcg,203.8552,0.8651868451021698,0.06289009249574132
1 mcg,204.09140000000002,0.8617954420538911,0.06459580717974497
1 mcg,204.32760000000002,0.8600882059397439,0.06545700760696894
1 mcg,204.56380000000001,0.8588558143522822,0.06607973987906605
1 mcg,204.8,0.8559101404133869,0.06757182827977454
1 mcg,205.0362,0.8566967099303682,0.06717290096635295
1 mcg,205.2724,0.8605085243959407,0.06524482309379266
1 mcg,205.5086,0.8617947253385576,0.06459616836249053
1 mcg,205.7448,0.8598825761022963,0.0655608511199821
1 mcg,205.981,0.8564745397765945,0.06728554267964917
1 mcg,206.2172,0.8508447187555928,0.07014969249002492
1 mcg,206.45340000000002,0.8465132977326224,0.07236621524371788
1 mcg,206.6896,0.845500397629336,0.07288618382237678
1 mcg,206.9258,0.8457028305606682,0.07278221582611531
1 mcg,207.162,0.848451778231629,0.07137283577769259
1 mcg,207.3982,0.8519348713200399,0.06959360488994192
1 mcg,207.6344,0.8539702915850522,0.06855723753710728
1 mcg,207.8706,0.8519858866922199,0.06956759934416468
1 mcg,208.10680000000002,0.8493351815030437,0.07092088602216572
1 mcg,208.34300000000002,0.8456212977320401,0.07282408746621345
1 mcg,208.57920000000001,0.8419145653631821,0.07473197699661326
1 mcg,208.8154,0.8408952141941282,0.07525811922298418
1 mcg,209.0516,0.8448255552707278,0.07323295756452607
1 mcg,209.2878,0.847639743874224,0.07178868841640462
1 mcg,209.524,0.8487363634358367,0.07122719042236311
1 mcg,209.7602,0.8489098151902841,0.07113844502765898
1 mcg,209.9964,0.846073872241973,0.07259171626779473
1 mcg,210.2326,0.84093101250036,0.07523963097893908
1 mcg,210.46880000000002,0.8364960051418397,0.07753612875896596
1 mcg,210.705,0.8337063917253864,0.07898686891147681
1 mcg,210.9412,0.8338489929983375,0.07891259138321798
1 mcg,211.1774,0.8367782751260815,0.07738960371023776
1 mcg,211.4136,0.838824573085972,0.07632885550840601
1 mcg,211.6498,0.8399677143924376,0.07573740647463659
1 mcg,211.886,0.8408579959931057,0.07527734161451599
1 mcg,212.12220000000002,0.8396957974457941,0.07587802038886708
1 mcg,212.35840000000002,0.8350485863562847,0.07828825484866662
1 mcg,212.5946,0.8320613699302359,0.07984464048916777
1 mcg,212.8308,0.8311497648932074,0.08032071363299477
1 mcg,213.067,0.829241229286678,0.08131911322728251
1 mcg,213.3032,0.83128190624285,0.08025167228820047
1 mcg,213.5394,0.8330452672171473,0.07933139863106267
1 mcg,213.7756,0.832952561267261,0.079379732046423
1 mcg,214.0118,0.8331356095706655,0.07928430268103692
1 mcg,214.248,0.8355784437497149,0.07801277247500528
1 mcg,214.48420000000002,0.8309309148206103,0.0804350827855905
1 mcg,214.7204,0.8264771252336252,0.08276916208320437
1 mcg,214.9566,0.8271560984401989,0.08241252394927671
1 mcg,215.1928,0.8285035179773788,0.0817056431469748
1 mcg,215.429,0.828586031628735,0.08166239234800157
1 mcg,215.6652,0.8309174365853929,0.08044212737925142
1 mcg,215.9014,0.8345672234452224,0.07853867564683138
1 mcg,216.13760000000002,0.8353421860704071,0.07813558549829708
1 mcg,216.37380000000002,0.834864469901055,0.07838402122471622
1 mcg,216.61,0.8334821424996457,0.0791037005713621
1 mcg,216.8462,0.8319765757252962,0.07988890108482395
1 mcg,217.0824,0.8323757357734809,0.07968058820725729
1 mcg,217.3186,0.831851041727752,0.0799544351845783
1 mcg,217.5548,0.8323320394218021,0.07970338750536897
1 mcg,217.791,0.8350614267274652,0.07828157684266017
1 mcg,218.0272,0.8382188575046781,0.07664257302006872
1 mcg,218.2634,0.8378303621225189,0.07684390529809788
1 mcg,218.49960000000002,0.8365321083257942,0.07751738500511418
1 mcg,218.7358,0.8343470020477497,0.07865329021097563
1 mcg,218.972,0.8322413252355976,0.07975072296245901
1 mcg,219.2082,0.8320665653782313,0.07984192873324139
1 mcg,219.4444,0.8330680137595394,0.07931954025629707
1 mcg,219.6806,0.8342680500550077,0.07869438826383748
1 mcg,219.91680000000002,0.8366593427614937,0.07745133492650187
1 mcg,220.15300000000002,0.8381276917267377,0.07668981002408211
1 mcg,220.38920000000002,0.8368572107561993,0.07734863743185715
1 mcg,220.6254,0.8333729536140577,0.07916059829531472
1 mcg,220.8616,0.8314382071719157,0.08017002218887001
1 mcg,221.0978,0.8299972050928754,0.08092337005137827
