Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.2102,0.4986904295143654,0.30216896634948
1 mcg,375.4414,0.48863801810188545,0.31101274610279933
1 mcg,375.6726,0.4950507340999084,0.30535029114609097
1 mcg,375.9038,0.5004497189039214,0.30063955035154755
1 mcg,376.135,0.4957307913973459,0.3047541048619587
1 mcg,376.3662,0.49110155351638507,0.3088286920493644
1 mcg,376.5974,0.4943125427071262,0.30599836959307036
1 mcg,376.8286,0.4810709131493973,0.31779090092448903
1 mcg,377.0598,0.46961565186737686,0.3282574368746788
1 mcg,377.291,0.4686809986588213,0.3291226533603125
1 mcg,377.5222,0.47944882304573155,0.3192577431440067
1 mcg,377.7534,0.4905529286853936,0.30931412713036605
1 mcg,377.9846,0.5072422909705177,0.294784544618729
1 mcg,378.2158,0.524888730311717,0.27993275170504706
1 mcg,378.447,0.5362591957445844,0.27062524748435085
1 mcg,378.6782,0.5317921333474757,0.2742580913539281
1 mcg,378.9094,0.5263121550038695,0.27875659998053565
1 mcg,379.1406,0.521880190539245,0.2824291877254397
1 mcg,379.3718,0.5264340376089692,0.2786560383381517
1 mcg,379.603,0.5335908190195693,0.2727916515117505
1 mcg,379.8342,0.5396737608915929,0.26786869695611876
1 mcg,380.0654,0.5404453793764864,0.26724819187545223
1 mcg,380.2966,0.5376723142348027,0.2694823255920841
1 mcg,380.5278,0.5234949701394578,0.2810874867667482
1 mcg,380.75899999999996,0.5131974036515717,0.2897155494573737
1 mcg,380.99019999999996,0.5155386515420615,0.2877387687467817
1 mcg,381.22139999999996,0.5330217297150596,0.27325508571455365
1 mcg,381.45259999999996,0.5480900407154641,0.26114808937391243
1 mcg,381.68379999999996,0.5631160084732455,0.24940212619695842
1 mcg,381.91499999999996,0.5688795047932722,0.2449797124187713
1 mcg,382.14619999999996,0.5551821246387896,0.2555645254345252
1 mcg,382.37739999999997,0.530281443057429,0.2754935705408216
1 mcg,382.60859999999997,0.517205911242042,0.2863365201313007
1 mcg,382.83979999999997,0.5091971196518232,0.29311406166185655
1 mcg,383.07099999999997,0.5078218387275959,0.2942886263552741
1 mcg,383.30219999999997,0.5193006808650638,0.28458110799276143
1 mcg,383.5334,0.5365787657069477,0.2703665178712535
1 mcg,383.7646,0.5458101064407316,0.26295842701935546
1 mcg,383.9958,0.552300357683357,0.2578246755163955
1 mcg,384.227,0.5515829999837801,0.258389127425501
1 mcg,384.4582,0.5482378314391836,0.26103099904389915
1 mcg,384.6894,0.5417810301597562,0.26617620535890363
1 mcg,384.9206,0.5388569411632377,0.2685265185051604
1 mcg,385.1518,0.5395732246094758,0.2679496095799526
1 mcg,385.383,0.5415931001611506,0.26632687715346265
1 mcg,385.6142,0.5391428342752793,0.268296162605811
1 mcg,385.8454,0.5293239218575239,0.2762784783949842
1 mcg,386.0766,0.5216178468293031,0.28264755790709817
1 mcg,386.3078,0.5172713513647745,0.28628157395652615
1 mcg,386.539,0.5163495044888217,0.28705623541051695
1 mcg,386.7702,0.5207370231138982,0.28338154396350657
1 mcg,387.0014,0.537786937822119,0.2693897504590687
1 mcg,387.2326,0.5485187459175896,0.2608085255925516
1 mcg,387.4638,0.552596284224943,0.2575920396982422
1 mcg,387.695,0.558004139666723,0.2533625791488981
1 mcg,387.9262,0.5581181730651115,0.2532738360509775
1 mcg,388.1574,0.5447946925563465,0.2637671320143598
1 mcg,388.3886,0.5290525122938777,0.27650121895232777
1 mcg,388.6198,0.5177057538255729,0.28591700820568533
1 mcg,388.851,0.5032792745911066,0.29819095379925936
1 mcg,389.0822,0.4894870694753536,0.31025877624015763
1 mcg,389.3134,0.48398441966380545,0.31516861885754316
1 mcg,389.5446,0.4882454513745216,0.3113617940250489
1 mcg,389.7758,0.4935836311360965,0.3066392513758367
1 mcg,390.007,0.4997142594946973,0.30127825765866606
1 mcg,390.2382,0.5089916490976206,0.2932893429688871
1 mcg,390.4694,0.5230908033381784,0.2814229154047785
1 mcg,390.7006,0.5330187783826181,0.27325749040252534
1 mcg,390.9318,0.5372900305236251,0.2697912177390406
1 mcg,391.163,0.542980585531939,0.2652156984904967
1 mcg,391.3942,0.5492586532086308,0.2602230923297894
1 mcg,391.6254,0.5479641315204183,0.2612478685093875
1 mcg,391.85659999999996,0.5484297339041344,0.2608790073463671
1 mcg,392.08779999999996,0.5543040139288594,0.25625197650253656
1 mcg,392.31899999999996,0.55402846400715,0.2564679221963337
1 mcg,392.55019999999996,0.5483437004383711,0.2609471414902964
1 mcg,392.78139999999996,0.5439922286797104,0.2644073044665741
1 mcg,393.01259999999996,0.5394247053262401,0.2680691670022299
1 mcg,393.24379999999996,0.5275210148319468,0.27776023471508166
1 mcg,393.47499999999997,0.5170332115314914,0.286481559185353
1 mcg,393.70619999999997,0.5113229987620052,0.2913046727324969
1 mcg,393.93739999999997,0.5093264763299626,0.29300374729695233
1 mcg,394.16859999999997,0.5132717322178415,0.28965265329204903
1 mcg,394.39979999999997,0.5168828172417702,0.28660790486291027
1 mcg,394.631,0.5197503724926625,0.2842051907479123
1 mcg,394.8622,0.5273422211530776,0.2779074559021072
1 mcg,395.0934,0.5371002356459723,0.2699446570832174
1 mcg,395.3246,0.5418341354456477,0.26613363797267076
1 mcg,395.5558,0.5484115926094374,0.26089337344288765
1 mcg,395.787,0.5600907309518934,0.25174161449382726
1 mcg,396.0182,0.568982277790284,0.24490126045510502
1 mcg,396.2494,0.5750710083440527,0.2402785263921434
1 mcg,396.4806,0.582191035069527,0.23493448637541406
1 mcg,396.7118,0.5906173235769151,0.2286938187601675
1 mcg,396.943,0.5944495476509638,0.22588499908832754
1 mcg,397.1742,0.5908414756194664,0.22852902588474666
1 mcg,397.4054,0.5868286311685749,0.23148870523232767
1 mcg,397.6366,0.5874136607362914,0.2310559578584961
1 mcg,397.8678,0.5927206035596785,0.22714997598900075
1 mcg,398.099,0.601987354191683,0.22041263176951015
1 mcg,398.3302,0.6180143758122579,0.20900142254334936
1 mcg,398.5614,0.6368727103572037,0.19594735999359167
1 mcg,398.7926,0.6471874053317805,0.18896994295346578
1 mcg,399.0238,0.6520563881239031,0.18571484599790947
1 mcg,399.255,0.6558456920255206,0.18319832980863712
1 mcg,399.4862,0.6607553355351892,0.17995932129631245
1 mcg,399.7174,0.6581696912889674,0.18166212083992278
1 mcg,399.9486,0.6591020119356247,0.18104736265628282
1 mcg,400.1798,0.6613442126507694,0.17957244256380092
1 mcg,400.411,0.6698982662171766,0.17399114621738954
