Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.2102,0.47981909313143234,0.31892247442437577
1 mcg,375.4414,0.4902167337802915,0.30961186798316015
1 mcg,375.6726,0.5202837173313476,0.28375976546240805
1 mcg,375.9038,0.4199204613393154,0.3768329631085363
1 mcg,376.135,0.3698257868552898,0.43200281005486285
1 mcg,376.3662,0.41915756573092366,0.37762269048453745
1 mcg,376.5974,0.462510928611639,0.3348780009148834
1 mcg,376.8286,0.43182903723350474,0.36468815800390947
1 mcg,377.0598,0.3947293984515462,0.4037005272406073
1 mcg,377.291,0.4107246364528577,0.38644924612460274
1 mcg,377.5222,0.45858315311328235,0.3385819039112037
1 mcg,377.7534,0.43403531518048666,0.3624749327823222
1 mcg,377.9846,0.4623260847650861,0.33505160266844547
1 mcg,378.2158,0.5017650117994152,0.29949962542917097
1 mcg,378.447,0.4963882803501086,0.3041784806772595
1 mcg,378.6782,0.49941991247275686,0.30153414579597176
1 mcg,378.9094,0.505025219984903,0.2966869335114591
1 mcg,379.1406,0.4849312248370651,0.314319850658995
1 mcg,379.3718,0.5071289572841208,0.29488159034021494
1 mcg,379.603,0.5261160284149177,0.2789184669804209
1 mcg,379.8342,0.5276867627306726,0.27762380016650023
1 mcg,380.0654,0.5459575017523014,0.26284116219050047
1 mcg,380.2966,0.5598816820176452,0.2519037413437296
1 mcg,380.5278,0.5421223133352708,0.2659027171264334
1 mcg,380.75899999999996,0.5229163659136232,0.2815677656770346
1 mcg,380.99019999999996,0.5519507952341983,0.25809963660186985
1 mcg,381.22139999999996,0.5380472294782205,0.26917960053899365
1 mcg,381.45259999999996,0.5231984625240844,0.2813335409037572
1 mcg,381.68379999999996,0.5194435994761032,0.28446160068821674
1 mcg,381.91499999999996,0.5300113041606866,0.27571486760250363
1 mcg,382.14619999999996,0.5466350329695194,0.2623025385090808
1 mcg,382.37739999999997,0.5797609941931552,0.23675100694672754
1 mcg,382.60859999999997,0.5990973918185699,0.22250257111447316
1 mcg,382.83979999999997,0.60654697170581,0.21713556122323532
1 mcg,383.07099999999997,0.639322937069483,0.19427971404883326
1 mcg,383.30219999999997,0.6352702306109979,0.19704149565528423
1 mcg,383.5334,0.6413597556881907,0.1928982948455111
1 mcg,383.7646,0.6514361962345391,0.18612811407296986
1 mcg,383.9958,0.619483451947876,0.2079702902947154
1 mcg,384.227,0.600358962699324,0.22158900144265656
1 mcg,384.4582,0.5737901005115992,0.24124694882315628
1 mcg,384.6894,0.5462193203998801,0.2626329424338189
1 mcg,384.9206,0.46785457464040636,0.32988911967360857
1 mcg,385.1518,0.46850779436538414,0.32928317954307956
1 mcg,385.383,0.4799636480016253,0.31879165443722407
1 mcg,385.6142,0.4681784439919351,0.3295885860919087
1 mcg,385.8454,0.4435053024723663,0.3531011834518198
1 mcg,386.0766,0.48289215130337215,0.3161498533557867
1 mcg,386.3078,0.5104202701460879,0.2920720869557978
1 mcg,386.539,0.4819129673041933,0.31703138755459614
1 mcg,386.7702,0.482585891834759,0.3164253786308684
1 mcg,387.0014,0.5161653558381224,0.2872111479386935
1 mcg,387.2326,0.5393634875161989,0.26811845667243583
1 mcg,387.4638,0.513456936628572,0.28949597459607546
1 mcg,387.695,0.4809198263471859,0.31792731838119487
1 mcg,387.9262,0.4805051903657537,0.31830191676748304
1 mcg,388.1574,0.46272182058702827,0.3346800199790493
1 mcg,388.3886,0.44120310047130773,0.3553614442988256
1 mcg,388.6198,0.4390557228126357,0.35748035772075143
1 mcg,388.851,0.43217642572978354,0.36433892661219386
1 mcg,389.0822,0.4263220128404721,0.3702622422805469
