Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.2102,0.8054004305690229,0.0939881425536422
1 mcg,375.4414,0.8033392291498798,0.09510102478645828
1 mcg,375.6726,0.8022082319961182,0.09571288574486585
1 mcg,375.9038,0.7297243856957317,0.1368411403909731
1 mcg,376.135,0.7159962018936038,0.14508928146452507
1 mcg,376.3662,0.7980233535071128,0.0979843991870304
1 mcg,376.5974,0.8447999548620231,0.07324611801477861
1 mcg,376.8286,0.803546912475046,0.09498876328856024
1 mcg,377.0598,0.8160303058012222,0.08829371208212129
1 mcg,377.291,0.8404708422024919,0.07547734860192208
1 mcg,377.5222,0.8131065950062244,0.08985251641280127
1 mcg,377.7534,0.7559769407244469,0.12149145141527803
1 mcg,377.9846,0.7322390927725426,0.13534708872656523
1 mcg,378.2158,0.7577334700407071,0.1204835289932137
1 mcg,378.447,0.7953166441584066,0.09945992866190054
1 mcg,378.6782,0.805884709153839,0.09372708444761553
1 mcg,378.9094,0.7941971962619611,0.10007165045031303
1 mcg,379.1406,0.7687328586719608,0.1142245550762697
1 mcg,379.3718,0.7996773235161682,0.09708521911519898
1 mcg,379.603,0.8484452887456642,0.07137615754422724
1 mcg,379.8342,0.8741258500894911,0.05842603639907116
1 mcg,380.0654,0.8510842352816244,0.0700274538900879
1 mcg,380.2966,0.804555963544656,0.09444374172863483
1 mcg,380.5278,0.8040295762002204,0.09472797545017922
1 mcg,380.75899999999996,0.870108224062333,0.06042672647338156
1 mcg,380.99019999999996,0.8616647684666232,0.0646616640154796
1 mcg,381.22139999999996,0.8356958163376743,0.0779517719934223
1 mcg,381.45259999999996,0.8585164786973165,0.06625136440681574
1 mcg,381.68379999999996,0.8592910928904005,0.06585968992822294
1 mcg,381.91499999999996,0.8756680790620603,0.05766048144440557
1 mcg,382.14619999999996,0.8498403941226486,0.07066263012148623
1 mcg,382.37739999999997,0.8058418025721568,0.09375020759106545
1 mcg,382.60859999999997,0.8080623233600306,0.09255514213687074
1 mcg,382.83979999999997,0.844389087979487,0.07345738770558952
1 mcg,383.07099999999997,0.8886420984440233,0.05127311638340157
1 mcg,383.30219999999997,0.8647411176067441,0.06311389024935006
1 mcg,383.5334,0.863840531915202,0.06356642245321108
1 mcg,383.7646,0.871388962388403,0.05978794543787011
1 mcg,383.9958,0.9112452977509258,0.040364699734154956
1 mcg,384.227,0.8819834266384128,0.05453957562454049
1 mcg,384.4582,0.8003311476387833,0.09673028071392004
1 mcg,384.6894,0.7744546232674901,0.11100402327837806
1 mcg,384.9206,0.8168261719928724,0.08787035543389364
1 mcg,385.1518,0.8370157059485188,0.0772663927322132
1 mcg,385.383,0.8602621308999452,0.06536919450388115
1 mcg,385.6142,0.9345917123190592,0.029378074488742762
1 mcg,385.8454,0.9243369484068293,0.034169686616664634
1 mcg,386.0766,0.881084143892241,0.054982614308628545
1 mcg,386.3078,0.8665602280359597,0.062201247382060794
1 mcg,386.539,0.9192043137131065,0.03658794622425035
1 mcg,386.7702,0.8476135571297713,0.07180210559554713
1 mcg,387.0014,0.8850277797419128,0.05304309721259891
1 mcg,387.2326,0.9504974637195509,0.022049037656058514
1 mcg,387.4638,0.9444736942053857,0.02481013368766431
1 mcg,387.695,0.9056136931532222,0.04305701944210586
1 mcg,387.9262,0.8990132954918586,0.046233885445802154
1 mcg,388.1574,0.9158016626525158,0.03819857233905145
1 mcg,388.3886,0.9148720119657174,0.03863965826679223
1 mcg,388.6198,0.8047788527735512,0.09432344412266462
1 mcg,388.851,0.8166883887504508,0.08794361894003237
1 mcg,389.0822,0.8274091701342173,0.08227967014993412
1 mcg,389.3134,0.9213307736695366,0.0355844225834278
1 mcg,389.5446,1.0,-0.0
1 mcg,389.7758,0.9506684376582362,0.0219709244958481
1 mcg,390.007,0.8775409105130823,0.05673262780125188
1 mcg,390.2382,0.8920192051480758,0.049625795175395566
1 mcg,390.4694,0.9159801954466489,0.038113916180641055
1 mcg,390.7006,0.9287141418795153,0.03211794123620752
1 mcg,390.9318,0.886972234536461,0.052089974955574894
1 mcg,391.163,0.8342993752925587,0.0786780816074715
1 mcg,391.3942,0.8113897838129946,0.09077046478744123
1 mcg,391.6254,0.8254071159129369,0.08333179134859454
1 mcg,391.85659999999996,0.8441036227828023,0.07360423579096956
1 mcg,392.08779999999996,0.8462793334438327,0.07248626467961386
1 mcg,392.31899999999996,0.8660206868079265,0.06247173378031323
1 mcg,392.55019999999996,0.8503868807353875,0.07038344847085726
1 mcg,392.78139999999996,0.8354119716074894,0.07809930550635472
