Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.2102,0.04263223778884781,1.3702618704060905
1 mcg,375.4414,0.029788839039755793,1.5259464222113648
1 mcg,375.6726,0.03672939158272234,1.4349862656229844
1 mcg,375.9038,0.04149134299788848,1.3820425076358955
1 mcg,376.135,0.0415573850057927,1.3813517881910125
1 mcg,376.3662,0.03758736404844887,1.4249581297092575
1 mcg,376.5974,0.038645911180907266,1.4128964485892603
1 mcg,376.8286,0.04052686224344254,1.3922570198238244
1 mcg,377.0598,0.041398021035550236,1.383020419117808
1 mcg,377.291,0.04439571540720935,1.3526589412546188
1 mcg,377.5222,0.04452800362973741,1.3513667756081533
1 mcg,377.7534,0.04255464957390517,1.3710529814320034
1 mcg,377.9846,0.0419231551906504,1.377546039232275
1 mcg,378.2158,0.044845135822374316,1.348284656300251
1 mcg,378.447,0.045763136838115004,1.3394842144424575
1 mcg,378.6782,0.04373927156716678,1.359128453968573
1 mcg,378.9094,0.040042789315946986,1.3974756778877355
1 mcg,379.1406,0.041486535268612984,1.3820928335863967
1 mcg,379.3718,0.05242283464112285,1.280479499304839
1 mcg,379.603,0.05394557920865958,1.2680441395621773
1 mcg,379.8342,0.047235311158788734,1.325733219418607
1 mcg,380.0654,0.04599627193411557,1.3372773671022165
1 mcg,380.2966,0.05296846512383191,1.275982611506691
1 mcg,380.5278,0.054442634726406675,1.2640608654773062
1 mcg,380.75899999999996,0.04996487995892693,1.3013351516482838
1 mcg,380.99019999999996,0.05122943495229276,1.2904804342555074
1 mcg,381.22139999999996,0.05089129926277214,1.2933564613796122
1 mcg,381.45259999999996,0.04246118045670225,1.372007936248551
1 mcg,381.68379999999996,0.04091031401182185,1.3881671870115724
1 mcg,381.91499999999996,0.046844201247082745,1.3293441619215456
1 mcg,382.14619999999996,0.0508776222639086,1.2934731933854562
1 mcg,382.37739999999997,0.05193612030186495,1.2845304958777455
1 mcg,382.60859999999997,0.05568851962220975,1.2542343268840026
1 mcg,382.83979999999997,0.056204936998329014,1.2502255346629645
1 mcg,383.07099999999997,0.059441819010413594,1.22590790896993
1 mcg,383.30219999999997,0.05919459126673815,1.2277179738568467
1 mcg,383.5334,0.05751431659300116,1.2402240362942965
1 mcg,383.7646,0.053506482093534175,1.271593601774567
1 mcg,383.9958,0.056120455416335924,1.2508788133386324
1 mcg,384.227,0.05495659735741379,1.259980164497371
1 mcg,384.4582,0.05285817148210348,1.2768878644537927
1 mcg,384.6894,0.05640848484749256,1.2486555654263614
1 mcg,384.9206,0.05869864762810639,1.2313719044494318
1 mcg,385.1518,0.05897818861400267,1.2293085699840107
1 mcg,385.383,0.05918210064636642,1.2278096237827816
1 mcg,385.6142,0.05497656521834893,1.2598223971465237
1 mcg,385.8454,0.05504811479871713,1.2592575494721314
1 mcg,386.0766,0.05977460675926649,1.2234832723069995
1 mcg,386.3078,0.06367329665789398,1.1960426641416855
1 mcg,386.539,0.060427576544033884,1.218764822840045
