Wavelength,Gray_Value
77.887,9.673
78.1182,9.807
78.3494,10.087
78.5806,10.107
78.8118,10.053
79.043,10.2
79.27420000000001,10.607
79.5054,10.78
79.7366,10.44
79.9678,10.153
80.199,10.433
80.4302,10.627
80.6614,10.207
80.8926,10.193
81.1238,10.18
81.355,9.767
81.5862,10.04
81.8174,10.32
82.0486,10.88
82.2798,11.573
82.511,11.707
82.7422,11.147
82.9734,10.787
83.2046,10.76
83.4358,11.58
83.667,11.12
83.8982,10.96
84.1294,11.033
84.3606,10.953
84.5918,10.913
84.82300000000001,11.033
85.0542,11.107
85.2854,11.46
85.5166,11.533
85.7478,11.513
85.979,11.747
86.2102,12.353
86.4414,12.553
86.6726,12.267
86.9038,11.787
87.135,12.507
87.36619999999999,12.06
87.5974,11.533
87.8286,11.267
88.0598,11.313
88.291,11.647
88.5222,12.18
88.7534,12.487
88.9846,12.093
89.2158,11.987
89.447,11.953
89.6782,12.16
89.9094,12.653
90.1406,12.767
90.37180000000001,12.607
90.603,12.133
90.8342,12.627
91.0654,12.58
91.2966,12.093
91.5278,13.093
91.759,13.513
91.9902,13.273
92.2214,12.78
92.4526,12.04
92.6838,12.113
92.91499999999999,13.58
93.1462,13.247
93.3774,13.5
93.6086,13.493
93.8398,13.54
94.071,13.76
94.3022,12.827
94.5334,13.473
94.7646,13.407
94.9958,13.113
95.227,12.78
95.4582,13.707
95.6894,15.0
95.92060000000001,14.94
96.1518,13.873
96.383,13.893
96.6142,13.68
96.8454,13.707
97.0766,14.44
97.3078,15.653
97.539,15.48
97.7702,14.653
98.0014,14.18
98.23259999999999,14.147
98.46379999999999,14.18
98.695,14.487
98.9262,14.72
99.1574,14.84
99.3886,14.16
99.6198,14.58
99.851,14.647
100.0822,15.08
100.3134,15.08
100.5446,14.553
100.7758,15.933
101.007,15.973
101.2382,15.233
101.46940000000001,15.933
101.7006,15.04
101.9318,14.573
102.163,14.16
102.3942,14.687
102.6254,15.66
102.8566,16.013
103.0878,16.067
103.319,15.64
103.5502,14.92
103.78139999999999,15.1
104.01259999999999,15.193
104.2438,15.22
104.475,15.04
104.7062,15.08
104.9374,15.24
105.1686,15.4
105.3998,15.22
105.631,15.24
105.8622,15.52
106.0934,15.627
106.3246,15.72
106.5558,15.847
106.787,16.027
107.01820000000001,15.473
107.2494,15.32
107.4806,15.707
107.7118,16.24
107.943,15.9
108.1742,16.2
108.4054,16.007
108.6366,15.54
108.8678,15.853
109.099,15.713
109.33019999999999,15.333
109.56139999999999,15.473
109.7926,15.893
110.0238,15.953
110.255,15.6
110.4862,15.733
110.7174,15.693
110.9486,15.46
111.1798,16.18
111.411,16.5
111.6422,15.807
111.8734,16.113
112.1046,16.64
112.3358,16.42
112.56700000000001,16.8
112.79820000000001,17.013
113.0294,16.047
113.2606,15.853
113.4918,16.133
113.723,16.98
113.9542,16.253
114.1854,15.78
114.41659999999999,16.58
114.64779999999999,16.333
114.87899999999999,16.127
115.11019999999999,16.147
115.3414,16.487
115.5726,16.44
115.8038,16.233
116.035,16.927
116.2662,17.107
116.4974,16.06
116.7286,16.44
116.9598,16.807
117.191,15.693
117.4222,15.46
117.6534,15.527
117.8846,16.093
118.11580000000001,17.187
118.34700000000001,17.367
118.5782,17.467
118.8094,16.827
119.0406,16.493
119.2718,16.347
119.503,16.187
119.7342,16.307
119.96539999999999,16.547
120.19659999999999,16.453
120.42779999999999,16.673
120.65899999999999,17.073
120.8902,16.447
121.1214,16.1
121.3526,16.993
121.5838,17.753
121.815,17.253
122.0462,16.42
122.2774,16.233
122.5086,15.92
122.7398,16.847
122.971,17.447
123.2022,17.14
123.4334,17.24
123.66460000000001,17.587
123.89580000000001,17.047
124.127,17.42
124.3582,17.12
124.5894,16.727
124.8206,16.667
125.0518,17.287
125.283,18.247
125.51419999999999,17.847
125.74539999999999,16.247
125.97659999999999,17.627
126.20779999999999,17.447
126.439,18.047
126.6702,18.067
126.9014,17.127
127.1326,17.087
127.3638,17.407
127.595,16.867
127.8262,18.007
128.0574,17.66
128.2886,17.207
128.5198,17.347
128.751,18.087
128.9822,18.227
129.2134,17.48
129.4446,16.713
129.67579999999998,17.213
129.90699999999998,17.573
130.13819999999998,18.22
130.36939999999998,18.6
130.6006,18.647
130.8318,17.947
131.063,17.22
131.2942,16.953
131.5254,17.093
131.7566,18.14
131.9878,18.173
132.219,18.493
132.4502,18.927
132.6814,18.867
132.9126,18.687
133.1438,17.927
133.375,18.053
133.6062,18.42
133.8374,17.873
134.0686,18.02
134.2998,17.553
134.531,17.06
134.7622,17.853
134.9934,18.28
135.2246,18.913
135.4558,18.54
135.687,17.88
135.9182,17.62
136.1494,17.773
136.38060000000002,17.88
136.6118,17.733
136.843,17.953
137.0742,18.173
137.3054,17.56
137.5366,17.88
137.7678,18.287
137.999,18.14
138.2302,18.44
138.4614,18.527
138.6926,17.707
138.9238,18.44
139.155,18.1
139.3862,18.427
139.6174,18.367
139.8486,17.673
140.0798,17.64
140.311,17.947
140.54219999999998,17.807
140.77339999999998,18.127
141.00459999999998,17.473
141.23579999999998,18.153
141.46699999999998,18.673
141.69819999999999,17.9
141.9294,17.96
142.1606,18.367
142.3918,18.127
142.623,17.833
142.8542,17.487
143.0854,17.393
143.3166,18.007
143.5478,18.713
143.779,18.793
144.0102,18.0
144.2414,17.293
144.4726,18.133
144.7038,17.893
144.935,17.993
145.1662,17.793
145.3974,17.213
145.6286,17.553
145.8598,18.093
146.091,17.753
146.3222,18.593
146.5534,18.653
146.7846,18.493
147.0158,17.973
147.247,17.533
147.47820000000002,17.873
147.70940000000002,18.413
147.94060000000002,18.287
148.1718,19.16
148.403,18.587
148.6342,18.307
148.8654,18.047
149.0966,17.66
149.3278,18.233
149.559,19.113
149.7902,19.213
150.0214,18.273
150.2526,18.833
150.4838,19.293
150.715,19.033
150.94619999999998,18.453
151.17739999999998,18.433
151.40859999999998,18.62
151.63979999999998,18.433
151.87099999999998,20.033
152.10219999999998,19.207
152.33339999999998,18.273
152.56459999999998,18.267
152.79579999999999,18.893
153.027,19.507
153.2582,19.02
153.4894,18.22
153.7206,18.593
153.9518,18.487
154.183,18.993
154.4142,19.547
154.6454,19.173
154.8766,18.987
155.1078,19.213
155.339,19.313
155.5702,19.347
155.8014,18.507
156.0326,19.167
156.2638,19.427
156.495,18.6
156.7262,19.02
156.9574,19.967
157.1886,19.347
157.4198,19.74
157.651,19.06
157.8822,19.147
158.1134,19.287
158.3446,19.4
158.57580000000002,19.927
158.80700000000002,20.06
159.03820000000002,18.727
159.2694,18.28
159.5006,18.98
159.7318,19.193
159.963,19.753
160.1942,19.547
160.4254,19.373
160.6566,20.047
160.8878,19.553
161.119,19.607
161.3502,19.227
161.5814,19.547
161.8126,19.267
162.04379999999998,18.587
162.27499999999998,19.76
162.50619999999998,20.8
162.73739999999998,20.02
162.96859999999998,20.267
163.19979999999998,19.613
163.43099999999998,19.407
163.66219999999998,20.153
163.89339999999999,20.707
164.1246,20.453
164.3558,20.207
164.587,20.373
164.8182,20.067
165.0494,20.353
165.2806,20.607
165.5118,20.273
165.743,19.667
165.9742,19.933
166.2054,20.447
166.4366,20.253
166.6678,21.513
166.899,22.073
167.1302,21.7
167.3614,20.66
167.5926,20.873
167.8238,21.853
168.055,21.793
168.2862,20.853
168.5174,21.793
168.7486,21.333
168.9798,20.987
169.211,20.887
169.4422,21.24
169.67340000000002,21.58
169.90460000000002,21.473
170.1358,20.92
170.367,21.24
170.5982,21.007
170.8294,21.493
171.0606,21.56
171.2918,21.013
171.523,21.167
171.7542,21.527
171.9854,21.2
172.2166,22.213
172.4478,21.8
172.679,22.007
172.91019999999997,22.647
173.14139999999998,22.687
173.37259999999998,22.307
173.60379999999998,21.947
173.83499999999998,21.66
174.06619999999998,21.933
174.29739999999998,22.247
174.52859999999998,22.807
174.75979999999998,23.067
174.99099999999999,22.827
175.2222,22.887
175.4534,23.147
175.6846,23.173
175.9158,22.607
176.147,22.107
176.3782,22.013
176.6094,22.227
176.8406,22.527
177.0718,22.647
177.303,22.327
177.5342,21.907
177.7654,22.373
177.9966,21.773
178.2278,21.48
178.459,22.467
178.6902,23.573
178.9214,23.113
179.1526,22.413
179.3838,22.573
179.615,24.36
179.8462,23.1
180.0774,22.813
180.3086,22.973
180.5398,22.98
180.77100000000002,23.6
181.00220000000002,24.133
181.2334,23.513
181.4646,23.813
181.6958,23.013
181.927,22.92
182.1582,23.44
182.3894,24.24
182.6206,25.08
182.8518,24.527
183.083,23.173
183.3142,23.14
183.5454,23.54
183.7766,24.36
184.00779999999997,24.22
184.23899999999998,23.42
184.47019999999998,23.6
184.70139999999998,24.14
184.93259999999998,24.06
185.16379999999998,24.4
185.39499999999998,23.44
185.62619999999998,23.34
185.85739999999998,23.68
186.08859999999999,22.927
186.3198,23.747
186.551,24.953
186.7822,23.933
187.0134,23.233
187.2446,24.533
187.4758,24.393
187.707,25.173
187.9382,25.42
188.1694,24.6
188.4006,24.94
188.6318,24.813
188.863,24.793
189.0942,25.84
189.3254,26.44
189.5566,26.1
189.7878,25.793
190.019,25.653
190.2502,25.787
190.4814,26.007
190.7126,25.273
190.9438,25.213
191.175,26.053
191.4062,26.333
191.6374,25.613
191.86860000000001,26.033
192.09980000000002,26.813
192.331,26.773
192.5622,27.367
192.7934,26.293
193.0246,26.047
193.2558,26.227
193.487,25.813
193.7182,25.773
193.9494,26.033
194.1806,26.153
194.4118,26.64
194.643,26.78
194.8742,26.827
195.10539999999997,26.287
195.33659999999998,25.92
195.56779999999998,26.48
195.79899999999998,26.58
196.03019999999998,25.42
196.26139999999998,25.927
196.49259999999998,26.82
196.72379999999998,27.853
196.95499999999998,27.273
197.18619999999999,26.427
197.4174,26.527
197.6486,26.32
197.8798,25.86
198.111,26.347
198.3422,26.587
198.5734,26.5
198.8046,26.88
199.0358,26.593
199.267,26.913
199.4982,27.953
199.7294,27.593
199.9606,28.953
200.1918,29.453
200.423,29.747
200.6542,29.207
200.8854,29.387
201.1166,30.507
201.3478,31.04
201.579,30.253
201.8102,30.56
202.0414,31.287
202.2726,32.387
202.5038,33.147
202.735,33.647
202.96620000000001,34.307
203.1974,35.307
203.4286,35.687
203.6598,36.76
203.891,36.62
204.1222,36.78
204.3534,36.22
204.5846,35.76
204.8158,36.24
205.047,36.547
205.2782,36.707
205.5094,37.62
205.7406,38.66
205.9718,37.987
206.203,37.427
206.4342,37.087
206.6654,37.127
206.8966,37.987
207.1278,37.033
207.35899999999998,37.3
207.59019999999998,36.847
207.82139999999998,37.407
208.05259999999998,37.507
208.28379999999999,37.107
208.515,37.407
208.7462,38.087
208.9774,37.727
209.2086,37.747
209.4398,37.747
209.671,37.547
209.9022,37.187
210.1334,37.547
210.3646,38.507
210.5958,38.787
210.827,37.927
211.0582,38.04
211.2894,38.92
211.5206,38.92
211.7518,39.44
211.983,39.54
212.2142,39.1
212.4454,39.26
212.6766,39.36
212.90779999999998,39.42
213.13899999999998,38.62
213.37019999999998,37.98
213.60139999999998,39.38
213.83259999999999,39.46
214.0638,39.46
214.295,40.26
214.5262,38.28
214.7574,39.793
214.9886,39.847
215.2198,39.773
215.451,39.907
215.6822,40.033
215.9134,39.987
216.1446,40.253
216.3758,40.827
216.607,39.94
216.8382,39.373
217.0694,40.467
217.3006,40.98
217.5318,39.793
217.763,40.567
217.9942,42.28
218.2254,42.0
218.45659999999998,41.767
218.68779999999998,40.987
218.91899999999998,39.707
219.15019999999998,40.367
219.38139999999999,40.687
219.6126,41.307
219.8438,42.907
220.075,42.127
220.3062,42.547
220.5374,42.727
220.7686,41.667
220.9998,41.227
221.231,41.267
221.4622,41.087
221.6934,41.567
221.9246,41.927
222.1558,43.167
222.387,43.147
222.6182,42.187
222.8494,41.427
223.0806,42.2
223.3118,43.08
223.543,43.087
223.7742,42.747
224.00539999999998,42.567
224.23659999999998,42.347
224.46779999999998,42.7
224.69899999999998,42.3
224.93019999999999,41.393
