Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.2102,0.02718199928414633,1.565718603301095
1 mcg,375.4414,0.026863727241819707,1.570833730749429
1 mcg,375.6726,0.027796426699511295,1.5560110301404921
1 mcg,375.9038,0.029117542419635073,1.5358452831581688
1 mcg,376.135,0.02967139728753304,1.527662001375222
1 mcg,376.3662,0.029356278685154946,1.5322989981065385
1 mcg,376.5974,0.03022243439647926,1.5196705564636916
1 mcg,376.8286,0.03119590015708701,1.5059024782940604
1 mcg,377.0598,0.0313767861569397,1.5033915421316857
1 mcg,377.291,0.03124637484562534,1.5052003615476248
1 mcg,377.5222,0.033038806382523406,1.4809756511472805
1 mcg,377.7534,0.03440917128756438,1.463325786826086
1 mcg,377.9846,0.034760756293917394,1.458910783123777
1 mcg,378.2158,0.035110762748212315,1.4545597357940752
1 mcg,378.447,0.035566908932258334,1.448953877068821
1 mcg,378.6782,0.034717914333317,1.4594463728025326
1 mcg,378.9094,0.03433913247689793,1.4642106807899897
1 mcg,379.1406,0.03482646878628792,1.4580905583977959
1 mcg,379.3718,0.03631443734492193,1.4399206803994233
1 mcg,379.603,0.037640971079114155,1.4243391809711177
1 mcg,379.8342,0.03873367087015786,1.4119113420764964
1 mcg,380.0654,0.03987417277073296,1.3993083137111268
1 mcg,380.2966,0.041242279631725026,1.3846573374691011
1 mcg,380.5278,0.04135655211078376,1.3834556754672584
1 mcg,380.75899999999996,0.04131881474096033,1.3838521450140697
1 mcg,380.99019999999996,0.042288977287094826,1.3737728176656319
1 mcg,381.22139999999996,0.04232630506295107,1.3733896422467837
1 mcg,381.45259999999996,0.040984906346144045,1.3873760529745631
1 mcg,381.68379999999996,0.039828802893803195,1.3998027466770022
1 mcg,381.91499999999996,0.039461178403493585,1.4038299498366595
1 mcg,382.14619999999996,0.03869997295098951,1.4122893385273445
1 mcg,382.37739999999997,0.03939510605405744,1.404557726035575
1 mcg,382.60859999999997,0.041633987713658976,1.3805519902879348
1 mcg,382.83979999999997,0.04362415732556485,1.360272949084726
1 mcg,383.07099999999997,0.04542646248749868,1.3426910818509417
