Concentration,Wavelength,Transmittance,Absorbance
1 mcg,77.887,0.2839152585610233,0.5468112664005951
1 mcg,78.1182,0.279543475626406,0.5535506394543713
1 mcg,78.3494,0.27355319324339067,0.5629582112469957
1 mcg,78.5806,0.27452929351538713,0.5614113075588221
1 mcg,78.8118,0.28006157341630966,0.5527464756037588
1 mcg,79.043,0.28091511343438635,0.5514248948155523
1 mcg,79.27420000000001,0.2772982667671543,0.5570528449400366
1 mcg,79.5054,0.2747379835119036,0.561081293658241
1 mcg,79.7366,0.2895361264724936,0.5382972400581538
1 mcg,79.9678,0.29904527291116256,0.524263058206976
1 mcg,80.199,0.2927748717180608,0.5334662006412966
1 mcg,80.4302,0.2900421539292246,0.5375388783478442
1 mcg,80.6614,0.295668772811433,0.5291945412561696
1 mcg,80.8926,0.2934466244068299,0.532470881924539
1 mcg,81.1238,0.2914957152488923,0.5353678246354604
1 mcg,81.355,0.2915082629408622,0.5353491304460969
1 mcg,81.5862,0.27611609552799643,0.5589082764637802
1 mcg,81.8174,0.27918050476065526,0.5541149118743739
1 mcg,82.0486,0.2889750526156589,0.5391396485203332
1 mcg,82.2798,0.28925913860472074,0.5387129114327117
1 mcg,82.511,0.2883000910523533,0.5401552204507504
1 mcg,82.7422,0.28278828472056716,0.5485385863411916
1 mcg,82.9734,0.28064447543573345,0.551843502567384
1 mcg,83.2046,0.2781812508313344,0.5556721444190609
1 mcg,83.4358,0.28088118048995014,0.5514773582821173
1 mcg,83.667,0.29011548969005096,0.5374290829611145
1 mcg,83.8982,0.2821017632970818,0.5495941992476849
1 mcg,84.1294,0.283546869329641,0.5473751434418777
1 mcg,84.3606,0.28622858249535554,0.5432870002051539
1 mcg,84.5918,0.27905155344318977,0.5543155554804962
1 mcg,84.82300000000001,0.27834188709219576,0.5554214326736934
1 mcg,85.0542,0.2705742998782077,0.5677134566339533
1 mcg,85.2854,0.282706791235534,0.5486637586817151
1 mcg,85.5166,0.2848137110336938,0.5454391074405773
1 mcg,85.7478,0.2886320439118736,0.5396554552190578
1 mcg,85.979,0.28831756674800735,0.540128895907651
1 mcg,86.2102,0.29392791890438474,0.5317591602688446
1 mcg,86.4414,0.2907733730236166,0.5364453656203223
1 mcg,86.6726,0.28096271352532187,0.5513513113570532
1 mcg,86.9038,0.26938576903204514,0.569625350684675
1 mcg,87.135,0.2730127639313028,0.5638170482876341
1 mcg,87.36619999999999,0.2715989438820642,0.5660719231510482
1 mcg,87.5974,0.2740050301452599,0.5622414643902782
1 mcg,87.8286,0.28064260772188987,0.5518463928452485
1 mcg,88.0598,0.27777889732645755,0.5563007504010847
1 mcg,88.291,0.27723306454636765,0.5571549742994685
1 mcg,88.5222,0.28611758566487333,0.5434554483027325
1 mcg,88.7534,0.28466635024945075,0.5456638667648279
1 mcg,88.9846,0.2842914214848271,0.5462362449807224
1 mcg,89.2158,0.28181869787687863,0.5500301960550392
1 mcg,89.447,0.28240190651149655,0.5491323756633367
1 mcg,89.6782,0.2806773101250485,0.5517926941905578
1 mcg,89.9094,0.27346159450016716,0.5631036582440218
1 mcg,90.1406,0.27570181011228734,0.5595603825369634
1 mcg,90.37180000000001,0.2850411962934867,0.5450923679564733
1 mcg,90.603,0.27754023937252525,0.5566740414763842
1 mcg,90.8342,0.27566057384461107,0.5596253441087375
1 mcg,91.0654,0.28411246345321883,0.5465097142171133
1 mcg,91.2966,0.27523241107425145,0.5603004253715446
1 mcg,91.5278,0.2754138137629685,0.5600142808889031
1 mcg,91.759,0.287305600352026,0.5416559083683853
1 mcg,91.9902,0.27997262249008625,0.552884434667781
1 mcg,92.2214,0.27416563591434173,0.5619869808668484
1 mcg,92.4526,0.27866597322825426,0.5549160579870482
1 mcg,92.6838,0.2900541503754691,0.5375209158462095
1 mcg,92.91499999999999,0.28834202567196154,0.540092054846295
1 mcg,93.1462,0.28565624615382823,0.5441562752250568
1 mcg,93.3774,0.28157208520564425,0.5504104029463875
1 mcg,93.6086,0.27637643665046974,0.558498986872751
1 mcg,93.8398,0.280851418244326,0.5515233786807369
1 mcg,94.071,0.2771233891748597,0.5573268182780072
1 mcg,94.3022,0.2792617875265946,0.5539884864318237
1 mcg,94.5334,0.2918072801046937,0.5349038773848012
1 mcg,94.7646,0.2948817762136793,0.5303520661541783
1 mcg,94.9958,0.2894565222057819,0.5384166602064601
1 mcg,95.227,0.28664257922926617,0.5426592970133166
1 mcg,95.4582,0.2908702564435509,0.5363006861880277
1 mcg,95.6894,0.2879273936227612,0.5407170140616654
1 mcg,95.92060000000001,0.28460602076679953,0.5457559167670538
1 mcg,96.1518,0.28169438819760373,0.5502218047681857
1 mcg,96.383,0.2766219439105233,0.5581133710768954
1 mcg,96.6142,0.271889638684352,0.5656073424233556
1 mcg,96.8454,0.270997918412214,0.5670340450132734
1 mcg,97.0766,0.2812588203260009,0.5508938491157963
1 mcg,97.3078,0.28823944413210023,0.5402465884187738
1 mcg,97.539,0.28567476897812816,0.5441281151561214
1 mcg,97.7702,0.28017029878007793,0.5525779067362462
1 mcg,98.0014,0.2758638912553125,0.5593051420537789
1 mcg,98.23259999999999,0.2725325926346198,0.564581552268315
1 mcg,98.46379999999999,0.2683278344614929,0.5713342743052111
1 mcg,98.695,0.2644644567531408,0.5776326876107456
1 mcg,98.9262,0.2659220905112246,0.5752455837341278
1 mcg,99.1574,0.25909063622410455,0.5865482825359285
1 mcg,99.3886,0.2631204521659515,0.5798453932004971
1 mcg,99.6198,0.2835171841706515,0.5474206130874169
1 mcg,99.851,0.29280834876581174,0.5334165445151785
1 mcg,100.0822,0.2626534583846346,0.5806168764238848
1 mcg,100.3134,0.25367461521810764,0.5957229897048821
1 mcg,100.5446,0.2690709347829676,0.5701332124744948
1 mcg,100.7758,0.2785017064288209,0.5551721394836087
1 mcg,101.007,0.2739053610553709,0.5623994673664134
1 mcg,101.2382,0.2823752866569843,0.5491733151916043
1 mcg,101.46940000000001,0.29543191626338505,0.5295425885490475
1 mcg,101.7006,0.2877060267194297,0.5410510406346012
1 mcg,101.9318,0.2819413125098231,0.5498412828354176
1 mcg,102.163,0.28835443480014933,0.5400733648897323
1 mcg,102.3942,0.2689569536028411,0.5703172230039817
1 mcg,102.6254,0.2704192190818844,0.5679624457015734
1 mcg,102.8566,0.28570702355521194,0.54407908319521
1 mcg,103.0878,0.26913724164719,0.5700262029319019
1 mcg,103.319,0.2492305734411133,0.603398683271585
1 mcg,103.5502,0.2516868505635167,0.5991394736724611
1 mcg,103.78139999999999,0.2598479342645118,0.5852807313756209
1 mcg,104.01259999999999,0.27002607103321863,0.5685943026585961
1 mcg,104.2438,0.2742510150347516,0.561851756376129
1 mcg,104.475,0.2804479753957557,0.552147690892921
1 mcg,104.7062,0.28386652341247054,0.5468858211214936
1 mcg,104.9374,0.2712201310066531,0.5666780785931936
1 mcg,105.1686,0.26845514944552706,0.5711282610830183
1 mcg,105.3998,0.2535387655319087,0.5959556285615623
1 mcg,105.631,0.26474806623012304,0.5771672033778106
1 mcg,105.8622,0.2682107626323994,0.5715237989748021
1 mcg,106.0934,0.2804786357654079,0.5521002136326115
1 mcg,106.3246,0.2974350931018257,0.5266077922318678
1 mcg,106.5558,0.29538530476750136,0.5296111143630453
1 mcg,106.787,0.28349785437821107,0.5474502236678274
1 mcg,107.01820000000001,0.27633851429628487,0.5585585816753194
1 mcg,107.2494,0.28553046799201254,0.544347542847887
1 mcg,107.4806,0.27126506502582115,0.5666061334165813
1 mcg,107.7118,0.284674328631476,0.5456516949056341
1 mcg,107.943,0.281579797714017,0.55039850739945
1 mcg,108.1742,0.28829241771374114,0.5401667797012316
1 mcg,108.4054,0.3020594155891988,0.5199076221934112
1 mcg,108.6366,0.2909493340592906,0.5361826325063372
1 mcg,108.8678,0.2877027922869849,0.5410559230629425
1 mcg,109.099,0.2854607828365917,0.5444535475496269
1 mcg,109.33019999999999,0.30071018561535057,0.521851861285503
1 mcg,109.56139999999999,0.2951072656047474,0.5300200979442773
1 mcg,109.7926,0.28957227930040874,0.5382430154137431
1 mcg,110.0238,0.2975957381082348,0.5263732926467556
1 mcg,110.255,0.30652451852065166,0.5135347810726737
1 mcg,110.4862,0.2986060233778831,0.5249014360838897
1 mcg,110.7174,0.30458467708060044,0.5162919487568015
1 mcg,110.9486,0.3041611370343258,0.5168962769686031
1 mcg,111.1798,0.2965023461421957,0.5279718658323387
1 mcg,111.411,0.30375801494645505,0.517472253966158
1 mcg,111.6422,0.29847731281353107,0.5250886738958948
1 mcg,111.8734,0.29681190822738746,0.5275186789533298
1 mcg,112.1046,0.2952847605617177,0.5297589660885482
1 mcg,112.3358,0.2831485785157386,0.5479856143105245
1 mcg,112.56700000000001,0.2853491597555058,0.544623401944827
1 mcg,112.79820000000001,0.2919387838735982,0.5347082054456651
1 mcg,113.0294,0.29877330456438533,0.5246582093944986
1 mcg,113.2606,0.31030889406800577,0.508205776496722
1 mcg,113.4918,0.3009137794018728,0.5215579246521472
1 mcg,113.723,0.30293889528337203,0.518644962644414
1 mcg,113.9542,0.29868052215488927,0.5247930981071779
1 mcg,114.1854,0.29704138906788724,0.527183032866506
1 mcg,114.41659999999999,0.3033401073765776,0.5180701638378479
1 mcg,114.64779999999999,0.28667707584131963,0.5426070340631639
1 mcg,114.87899999999999,0.2882970978768389,0.5401597293857027
1 mcg,115.11019999999999,0.2852447851977836,0.5447822865435029
1 mcg,115.3414,0.27929871690501296,0.5539310594381021
1 mcg,115.5726,0.28388433836644034,0.5468585664338205
1 mcg,115.8038,0.28163342891508036,0.5503157972156374
1 mcg,116.035,0.27643671320835206,0.5584042793695492
1 mcg,116.2662,0.283442424398229,0.5475351459618188
1 mcg,116.4974,0.294342908582927,0.5311464229073677
1 mcg,116.7286,0.28350187746637223,0.5474440606843531
1 mcg,116.9598,0.29223870363113236,0.534262267319184
1 mcg,117.191,0.2865405466363178,0.5428139149375373
1 mcg,117.4222,0.2771181869512377,0.5573349710298399
1 mcg,117.6534,0.264198221465188,0.5780701103038329
1 mcg,117.8846,0.27597620039703874,0.5591283689561725
1 mcg,118.11580000000001,0.28078895487755073,0.5516199796265437
1 mcg,118.34700000000001,0.27124236427844595,0.5666424787596802
1 mcg,118.5782,0.2903014231395923,0.5371508351288604
1 mcg,118.8094,0.29438729812078657,0.5310809323612273
1 mcg,119.0406,0.2879219802564229,0.5407251793744571
1 mcg,119.2718,0.2907710413805231,0.5364488481392983
1 mcg,119.503,0.30022328405265275,0.5225556287368324
1 mcg,119.7342,0.30851327972407916,0.5107261373462592
1 mcg,119.96539999999999,0.2947204308664665,0.5305897565660626
1 mcg,120.19659999999999,0.2956117958170821,0.5292782402499518
1 mcg,120.42779999999999,0.290238849949886,0.5372444554765586
1 mcg,120.65899999999999,0.2734288742787393,0.5631556255480468
1 mcg,120.8902,0.2882296752873956,0.5402613075258595
1 mcg,121.1214,0.2933065554882007,0.532678230300949
1 mcg,121.3526,0.2837094718781571,0.5471261646773645
