Wavelength,Gray_Value
77.887,53.953
78.1182,54.32
78.3494,54.9
78.5806,54.913
78.8118,54.48
79.043,54.673
79.27420000000001,54.66
79.5054,54.287
79.7366,53.82
79.9678,53.467
80.199,53.567
80.4302,53.68
80.6614,52.94
80.8926,53.073
81.1238,53.253
81.355,52.747
81.5862,54.093
81.8174,53.54
82.0486,52.887
82.2798,53.213
82.511,52.987
82.7422,53.813
82.9734,53.727
83.2046,53.107
83.4358,52.927
83.667,52.66
83.8982,52.527
84.1294,52.213
84.3606,51.74
84.5918,52.373
84.82300000000001,52.667
85.0542,52.933
85.2854,51.493
85.5166,51.24
85.7478,50.893
85.979,51.313
86.2102,50.493
86.4414,50.567
86.6726,51.3
86.9038,52.0
87.135,51.847
87.36619999999999,51.84
87.5974,51.387
87.8286,50.987
88.0598,50.687
88.291,50.613
88.5222,50.3
88.7534,50.413
88.9846,50.307
89.2158,49.947
89.447,49.527
89.6782,49.613
89.9094,49.96
90.1406,50.08
90.37180000000001,49.4
90.603,49.767
90.8342,49.307
91.0654,48.72
91.2966,49.013
91.5278,48.947
91.759,47.933
91.9902,48.94
92.2214,49.247
92.4526,48.42
92.6838,48.2
92.91499999999999,48.107
93.1462,48.307
93.3774,48.433
93.6086,48.007
93.8398,47.56
94.071,47.88
94.3022,47.52
94.5334,47.147
94.7646,46.66
94.9958,46.62
95.227,46.813
95.4582,46.1
95.6894,46.14
95.92060000000001,46.52
96.1518,47.093
96.383,47.74
96.6142,47.847
96.8454,47.687
97.0766,47.013
97.3078,46.473
97.539,46.687
97.7702,46.72
98.0014,46.567
98.23259999999999,46.893
98.46379999999999,47.627
98.695,47.467
98.9262,47.333
99.1574,47.907
99.3886,47.827
99.6198,46.48
99.851,45.52
100.0822,47.473
100.3134,47.273
100.5446,45.947
100.7758,45.7
101.007,46.047
101.2382,46.0
101.46940000000001,45.233
101.7006,45.287
101.9318,45.993
102.163,44.827
102.3942,45.56
102.6254,45.527
102.8566,44.28
103.0878,45.64
103.319,47.3
103.5502,47.6
103.78139999999999,46.8
104.01259999999999,46.413
104.2438,45.773
104.475,45.5
104.7062,45.06
104.9374,45.273
105.1686,44.94
105.3998,46.313
105.631,45.58
105.8622,45.313
106.0934,44.127
106.3246,43.113
106.5558,43.18
106.787,43.86
107.01820000000001,44.507
107.2494,43.84
107.4806,44.713
107.7118,43.36
107.943,43.487
108.1742,43.267
108.4054,42.707
108.6366,43.6
108.8678,43.36
109.099,43.087
109.33019999999999,42.08
109.56139999999999,42.587
109.7926,43.073
110.0238,42.427
110.255,41.253
110.4862,42.047
110.7174,41.88
110.9486,41.407
111.1798,41.873
111.411,41.447
111.6422,41.767
111.8734,42.247
112.1046,42.107
112.3358,42.833
112.56700000000001,43.327
112.79820000000001,42.607
113.0294,42.347
113.2606,41.647
113.4918,41.827
113.723,42.287
113.9542,42.153
114.1854,42.087
114.41659999999999,42.507
114.64779999999999,42.587
114.87899999999999,42.493
115.11019999999999,42.487
115.3414,43.18
115.5726,43.253
115.8038,43.173
116.035,44.047
116.2662,43.96
116.4974,42.353
116.7286,42.86
116.9598,42.08
117.191,42.167
117.4222,42.52
117.6534,43.613
117.8846,42.967
118.11580000000001,42.547
118.34700000000001,42.987
118.5782,42.027
118.8094,41.927
119.0406,42.34
119.2718,42.6
119.503,41.993
119.7342,41.293
119.96539999999999,42.267
120.19659999999999,41.307
120.42779999999999,41.573
120.65899999999999,42.073
120.8902,41.287
121.1214,41.413
121.3526,41.62
121.5838,41.907
121.815,41.913
122.0462,40.1
122.2774,40.387
122.5086,40.847
122.7398,40.94
122.971,40.82
123.2022,40.593
123.4334,41.36
123.66460000000001,41.413
123.89580000000001,41.433
124.127,42.447
124.3582,42.407
124.5894,41.653
124.8206,40.973
125.0518,40.733
125.283,40.853
125.51419999999999,40.78
125.74539999999999,40.02
125.97659999999999,40.613
126.20779999999999,40.76
126.439,40.827
126.6702,40.887
126.9014,40.46
127.1326,40.113
127.3638,40.267
127.595,39.72
127.8262,41.493
128.0574,41.573
128.2886,41.527
128.5198,41.547
128.751,40.453
128.9822,40.113
129.2134,40.127
129.4446,40.287
129.67579999999998,40.9
129.90699999999998,40.76
130.13819999999998,40.847
130.36939999999998,40.107
130.6006,39.553
130.8318,40.013
131.063,40.553
131.2942,40.433
131.5254,41.8
131.7566,41.38
131.9878,40.96
132.219,40.867
132.4502,40.86
132.6814,40.2
132.9126,39.92
133.1438,39.707
133.375,40.113
133.6062,41.153
133.8374,41.987
134.0686,41.913
134.2998,40.373
134.531,39.973
134.7622,40.427
134.9934,40.107
135.2246,40.72
135.4558,40.787
135.687,40.86
135.9182,41.76
136.1494,41.147
136.38060000000002,40.027
136.6118,40.893
136.843,41.113
137.0742,40.727
137.3054,40.687
137.5366,41.207
137.7678,41.793
137.999,40.513
138.2302,40.733
138.4614,41.0
138.6926,41.9
138.9238,41.453
139.155,39.993
139.3862,39.453
139.6174,39.353
139.8486,39.6
140.0798,39.673
140.311,40.393
140.54219999999998,40.133
140.77339999999998,40.48
141.00459999999998,40.14
141.23579999999998,40.78
141.46699999999998,40.76
141.69819999999999,40.56
141.9294,40.6
142.1606,40.64
142.3918,39.42
142.623,39.7
142.8542,39.52
143.0854,39.54
143.3166,39.64
143.5478,39.533
143.779,40.493
144.0102,39.7
144.2414,40.147
144.4726,42.227
144.7038,42.32
144.935,41.613
145.1662,40.993
145.3974,41.06
145.6286,42.2
145.8598,42.14
146.091,41.12
146.3222,42.993
146.5534,42.193
146.7846,40.393
147.0158,40.113
147.247,41.413
147.47820000000002,42.553
147.70940000000002,42.18
147.94060000000002,40.927
148.1718,40.847
148.403,40.273
148.6342,39.9
148.8654,40.36
149.0966,40.147
149.3278,40.027
149.559,41.28
149.7902,41.32
150.0214,41.14
150.2526,41.48
150.4838,41.093
150.715,41.773
150.94619999999998,42.42
151.17739999999998,42.6
151.40859999999998,42.607
151.63979999999998,41.647
151.87099999999998,42.22
152.10219999999998,41.013
152.33339999999998,41.887
152.56459999999998,43.267
152.79579999999999,43.327
153.027,43.647
153.2582,43.467
153.4894,42.453
153.7206,42.84
153.9518,42.88
154.183,41.993
154.4142,41.333
154.6454,41.78
154.8766,42.287
155.1078,42.527
155.339,41.407
155.5702,42.253
155.8014,42.173
156.0326,42.387
156.2638,42.707
156.495,43.68
156.7262,43.22
156.9574,43.34
157.1886,42.387
157.4198,43.067
157.651,42.527
157.8822,42.08
158.1134,43.44
158.3446,43.793
158.57580000000002,42.587
158.80700000000002,43.207
159.03820000000002,42.707
159.2694,43.16
159.5006,41.913
159.7318,42.007
159.963,42.873
160.1942,43.593
160.4254,43.553
160.6566,42.847
160.8878,42.447
161.119,43.613
161.3502,44.573
161.5814,43.947
161.8126,42.847
162.04379999999998,42.553
162.27499999999998,42.293
162.50619999999998,42.26
162.73739999999998,43.18
162.96859999999998,42.513
163.19979999999998,42.093
163.43099999999998,42.14
163.66219999999998,42.66
163.89339999999999,41.92
164.1246,42.213
164.3558,43.013
164.587,42.613
164.8182,42.307
165.0494,41.78
165.2806,42.133
165.5118,42.673
165.743,43.693
165.9742,44.513
166.2054,44.533
166.4366,43.653
166.6678,42.68
166.899,42.94
167.1302,43.12
167.3614,42.78
167.5926,43.22
167.8238,43.82
168.055,43.94
168.2862,42.38
168.5174,43.32
168.7486,44.18
168.9798,42.98
169.211,42.64
169.4422,43.54
169.67340000000002,44.18
169.90460000000002,44.76
170.1358,44.2
170.367,43.28
170.5982,43.727
170.8294,43.353
171.0606,43.587
171.2918,44.647
171.523,44.267
171.7542,44.167
171.9854,44.407
172.2166,44.0
172.4478,44.36
172.679,44.873
172.91019999999997,45.133
173.14139999999998,44.953
173.37259999999998,46.453
173.60379999999998,45.527
173.83499999999998,44.447
174.06619999999998,45.28
174.29739999999998,44.3
174.52859999999998,43.853
174.75979999999998,43.92
174.99099999999999,44.74
175.2222,44.94
175.4534,45.147
175.6846,44.367
175.9158,45.333
176.147,44.487
176.3782,45.673
176.6094,46.253
176.8406,45.42
177.0718,45.2
177.303,45.367
177.5342,44.733
177.7654,45.66
177.9966,45.507
178.2278,45.967
178.459,46.253
178.6902,46.627
178.9214,46.347
179.1526,46.233
179.3838,46.093
179.615,46.827
179.8462,46.167
180.0774,46.547
180.3086,47.227
180.5398,47.067
180.77100000000002,47.387
181.00220000000002,47.507
181.2334,46.927
181.4646,47.0
181.6958,47.073
181.927,46.073
182.1582,45.567
182.3894,45.987
182.6206,46.707
182.8518,46.707
183.083,46.227
183.3142,46.193
183.5454,45.48
183.7766,45.547
184.00779999999997,46.533
184.23899999999998,46.573
184.47019999999998,46.013
184.70139999999998,46.393
184.93259999999998,45.807
185.16379999999998,46.153
185.39499999999998,45.833
185.62619999999998,46.173
185.85739999999998,47.053
186.08859999999999,47.113
186.3198,46.933
186.551,46.393
186.7822,45.913
187.0134,46.273
187.2446,45.513
187.4758,45.753
187.707,46.033
187.9382,47.553
188.1694,47.953
188.4006,46.913
188.6318,46.273
188.863,46.373
189.0942,45.86
189.3254,45.8
189.5566,46.68
189.7878,46.247
190.019,45.453
190.2502,45.933
190.4814,46.107
190.7126,46.747
190.9438,46.173
191.175,46.573
191.4062,46.613
191.6374,45.953
191.86860000000001,45.833
192.09980000000002,46.493
192.331,46.873
192.5622,46.7
192.7934,46.56
193.0246,46.52
193.2558,46.147
193.487,46.1
193.7182,46.44
193.9494,46.687
194.1806,46.887
194.4118,47.34
194.643,46.6
194.8742,46.68
195.10539999999997,45.98
195.33659999999998,45.393
195.56779999999998,45.6
195.79899999999998,46.52
196.03019999999998,46.6
196.26139999999998,46.02
196.49259999999998,45.98
196.72379999999998,46.22
196.95499999999998,46.387
197.18619999999999,45.913
197.4174,46.653
197.6486,47.553
197.8798,46.113
198.111,46.833
198.3422,47.073
198.5734,47.053
198.8046,46.593
199.0358,46.493
199.267,46.96
199.4982,47.653
199.7294,47.1
199.9606,46.44
200.1918,45.82
200.423,46.0
200.6542,46.84
200.8854,47.4
201.1166,47.38
201.3478,46.42
201.579,45.2
201.8102,45.84
202.0414,46.047
202.2726,45.347
202.5038,45.167
202.735,45.447
202.96620000000001,46.64
203.1974,46.6
203.4286,45.72
203.6598,45.54
203.891,45.44
204.1222,45.08
204.3534,44.82
204.5846,44.92
204.8158,45.007
205.047,45.787
205.2782,45.467
205.5094,46.6
205.7406,45.74
205.9718,45.34
206.203,45.28
206.4342,45.56
206.6654,45.98
206.8966,46.153
207.1278,44.833
207.35899999999998,45.313
207.59019999999998,45.373
207.82139999999998,45.44
208.05259999999998,45.78
208.28379999999999,46.393
208.515,46.313
208.7462,45.92
208.9774,45.64
209.2086,45.407
209.4398,45.767
209.671,45.547
209.9022,45.58
210.1334,45.647
210.3646,45.827
210.5958,45.347
210.827,45.4
211.0582,45.567
211.2894,45.487
211.5206,45.24
211.7518,45.1
211.983,45.1
212.2142,45.32
212.4454,46.107
212.6766,45.867
212.90779999999998,46.513
213.13899999999998,46.333
213.37019999999998,46.66
213.60139999999998,46.72
213.83259999999999,44.793
214.0638,45.807
214.295,46.26
214.5262,44.873
214.7574,45.873
214.9886,46.213
215.2198,45.1
215.451,44.68
215.6822,44.78
215.9134,45.36
216.1446,45.247
216.3758,44.667
216.607,46.28
216.8382,45.42
217.0694,45.187
217.3006,45.287
217.5318,45.16
217.763,45.04
217.9942,45.2
218.2254,46.1
218.45659999999998,47.4
218.68779999999998,45.96
218.91899999999998,45.707
219.15019999999998,44.22
219.38139999999999,44.4
219.6126,44.667
219.8438,44.933
220.075,45.127
220.3062,46.293
220.5374,45.893
220.7686,45.033
220.9998,45.773
221.231,45.993
221.4622,45.393
221.6934,44.993
221.9246,45.127
