Concentration,Wavelength,Transmittance,Absorbance
1 mcg,78.8118,0.2716152320298615,0.5660458787176568
1 mcg,79.043,0.27295555681292133,0.5639080599269019
1 mcg,79.27420000000001,0.27356160992230916,0.5629448490890376
1 mcg,79.5054,0.27353438591071355,0.5629880708932953
1 mcg,79.7366,0.2756747270199761,0.5596030468027092
1 mcg,79.9678,0.27795245781572636,0.5560294813264893
1 mcg,80.199,0.2791754090651304,0.5541228388341971
1 mcg,80.4302,0.28162053455551034,0.5503356814936828
1 mcg,80.6614,0.28551891610360164,0.5443651137324124
1 mcg,80.8926,0.28635687453188735,0.5430923863748987
1 mcg,81.1238,0.2857794607523027,0.5439689875901051
1 mcg,81.355,0.285221567405012,0.5448176378284376
1 mcg,81.5862,0.28284437404540913,0.5484524552312746
1 mcg,81.8174,0.27977390697897103,0.5531927922869103
1 mcg,82.0486,0.27800820556983186,0.5559423854448482
1 mcg,82.2798,0.27643163031991713,0.5584122648887974
1 mcg,82.511,0.27589362007472357,0.5592583422840572
1 mcg,82.7422,0.27785382844727263,0.5561836148509971
1 mcg,82.9734,0.2793583983827588,0.5538382678639999
1 mcg,83.2046,0.27833394792628,0.5554338202634951
1 mcg,83.4358,0.27730107659119196,0.5570484443178964
1 mcg,83.667,0.2781570469980984,0.5557099329058969
1 mcg,83.8982,0.27673817391347194,0.557930929126243
1 mcg,84.1294,0.27503013612220645,0.5606197162260823
1 mcg,84.3606,0.275121375798543,0.5604756654056509
1 mcg,84.5918,0.2743792777120125,0.5616486914899211
1 mcg,84.82300000000001,0.27199808970243383,0.565434146093026
1 mcg,85.0542,0.270722992387206,0.5674748582197165
1 mcg,85.2854,0.2704746813242666,0.5678733822239231
1 mcg,85.5166,0.2711118738866796,0.5668514612076492
1 mcg,85.7478,0.2731385018227238,0.5636170770459683
1 mcg,85.979,0.27555904508670265,0.5597853289071677
1 mcg,86.2102,0.27885300928192763,0.554624664396434
1 mcg,86.4414,0.28083650593515536,0.5515464389364696
1 mcg,86.6726,0.2812196707822843,0.5509543045148965
1 mcg,86.9038,0.28017720995530154,0.5525671937939507
1 mcg,87.135,0.27919633200941735,0.5540902916310174
1 mcg,87.36619999999999,0.27780295514579917,0.5562631387399164
1 mcg,87.5974,0.276998978271041,0.5575218328563719
1 mcg,87.8286,0.2775852538525398,0.556603608608294
1 mcg,88.0598,0.27882273247592315,0.5546718210102356
1 mcg,88.291,0.2777632823348637,0.5563251644057606
1 mcg,88.5222,0.27724547732404364,0.5571355297206666
1 mcg,88.7534,0.2781331466371829,0.5557472508201302
1 mcg,88.9846,0.2787782919651637,0.5547410470976734
1 mcg,89.2158,0.27870437912834484,0.5548562074031852
1 mcg,89.447,0.2795758483175042,0.5535003486469464
1 mcg,89.6782,0.27898041715128374,0.5544262806748691
1 mcg,89.9094,0.27609422095957464,0.5589426836600274
1 mcg,90.1406,0.2737704160885085,0.5626134839729561
1 mcg,90.37180000000001,0.2735478386037353,0.5629667123841517
1 mcg,90.603,0.2721675346530362,0.5651636806092918
1 mcg,90.8342,0.2709599139011954,0.5670949543625465
1 mcg,91.0654,0.2723640205511096,0.5648502635292603
1 mcg,91.2966,0.27260113233566124,0.5644723445170899
1 mcg,91.5278,0.27192919288039635,0.5655441663503276
1 mcg,91.759,0.2737055941923233,0.562716326075341
1 mcg,91.9902,0.2746538273276266,0.5612143446648789
1 mcg,92.2214,0.2724636127193554,0.5646914891685252
1 mcg,92.4526,0.2715850236870447,0.5660941825115826
1 mcg,92.6838,0.2731334574060502,0.5636250978212939
1 mcg,92.91499999999999,0.27245234899997073,0.5647094433908963
1 mcg,93.1462,0.2723980945368889,0.564795934699814
1 mcg,93.3774,0.2737308167761259,0.5626763067096098
1 mcg,93.6086,0.27314795725450736,0.5636020430220426
1 mcg,93.8398,0.27047861673214973,0.5678670632831426
1 mcg,94.071,0.26968854032582473,0.5691375073068289
1 mcg,94.3022,0.26911654064439133,0.5700596084799371
1 mcg,94.5334,0.27090179325641006,0.5671881201097412
1 mcg,94.7646,0.2739458276557732,0.5623353097205045
1 mcg,94.9958,0.27585008888617324,0.5593268717650837
1 mcg,95.227,0.27673385558341357,0.5579377060790626
1 mcg,95.4582,0.2783281855248776,0.5554428116389858
1 mcg,95.6894,0.2778228311339226,0.5562320673527302
1 mcg,95.92060000000001,0.27658835081859084,0.5581661151946866
1 mcg,96.1518,0.2755578023655739,0.5597872875006357
1 mcg,96.383,0.27360873726851886,0.5628700382131877
1 mcg,96.6142,0.2714916616248369,0.566243504439524
1 mcg,96.8454,0.26915942071861965,0.5699904150512981
1 mcg,97.0766,0.26860601538970186,0.5708842656014022
1 mcg,97.3078,0.27058304674922773,0.5676994173980752
1 mcg,97.539,0.2736472424910704,0.562808923830432
1 mcg,97.7702,0.2751844374829206,0.5603761304161827
1 mcg,98.0014,0.27591386855252265,0.5592264695662698
1 mcg,98.23259999999999,0.27424059045953325,0.5618682646889225
1 mcg,98.46379999999999,0.269990118086267,0.5686521311711739
1 mcg,98.695,0.2655330075534746,0.575881485477693
1 mcg,98.9262,0.262651224387697,0.5806205703279158
1 mcg,99.1574,0.26032079243817796,0.5844911423766228
1 mcg,99.3886,0.26012499230626485,0.5848179196254748
1 mcg,99.6198,0.26398894668096534,0.5784142568269843
1 mcg,99.851,0.26917430679807614,0.5699663967078938
1 mcg,100.0822,0.2689216010860078,0.5703743117384938
1 mcg,100.3134,0.2667759671674622,0.573853296931917
1 mcg,100.5446,0.26544962634508346,0.576017881648432
1 mcg,100.7758,0.26332764862018365,0.5795035388704889
1 mcg,101.007,0.26041602975940825,0.5843322865332117
1 mcg,101.2382,0.26426170431635293,0.5779657684200155
1 mcg,101.46940000000001,0.2719995015312616,0.5654318918570543
1 mcg,101.7006,0.27569229475834306,0.5595753716914548
1 mcg,101.9318,0.2777372461588502,0.5563658749613796
1 mcg,102.163,0.27906179050161545,0.554299623598437
1 mcg,102.3942,0.2767337150830156,0.5579379265745379
1 mcg,102.6254,0.2729448757606219,0.5639250546819831
1 mcg,102.8566,0.27285340509060824,0.5640706220427042
1 mcg,103.0878,0.2705237150867746,0.5677946570643524
1 mcg,103.319,0.26706030382770335,0.5733906612477859
1 mcg,103.5502,0.26682898186619336,0.5737670009137255
1 mcg,103.78139999999999,0.26588182270910915,0.5753113526532945
1 mcg,104.01259999999999,0.2649924344087935,0.5767665250874054
1 mcg,104.2438,0.26454194786405627,0.5775054529995419
1 mcg,104.475,0.26653111547371044,0.5742520831112645
1 mcg,104.7062,0.26806856078595204,0.571754117303252
1 mcg,104.9374,0.26863542104681154,0.5708367237933207
1 mcg,105.1686,0.2665331528952184,0.5742487632829785
1 mcg,105.3998,0.265238048560537,0.576364175988909
1 mcg,105.631,0.26470189958542095,0.5772429420514812
1 mcg,105.8622,0.26452876573737905,0.5775270944350993
1 mcg,106.0934,0.26741399328818816,0.5728158706385954
1 mcg,106.3246,0.27308772183701446,0.5636978255223064
1 mcg,106.5558,0.27783897085822196,0.5562068383620763
1 mcg,106.787,0.27878074465838426,0.5547372261888134
1 mcg,107.01820000000001,0.27858467750074106,0.5550427739848334
1 mcg,107.2494,0.2780699015174445,0.5558460169334021
1 mcg,107.4806,0.27423437203200524,0.56187811246301
1 mcg,107.7118,0.2721901621754873,0.5651275756430074
1 mcg,107.943,0.2731890682389937,0.5635366830961779
1 mcg,108.1742,0.27565276918589476,0.559637640274817
1 mcg,108.4054,0.2793189945570304,0.553899529924446
1 mcg,108.6366,0.2830275905657414,0.5481712257958882
1 mcg,108.8678,0.2834752287679308,0.5474848855521098
1 mcg,109.099,0.2842326140559512,0.5463260907580344
1 mcg,109.33019999999999,0.2868732612937555,0.5423099293202006
1 mcg,109.56139999999999,0.28612658273571984,0.5434417919705652
1 mcg,109.7926,0.28764087701250923,0.541149395759659
1 mcg,110.0238,0.2922116847976653,0.5343024217292859
1 mcg,110.255,0.29463351357092965,0.530717855147445
1 mcg,110.4862,0.2931669638535613,0.5328849706763938
1 mcg,110.7174,0.29334351926029284,0.5326235020635817
1 mcg,110.9486,0.29288868032802645,0.5332974127706818
1 mcg,111.1798,0.290156833664118,0.5373671966394514
1 mcg,111.411,0.2897487492788861,0.5379784300233845
1 mcg,111.6422,0.28989621461664855,0.537757455503349
1 mcg,111.8734,0.2893949118642693,0.5385091089070186
1 mcg,112.1046,0.2875910621953473,0.5412246151582701
1 mcg,112.3358,0.28577888558864556,0.5439698616580078
1 mcg,112.56700000000001,0.2840933726775307,0.5465388973687549
1 mcg,112.79820000000001,0.28231498025641416,0.5492660766172042
1 mcg,113.0294,0.2826788283325696,0.5487067174484224
1 mcg,113.2606,0.28629816262578606,0.5431814391388723
