Concentration,Wavelength,Transmittance,Absorbance
1 mcg,78.3494,0.2602534288474153,0.5846035399357661
1 mcg,78.5806,0.2682444253777534,0.5714692947220745
1 mcg,78.8118,0.27474595351679487,0.5610686951857033
1 mcg,79.043,0.275610402549473,0.5597043945852602
1 mcg,79.27420000000001,0.27250374234490504,0.5646275290989664
1 mcg,79.5054,0.26827976984607715,0.5714120749071336
1 mcg,79.7366,0.267094259647633,0.5733354456744213
1 mcg,79.9678,0.2692831634618428,0.569790799370509
1 mcg,80.199,0.27214535196414313,0.5651990787033743
1 mcg,80.4302,0.275554044115096,0.5597932107536183
1 mcg,80.6614,0.28010776229267365,0.5526748559241479
1 mcg,80.8926,0.28248986042090296,0.5489971359588067
1 mcg,81.1238,0.28025576555950393,0.5524454441213168
1 mcg,81.355,0.27406851908211916,0.5621408468906668
1 mcg,81.5862,0.2686930974912546,0.5707434900981438
1 mcg,81.8174,0.26368643040193984,0.5789122189103652
1 mcg,82.0486,0.2605996363321811,0.5840261946826713
1 mcg,82.2798,0.25712537451966944,0.5898550627188731
1 mcg,82.511,0.25589144741772674,0.5919442291630617
1 mcg,82.7422,0.25912333471122595,0.5864934759373468
1 mcg,82.9734,0.26462825859036376,0.5773637811063038
1 mcg,83.2046,0.26431271326064865,0.5778819470984855
1 mcg,83.4358,0.25663546380973157,0.5906833297511876
1 mcg,83.667,0.2515257677382522,0.5994175167182312
1 mcg,83.8982,0.24886671795020518,0.6040331796350471
1 mcg,84.1294,0.24972659621266644,0.6025352022489636
1 mcg,84.3606,0.24960156993647922,0.6027526873685974
1 mcg,84.5918,0.2510652468661121,0.6002133993493705
1 mcg,84.82300000000001,0.25353290385348404,0.5959656693299519
1 mcg,85.0542,0.2556456474617752,0.5923615970286817
1 mcg,85.2854,0.25839581837152337,0.5877145188227251
1 mcg,85.5166,0.26021632053881794,0.5846654683521743
1 mcg,85.7478,0.26119075028711203,0.5830422070692287
1 mcg,85.979,0.26360642047497373,0.5790440161459536
1 mcg,86.2102,0.26588285207622253,0.5753096712762553
1 mcg,86.4414,0.26568409548689453,0.5756344427632916
1 mcg,86.6726,0.2639687261116157,0.5784475234396177
1 mcg,86.9038,0.259580780256347,0.5857274664849874
1 mcg,87.135,0.2578434062727548,0.5886439701559383
1 mcg,87.36619999999999,0.26031290123841966,0.5845043075042452
1 mcg,87.5974,0.2652376806812561,0.576364778346125
1 mcg,87.8286,0.26815495846355675,0.571614168070849
1 mcg,88.0598,0.2675278231444168,0.57263104426061
1 mcg,88.291,0.26485182393329043,0.5769970318979668
1 mcg,88.5222,0.2633898590124355,0.5794009501780452
1 mcg,88.7534,0.2633585785231255,0.5794525305642275
1 mcg,88.9846,0.2666479775320041,0.5740617059995613
1 mcg,89.2158,0.26703749905013263,0.5734277480472921
