Concentration,Wavelength,Transmittance,Absorbance
1 mcg,78.3494,0.12114080161773405,0.9167095568324775
1 mcg,78.5806,0.12742260065773542,0.8947535353411077
1 mcg,78.8118,0.13091150873985963,0.8830221719174852
1 mcg,79.043,0.12937134145441292,0.8881619186183417
1 mcg,79.27420000000001,0.12730321514606435,0.8951606277480609
1 mcg,79.5054,0.1273055989148324,0.895152495605221
1 mcg,79.7366,0.1281737612637775,0.8922008711093738
1 mcg,79.9678,0.12796843118016143,0.8928971542209805
1 mcg,80.199,0.1270563439442161,0.8960036456771056
1 mcg,80.4302,0.12785590902995536,0.8932791956798782
1 mcg,80.6614,0.13019707429911637,0.8853987748310033
1 mcg,80.8926,0.1307433502150933,0.8835803907079729
1 mcg,81.1238,0.12944367403472984,0.8879191688593916
1 mcg,81.355,0.12636430514194558,0.8983755864109156
1 mcg,81.5862,0.12398174954834734,0.906642239465071
1 mcg,81.8174,0.11978263267762229,0.9216061458786334
1 mcg,82.0486,0.11484553571039502,0.9398858820886636
1 mcg,82.2798,0.1070083337892761,0.9705823982236095
1 mcg,82.511,0.10393265407571267,0.9832479822132196
1 mcg,82.7422,0.10713830917939754,0.970055211797879
1 mcg,82.9734,0.11378031077752687,0.9439328843423667
1 mcg,83.2046,0.11587853881699989,0.93599698971711
1 mcg,83.4358,0.1128468442818722,0.9475105812927506
1 mcg,83.667,0.10930719167686453,0.9613512634589942
1 mcg,83.8982,0.10759680069667915,0.9682006418706975
1 mcg,84.1294,0.10697196291572858,0.9707300348993131
1 mcg,84.3606,0.10752485515647348,0.9684911337986246
1 mcg,84.5918,0.10856215386475576,0.9643215488938344
1 mcg,84.82300000000001,0.10996659713484341,0.958739213778411
1 mcg,85.0542,0.11256365856426465,0.9486017998265953
1 mcg,85.2854,0.11548470818627199,0.9374755187154925
1 mcg,85.5166,0.11777905866646704,0.9289319210436272
1 mcg,85.7478,0.11735574932395615,0.9304956292140416
1 mcg,85.979,0.11710604059946161,0.9314207024395761
1 mcg,86.2102,0.11771635925236973,0.9291631782837475
1 mcg,86.4414,0.11697240098152267,0.9319165956499753
1 mcg,86.6726,0.11606103418295804,0.9353135638942621
1 mcg,86.9038,0.11456223607134702,0.9409585182208408
1 mcg,87.135,0.11585107564965136,0.9360999295344341
