Distance_(pixels),Gray_Value
0,22.623
1,22.653
2,22.503
3,22.163
4,21.973
5,21.803
6,21.793
7,22.033
8,21.133
9,21.463
10,21.917
11,21.857
12,21.700
13,22.170
14,22.053
15,21.153
16,20.233
17,22.003
18,22.293
19,21.923
20,22.107
21,21.737
22,20.840
23,20.660
24,21.253
25,22.833
26,23.413
27,22.513
28,21.770
29,20.970
30,19.307
31,18.017
32,19.050
33,20.583
34,21.033
35,20.613
36,22.007
37,22.347
38,20.860
39,21.420
40,21.690
41,21.710
42,22.460
43,23.630
44,23.623
45,22.463
46,20.953
47,20.213
48,19.290
49,19.460
50,20.087
51,21.277
52,21.837
53,20.987
54,20.627
55,21.487
56,21.540
57,21.390
58,20.603
59,20.023
60,20.307
61,21.407
62,22.120
63,22.117
64,22.327
65,23.257
66,23.167
67,22.257
68,21.147
69,20.277
70,20.397
71,21.227
72,21.097
73,21.047
74,20.407
75,19.667
76,20.077
77,21.297
78,21.847
79,21.487
80,21.283
81,20.987
82,20.193
83,20.163
84,21.233
85,21.163
86,20.067
87,19.547
88,20.813
89,21.493
90,21.073
91,20.587
92,20.857
93,20.527
94,20.523
95,21.370
96,21.100
97,21.570
98,20.690
99,19.710
100,19.957
101,19.493
102,19.053
103,19.383
104,19.943
105,20.383
106,20.227
107,19.640
108,19.513
109,20.370
110,21.320
111,21.797
112,21.410
113,20.810
114,19.947
115,18.957
116,18.507
117,18.927
118,19.433
119,19.433
120,20.270
121,20.610
122,20.487
123,19.517
124,19.037
125,19.607
126,19.960
127,19.793
128,19.007
129,18.727
130,18.257
131,18.267
132,18.367
133,17.697
134,17.320
135,17.840
136,18.110
137,19.100
138,19.940
139,19.677
140,19.113
141,18.663
142,18.313
143,17.753
144,17.177
145,18.087
146,18.467
147,17.897
148,17.717
149,18.547
150,18.877
151,18.137
152,17.840
153,18.860
154,18.513
155,17.643
156,18.423
157,19.113
158,19.193
159,19.513
160,18.463
161,18.313
162,16.957
163,14.923
164,15.223
165,17.593
166,18.633
167,17.893
168,17.563
169,18.123
170,18.120
171,17.840
172,17.803
173,18.327
174,18.640
175,18.623
176,18.920
177,19.377
178,19.793
179,19.643
180,19.487
181,19.437
182,19.213
183,18.783
184,17.753
185,17.943
186,18.587
187,18.447
188,17.707
189,18.237
190,18.827
191,18.257
192,18.083
193,18.943
194,18.553
195,18.393
196,19.873
197,20.423
198,18.953
199,17.843
200,17.503
201,17.553
202,17.343
203,17.763
204,18.423
205,17.963
206,18.043
207,19.643
208,19.173
209,18.387
210,18.727
211,18.320
212,17.363
213,18.273
214,19.733
215,19.427
216,17.753
217,18.920
218,18.847
219,17.987
220,18.533
221,19.270
222,18.633
223,17.640
224,17.983
225,18.533
226,18.623
227,18.210
228,18.093
229,18.073
230,18.283
231,18.880
232,18.677
233,18.613
234,17.807
235,17.037
236,17.503
237,17.933
238,17.280
239,16.257
240,16.410
241,17.120
242,18.647
243,19.137
244,18.527
245,18.077
246,18.207
247,18.327
248,17.167
249,18.207
250,18.840
251,18.380
252,17.927
253,17.687
254,17.213
255,16.820
256,15.703
257,16.537
258,18.053
259,19.143
260,19.167
261,19.037
262,18.903
263,18.463
264,16.820
265,17.560
266,18.080
267,18.400
268,18.733
269,18.793
270,18.007
271,16.717
272,15.610
273,16.470
274,17.260
275,18.060
276,18.810
277,18.920
278,18.050
279,17.250
280,17.330
281,18.090
282,17.480
283,17.280
284,18.030
285,18.490
286,18.110
287,17.710
288,16.603
289,17.097
290,17.087
291,16.757
292,17.167
293,16.773
294,16.817
295,17.807
296,19.650
297,20.240
298,19.860
299,19.110
300,18.710
301,18.220
302,17.680
303,18.153
304,18.953
305,19.007
306,18.260
307,17.733
308,18.577
309,19.877
310,20.163
311,19.463
312,18.820
313,17.530
314,15.903
315,16.083
316,18.200
317,19.840
318,20.157
319,19.847
320,17.717
321,17.387
322,16.757
323,17.157
324,18.417
325,19.007
326,18.410
327,18.130
328,18.590
329,19.040
330,19.483
331,19.503
332,19.093
333,18.803
334,18.813
335,18.963
336,18.487
337,18.577
338,18.750
339,18.410
340,18.290
341,18.520
342,18.443
343,17.883
344,17.747
345,17.887
346,18.113
347,18.493
348,17.980
349,16.670
350,16.843
351,18.190
352,17.753
353,17.790
354,17.420
355,17.720
356,18.470
357,18.043
358,17.530
359,18.390
360,17.810
361,17.010
362,17.013
363,17.413
364,18.163
365,19.183
366,19.563
367,19.113
368,18.610
369,18.520
370,17.993
371,18.213
372,18.883
373,18.520
374,17.713
375,17.710
376,19.490
377,20.150
378,20.530
379,19.640
380,18.923
381,19.163
382,18.990
383,18.293
384,17.697
385,17.960
386,18.843
387,19.843
388,20.347
389,20.100
390,19.760
391,19.850
392,19.523
393,18.773
394,18.807
395,20.007
396,21.057
397,20.867
398,19.800
399,18.977
400,18.187
401,18.333
402,18.363
403,19.053
404,20.067
405,20.607
406,19.790
407,17.970
408,18.890
409,19.690
410,19.490
411,19.150
412,19.580
413,20.017
414,19.857
415,19.560
416,18.090
417,18.757
418,19.370
419,19.400
420,19.600
421,19.550
422,19.463
423,19.523
424,19.683
425,19.673
426,19.213
427,18.373
428,17.873
429,18.293
430,19.643
431,20.973
432,20.057
433,19.490
434,19.377
435,19.327
436,19.123
437,19.013
438,18.807
439,17.857
440,18.233
441,18.853
442,20.143
443,20.513
444,19.547
445,18.887
446,19.037
447,19.253
448,19.320
449,20.330
450,19.863
451,18.820
452,18.813
453,19.073
454,19.687
455,20.687
456,20.367
457,19.757
458,19.100
459,19.490
460,19.897
461,19.397
462,18.673
463,19.377
464,19.203
465,19.447
466,18.447
467,17.787
468,18.860
469,19.520
470,18.400
471,17.290
472,17.100
