Distance_(pixels),Gray_Value
0,13.643
1,13.823
2,13.353
3,13.570
4,14.793
5,15.283
6,15.210
7,15.500
8,13.833
9,14.027
10,14.413
11,15.123
12,15.307
13,14.977
14,14.540
15,14.460
16,15.203
17,15.397
18,15.407
19,14.907
20,15.127
21,15.157
22,14.620
23,15.310
24,15.137
25,13.857
26,13.203
27,13.657
28,13.993
29,14.573
30,13.790
31,12.213
32,10.920
33,12.993
34,14.780
35,15.440
36,15.733
37,15.967
38,16.070
39,16.020
40,14.430
41,15.660
42,15.950
43,15.220
44,14.480
45,13.870
46,14.283
47,15.723
48,15.287
49,16.257
50,15.627
51,13.667
52,13.000
53,13.550
54,14.633
55,15.353
56,15.133
57,14.547
58,14.353
59,15.377
60,16.150
61,14.860
62,14.440
63,16.307
64,15.577
65,15.463
66,14.947
67,14.967
68,14.343
69,13.723
70,14.293
71,14.173
72,14.603
73,16.163
74,15.767
75,13.747
76,12.573
77,12.423
78,12.943
79,13.913
80,15.733
81,15.983
82,14.863
83,13.683
84,14.123
85,15.703
86,16.703
87,17.073
88,14.893
89,16.163
90,16.003
91,15.003
92,14.713
93,14.003
94,13.423
95,13.923
96,14.010
97,15.110
98,16.000
99,16.290
100,14.497
101,14.167
102,16.367
103,15.833
104,15.607
105,15.687
106,14.897
107,14.017
108,13.887
109,14.067
110,14.517
111,15.307
112,14.843
113,17.110
114,15.813
115,13.803
116,14.390
117,14.800
118,14.700
119,14.850
120,13.763
121,13.443
122,13.343
123,13.953
124,15.003
125,15.713
126,15.473
127,14.813
128,12.517
129,13.317
130,14.043
131,15.223
132,16.323
133,16.073
134,15.860
135,16.590
136,15.627
137,14.687
138,14.303
139,14.373
140,14.087
141,14.347
142,14.820
143,14.990
144,14.677
145,14.967
146,15.003
147,15.030
148,15.637
149,15.887
150,15.670
151,16.213
152,15.510
153,14.200
154,15.740
155,17.700
156,16.587
157,14.827
158,14.173
159,13.750
160,13.423
161,15.270
162,15.323
163,14.773
164,15.387
165,15.137
166,14.257
167,14.477
168,13.447
169,14.117
170,14.317
171,14.337
172,15.083
173,16.120
174,16.520
175,16.450
176,14.713
177,16.060
178,15.483
179,14.063
180,14.067
181,14.087
182,14.363
183,16.013
184,15.923
185,15.763
186,16.537
187,17.380
188,16.690
189,15.860
190,15.577
191,15.400
192,15.650
193,16.803
194,16.647
195,15.603
196,15.567
197,15.777
198,15.823
199,16.153
200,15.700
201,15.110
202,14.870
203,15.370
204,15.437
205,15.867
206,16.833
207,16.613
208,16.770
209,17.680
210,16.703
211,15.393
212,15.617
213,15.247
214,15.143
215,16.223
216,16.160
217,16.240
218,15.860
219,16.910
220,17.317
221,16.017
222,15.777
223,15.870
224,14.497
225,14.417
226,15.340
227,16.950
228,17.537
229,16.183
230,15.020
231,14.863
232,15.160
233,16.340
234,16.310
235,15.967
236,15.690
237,15.440
238,16.053
239,16.663
240,16.017
241,15.923
242,15.467
243,14.887
244,14.963
245,15.513
246,15.347
247,14.487
248,15.893
249,15.643
