Distance_(pixels),Gray_Value
0,13.313
1,12.807
2,12.727
3,12.753
4,12.580
5,12.467
6,12.387
7,12.300
8,12.187
9,13.427
10,13.807
11,13.493
12,13.373
13,12.727
14,12.407
15,12.533
16,12.353
17,13.373
18,13.920
19,13.540
20,12.960
21,12.760
22,12.647
23,12.247
24,12.180
25,12.367
26,12.707
27,13.167
28,13.353
29,13.067
30,12.920
31,12.927
32,12.153
33,11.920
34,12.100
35,12.620
36,13.473
37,13.893
38,13.793
39,13.473
40,12.373
41,12.593
42,12.907
43,13.267
44,13.733
45,13.700
46,13.680
47,13.847
48,12.793
49,12.787
50,12.787
51,12.967
52,12.887
53,12.807
54,12.447
55,12.167
56,12.227
57,12.547
58,12.847
59,13.127
60,12.887
61,12.267
62,11.927
63,12.067
64,12.320
65,12.400
66,12.773
67,12.793
68,12.473
69,12.653
70,12.807
71,12.427
72,12.413
73,11.913
74,12.040
75,12.860
76,13.320
77,13.040
78,12.573
79,12.513
80,10.980
81,11.540
82,11.840
83,11.940
84,12.000
85,12.180
86,12.047
87,11.687
88,11.620
89,11.860
90,11.927
91,12.067
92,12.047
93,11.787
94,11.453
95,11.260
96,10.853
97,11.593
98,11.920
99,11.520
100,11.707
101,12.147
102,12.227
103,11.747
104,11.087
105,11.607
106,11.773
107,11.453
108,10.920
109,11.040
110,11.287
111,11.427
112,11.780
113,12.160
114,12.340
115,11.940
116,11.640
117,11.760
118,12.040
119,12.200
120,12.367
121,11.687
122,10.887
123,10.647
124,10.907
125,11.407
126,12.007
127,12.427
128,11.320
129,11.000
130,11.220
131,11.380
132,11.060
133,11.100
134,11.880
135,12.360
136,11.433
137,11.093
138,11.053
139,11.773
140,12.053
141,11.873
142,11.253
143,11.193
144,10.800
145,11.460
146,11.820
147,11.460
148,11.240
149,11.600
150,11.867
151,11.807
152,11.840
153,11.900
154,11.587
155,11.227
156,11.327
157,12.047
158,12.347
159,12.120
160,11.773
161,11.893
162,11.947
163,11.687
164,11.753
165,12.180
166,12.187
167,12.007
168,12.547
169,12.587
170,12.300
171,11.580
172,11.707
173,12.247
174,12.687
175,12.580
176,11.007
177,11.100
178,11.980
179,12.580
180,12.313
181,12.013
182,11.980
183,11.940
184,11.853
185,11.793
186,11.747
187,11.607
188,11.853
189,12.213
190,12.033
191,11.613
192,11.367
193,11.973
194,12.260
195,12.160
196,12.060
197,12.200
198,12.307
199,12.247
200,11.660
201,11.800
202,12.307
203,12.727
204,12.527
205,12.087
206,12.020
207,12.000
208,12.400
209,12.540
210,12.680
211,12.440
212,11.827
213,11.507
214,11.520
215,11.800
216,11.727
217,12.007
218,12.140
219,12.100
220,11.940
221,12.020
222,12.033
223,12.047
224,11.667
225,11.620
226,11.200
227,11.320
228,12.173
229,12.427
230,12.240
231,12.460
232,12.260
233,12.247
234,12.033
235,11.693
236,11.340
237,11.560
238,11.920
239,12.187
240,11.660
241,12.053
242,11.707
243,11.653
244,12.707
245,12.867
246,12.187
247,12.087
248,12.973
249,12.813
250,12.227
251,11.827
252,12.240
253,13.020
254,13.033
255,12.580
256,12.667
257,13.027
258,12.353
259,12.213
260,12.960
261,12.820
262,12.140
263,12.220
264,12.260
265,12.580
266,12.247
267,11.787
268,11.760
269,11.960
270,12.207
271,12.693
272,11.980
273,11.553
274,11.093
275,11.140
276,11.820
277,12.507
278,12.713
279,12.553
280,12.707
281,12.867
282,12.560
283,12.260
284,11.953
285,11.373
286,11.120
287,11.800
288,11.540
289,11.280
290,11.153
291,11.233
292,11.767
293,12.307
294,12.513
295,12.307
296,11.820
297,11.980
298,11.820
299,11.360
300,11.400
301,12.100
302,12.380
303,12.000
304,11.807
305,12.293
306,12.520
307,12.747
308,12.653
309,12.527
310,12.933
311,13.793
312,13.180
313,12.900
314,12.647
315,12.627
316,12.607
317,12.473
318,12.373
319,12.007
320,11.640
321,12.360
322,12.880
323,13.060
324,12.700
325,12.400
326,12.833
327,13.293
328,12.433
329,13.013
330,13.333
331,13.093
332,13.187
333,13.560
334,13.527
335,13.127
336,13.080
337,13.247
338,12.887
339,12.573
340,13.073
341,13.573
342,13.540
343,13.160
344,12.653
345,12.613
346,12.540
347,12.680
348,13.147
349,13.647
350,13.687
351,13.360
352,12.300
353,12.200
354,12.187
355,12.627
356,13.000
357,13.060
358,13.353
359,13.813
360,13.020
361,13.100
362,12.707
363,12.967
364,14.027
365,13.907
366,13.307
367,13.153
368,12.833
369,13.007
370,12.960
371,12.760
372,13.033
373,13.493
374,13.540
375,13.420
376,13.207
377,14.007
378,14.253
379,13.853
380,14.427
381,15.107
382,14.847
383,14.067
384,13.527
385,14.247
386,14.680
387,14.640
388,14.293
389,13.893
390,13.773
391,14.193
392,13.893
393,14.693
394,15.053
395,14.833
396,14.547
397,14.847
398,14.720
399,14.093
400,13.887
401,14.533
402,14.820
403,14.827
404,14.980
405,15.340
406,15.027
407,14.427
408,14.727
409,14.300
410,13.867
411,14.180
412,15.213
413,15.787
414,15.707
415,15.487
416,13.307
417,13.347
418,14.027
419,14.807
420,15.167
421,14.747
422,14.653
423,14.973
424,14.853
425,14.953
426,14.953
427,15.080
428,14.847
429,14.327
430,14.160
431,14.407
432,14.020
433,14.333
434,14.193
435,14.233
436,15.047
437,15.080
438,14.447
439,13.967
440,14.753
441,14.873
442,14.380
443,13.580
444,13.327
445,14.007
446,14.867
447,15.153
448,14.313
449,13.973
450,13.733
451,13.993
452,14.427
453,14.727
454,14.513
455,14.127
456,13.940
457,14.480
458,14.747
459,14.220
460,13.987
461,14.307
462,14.627
463,14.740
464,14.047
465,14.720
466,14.773
467,14.693
468,14.887
469,14.767
470,14.540
471,14.640
472,13.887
473,13.847
474,13.720
475,13.860
476,14.593
477,15.073
478,15.093
479,14.753
480,14.860
481,14.440
482,13.887
483,13.727
484,14.367
485,14.887
486,14.993
487,14.927
488,14.400
489,13.860
490,12.967
491,13.427
492,14.820
493,15.360
494,14.873
