Distance_(pixels),Gray_Value
0,14.357
1,14.050
2,13.733
3,13.643
4,14.083
5,14.353
6,14.310
7,14.197
8,14.020
9,14.353
10,14.257
11,14.027
12,14.630
13,14.890
14,14.033
15,13.193
16,12.683
17,13.303
18,13.570
19,13.670
20,13.930
21,13.650
22,13.780
23,14.260
24,14.400
25,13.930
26,13.717
27,13.607
28,13.630
29,13.520
30,13.460
31,13.680
32,13.133
33,14.303
34,14.833
35,14.973
36,15.193
37,14.753
38,13.843
39,13.303
40,13.223
41,13.213
42,13.333
43,13.663
44,14.103
45,14.353
46,14.183
47,13.773
48,13.477
49,13.387
50,13.270
51,13.320
52,13.823
53,14.353
54,14.120
55,13.640
56,13.603
57,13.683
58,13.880
59,14.310
60,14.900
61,14.700
62,14.093
63,13.507
64,13.613
65,14.143
66,13.793
67,13.393
68,13.447
69,13.357
70,13.530
71,14.280
72,14.130
73,14.160
74,14.270
75,14.400
76,14.330
77,13.860
78,13.690
79,13.740
80,13.633
81,14.393
82,14.350
83,13.890
84,14.050
85,13.960
86,14.027
87,14.270
88,15.490
89,15.390
90,15.060
91,14.647
92,14.407
93,14.967
94,15.527
95,15.667
96,14.583
97,14.833
98,14.990
99,14.980
100,15.163
101,15.493
102,15.343
103,14.913
104,15.643
105,16.033
106,15.893
107,15.593
108,15.813
109,15.553
110,15.413
111,15.683
112,14.277
113,14.973
114,15.237
115,15.170
116,15.723
117,16.353
118,16.007
119,15.187
120,14.853
121,15.243
122,15.577
123,15.307
124,15.150
125,15.150
126,15.510
127,15.893
128,15.477
129,15.700
130,16.057
131,15.920
132,15.923
133,15.693
134,15.480
135,15.380
136,15.670
137,16.720
138,16.857
139,15.987
140,15.760
141,16.460
142,16.767
143,16.147
144,15.677
145,15.953
146,16.043
147,15.873
148,15.747
149,15.743
150,16.107
151,16.613
152,15.613
153,15.943
154,16.113
155,16.123
156,16.623
157,16.903
158,16.963
159,16.683
160,15.660
161,15.637
162,15.590
163,15.570
164,15.837
165,16.197
166,16.533
167,16.583
168,16.650
169,16.500
170,16.467
171,16.377
172,16.480
173,16.430
174,16.387
175,16.117
176,16.107
177,16.877
178,17.397
179,17.167
180,16.810
181,16.420
182,15.960
183,15.580
184,16.070
185,16.520
186,16.250
187,16.370
188,17.177
189,17.337
190,16.827
191,17.007
192,15.647
193,16.317
194,16.373
195,16.247
196,16.780
197,16.860
198,16.710
199,16.710
200,16.203
201,16.463
202,16.617
203,16.627
204,16.523
205,16.593
206,16.597
207,16.817
208,15.680
209,16.150
210,16.453
211,16.633
212,16.810
213,17.100
214,16.830
215,16.520
216,15.437
217,16.267
218,16.443
219,16.193
220,16.400
221,16.310
222,16.063
223,16.153
224,15.760
225,15.907
226,15.757
227,15.623
228,16.033
229,16.853
230,16.870
231,16.210
