Distance_(pixels),Gray_Value
0,78.077
1,78.733
2,78.213
3,77.647
4,78.080
5,78.330
6,78.103
7,78.310
8,78.803
9,78.630
10,78.743
11,78.663
12,78.163
13,78.157
14,78.467
15,78.343
16,78.783
17,78.503
18,77.970
19,78.167
20,79.100
21,79.100
22,78.640
23,78.320
24,77.973
25,78.543
26,78.600
27,78.377
28,78.130
29,78.037
30,78.067
31,78.743
32,77.573
33,78.097
34,78.423
35,78.440
36,78.280
37,78.163
38,78.100
39,78.150
40,77.350
41,78.003
42,77.593
43,77.470
44,77.640
45,77.953
46,78.567
47,78.120
48,77.343
49,77.370
50,77.447
51,77.360
52,77.453
53,77.737
54,77.887
55,77.620
56,76.687
57,76.883
58,77.453
59,77.470
60,77.070
61,77.280
62,77.663
63,77.400
64,76.843
65,77.103
66,77.160
67,76.957
68,76.923
69,76.983
70,77.453
71,78.197
72,78.103
73,77.110
74,76.383
75,76.463
76,77.003
77,77.460
78,77.203
79,76.893
80,76.177
81,76.327
82,76.187
83,76.600
84,77.110
85,77.227
86,76.557
87,76.430
88,76.253
89,76.197
90,75.573
91,75.460
92,75.957
93,76.620
94,76.510
95,75.983
96,75.400
97,75.753
98,75.190
99,75.397
100,75.380
101,75.097
102,75.900
103,76.707
104,75.513
105,75.010
106,74.847
107,75.323
108,75.430
109,75.230
110,74.877
111,74.633
112,75.397
113,75.623
114,74.913
115,74.603
116,75.267
117,75.280
118,74.283
119,74.410
120,73.467
121,73.900
122,73.860
123,73.780
124,73.980
125,74.527
126,74.097
127,73.290
128,73.247
129,72.917
130,72.487
131,72.280
132,71.840
133,72.143
134,72.330
135,72.770
136,71.633
137,71.660
138,71.290
139,71.447
140,71.360
141,71.463
142,70.863
143,70.057
144,69.130
145,70.283
146,70.867
147,70.207
148,69.570
149,69.990
150,69.987
151,69.637
152,68.410
153,69.050
154,68.697
155,68.233
156,68.190
157,68.817
158,68.477
159,68.350
160,67.513
161,68.030
162,67.990
163,67.810
164,67.423
165,66.623
166,66.270
167,68.010
168,66.907
169,66.887
170,66.280
171,66.013
172,65.440
173,65.857
174,66.330
175,66.353
176,65.503
177,65.077
178,65.047
179,65.487
180,64.927
181,64.760
182,64.990
183,64.880
184,64.560
185,64.910
186,64.553
187,64.323
188,64.583
189,64.463
190,64.197
191,64.303
192,63.337
193,63.647
194,63.683
195,63.517
196,63.633
197,63.443
198,63.077
199,63.500
200,62.807
201,64.150
202,63.307
203,62.247
204,62.900
205,63.413
206,63.113
207,63.243
208,62.437
209,61.987
210,62.870
211,63.573
212,62.913
213,62.393
214,62.660
215,62.863
216,62.363
217,62.877
218,63.300
219,63.180
220,62.590
221,62.187
222,62.467
223,62.860
224,62.743
225,62.337
226,61.860
227,62.110
228,62.627
229,63.067
230,62.527
231,61.557
232,61.933
233,62.203
234,61.590
235,61.070
236,61.157
237,61.587
238,61.817
239,61.887
240,62.120
241,61.703
242,61.717
243,62.223
244,61.607
245,60.957
246,60.907
247,61.727
248,61.593
249,61.783
250,62.090
251,62.090
252,62.000
253,61.790
254,61.770
255,61.663
256,61.520
257,62.397
258,62.167
259,60.877
260,61.567
261,63.067
262,62.543
263,61.023
264,61.603
265,62.333
266,62.780
267,62.730
268,62.757
269,62.457
270,62.220
271,62.537
272,61.953
273,62.620
274,62.807
275,62.833
276,62.527
277,61.797
278,62.403
279,63.803
280,62.763
281,62.403
282,62.920
283,63.700
284,63.403
285,62.643
286,62.543
287,62.903
288,64.063
289,63.893
290,63.030
291,62.510
292,63.073
293,63.963
294,64.400
295,63.640
296,63.143
297,63.253
298,63.690
299,63.650
300,63.357
301,63.437
302,63.913
303,63.793
304,63.193
305,63.243
306,63.687
307,63.827
308,63.137
309,62.927
310,63.500
311,63.780
312,62.967
313,63.357
314,63.650
315,63.760
316,63.640
317,63.340
318,63.240
319,63.487
320,63.360
321,63.193
322,62.907
323,62.707
324,62.797
325,63.177
326,63.337
327,63.007
328,62.430
329,63.010
330,62.893
331,62.760
332,63.100
333,62.990
334,62.637
335,62.607
336,62.487
337,62.830
338,62.133
339,62.123
340,62.123
341,62.143
342,63.167
343,63.377
344,62.627
345,62.817
346,62.207
347,61.717
348,62.460
349,63.050
350,62.743
351,62.353
352,62.087
353,62.057
354,61.967
355,62.317
356,63.053
357,61.783
358,60.067
359,61.317
360,62.690
361,62.270
362,61.567
363,61.047
364,61.307
365,62.067
366,62.237
367,61.493
368,61.453
369,61.577
370,61.977
371,61.747
372,61.063
373,61.293
374,61.850
375,62.030
376,62.010
377,61.920
378,61.547
379,61.007
380,61.110
381,61.780
382,61.897
383,61.507
384,60.883
385,60.803
386,61.037
387,61.337
388,61.693
389,61.473
390,61.400
391,61.820
392,60.650
393,61.090
394,60.473
395,60.483
396,60.857
397,61.407
398,61.370
399,60.520
400,59.733
401,60.223
402,61.133
403,61.233
404,60.557
405,60.267
406,60.783
407,60.963
408,59.010
409,60.290
410,60.583
411,60.947
412,60.530
413,59.740
414,59.900
415,59.500
416,59.377
417,60.270
418,60.303
419,59.813
420,60.093
421,59.983
422,59.597
423,59.720
424,60.033
425,60.870
426,59.320
427,58.040
428,59.270
429,60.777
430,60.100
431,59.000
432,58.720
433,59.410
434,59.603
435,59.243
436,59.163
437,59.363
438,59.507
439,59.637
440,59.057
441,59.017
442,59.180
443,59.590
444,59.607
445,59.077
446,59.053
447,59.680
448,57.950
449,58.417
450,58.230
451,59.270
452,59.530
453,58.190
454,57.697
455,57.837
456,58.357
457,58.897
458,59.163
459,58.533
460,58.013
461,57.893
462,58.167
463,58.643
464,57.867
465,58.010
466,58.427
467,58.443
468,57.757
469,56.887
470,57.110
471,57.570
472,58.427
473,58.517
474,57.573
475,57.203
476,58.063
477,58.333
478,57.580
479,56.880
480,56.567
481,57.297
482,57.483
483,57.033
484,56.740
485,56.960
486,57.473
487,57.633
488,57.440
489,57.150
490,56.830
491,57.160
492,57.157
493,56.497
494,56.643
495,57.990
496,57.140
497,56.113
498,56.927
499,57.807
500,57.020
501,56.950
502,57.853
503,57.873
504,56.867
505,57.223
506,57.277
507,57.220
508,57.193
509,56.843
510,56.563
511,56.897
512,56.470
513,57.063
514,56.923
515,56.870
516,57.420
517,57.430
518,56.737
519,56.267
520,56.467
521,56.747
522,56.580
523,56.547
524,56.693
525,56.933
526,56.727
527,56.293
528,56.443
529,57.293
530,56.797
531,56.067
532,56.067
533,55.953
534,55.550
535,56.180
536,56.367
537,56.587
538,56.717
539,56.477
540,55.890
541,55.950
542,55.947
543,55.853
544,56.280
545,57.077
546,55.310
547,54.420
548,56.267
549,57.017
550,55.857
551,55.593
552,55.823
553,56.280
554,56.127
555,55.657
556,55.600
557,55.797
558,55.873
559,55.460
560,55.823
561,57.307
562,56.610
563,55.620
564,56.070
565,56.270
566,55.887
567,56.217
568,56.233
569,56.163
570,56.083
571,56.283
572,56.383
573,56.473
574,56.243
575,56.040
576,55.950
577,56.190
578,55.770
579,55.790
580,56.610
581,56.520
582,55.770
583,56.150
584,55.253
585,56.283
586,55.957
587,55.957
588,55.550
589,55.190
590,56.227
591,56.953
592,55.587
593,54.893
594,55.163
595,55.733
596,55.793
597,55.923
598,55.993
599,55.663
600,55.887
601,55.937
602,56.220
603,56.160
604,55.567
605,55.247
606,56.073
607,56.853
608,55.897
609,56.297
610,56.173
611,55.743
612,56.020
613,56.220
614,55.867
615,55.607
616,55.733
617,56.503
618,56.037
619,55.697
620,56.550
621,56.460
622,56.003
623,57.030
624,56.343
625,56.280
626,55.930
627,55.490
628,55.703
629,56.063
630,56.063
631,56.083
632,56.130
633,56.040
634,55.937
635,55.927
636,56.343
637,56.467
638,55.923
639,54.970
640,55.640
641,56.840
642,56.977
643,55.933
644,55.687
645,56.317
646,56.387
647,56.147
648,55.777
649,56.037
650,56.550
651,56.723
652,56.110
653,55.510
654,56.067
655,57.260
656,55.643
657,56.333
658,56.307
659,56.547
660,56.763
661,56.103
662,55.523
663,56.023
664,56.483
665,56.463
666,56.447
667,56.630
668,56.753
669,56.940
670,56.807
671,56.707
672,56.063
673,56.780
674,57.010
675,56.930
676,56.790
677,56.440
678,56.423
679,56.813
680,57.177
681,56.927
682,56.477
683,56.547
684,57.237
685,57.487
686,57.257
687,57.367
688,56.647
689,57.427
690,57.247
691,57.127
692,57.857
693,57.777
694,57.140
695,57.070
696,57.100
697,58.180
698,57.530
699,56.560
700,57.223
701,57.833
702,57.357
703,57.307
704,57.057
705,57.867
706,58.357
707,57.547
708,56.737
709,57.397
710,57.987
711,57.637
712,56.927
713,57.987
714,58.017
715,57.407
716,57.617
717,58.097
718,57.927
719,57.637
720,56.687
721,57.727
722,57.690
723,57.670
724,58.183
725,57.723
726,57.177
727,57.747
728,56.993
729,57.303
730,57.247
731,57.287
732,57.650
733,57.820
734,57.453
735,56.823
736,57.207
737,57.427
738,57.427
739,56.997
740,57.127
741,57.727
742,57.407
743,56.917
744,57.047
745,57.467
746,57.377
747,57.227
748,57.497
749,57.397
750,56.967
751,56.907
752,56.787
753,57.167
754,57.657
755,57.407
756,56.657
757,56.927
758,57.587
759,57.667
760,56.387
761,56.647
762,56.927
