Distance_(pixels),Gray_Value
0,59.080
1,59.947
2,60.740
3,60.420
4,59.600
5,59.553
6,59.773
7,59.873
8,59.140
9,59.660
10,59.520
11,58.780
12,58.900
13,59.847
14,60.387
15,60.073
16,59.153
17,59.047
18,59.093
19,59.253
20,59.400
21,59.520
22,59.540
23,59.547
24,59.320
25,59.080
26,58.760
27,58.560
28,58.687
29,59.067
30,59.087
31,58.713
32,58.940
33,59.133
34,58.547
35,57.740
36,57.773
37,58.107
38,58.247
39,58.707
40,57.833
41,57.613
42,57.360
43,57.280
44,57.240
45,57.280
46,57.080
47,56.833
48,56.107
49,56.440
50,57.313
51,57.913
52,57.073
53,55.853
54,56.113
55,57.333
56,56.200
57,55.667
58,56.013
59,56.733
60,56.533
61,56.253
62,56.093
63,55.940
64,55.247
65,55.327
66,54.280
67,54.267
68,55.627
69,56.267
70,54.880
71,54.060
72,54.960
73,55.700
74,55.247
75,54.293
76,53.620
77,53.467
78,53.893
79,54.473
80,53.673
81,53.987
82,53.153
83,52.813
84,52.747
85,53.147
86,53.700
87,52.913
88,51.827
89,51.953
90,51.627
91,51.953
92,51.680
93,51.960
94,52.173
95,51.980
96,50.933
97,50.913
98,50.387
99,50.127
100,49.967
101,50.427
102,50.307
103,50.513
104,49.720
105,49.573
106,48.493
107,49.353
108,49.967
109,49.233
110,49.033
111,48.853
112,48.213
113,48.920
114,49.373
115,49.453
116,49.040
117,49.120
118,48.413
119,48.013
120,47.207
121,47.400
122,46.800
123,46.627
124,46.720
125,46.920
126,47.053
127,47.500
128,46.673
129,46.300
130,46.113
131,46.060
132,45.587
133,45.473
134,45.480
135,45.753
136,45.353
137,45.347
138,44.840
139,44.820
140,44.507
141,44.380
142,44.340
143,44.393
144,44.173
145,44.127
146,42.980
147,42.813
148,43.487
149,43.433
150,42.707
151,42.940
152,42.273
153,42.673
154,43.493
155,43.387
156,41.333
157,40.787
158,41.733
159,42.260
160,41.793
161,41.713
162,41.647
163,41.753
164,41.773
165,41.840
166,41.360
167,41.107
168,40.780
169,41.747
170,41.360
171,41.367
172,40.927
173,40.487
174,40.480
175,39.913
176,39.580
177,40.613
178,41.133
179,40.733
180,40.613
181,40.773
182,40.820
183,40.740
184,39.853
185,40.653
186,40.753
187,40.153
188,39.200
189,40.080
190,40.533
191,39.947
192,39.533
193,40.053
194,40.400
195,39.940
196,38.993
197,39.113
198,39.800
199,39.940
200,39.487
201,39.787
202,39.213
203,38.853
204,38.707
205,38.367
206,37.967
207,38.267
208,38.020
209,37.633
210,38.560
211,38.900
212,38.387
213,38.627
214,39.073
215,38.793
216,38.233
217,38.033
218,38.140
219,38.480
220,38.313
221,38.233
222,37.993
223,37.300
224,36.287
225,37.540
226,38.493
227,38.633
228,37.760
229,37.240
230,37.207
231,37.593
232,36.587
233,37.747
234,37.847
235,37.607
236,37.820
237,37.560
238,37.293
239,38.220
240,37.020
241,37.673
242,37.633
243,37.453
244,37.353
245,36.873
246,36.287
247,36.353
248,37.320
249,37.733
250,38.347
251,38.093
252,37.320
253,37.200
254,37.407
255,37.387
256,37.047
257,38.213
258,37.400
259,36.020
260,37.013
261,37.873
262,37.533
263,37.673
264,36.953
265,37.313
266,37.687
267,37.427
268,36.853
269,37.233
270,37.933
271,38.093
272,36.353
273,36.780
274,37.027
275,37.787
276,37.460
277,36.520
278,37.633
279,38.653
280,37.673
281,37.433
282,36.953
283,36.953
284,37.487
285,37.767
286,37.080
287,36.507
288,36.673
289,37.973
290,37.613
291,36.440
292,36.580
293,36.713
294,36.413
295,36.580
296,36.473
297,37.933
298,37.987
299,36.787
300,36.613
301,37.593
302,37.487
303,36.067
304,37.533
305,38.093
306,37.567
307,36.847
308,37.227
309,37.707
310,37.160
311,36.360
312,35.853
313,37.533
314,37.933
315,37.633
316,37.100
317,36.600
318,37.113
319,36.833
320,37.047
321,38.227
322,38.127
323,37.340
324,36.220
325,36.500
326,37.700
327,37.300
328,36.733
329,37.653
330,37.827
331,38.727
332,38.400
333,36.660
334,36.027
335,36.327
336,37.073
337,37.693
338,37.980
339,37.380
340,37.080
341,37.280
342,37.440
343,37.520
344,36.427
345,36.967
346,37.740
347,38.020
348,37.700
349,36.960
350,36.660
351,36.980
352,36.780
353,37.033
354,37.193
355,36.860
356,36.713
357,37.473
358,37.600
359,36.460
360,37.220
361,37.780
362,36.680
363,35.600
364,36.627
365,37.567
366,37.293
367,37.273
368,36.733
369,36.660
370,36.867
371,37.307
372,37.387
373,36.847
374,36.553
375,36.773
376,36.987
377,37.560
378,38.033
379,37.867
380,37.140
381,36.453
382,36.413
383,36.593
384,36.867
385,35.980
386,35.520
387,35.920
388,36.227
389,35.973
390,36.087
391,36.487
392,35.993
393,35.920
394,35.860
395,36.060
396,36.360
397,36.800
398,36.993
399,37.053
400,36.607
401,36.940
402,36.773
403,36.633
404,37.007
405,37.567
406,37.640
407,36.920
408,35.867
409,36.107
410,36.640
411,37.000
412,37.033
413,36.673
414,36.267
415,36.013
416,36.447
417,36.373
418,35.620
419,35.180
420,35.893
421,36.313
422,36.480
423,36.820
424,36.320
425,36.260
426,35.413
427,35.313
428,36.487
429,37.247
430,36.447
431,35.853
432,35.520
433,36.267
434,36.267
435,35.987
436,36.087
437,35.887
438,35.907
439,36.527
440,36.687
441,36.447
442,36.013
443,35.413
444,35.627
445,36.187
446,36.340
447,36.113
448,35.593
449,35.980
450,35.447
451,35.327
452,36.173
453,36.313
454,35.893
455,36.193
456,35.993
457,36.533
458,35.880
459,35.440
460,36.233
461,36.387
462,35.780
463,36.000
464,36.113
465,36.233
466,35.933
467,35.713
468,36.273
469,36.573
470,36.033
471,35.773
472,35.173
473,35.893
474,36.273
475,36.093
476,35.553
477,35.633
478,36.233
479,36.873
480,35.280
481,35.240
482,35.527
483,35.987
484,35.880
485,35.740
486,35.687
487,36.073
488,34.787
489,35.247
490,35.233
491,35.853
492,35.993
493,35.533
494,35.853
495,35.633
496,34.907
497,35.367
498,36.247
499,36.347
500,35.307
501,34.547
502,35.447
503,36.167
504,34.587
505,34.747
506,35.127
507,35.427
508,35.507
509,35.707
510,36.347
511,36.907
512,36.307
513,35.927
514,34.967
515,34.227
516,35.160
517,36.440
518,36.880
519,36.840
520,35.740
521,35.420
522,35.027
523,35.607
524,36.640
525,36.320
526,35.720
527,35.813
528,35.273
529,36.067
530,35.567
531,35.987
532,36.540
533,35.720
534,35.600
535,36.040
536,35.100
537,36.000
538,36.820
539,36.800
540,36.227
541,35.867
542,35.467
543,34.967
544,35.340
545,36.307
546,36.040
547,35.320
548,35.620
549,35.980
550,35.767
551,35.507
552,35.047
553,35.667
554,36.220
555,35.900
556,35.360
557,35.240
558,35.727
559,36.220
560,35.287
561,35.767
562,35.767
563,35.587
564,35.713
565,35.713
566,35.767
567,36.267
568,35.647
569,35.427
570,35.173
571,35.293
572,35.433
573,35.453
574,35.213
575,34.867
576,35.033
577,35.280
578,35.653
579,35.773
580,35.753
581,35.753
582,35.547
583,35.747
584,34.627
585,35.287
586,36.120
587,36.520
588,36.167
589,35.847
590,35.960
591,36.327
592,35.600
593,35.747
594,35.393
595,34.907
596,34.993
597,35.713
598,35.793
599,35.433
600,35.373
601,36.193
602,35.760
603,35.280
604,35.940
605,36.280
606,35.500
607,34.973
608,35.207
609,35.593
610,35.193
611,34.333
612,34.747
613,36.047
614,36.333
615,35.813
616,35.213
617,35.093
618,34.933
619,35.313
620,35.487
621,35.507
622,35.493
623,35.773
624,34.693
625,35.293
626,35.367
627,35.267
628,35.507
629,35.387
630,35.013
631,35.573
632,35.153
633,35.873
634,35.400
635,35.020
636,36.193
637,36.413
638,35.733
639,35.560
640,35.273
641,36.213
642,36.420
643,35.960
644,35.527
645,35.247
646,35.093
647,35.373
648,36.113
649,36.673
650,36.220
651,35.600
652,35.573
653,36.293
654,36.113
655,35.540
656,35.960
657,36.367
658,36.213
659,35.480
660,35.387
661,35.967
662,36.147
663,35.647
664,35.700
665,36.200
666,35.660
667,35.300
668,35.587
669,35.847
670,35.540
671,35.360
672,35.213
673,35.473
674,35.860
675,35.660
676,34.867
677,34.980
678,35.967
679,36.427
680,35.367
681,35.567
682,35.473
683,35.733
684,35.940
685,35.480
686,34.907
687,35.127
688,35.353
689,36.253
690,35.593
691,34.953
692,36.033
693,36.513
694,35.853
695,35.493
696,35.347
697,35.627
698,36.160
699,36.380
700,35.660
701,35.080
702,35.420
703,36.213
704,35.227
705,35.567
706,35.847
707,35.700
708,35.273
709,35.433
710,35.613
711,35.613
712,34.773
713,35.693
714,35.753
715,35.393
716,35.613
717,35.773
718,35.393
719,35.273
720,35.713
721,36.473
722,36.280
723,35.360
724,35.220
725,35.320
726,35.747
727,36.187
728,35.460
729,36.080
730,36.040
731,36.040
732,36.120
733,35.840
734,35.340
735,35.600
736,35.347
737,35.927
738,35.813
739,35.593
740,35.827
741,36.127
742,36.073
743,36.173
744,35.513
745,35.693
746,34.973
747,35.813
748,36.013
749,35.433
750,35.747
751,35.567
752,35.333
753,36.173
754,35.227
755,34.907
756,35.827
757,35.867
758,35.673
759,34.993
760,35.380
761,35.920
762,36.093
763,35.473
764,35.147
765,35.540
766,35.867
767,36.020
768,34.567
769,35.247
770,35.380
771,35.047
772,35.213
773,35.553
774,35.227
775,34.987
776,35.187
777,35.427
778,35.293
779,35.133
780,35.400
781,35.260
782,34.893
783,35.013
784,35.107
785,35.087
786,34.433
787,35.273
788,35.553
789,34.593
790,34.980
791,35.540
792,35.240
793,35.660
794,34.800
795,33.720
796,34.720
797,35.460
798,35.100
799,34.900
800,35.093
801,35.413
802,34.367
803,34.387
804,35.027
805,35.007
806,35.440
807,35.100
808,35.127
809,34.567
810,34.607
811,34.767
812,34.593
813,34.733
814,34.847
815,34.367
816,34.587
817,35.407
818,34.800
819,33.880
820,34.460
821,34.760
822,34.487
823,34.627
824,33.700
825,35.320
826,36.033
827,35.053
828,34.733
829,35.373
830,35.433
831,34.773
832,34.440
833,34.960
834,35.100
835,35.020
836,35.147
837,34.787
838,34.660
839,35.080
840,34.993
841,35.513
842,35.193
843,34.893
844,35.473
845,35.653
846,35.080
847,34.560
848,34.500
849,36.420
850,35.300
851,34.600
852,35.260
853,35.180
854,35.480
855,36.060
856,34.760
857,34.440
858,35.300
859,35.960
860,35.407
861,34.267
862,34.507
863,35.587
864,36.020
865,35.980
866,36.460
867,36.320
868,35.413
869,35.273
870,35.553
871,35.193
872,34.607
873,35.507
874,35.487
875,35.047
876,35.407
877,35.867
878,35.447
879,34.927
880,34.833
881,35.533
882,35.747
883,35.327
884,35.127
885,35.327
886,35.353
887,34.933
888,35.333
889,36.413
890,35.753
891,34.793
892,36.207
893,36.607
894,36.227
895,36.213
896,35.953
897,35.887
898,35.300
899,35.467
900,36.467
901,35.927
902,35.367
903,36.147
904,35.420
905,35.720
906,36.313
907,36.193
908,35.907
909,35.847
910,35.707
911,35.047
912,35.787
913,36.367
914,35.913
915,35.293
916,36.073
917,36.833
918,36.560
919,35.860
920,35.867
921,35.667
922,36.087
923,36.227
924,36.153
925,35.973
926,36.527
927,37.053
928,36.267
929,36.620
930,37.227
931,37.087
932,36.467
933,36.787
934,38.007
935,38.273
936,37.507
937,36.333
938,36.987
939,38.240
940,38.167
941,37.947
942,37.713
943,37.060
944,37.353
945,38.587
946,38.593
947,37.387
948,37.480
949,38.080
950,38.147
951,37.867
952,38.147
953,38.287
954,38.347
955,38.267
956,38.240
957,37.980
958,37.660
959,37.673
960,37.773
961,38.480
962,37.980
963,37.133
964,37.967
965,38.247
966,38.167
967,37.867
968,38.500
969,38.247
970,38.860
971,38.993
972,38.620
973,38.213
974,38.420
975,38.680
976,38.473
977,39.080
978,39.560
979,39.433
980,39.353
981,39.520
982,40.040
983,40.420
984,40.853
985,40.180
986,40.040
987,40.653
988,41.627
989,42.287
990,41.947
991,40.740
992,41.420
993,42.613
994,43.180
995,43.080
996,43.807
997,44.440
998,44.893
999,45.080
1000,45.627
1001,45.680
1002,46.227
1003,47.287
1004,48.027
1005,47.273
1006,47.313
1007,48.607
1008,48.813
1009,49.873
1010,49.807
1011,50.267
1012,50.527
1013,50.487
1014,51.740
1015,53.073
1016,51.847
1017,52.940
1018,53.640
1019,54.160
1020,55.080
1021,55.453
1022,55.860
1023,56.840
1024,56.987
1025,57.787
1026,58.313
1027,58.873
1028,59.207
1029,59.593
1030,60.113
1031,60.760
1032,61.287
1033,62.060
1034,62.147
1035,62.340
1036,63.267
1037,64.407
1038,64.060
1039,63.580
1040,65.513
1041,67.027
1042,67.953
1043,68.167
1044,69.280
1045,70.180
1046,70.713
1047,71.373
1048,72.173
1049,73.500
1050,74.007
1051,73.973
1052,74.787
1053,76.493
1054,77.180
1055,77.200
1056,77.960
1057,79.047
1058,79.660
1059,79.993
1060,80.413
1061,81.253
1062,81.940
1063,82.393
1064,82.647
1065,83.527
1066,84.080
1067,84.547
1068,84.867
1069,85.387
1070,86.267
1071,87.167
1072,87.013
1073,87.807
1074,88.027
1075,88.160
1076,88.747
1077,88.760
1078,88.960
1079,89.493
1080,89.880
1081,90.220
1082,90.380
1083,90.667
1084,90.993
1085,91.307
1086,91.173
1087,90.993
1088,90.753
1089,91.300
1090,91.467
1091,91.707
1092,91.747
1093,91.660
1094,91.633
1095,91.773
1096,91.547
1097,91.853
1098,91.913
1099,91.693
1100,91.633
1101,91.833
1102,92.027
1103,91.913
1104,91.227
1105,91.427
1106,91.573
1107,91.573
1108,91.407
1109,91.187
1110,91.160
1111,91.287
1112,90.533
1113,90.413
1114,90.280
1115,90.213
1116,89.887
1117,89.953
1118,89.640
1119,89.547
1120,88.580
1121,88.287
1122,88.127
1123,88.073
1124,88.013
1125,87.953
1126,87.147
1127,86.900
1128,86.093
1129,86.273
1130,85.760
1131,85.593
1132,85.520
1133,85.340
1134,84.820
1135,84.467
1136,83.420
1137,83.480
1138,82.940
1139,82.813
1140,82.567
1141,82.553
1142,81.920
1143,81.700
1144,80.493
1145,80.813
1146,80.607
1147,79.853
1148,78.993
1149,79.000
1150,78.787
1151,78.440
1152,76.900
1153,76.767
1154,76.513
1155,76.187
1156,75.700
1157,75.393
1158,74.940
1159,74.627
1160,73.513
1161,73.800
1162,73.420
1163,73.207
1164,72.853
1165,72.873
1166,72.727
1167,72.360
1168,71.440
1169,71.313
1170,71.407
1171,71.293
1172,70.933
1173,71.100
1174,70.633
1175,70.320
1176,70.900
1177,71.160
1178,69.893
1179,69.880
1180,69.673
1181,69.913
1182,70.420
1183,69.867
1184,69.507
1185,70.260
1186,71.093
1187,71.827
1188,72.040
1189,72.633
1190,73.293
1191,73.200
1192,72.960
1193,73.773
1194,73.813
1195,73.480
1196,74.060
1197,75.127
1198,75.327
1199,75.007
1200,74.767
1201,76.053
1202,76.120
1203,75.620
1204,75.693
1205,76.433
1206,76.287
1207,76.220
1208,76.407
1209,76.600
1210,76.480
1211,76.673
1212,76.473
1213,76.793
1214,76.740
1215,76.880
1216,76.853
1217,77.580
1218,77.607
1219,77.500
1220,77.940
1221,78.433
1222,77.487
1223,77.607
1224,77.900
1225,78.580
1226,78.227
1227,78.273
1228,78.300
1229,78.540
1230,78.600
1231,79.067
1232,77.907
1233,79.147
1234,79.140
1235,79.020
1236,79.540
1237,80.140
1238,79.380
1239,79.880
1240,79.660
1241,80.560
1242,80.767
1243,81.007
1244,80.760
1245,81.653
1246,81.753
1247,81.367
1248,81.300
1249,81.860
1250,82.233
1251,82.240
1252,81.853
1253,82.113
1254,82.527
1255,83.240
1256,82.713
1257,83.280
1258,83.300
1259,83.753
1260,83.860
1261,84.840
1262,85.280
1263,85.667
1264,84.420
1265,85.087
1266,85.253
1267,85.907
1268,86.087
1269,85.900
1270,85.467
1271,86.153
1272,86.307
1273,86.653
1274,86.573
1275,87.000
1276,87.167
1277,87.680
1278,88.013
1279,88.207
1280,88.320
1281,88.793
1282,89.413
1283,89.573
1284,89.647
1285,89.933
1286,90.080
1287,90.260
1288,90.613
1289,91.187
1290,91.207
1291,91.373
1292,91.460
1293,92.100
1294,92.393
1295,92.280
1296,92.313
1297,93.700
1298,93.773
1299,93.453
1300,94.120
1301,95.153
1302,95.280
1303,95.547
1304,95.720
1305,96.787
1306,97.073
1307,97.053
1308,96.760
1309,97.407
1310,97.813
1311,98.193
1312,97.987
1313,98.940
1314,99.087
1315,99.553
1316,100.013
1317,99.940
1318,99.187
1319,99.467
1320,99.880
1321,100.780
1322,100.527
1323,100.533
1324,101.140
1325,101.213
1326,100.980
1327,101.220
1328,100.300
1329,101.753
1330,102.927
1331,102.960
1332,102.087
1333,102.107
1334,102.347
1335,102.833
1336,102.367
1337,103.167
1338,103.707
1339,104.047
1340,103.380
1341,103.313
1342,104.307
1343,105.373
1344,105.053
1345,105.327
1346,105.613
1347,105.693
1348,105.360
1349,105.673
1350,106.087
1351,106.680
1352,106.320
1353,106.973
1354,107.173
1355,107.220
1356,106.987
1357,107.760
1358,108.433
1359,108.427
1360,107.967
1361,108.140
1362,108.680
1363,109.287
1364,109.400
1365,109.140
1366,109.393
1367,110.593
1368,110.007
1369,110.173
1370,110.413
1371,110.893
1372,111.253
1373,111.893
1374,112.460
1375,112.567
1376,112.067
1377,113.000
1378,113.767
1379,113.833
1380,113.927
1381,114.173
1382,114.200
1383,114.267
1384,114.400
1385,114.860
1386,115.273
1387,115.140
1388,114.733
1389,115.220
1390,116.467
1391,117.527
1392,116.727
1393,117.453
1394,118.053
1395,118.013
1396,118.333
1397,118.973
1398,119.240
1399,118.787
1400,119.280
1401,119.780
1402,119.667
1403,119.453
1404,119.500
1405,119.307
1406,119.587
1407,120.040
1408,120.267
1409,120.540
1410,120.867
1411,120.987
1412,121.120
1413,121.727
1414,122.220
1415,122.307
1416,122.340
1417,122.747
1418,123.313
1419,123.460
1420,123.387
1421,123.307
1422,123.407
1423,123.560
1424,123.613
1425,123.380
1426,123.080
1427,123.313
1428,123.953
1429,124.040
1430,123.567
1431,123.600
1432,123.400
1433,123.413
1434,123.713
1435,123.960
1436,124.107
1437,124.033
1438,124.420
1439,124.840
1440,124.867
1441,124.880
1442,125.073
1443,125.140
1444,125.160
1445,125.120
1446,125.253
1447,125.307
1448,125.153
1449,124.860
1450,124.927
1451,125.240
1452,125.447
1453,125.740
1454,126.220
