Distance_(pixels),Gray_Value
0,55.693
1,55.940
2,55.987
3,56.007
4,56.227
5,56.287
6,56.080
7,56.073
8,55.507
9,55.407
10,56.273
11,56.633
12,55.620
13,55.100
14,55.780
15,56.913
16,55.887
17,55.767
18,55.960
19,55.760
20,55.600
21,55.133
22,55.053
23,55.387
24,55.147
25,55.680
26,55.693
27,55.720
28,55.587
29,54.927
30,54.073
31,53.940
32,55.413
33,56.360
34,56.333
35,55.273
36,54.853
37,55.360
38,55.207
39,54.067
40,53.747
41,54.167
42,54.180
43,54.053
44,54.527
45,55.353
46,55.293
47,54.607
48,53.413
49,53.933
50,54.360
51,54.060
52,54.033
53,54.753
54,54.873
55,54.933
56,54.180
57,53.947
58,53.467
59,53.227
60,53.760
61,54.460
62,54.527
63,54.353
64,53.900
65,53.727
66,53.453
67,53.933
68,54.380
69,54.000
70,53.540
71,53.820
72,52.920
73,53.780
74,53.873
75,53.720
76,54.147
77,54.227
78,53.713
79,53.533
80,53.880
81,54.407
82,54.633
83,53.800
84,52.860
85,52.533
86,52.660
87,52.847
88,53.480
89,54.093
90,53.980
91,53.487
92,53.380
93,53.533
94,53.480
95,53.480
96,53.460
97,53.713
98,53.407
99,52.913
100,52.500
101,52.273
102,52.273
103,53.013
104,52.913
105,53.213
106,52.960
107,52.687
108,53.073
109,53.620
110,53.460
111,53.073
112,52.260
113,52.673
114,53.213
115,53.840
116,53.880
117,52.773
118,51.533
119,51.520
120,52.013
121,52.727
122,52.893
123,53.087
124,52.800
125,52.440
126,51.560
127,50.547
128,50.647
129,51.893
130,52.360
131,52.087
132,52.107
133,51.840
134,51.680
135,51.887
136,51.120
137,51.740
138,51.473
139,51.120
140,51.760
141,52.660
142,51.987
143,51.007
144,50.373
145,49.947
146,50.253
147,50.993
148,50.813
149,50.627
150,51.267
151,52.040
152,49.880
153,50.673
154,50.413
155,49.740
156,49.387
157,49.607
158,49.680
159,50.187
160,50.660
161,50.220
162,49.800
163,49.300
164,48.473
165,48.433
166,49.373
167,50.700
168,50.140
169,49.513
170,48.800
171,48.200
172,47.953
173,48.947
174,49.680
175,49.507
176,47.740
177,46.753
178,46.987
179,48.367
180,48.887
181,48.580
182,47.733
183,46.867
184,46.980
185,47.640
186,47.687
187,47.807
188,47.807
189,47.487
190,47.653
191,48.373
192,47.087
193,46.720
194,47.540
195,47.913
196,47.167
197,47.180
198,47.567
199,47.380
200,46.600
201,46.373
202,45.913
203,45.627
204,46.073
205,46.847
206,46.593
207,46.227
208,45.467
209,45.960
210,46.207
211,45.527
212,44.687
213,45.187
214,45.920
215,45.800
216,45.700
217,44.680
218,44.780
219,46.100
220,46.200
221,45.240
222,44.827
223,45.293
224,45.253
225,44.753
226,44.513
227,44.880
228,45.540
229,45.973
230,45.413
231,44.853
232,44.800
233,45.207
234,44.407
235,43.660
236,43.840
237,44.600
238,44.540
239,44.013
240,44.340
241,44.587
242,43.913
243,43.213
244,44.040
245,44.640
246,44.093
247,44.300
248,44.273
249,44.547
250,44.260
251,44.060
252,44.660
253,45.007
254,44.787
255,44.720
256,43.980
257,43.860
258,44.107
259,44.440
260,44.307
261,44.000
262,43.847
263,43.687
264,44.653
265,44.193
266,43.847
267,43.347
268,43.113
269,43.667
270,44.087
271,43.787
272,43.347
273,43.620
274,43.387
275,43.147
276,43.300
277,43.380
278,43.153
279,43.273
280,42.407
281,42.887
282,43.080
283,42.940
284,42.173
285,41.673
286,42.133
287,43.027
288,42.600
289,42.607
290,42.893
291,42.633
292,41.700
293,41.993
294,42.947
295,43.447
296,42.293
297,41.907
298,42.373
299,42.827
300,42.380
301,42.460
302,42.740
303,42.713
304,41.807
305,42.500
306,42.967
307,42.627
308,42.060
309,41.920
310,42.227
311,42.567
312,42.093
313,42.513
314,42.673
315,43.127
316,43.233
317,41.887
318,41.260
319,42.107
320,42.180
321,42.747
322,43.173
323,42.593
324,41.873
325,41.327
326,41.733
327,42.227
328,41.780
329,41.653
330,41.993
331,42.293
332,41.980
333,41.420
334,41.160
335,40.507
336,40.653
337,41.387
338,41.600
339,41.720
340,41.393
341,40.533
342,40.373
343,40.973
344,40.613
345,40.813
346,41.160
347,41.860
348,42.160
349,41.360
350,40.620
351,41.040
352,39.507
353,40.340
354,41.300
355,41.040
356,40.367
357,40.713
358,41.193
359,40.820
360,40.860
361,41.707
362,41.307
363,41.040
364,41.520
365,40.740
366,40.073
367,40.953
368,40.407
369,41.487
370,41.927
371,41.447
372,40.573
373,40.280
374,40.527
375,40.987
376,41.433
377,41.267
378,40.987
379,41.127
380,41.187
381,41.007
382,40.927
383,41.053
384,41.160
385,41.427
386,41.307
387,40.760
388,40.640
389,40.973
390,41.107
391,40.847
392,39.993
393,40.673
394,41.327
395,41.547
396,41.120
397,40.780
398,40.787
399,40.713
400,40.040
401,40.460
402,40.867
403,40.940
404,40.600
405,40.253
406,40.173
407,40.147
408,39.247
409,40.273
410,40.687
411,39.987
412,39.280
413,39.320
414,39.333
415,39.120
416,39.687
417,40.307
418,40.107
419,39.160
420,38.687
421,38.893
422,39.347
423,39.560
424,38.853
425,39.560
426,39.327
427,38.793
428,39.547
429,40.133
430,40.067
431,39.627
432,39.020
433,38.267
434,37.653
435,37.933
436,38.787
437,39.167
438,39.053
439,38.427
440,37.973
441,38.673
442,38.107
443,36.527
444,36.593
445,38.360
446,39.327
447,39.240
448,37.787
449,37.667
450,37.720
451,38.120
452,38.580
453,38.647
454,38.427
455,38.353
456,37.840
457,38.353
458,38.127
459,37.747
460,37.680
461,37.540
462,37.273
463,37.420
464,37.507
465,38.047
466,38.013
467,37.393
468,37.467
469,37.973
470,37.800
471,37.047
472,37.553
473,38.213
474,37.940
475,37.460
476,38.100
477,38.247
478,37.267
479,36.473
480,36.027
481,36.800
482,38.167
483,38.687
484,38.020
485,37.527
486,37.440
487,37.093
488,37.460
489,37.920
490,37.300
491,36.500
492,36.873
493,37.667
494,37.660
495,37.287
496,36.800
497,37.593
498,37.267
499,36.920
500,37.833
501,38.033
502,37.433
503,37.313
504,37.140
505,37.620
506,38.340
507,38.380
508,37.480
509,36.627
510,36.733
511,37.653
512,36.887
513,36.607
514,36.933
515,37.513
516,37.440
517,37.007
518,37.147
519,37.807
520,37.460
521,36.880
522,37.007
523,37.027
524,36.053
525,36.480
526,37.440
527,37.447
528,36.627
