Distance_(pixels),Gray_Value
0,71.613
1,71.153
2,71.080
3,70.840
4,70.600
5,70.880
6,71.053
7,70.353
8,70.393
9,71.153
10,71.187
11,70.787
12,70.853
13,70.593
14,70.267
15,70.347
16,70.320
17,70.480
18,70.660
19,70.560
20,70.580
21,70.620
22,70.653
23,70.653
24,70.253
25,70.713
26,70.333
27,69.967
28,70.527
29,70.967
30,70.447
31,69.907
32,69.860
33,70.460
34,70.720
35,70.420
36,70.080
37,70.140
38,70.480
39,70.780
40,70.280
41,70.500
42,70.660
43,70.600
44,70.353
45,70.113
46,70.073
47,70.173
48,70.127
49,69.907
50,69.847
51,69.987
52,70.247
53,70.407
54,70.360
55,70.260
56,69.727
57,70.167
58,70.300
59,69.980
60,69.680
61,69.920
62,70.033
63,70.153
64,68.520
65,68.940
66,69.413
67,69.453
68,69.147
69,69.647
70,70.107
71,69.807
72,69.527
73,69.167
74,68.667
75,68.427
76,68.787
77,69.647
78,69.773
79,68.680
80,67.820
81,68.620
82,69.200
83,68.760
84,68.360
85,68.800
86,68.820
87,68.280
88,67.840
89,67.707
90,67.307
91,67.007
92,67.180
93,68.580
94,68.720
95,67.860
96,67.147
97,68.347
98,67.460
99,66.900
100,67.260
101,67.220
102,67.660
103,67.960
104,66.767
105,66.827
106,66.640
107,66.327
108,65.580
109,66.107
110,66.947
111,66.960
112,65.733
113,65.573
114,65.947
115,66.653
116,66.773
117,66.127
118,65.460
119,65.280
120,65.153
121,65.300
122,65.647
123,65.827
124,64.867
125,64.427
126,64.987
127,65.420
128,64.533
129,64.613
130,64.127
131,64.260
132,64.760
133,64.860
134,64.253
135,64.093
136,63.540
137,63.887
138,63.760
139,64.307
140,63.887
141,63.247
142,63.680
143,63.653
144,62.827
145,62.787
146,62.340
147,61.880
148,61.760
149,62.180
150,62.200
151,62.100
152,61.840
153,62.280
154,61.673
155,61.413
156,61.700
157,62.000
158,61.793
159,61.753
160,60.680
161,61.293
162,61.827
163,61.767
164,60.600
165,60.040
166,60.127
167,60.967
168,60.947
169,60.173
170,59.613
171,59.767
172,60.007
173,60.587
174,60.907
175,60.460
176,59.407
177,58.873
178,58.713
179,59.093
180,59.893
181,60.053
182,59.273
183,58.193
184,59.020
185,60.047
186,59.440
187,58.660
188,59.113
189,59.213
190,58.700
191,58.880
192,58.467
193,59.053
194,58.840
195,57.960
196,57.360
197,58.040
198,58.127
199,57.887
200,58.087
201,58.427
202,57.913
203,57.573
204,57.273
205,57.153
206,57.200
207,57.380
208,56.513
209,56.953
210,56.353
211,56.413
212,57.533
213,57.060
214,56.113
215,56.873
216,56.113
217,57.013
218,56.833
219,56.193
220,56.053
221,56.113
222,56.253
223,56.333
224,56.373
225,57.473
226,57.253
227,56.073
228,56.207
229,57.027
230,56.493
231,56.013
232,55.420
233,55.960
234,56.160
235,56.400
236,56.900
237,56.620
238,55.840
239,55.587
240,55.467
241,56.033
242,55.667
243,55.687
244,56.253
245,55.893
246,54.760
247,54.880
248,55.687
249,56.387
250,56.133
251,55.453
252,55.160
253,55.300
254,55.307
255,55.533
256,54.553
257,54.653
258,54.560
259,54.940
260,55.260
261,54.160
262,53.187
263,53.807
264,54.393
265,55.073
266,54.913
267,53.953
268,53.853
269,54.493
270,54.540
271,54.080
272,53.693
273,54.947
274,54.047
275,53.107
276,53.473
277,54.413
278,55.153
279,54.673
280,54.093
281,53.913
282,53.793
283,53.753
284,53.927
285,54.207
286,54.347
287,54.487
288,54.193
289,54.613
290,53.873
291,53.993
292,54.333
293,54.153
294,54.533
295,54.473
296,53.413
297,54.553
298,54.613
299,54.033
300,54.413
301,54.853
302,54.433
303,53.913
304,53.013
305,54.780
306,54.280
307,53.840
308,54.100
309,53.647
310,53.920
311,54.220
312,53.040
313,53.440
314,54.180
315,54.460
316,53.960
317,53.460
318,53.760
319,54.360
320,53.187
321,53.607
322,53.273
323,52.760
324,53.487
325,54.093
326,54.113
327,54.047
328,54.000
329,53.527
330,53.780
331,53.653
332,52.953
333,53.233
334,54.060
335,53.933
336,53.247
337,53.420
338,53.107
339,52.987
340,53.233
341,52.973
342,52.953
343,53.593
344,53.233
345,53.673
346,53.093
347,53.173
348,53.247
349,53.213
350,53.407
351,52.780
352,53.287
353,53.153
354,52.420
355,52.040
356,52.300
357,52.400
358,52.593
359,53.273
360,53.073
361,53.140
362,53.040
363,52.260
364,51.653
365,52.040
366,52.640
367,52.400
368,52.033
369,52.053
370,52.113
371,52.693
372,53.033
373,52.393
374,51.920
375,52.187
376,52.353
377,52.813
378,51.807
379,51.967
380,52.353
381,52.073
382,51.787
383,51.107
384,51.507
385,52.500
386,53.033
387,52.453
388,51.413
389,51.193
390,51.647
391,52.087
392,51.707
393,52.487
394,51.753
395,50.653
396,50.720
397,51.400
398,51.467
399,51.440
400,51.127
401,51.067
402,51.167
403,51.467
404,51.507
405,51.133
406,50.853
407,50.673
408,51.233
409,51.653
410,50.953
411,50.553
412,50.900
413,51.220
414,50.620
415,50.173
416,50.113
417,50.053
418,50.880
419,50.967
420,50.113
421,50.267
422,51.140
423,51.120
424,49.947
425,49.607
426,50.127
427,50.887
428,50.533
429,50.100
430,50.473
431,50.947
432,50.360
433,50.560
434,49.927
435,49.267
436,50.067
437,50.587
438,50.087
439,49.527
440,49.713
441,50.373
442,50.393
443,49.073
444,48.567
445,50.007
446,51.387
447,51.020
448,49.207
449,49.027
450,49.460
451,50.080
452,49.853
453,49.133
454,49.147
455,49.860
456,48.840
457,49.547
458,50.033
459,49.493
460,49.193
461,49.253
462,49.393
463,49.113
464,48.433
465,48.567
466,48.433
467,48.293
468,48.313
469,48.613
470,49.093
471,48.813
472,48.293
473,48.393
474,48.853
475,49.020
476,48.627
477,48.047
478,48.127
479,48.440
480,47.260
481,48.700
482,48.860
483,48.513
484,49.147
485,48.667
486,47.933
487,48.140
488,48.660
489,48.513
490,48.447
491,48.007
492,47.507
493,48.007
494,48.247
495,47.493
496,47.867
497,48.507
498,47.307
499,47.700
500,48.340
501,48.527
502,49.140
503,47.840
504,47.093
505,47.313
506,47.493
507,48.040
508,48.080
509,47.120
510,46.673
511,47.293
512,48.040
513,48.120
514,47.940
515,47.513
516,47.420
517,47.520
518,47.907
519,47.987
520,47.347
521,48.127
522,48.033
523,47.167
524,47.307
525,48.047
526,47.873
527,47.293
528,46.587
529,47.040
530,47.707
531,47.747
532,47.353
533,47.333
534,47.613
535,47.473
536,46.933
537,46.993
538,46.880
539,46.760
540,46.900
541,47.560
542,47.627
543,47.280
544,46.673
545,47.353
546,46.860
547,46.520
548,47.107
549,47.127
550,47.360
551,48.380
552,46.760
553,46.660
554,46.433
555,46.893
556,47.327
557,46.867
558,46.380
559,46.807
560,46.913
561,46.847
562,46.913
563,46.853
564,46.667
565,46.487
566,46.547
567,46.807
568,46.587
569,46.407
570,46.507
571,47.007
572,47.573
573,47.600
574,47.293
