Distance_(pixels),Gray_Value
0,109.747
1,109.493
2,110.227
3,111.000
4,110.173
5,108.787
6,108.847
7,109.927
8,109.807
9,109.640
10,109.947
11,110.260
12,109.573
13,108.387
14,108.580
15,109.660
16,109.427
17,109.380
18,109.213
19,109.233
20,109.580
21,109.580
22,109.353
23,108.973
24,108.380
25,108.527
26,108.173
27,108.633
28,109.267
29,108.573
30,108.067
31,109.053
32,109.113
33,108.380
34,108.407
35,108.587
36,108.280
37,108.700
38,109.073
39,108.553
40,107.513
41,108.800
42,109.360
43,108.847
44,108.480
45,108.280
46,108.320
47,108.520
48,107.487
49,108.387
50,108.140
51,107.980
52,108.527
53,108.507
54,108.240
55,108.660
56,107.813
57,108.173
58,108.287
59,108.547
60,108.367
61,107.600
62,107.147
63,107.447
64,108.180
65,108.947
66,108.767
67,108.167
68,108.167
69,107.907
70,107.000
71,106.887
72,107.607
73,108.587
74,108.500
75,107.300
76,106.720
77,107.140
78,107.600
79,107.533
80,107.793
81,107.833
82,106.987
83,106.527
84,106.853
85,107.133
86,106.793
87,106.953
88,106.307
89,106.573
90,106.633
91,106.473
92,106.347
93,106.207
94,106.333
95,107.173
96,106.907
97,105.853
98,105.913
99,105.787
100,104.973
101,105.833
102,106.907
103,106.387
104,105.600
105,104.247
106,103.653
107,104.227
108,104.453
109,105.400
110,105.460
111,104.020
112,103.573
113,104.420
114,103.920
115,103.113
116,103.280
117,104.140
118,103.813
119,103.340
120,102.687
121,102.927
122,102.353
123,102.200
124,101.953
125,102.133
126,101.800
127,101.453
128,101.220
129,101.520
130,101.413
131,101.100
132,100.720
133,100.667
134,100.647
135,100.907
136,100.667
137,100.420
138,99.940
139,100.033
140,100.620
141,100.707
142,99.960
143,99.300
144,98.647
145,99.813
146,99.647
147,98.580
148,98.260
149,98.540
150,98.453
151,98.147
152,97.887
153,99.267
154,98.680
155,97.160
156,96.753
157,97.593
158,97.880
159,97.620
160,96.113
161,96.387
162,97.140
163,97.460
164,97.000
165,96.120
166,96.027
167,96.553
168,95.833
169,96.060
170,96.093
171,96.033
172,95.840
173,96.067
174,96.147
175,96.160
176,95.427
177,94.587
178,93.307
179,94.127
180,94.287
181,94.900
182,96.520
183,95.313
184,93.333
185,94.193
186,94.787
187,94.927
188,94.013
189,92.860
190,93.227
191,94.667
192,93.453
193,94.240
194,94.200
195,93.860
196,93.640
197,93.340
198,92.173
199,91.553
200,92.973
201,94.033
202,93.347
203,92.307
204,92.353
205,92.633
206,92.353
207,92.420
208,91.367
209,91.493
210,91.860
211,91.673
212,91.300
213,90.733
214,90.833
215,91.593
216,90.547
217,90.967
218,90.747
219,90.387
220,90.327
221,90.867
222,90.893
223,90.413
224,89.820
225,89.880
226,89.680
227,89.653
228,89.620
229,89.160
230,89.013
231,89.753
232,89.153
233,88.633
234,89.107
235,89.567
236,88.887
237,88.427
238,88.613
239,88.727
240,87.753
241,88.760
242,88.800
243,88.100
244,87.913
245,88.253
246,88.213
247,87.853
248,87.927
249,88.507
250,87.733
251,87.147
252,87.720
253,87.900
254,87.307
255,87.187
256,86.887
257,87.567
258,88.260
259,88.260
260,87.720
261,87.160
262,86.800
263,86.660
264,87.360
265,87.440
266,87.700
267,88.100
268,88.060
269,87.000
270,86.953
271,87.940
272,86.267
273,86.973
274,87.273
275,86.793
276,86.273
277,86.773
278,87.493
279,87.653
280,86.113
281,86.433
282,86.373
283,86.293
284,86.753
285,86.613
286,86.833
287,87.773
288,85.913
289,84.633
290,86.000
291,87.460
292,86.353
293,85.727
294,86.353
295,86.233
296,86.200
297,86.507
298,86.113
299,85.000
300,85.433
301,87.107
302,87.347
303,86.287
304,85.233
305,85.427
306,85.513
307,85.760
308,86.147
309,86.227
310,86.240
311,86.500
312,85.073
313,85.973
314,85.800
315,85.140
316,85.693
317,86.673
318,86.213
319,84.833
320,84.580
321,85.720
322,85.720
323,84.700
324,84.700
325,84.960
326,85.340
327,85.800
328,84.660
329,85.040
330,85.020
331,85.100
332,85.240
333,84.600
334,84.440
335,85.407
336,84.887
337,85.540
338,84.907
339,84.467
340,85.407
341,85.427
342,84.800
343,85.140
344,83.980
345,84.127
346,84.413
347,84.773
348,84.693
349,84.453
350,84.340
351,84.400
352,83.680
353,83.840
354,84.773
355,85.040
356,84.560
357,84.200
358,84.573
359,84.593
360,83.953
361,84.013
362,84.547
363,84.847
364,83.927
365,83.267
366,83.433
367,83.707
368,83.153
369,83.487
370,83.247
371,83.367
372,83.040
373,82.527
374,83.133
375,83.087
376,82.727
377,84.007
378,83.013
379,82.433
380,84.120
381,84.120
382,82.187
383,81.660
384,80.953
385,82.773
386,83.680
387,82.693
388,82.080
389,81.580
390,81.787
391,82.267
392,81.920
393,82.920
394,82.987
395,81.927
396,81.360
397,81.720
398,82.060
399,82.040
400,81.153
401,81.673
402,82.093
403,81.393
404,80.380
405,80.800
406,82.013
407,82.493
408,81.767
409,80.827
410,80.587
411,80.640
412,80.500
413,80.800
414,81.380
415,81.620
416,81.240
417,81.267
418,80.980
419,80.320
420,80.367
421,81.527
422,81.627
423,80.627
424,79.947
425,80.247
426,80.307
427,80.707
428,81.393
429,80.953
430,80.447
431,80.980
432,79.827
433,79.927
434,80.747
435,81.147
436,80.827
437,80.467
438,79.927
439,79.287
440,80.207
441,81.907
442,81.007
443,79.247
444,80.467
445,81.820
446,81.060
447,79.920
448,80.620
449,80.460
450,80.320
451,80.560
452,80.440
453,79.780
454,80.100
455,81.740
456,79.880
457,79.880
458,80.480
459,80.360
460,79.260
461,79.320
462,80.300
463,80.793
464,79.780
465,79.527
466,79.787
467,79.507
468,79.140
469,79.747
470,80.100
471,78.940
472,78.380
473,79.780
474,80.100
475,79.440
476,79.000
477,78.000
478,77.840
479,78.640
480,78.973
481,79.093
482,78.827
483,78.087
484,77.920
485,78.580
486,78.413
487,77.513
488,77.033
489,77.633
490,77.547
491,77.347
492,77.627
493,77.460
494,76.993
495,77.120
