Distance_(pixels),Gray_Value
0,90.100
1,89.200
2,88.520
3,88.840
4,89.547
5,89.367
6,89.087
7,89.027
8,88.480
9,88.240
10,88.753
11,88.593
12,87.500
13,87.433
14,87.947
15,87.733
16,87.093
17,86.913
18,87.247
19,86.660
20,85.540
21,85.960
22,86.687
23,86.180
24,85.680
25,86.540
26,86.273
27,84.813
28,84.547
29,85.353
30,85.213
31,84.073
32,83.613
33,84.253
34,84.480
35,83.980
36,83.527
37,82.960
38,82.553
39,82.500
40,82.693
41,82.607
42,82.080
43,82.007
44,81.747
45,81.247
46,80.447
47,80.060
48,80.673
49,79.800
50,79.873
51,79.527
52,78.340
53,78.860
54,79.360
55,78.340
56,78.073
57,78.453
58,78.900
59,78.020
60,76.500
61,76.353
62,76.607
63,76.160
64,76.027
65,75.640
66,75.847
67,75.880
68,75.000
69,74.380
70,74.180
71,74.213
72,74.353
73,73.300
74,73.307
75,73.987
76,74.307
77,74.027
78,73.040
79,71.760
80,72.033
81,72.047
82,71.153
83,71.227
84,71.573
85,71.507
86,71.353
87,69.953
88,69.867
89,69.867
90,69.327
91,69.427
92,69.520
93,68.860
94,67.880
95,68.113
96,68.573
97,68.907
98,68.820
99,68.840
100,68.767
101,68.087
102,67.633
103,67.873
104,67.527
105,67.507
106,67.073
107,66.513
108,65.907
109,65.987
110,66.320
111,66.367
112,66.387
113,65.607
114,65.287
115,65.473
116,65.580
117,65.780
118,65.600
119,65.360
120,65.487
121,65.220
122,65.253
123,64.707
124,64.347
125,65.780
126,66.340
127,64.860
128,64.113
129,65.167
130,64.813
131,64.353
132,64.827
133,64.340
134,63.873
135,64.633
136,66.060
137,64.627
138,64.007
139,64.587
140,65.327
141,65.307
142,64.393
143,63.407
144,64.200
145,64.040
146,64.080
147,64.320
148,64.400
149,64.020
150,63.860
151,64.080
152,64.473
153,63.500
154,63.393
155,63.853
156,63.807
157,63.980
158,63.827
159,62.960
160,63.720
161,63.593
162,63.440
163,63.833
164,64.073
165,63.413
166,63.000
167,63.293
168,63.487
169,63.167
170,62.753
171,62.047
172,61.693
173,62.987
174,63.353
175,61.913
176,61.733
177,62.060
178,62.040
179,62.013
180,61.820
181,61.673
182,61.507
183,61.427
184,62.160
185,61.753
186,61.567
187,61.380
