Distance_(pixels),Gray_Value
0,10.227
1,10.147
2,10.513
3,11.293
4,11.773
5,12.453
6,12.787
7,12.520
8,12.673
9,12.793
10,12.627
11,12.173
12,11.440
13,11.047
14,10.573
15,10.660
16,10.840
17,11.047
18,11.620
19,12.447
20,12.567
21,11.993
22,11.760
23,11.960
24,12.193
25,12.233
26,11.967
27,11.453
28,10.993
29,11.527
30,12.060
31,12.500
32,12.487
33,12.373
34,12.173
35,11.900
36,12.207
37,12.433
38,12.340
39,12.020
40,12.680
41,12.140
42,12.133
43,12.620
44,12.147
45,12.720
46,13.833
47,12.453
48,11.473
49,12.000
50,12.493
51,12.593
52,12.313
53,12.387
54,12.173
55,12.020
56,12.007
57,11.833
58,11.833
59,11.527
60,10.980
61,11.780
62,12.393
63,11.673
64,12.067
65,11.893
66,11.720
67,11.680
68,11.627
69,11.447
70,11.207
71,10.893
72,10.827
73,10.727
74,10.633
75,10.653
76,10.847
77,11.080
78,11.120
79,11.147
80,11.933
81,12.153
82,11.500
83,10.847
84,11.000
85,11.633
86,11.660
87,11.513
88,11.400
89,11.227
90,11.287
91,11.380
92,11.520
93,11.520
94,11.360
95,11.407
96,11.400
97,12.000
98,11.947
99,11.327
100,10.627
101,10.827
102,11.200
103,11.460
104,11.747
105,11.367
106,10.993
107,10.573
108,10.387
109,10.967
110,11.093
111,10.713
112,9.900
113,10.440
114,10.947
115,11.113
116,11.427
117,11.720
118,11.827
119,11.447
120,12.027
121,12.193
122,11.787
123,11.167
124,10.453
125,10.413
126,10.427
127,10.453
128,10.253
129,10.733
130,10.753
131,10.440
132,10.800
133,11.307
134,11.440
135,11.093
136,11.080
137,11.167
138,11.140
139,11.707
140,12.080
141,11.993
142,11.420
143,11.187
144,11.380
145,11.073
146,10.640
147,10.727
148,10.960
149,11.293
150,11.413
151,11.427
152,11.987
153,11.913
154,11.707
155,11.653
156,11.767
157,11.787
158,11.367
159,10.867
160,9.607
161,9.373
162,9.207
163,9.480
164,9.780
165,10.040
166,9.887
167,9.687
168,10.113
169,9.193
170,8.833
171,9.433
172,9.973
173,9.860
174,9.433
175,9.253
176,10.373
177,10.120
178,9.620
179,9.673
180,9.780
181,9.973
182,9.727
183,9.473
184,9.213
185,9.527
186,9.427
187,9.360
188,9.080
189,8.973
190,8.473
191,8.327
192,8.740
193,9.200
194,9.760
195,10.400
196,10.520
197,10.067
198,9.787
199,9.860
200,10.460
201,9.900
202,9.613
203,10.073
204,9.973
205,9.973
206,9.893
207,9.707
208,9.627
209,8.893
210,8.087
211,8.647
212,9.453
213,9.473
214,9.400
215,10.020
216,11.107
217,11.240
218,11.147
219,10.780
220,10.960
221,11.567
222,11.287
223,9.947
224,9.140
225,9.573
226,9.440
227,9.287
228,9.593
229,10.167
230,9.940
231,9.573
232,9.813
233,9.967
234,9.767
235,9.347
236,8.767
237,8.767
238,9.573
239,10.240
240,9.727
241,9.533
242,9.240
243,8.987
244,8.953
245,8.747
246,8.653
247,8.467
248,9.487
249,9.347
250,9.347
251,9.893
252,10.020
253,9.967
254,9.327
255,9.053
256,8.787
257,8.800
258,8.820
259,9.087
260,9.247
261,9.220
262,8.840
263,8.433
264,8.573
265,8.673
266,8.807
267,8.880
268,8.633
269,8.693
270,8.800
271,9.220
272,9.713
273,9.347
274,9.293
275,9.400
276,9.227
277,9.607
278,9.647
279,9.160
280,9.633
281,9.487
282,9.313
283,9.233
284,9.333
285,9.367
286,9.300
287,9.187
288,10.613
289,10.180
290,9.533
291,9.580
292,9.580
293,9.513
294,9.753
295,10.033
296,10.973
297,11.373
298,10.980
299,10.220
300,9.393
301,9.253
302,9.400
303,9.593
304,10.833
305,11.000
306,10.707
307,10.040
308,9.767
309,10.367
310,11.140
311,11.447
312,11.920
313,12.073
314,11.747
315,11.460
316,11.893
317,12.800
318,12.780
319,12.160
320,11.340
321,10.113
322,9.107
323,9.387
324,10.440
325,11.207
326,11.153
327,10.907
328,11.853
329,11.833
330,12.093
331,11.853
332,11.240
333,11.120
334,11.413
335,11.100
336,10.827
337,10.880
338,10.493
339,10.107
340,10.187
341,10.800
342,10.800
343,10.240
344,10.253
345,10.493
346,10.540
347,10.427
348,10.480
349,10.313
350,10.220
351,10.253
352,11.733
353,12.947
354,13.120
355,12.667
356,12.120
357,12.440
358,12.373
359,12.133
360,12.040
361,12.980
