Distance_(pixels),Gray_Value
0,6.967
1,7.680
2,7.833
3,7.487
4,7.320
5,7.660
6,7.820
7,7.493
8,7.880
9,7.993
10,7.640
11,7.147
12,6.720
13,7.013
14,7.327
15,7.647
16,7.440
17,7.787
18,7.780
19,7.600
20,7.420
21,7.313
22,6.967
23,6.540
24,6.313
25,6.407
26,6.320
27,6.207
28,5.947
29,5.553
30,5.020
31,4.827
32,5.260
33,5.427
34,5.767
35,6.200
36,6.373
37,6.253
38,6.087
39,5.900
40,5.367
41,5.393
42,5.493
43,5.953
44,6.480
45,6.620
46,6.213
47,5.900
48,5.487
49,5.140
50,4.553
51,4.487
52,4.627
53,5.100
54,5.147
55,5.033
56,5.127
57,4.747
58,4.480
59,4.540
60,4.853
61,4.960
62,4.653
63,4.267
64,4.253
65,4.487
66,5.033
67,5.000
68,5.120
69,5.833
70,6.067
71,5.653
72,4.967
73,5.487
74,5.893
75,6.127
76,5.900
77,6.307
78,5.967
79,5.807
80,6.167
81,5.207
82,5.080
83,5.787
84,6.333
85,6.520
86,6.087
87,5.213
88,5.067
89,5.133
90,5.073
91,4.993
92,5.120
93,5.267
94,4.793
95,4.140
96,5.113
97,5.973
98,6.693
99,6.180
100,5.180
101,4.680
102,4.633
103,4.593
104,5.013
105,5.240
106,5.427
107,5.380
108,5.360
109,5.320
110,4.920
111,4.593
112,4.827
113,4.767
114,5.420
115,5.993
116,6.260
117,5.653
118,4.553
119,3.527
120,4.200
121,4.627
122,4.940
123,4.813
124,4.273
125,4.387
126,4.840
127,5.433
128,5.687
129,5.820
130,5.507
131,5.113
132,5.107
133,5.220
134,5.227
135,4.953
136,5.320
137,5.993
138,6.273
139,5.953
140,5.373
141,5.180
142,4.640
143,4.073
144,4.873
145,5.133
146,5.627
147,5.387
148,5.747
149,5.847
150,5.947
151,6.007
152,5.807
153,5.447
154,5.467
155,5.600
156,5.467
157,5.467
158,4.967
159,4.467
160,5.280
161,6.167
162,6.847
163,6.727
164,6.440
165,6.127
166,5.240
167,4.387
168,4.280
169,4.307
170,4.820
171,5.500
172,5.727
173,6.180
174,6.633
175,6.613
176,6.493
177,6.680
178,6.687
179,6.220
180,6.020
181,5.880
182,5.700
183,5.487
184,5.533
185,5.433
186,5.253
187,5.380
188,6.180
189,7.093
190,6.873
191,6.267
192,5.613
193,5.487
194,4.900
195,4.627
196,4.880
197,5.687
198,5.987
199,5.867
200,5.947
201,6.300
202,5.993
203,4.800
204,4.107
205,4.080
206,4.167
207,4.327
208,5.347
209,5.920
210,6.273
211,6.040
212,5.773
213,6.140
214,6.233
215,6.147
216,5.687
217,5.607
218,5.007
219,4.333
220,4.153
221,4.187
222,4.040
223,4.000
224,4.853
225,4.467
226,4.620
227,4.707
228,4.880
229,5.433
230,5.413
231,4.720
232,5.167
233,5.673
234,5.980
235,5.820
236,5.793
237,5.980
238,5.647
239,4.973
240,4.307
241,4.167
242,3.647
243,3.333
244,3.613
245,3.907
246,3.760
247,3.300
248,4.113
249,4.373
250,4.613
251,4.520
252,4.387
253,4.707
254,4.807
255,4.767
256,5.713
257,5.167
258,4.920
259,4.507
260,3.460
261,3.127
262,3.500
263,3.860
264,4.387
265,4.033
266,3.913
267,4.307
268,5.187
269,5.480
270,5.067
271,4.493
272,4.007
273,3.633
274,3.507
275,3.680
276,4.153
277,4.020
278,3.853
279,3.607
280,4.787
281,5.293
282,5.020
283,3.947
284,3.367
285,3.353
286,3.293
287,2.913
288,4.567
289,4.413
290,4.160
291,4.040
292,3.947
293,4.133
294,4.647
295,5.173
296,6.273
297,5.693
298,4.567
299,3.613
300,3.193
301,3.487
302,4.307
303,5.220
304,6.660
305,6.453
306,6.127
307,5.927
308,5.420
309,4.960
310,4.740
311,5.120
312,4.933
313,5.420
314,5.687
315,6.053
316,6.180
317,6.120
318,5.067
319,4.067
320,4.213
321,4.513
322,4.720
323,5.453
324,6.313
325,6.987
326,6.647
327,5.973
328,5.740
329,5.607
330,5.460
331,5.807
332,5.673
333,5.060
334,4.300
335,3.967
336,4.607
337,5.047
338,6.200
339,6.527
340,5.960
341,6.773
342,7.707
343,6.880
344,6.233
345,6.313
346,6.573
347,6.987
348,7.660
349,7.540
350,6.900
351,6.847
352,6.113
353,7.020
354,7.700
355,7.920
356,7.880
357,7.907
358,8.093
359,8.160
360,8.040
361,7.753
362,7.667
363,8.020
364,8.233
365,7.867
366,7.280
367,7.153
368,7.813
369,8.187
370,8.707
371,8.753
372,8.127
373,7.087
374,5.960
375,5.053
376,4.833
377,5.073
378,5.340
379,5.973
380,6.667
381,7.393
382,7.520
383,7.220
384,6.687
385,6.507
386,6.220
387,6.087
388,6.340
389,6.727
390,6.893
391,6.480
392,6.093
393,5.880
394,6.093
395,6.153
396,6.327
397,7.073
398,7.213
399,6.787
400,6.467
401,6.140
402,5.500
403,5.520
404,6.287
405,7.213
406,7.107
407,6.540
408,6.827
409,6.247
410,5.813
411,6.460
412,7.480
413,7.940
414,7.427
415,6.780
416,6.120
417,5.727
418,5.280
419,5.033
420,5.267
421,5.613
422,5.693
423,5.840
424,6.240
425,6.500
426,7.127
427,7.087
428,6.513
429,6.513
430,6.593
431,6.160
432,6.487
433,6.387
434,6.680
435,6.453
436,6.233
437,6.860
438,7.107
439,6.513
440,6.720
441,6.493
442,6.360
443,6.647
444,7.047
445,7.400
446,7.213
447,7.080
448,7.367
449,7.127
450,6.673
451,6.227
452,6.313
453,6.827
454,7.087
455,7.247
456,7.740
457,7.427
458,6.827
459,6.313
460,6.107
461,6.413
462,6.740
463,7.027
464,8.040
465,7.820
466,7.493
467,7.613
468,6.987
469,6.727
470,6.860
471,7.100
472,7.920
473,8.493
474,8.367
475,7.360
476,7.053
477,7.727
478,7.907
479,7.927
480,8.233
481,8.653
482,8.860
483,9.660
484,11.113
485,11.800
486,11.340
487,10.980
488,9.573
489,9.353
490,9.440
491,9.387
492,9.640
493,10.333
494,10.347
495,9.653
496,10.460
497,10.773
498,11.253
499,11.127
500,10.413
501,10.240
502,10.347
503,10.433
504,10.600
505,11.093
506,11.240
507,10.913
508,10.700
509,11.207
510,11.333
511,11.387
512,11.960
513,11.740
514,12.707
515,13.373
516,12.793
517,12.587
518,12.673
519,11.973
520,11.680
521,11.193
522,11.313
523,12.160
524,13.153
525,13.227
526,12.613
527,12.173
528,13.573
529,13.320
530,13.267
531,13.320
532,13.087
533,12.573
534,12.420
535,12.467
